Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Ava Duffy,Michael Holbrook,Shelby Kramp-Neuman,Tracey Sweeney Schenk,Zaid Yusufani,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 73","Colebrook",5,3,59,61,1,0,129,255
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 74","Colebrook",10,1,73,51,0,0,135,308
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 75","Yarker",14,3,138,87,1,0,243,459
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 76","Camden East",15,1,119,112,1,0,248,468
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 77","Thorpe",16,4,71,67,0,0,158,468
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 78","Croydon",10,4,115,69,2,1,201,446
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 79","Greater Napanee",5,1,94,34,0,0,134,246
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 80","Greater Napanee",3,4,115,49,2,0,173,364
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 81","Tweed",7,3,98,47,0,0,155,545
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 82","Sugar Island",3,4,102,34,3,1,147,387
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 83","Tweed",4,1,90,52,1,0,148,398
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 84","Marmora and Lake",16,3,100,49,4,0,172,449
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 85","Marmora and Lake",8,4,104,56,3,0,175,464
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 86","Marmora and Lake",4,0,95,46,3,0,148,380
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 87","Marmora and Lake",7,4,132,59,2,0,204,416
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 88","Centre Hastings",4,1,89,45,1,1,141,450
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 89","Huntingdon",4,3,63,25,1,0,96,234
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 90","Huntingdon",5,4,119,50,1,0,179,321
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 91","Thomasburg",9,2,112,58,0,1,182,415
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 92","Thomasburg",7,1,138,83,1,1,231,436
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 93","Camden East",7,3,78,67,1,0,156,380
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 94","Newburgh",6,3,68,65,2,0,144,449
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 95","Strathcona",7,3,101,42,4,1,158,471
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 96","Switzerville",5,0,87,60,4,0,156,440
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 97","Greater Napanee",8,4,121,48,3,0,184,402
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 98","Greater Napanee",3,0,147,54,0,0,204,473
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 99","Wilton",6,3,85,85,3,1,183,461
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 100","Loyalist",4,0,64,38,0,0,106,326
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 101","Loyalist",11,6,194,96,1,0,308,907
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 102","Loyalist",7,2,79,35,2,0,125,417
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 103","Odessa",8,3,67,64,0,0,142,469
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 104","Violet",9,3,90,67,1,0,170,356
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 105","Naphan",6,2,137,79,0,0,224,452
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 106","Read",6,5,145,80,1,0,237,465
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 107","Halston",7,0,147,67,3,0,224,459
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 108","Amherstview",13,3,92,89,2,2,201,518
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 109","Loyalist",6,1,75,79,1,1,163,503
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 110","Loyalist",9,0,64,88,0,1,162,586
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 111","Loyalist",11,0,56,48,1,0,116,366
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 112","Amherstview",7,1,76,76,0,0,160,515
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 113","Amherstview",9,2,94,96,2,0,203,584
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 114","Rawdon",6,1,128,49,0,2,186,480
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 115","Bonarlaw",5,3,153,46,0,0,207,474
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 116","Minto",4,4,86,34,0,0,128,333
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 117","Rawdon",10,1,87,44,2,0,144,377
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 118","Loyalist",8,3,65,58,0,0,134,519
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 119","Thomasburg",11,3,143,60,2,2,221,427
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 120","West Huntingdon",10,8,160,100,0,2,280,448
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 121","Greater Napanee",7,3,80,46,1,1,138,453
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 122","Greater Napanee",3,1,84,69,1,0,158,445
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 123","Greater Napanee",10,2,73,59,0,0,144,528
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 124","Greater Napanee",16,5,68,50,0,0,139,488
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 125","Greater Napanee",6,4,94,52,0,0,156,546
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 126","Greater Napanee",5,1,57,41,1,0,105,449
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 127","Loyalist",19,4,46,68,1,1,139,505
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 128","Loyalist",7,0,74,70,0,0,151,474
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 129","Loyalist",6,2,58,68,2,0,136,388
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 130","Loyalist",6,1,49,74,2,0,132,408
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 131","Loyalist",9,2,74,87,2,0,174,485
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 132","Loyalist",9,1,81,101,0,0,192,569
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 133","Loyalist",5,3,87,105,0,0,200,560
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 134","Bayview",8,2,63,93,0,1,167,410
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 135","Greater Napanee",4,4,58,92,1,1,160,409
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 136","Greater Napanee",10,3,106,65,2,3,189,601
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 137","Ernestown",13,2,89,73,0,0,177,398
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 138","Millhaven",7,3,59,65,0,0,134,308
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 139","Greater Napanee",6,5,70,48,1,2,132,443
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 140","Greater Napanee",4,1,59,40,2,0,106,359
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 141","Greater Napanee",9,3,39,60,1,0,112,353
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 142","Greater Napanee",3,1,85,67,1,0,157,438
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 143","Greater Napanee",9,1,88,71,1,1,171,584
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 144","Greater Napanee",11,1,67,47,4,0,130,413
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 145","Morven",12,0,112,81,1,0,206,416
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 146","Loyalist",13,4,91,118,2,1,229,488
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 147","Loyalist",7,3,94,81,4,0,189,348
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 148","Loyalist",6,1,85,95,0,0,187,403
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 149","Lonsdale",4,9,136,86,0,0,235,422
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 150","Melrose",8,4,163,85,1,0,261,434
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 151","Greater Napanee",4,0,23,17,0,0,44,290
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 152","Greater Napanee",2,2,63,28,0,1,96,346
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 153","Greater Napanee",4,1,50,45,1,0,101,445
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 154","Greater Napanee",5,1,105,75,1,0,187,810
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 155","Greater Napanee",1,1,65,36,0,0,103,362
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 156","Deseronto",5,0,49,32,0,0,86,241
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 157","Deseronto",15,2,101,57,0,1,176,493
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 158","Deseronto",10,4,84,45,2,1,146,358
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 159","Greater Napanee",0,0,62,26,0,0,88,433
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 160","Deseronto",15,1,82,57,0,0,155,506
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 161","Belleville",5,0,126,69,3,0,203,464
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 162","Belleville",5,0,99,59,4,0,167,387
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 163","Belleville",6,2,131,60,1,0,200,421
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 164","Belleville",9,3,104,50,0,1,167,441
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 165","Belleville",3,0,114,65,1,1,184,429
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 166","Belleville",4,1,117,43,1,0,166,326
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 167","Belleville",8,1,142,71,2,0,224,496
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 168","Belleville",7,2,106,67,1,1,184,473
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 169","Belleville",5,6,107,47,1,2,168,372
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 170","Belleville",7,3,99,73,0,1,183,410
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 171","Belleville",8,5,117,66,4,0,200,490
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 172","Stirling",4,4,117,58,3,1,187,461
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 173","Stirling-Rawdon",5,1,62,52,1,1,122,365
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 174","Mount Pleasant",4,2,129,40,3,0,178,450
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 175","Loyalist",1,0,39,112,0,0,152,328
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 176","Loyalist",13,1,92,110,0,1,217,480
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 177","Loyalist",3,0,54,119,2,2,180,380
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 178","Blessington",7,2,107,58,1,1,176,432
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 179","Marysville",5,1,84,38,3,0,131,433
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 180","Belleville",7,2,49,17,0,2,77,390
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 181","Shannonville",8,1,107,62,1,2,181,554
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 182","Shannonville",2,2,37,18,0,0,59,147
35040,"Hastings--Lennox and Addington--Tyendinaga/Hastings--Lennox and Addington--Tyendinaga"," 183","Greater Napanee",5,4,90,45,3,2,149,454
