Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Bernard Généreux,Iseult L'Heureux Hubert,Rémi Massé,Thibaud Mony,Jean-François Morin,Alexie Plourde,Diane Sénécal,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 20","Cacouna",67,3,36,0,0,4,29,2,141,315
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 21","Cacouna",43,1,44,0,0,4,35,2,129,327
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 22","Cacouna",45,1,32,0,1,2,40,1,122,288
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 23","Cacouna",82,1,25,1,3,0,40,1,153,285
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 24","Cacouna",76,4,63,0,1,2,28,2,176,309
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 25","Saint-Arsène",92,4,69,0,0,4,30,3,202,331
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 26","Saint-Arsène",36,1,22,0,0,1,9,1,70,102
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 27","Saint-Arsène",49,5,30,0,0,1,34,0,119,212
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 28","Saint-Pierre-de-Lamy",43,2,15,0,0,3,19,1,83,197
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 29","Saint-Juste-du-Lac",98,2,35,2,0,3,27,1,168,332
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 30","Rivière-du-Loup",104,3,32,2,3,2,36,5,187,317
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 31","Rivière-du-Loup",111,1,73,0,3,2,48,1,239,427
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 32","Saint-François-Xavier-de-Viger",49,1,62,0,3,2,45,2,164,435
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 33","Saint-Hubert-de-Rivière-du-Loup",48,5,35,0,0,0,48,1,137,399
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 34","Cabano",29,1,18,0,0,3,17,2,70,229
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 35","Témiscouata-sur-le-Lac",63,2,50,0,1,2,33,3,154,428
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 36","Témiscouata-sur-le-Lac",37,4,26,0,3,0,34,4,108,344
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 37","Témiscouata-sur-le-Lac",35,1,14,2,1,0,25,0,78,237
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 38","Témiscouata-sur-le-Lac",75,0,22,0,1,2,32,3,135,303
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 39","Rivière-du-Loup",44,4,52,1,1,4,43,5,154,279
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 40","Témiscouata-sur-le-Lac",51,1,53,0,0,0,30,2,137,307
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 41","Témiscouata-sur-le-Lac",70,1,75,0,1,1,25,2,175,422
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 42","Saint-Hubert-de-Rivière-du-Loup",56,4,71,0,0,1,26,1,159,372
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 43","Cabano",58,1,58,2,1,3,28,3,154,373
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 44","Saint-Hubert-de-Rivière-du-Loup",72,3,70,1,0,3,39,2,190,443
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 45","Rivière-du-Loup",51,2,46,0,0,1,24,0,124,286
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 46","Rivière-du-Loup",58,1,40,0,0,1,21,0,121,426
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 47","Rivière-du-Loup",44,6,42,0,2,1,31,2,128,433
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 48","Rivière-du-Loup",69,3,42,0,0,1,24,4,143,416
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 49","Saint-Juste-du-Lac",48,6,53,0,2,1,21,4,135,362
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 50","Rivière-du-Loup",87,2,78,0,0,3,27,0,197,538
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 51","Rivière-du-Loup",58,1,82,0,0,1,30,1,173,402
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 52","Rivière-du-Loup",63,3,44,0,0,1,37,0,148,366
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 53","Rivière-du-Loup",94,5,61,1,0,0,30,5,196,313
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 54","Rivière-du-Loup",77,2,34,0,1,0,25,4,143,282
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 55","Rivière-du-Loup",86,4,53,2,1,1,45,2,194,349
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 56","Saint-Modeste",65,1,33,0,0,0,25,1,125,273
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 57","Saint-Modeste",72,2,59,0,1,3,26,3,166,336
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 58","Rivière-du-Loup",44,1,42,0,4,5,28,4,128,336
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 59","Saint-Modeste",52,3,34,2,1,2,25,3,122,345
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 60","Rivière-du-Loup",34,5,46,3,0,1,24,0,113,347
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 61","Rivière-du-Loup",27,3,39,1,2,3,27,0,102,343
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 62","Rivière-du-Loup",58,1,63,1,1,3,34,4,165,422
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 63","Rivière-du-Loup",46,3,40,0,2,2,29,1,123,339
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 64","Rivière-du-Loup",51,0,51,0,0,2,27,0,131,416
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 65","Rivière-du-Loup",60,2,49,1,2,2,37,0,153,445
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 66","Rivière-du-Loup",43,0,53,0,3,0,27,1,127,435
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 67","Rivière-du-Loup",42,5,35,0,4,3,25,1,115,395
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 68","Rivière-du-Loup",81,3,58,0,3,2,33,5,185,436
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 69","Rivière-du-Loup",44,6,37,0,2,1,21,1,112,370
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 70","Rivière-du-Loup",44,5,61,0,1,3,41,3,158,413
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 71","Rivière-du-Loup",42,1,52,2,2,2,50,4,155,424
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 72","Dégelis",73,6,39,0,1,1,31,0,151,406
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 73","Dégelis",47,0,54,1,4,1,44,1,152,356
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 74","Dégelis",93,4,62,0,0,5,40,8,212,500
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 75","Dégelis",92,3,62,0,0,1,63,3,224,453
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 76","Dégelis",48,5,51,1,2,0,34,1,142,313
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 77","Dégelis",82,3,71,0,0,0,35,0,191,484
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 78","Rivière-du-Loup",29,5,30,0,0,3,23,2,92,383
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 79","Rivière-du-Loup",31,3,25,0,1,3,23,2,88,347
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 80","Rivière-du-Loup",45,5,53,1,1,6,27,0,138,374
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 81","Rivière-du-Loup",40,0,36,0,0,3,32,2,113,337
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 82","Rivière-du-Loup",39,2,31,0,0,2,26,1,101,386
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 83","Rivière-du-Loup",32,1,55,0,0,1,26,4,119,413
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 84","Rivière-du-Loup",64,1,48,1,0,2,34,1,151,376
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 85","Rivière-du-Loup",36,3,49,0,1,0,23,1,113,391
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 86","Rivière-du-Loup",36,2,41,0,1,1,28,0,109,218
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 87","Rivière-du-Loup",44,2,62,1,0,0,24,6,139,432
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 88","Rivière-du-Loup",25,3,31,0,3,2,22,6,92,299
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 89","Rivière-du-Loup",106,3,44,0,1,1,27,3,185,357
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 90","Rivière-du-Loup",130,2,61,0,3,7,37,0,240,559
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 91","Rivière-du-Loup",81,4,75,0,1,7,52,4,224,395
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 92","Rivière-du-Loup",81,4,45,0,0,0,32,3,165,290
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 93","Saint-Antonin",62,1,48,2,2,4,44,4,167,318
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 94","Saint-Antonin",56,1,76,0,1,0,62,2,198,362
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 95","Saint-Louis-du-Ha! Ha!",35,1,48,0,3,4,65,0,156,418
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 96","Saint-Louis-du-Ha! Ha!",61,1,76,0,3,2,68,0,211,424
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 97","Saint-Antonin",73,3,51,0,0,2,43,3,175,460
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 98","Notre-Dame-du-Lac",57,3,83,2,1,0,33,0,179,355
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 99","Témiscouata-sur-le-Lac",37,2,116,0,0,1,62,1,219,362
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 100","Notre-Dame-du-Lac-Station",56,0,90,1,0,2,54,2,205,355
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 101","Notre-Dame-du-Portage",78,6,27,1,1,2,36,4,155,280
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 102","Saint-Honoré-de-Témiscouata",94,4,41,1,2,2,35,3,182,342
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 103","Notre-Dame-du-Lac",72,1,44,0,2,0,31,4,154,370
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 104","Notre-Dame-du-Portage",127,6,57,1,0,2,24,2,219,513
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 105","Notre-Dame-du-Portage",88,3,36,2,1,4,21,1,156,365
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 106","Saint-Honoré-de-Témiscouata",125,3,60,1,2,3,44,4,242,494
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 107","Saint-Antonin",81,2,32,0,2,3,32,2,154,366
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 108","Saint-Antonin",73,2,43,0,1,5,38,2,164,367
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 109","Saint-Antonin",59,5,29,0,0,1,40,0,134,263
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 110","Saint-Antonin",37,0,35,0,0,2,36,0,110,206
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 111","Saint-Antonin",74,2,20,1,3,6,54,3,163,291
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 112","Saint-Eusèbe",35,3,55,0,1,3,34,0,131,230
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 113","Saint-Eusèbe",45,2,53,0,4,3,40,4,151,271
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 114","Packington",54,1,38,0,0,1,32,4,130,359
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 115","Saint-Alexandre-de-Kamouraska",83,6,34,1,0,0,38,3,165,433
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 116","Saint-Alexandre-de-Kamouraska",123,1,51,0,1,2,25,3,206,464
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 117","Saint-Alexandre-de-Kamouraska",96,3,55,0,4,1,34,3,196,388
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 118","Saint-Elzéar",48,10,47,1,0,2,44,3,155,259
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 119","Packington",37,2,27,2,0,0,26,3,97,201
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 120","Saint-Alexandre-de-Kamouraska",39,1,44,1,1,1,17,2,106,221
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 121","Saint-André-de-Kamouraska",49,2,38,0,0,2,30,1,122,358
24020,"Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata/Côte-du-Sud-Rivière-du-Loup-Kataskomiq-Témiscouata"," 122","Saint-André-de-Kamouraska",44,3,38,0,0,3,32,5,125,303
