Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Armand Cormier,Wayne Long,David MacFarquhar,Austin Venedam,Melissa Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 105","Saint John",5,77,6,1,54,3,146,509
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 106","Saint John",15,58,3,1,72,8,157,496
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 107","Saint John",12,57,8,3,106,3,189,484
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 108","Simonds",8,50,1,1,92,1,153,508
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 109","Saint John",4,50,0,0,76,0,130,332
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 110","Saint John",7,32,3,0,65,0,107,356
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 111","Saint John",2,44,0,0,57,0,103,327
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 112","Saint John",6,13,3,1,31,0,54,428
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 113","Saint John",5,56,10,1,51,0,123,445
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 114","Saint John",6,110,2,1,64,2,185,598
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 115","Saint John",6,80,1,0,71,1,159,568
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 116","Saint John",4,74,4,0,56,0,138,561
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 117","Saint John",12,85,3,0,67,0,167,577
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 118A","Saint John",5,57,6,0,32,0,100,297
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 118B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,125
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 119","Saint John",5,96,13,0,82,0,196,555
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 120","Saint John",2,81,10,0,69,0,162,482
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 121","Saint John",11,92,5,0,50,0,158,527
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 122","Saint John",14,135,7,1,48,1,206,613
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 123","Saint John",6,78,5,1,37,0,127,448
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 124","Saint John",2,52,7,0,18,0,79,304
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 125","Saint John",4,86,8,0,34,0,132,419
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 126","Saint John",5,69,2,1,28,4,109,463
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 127A","Saint John",6,71,7,1,37,0,122,463
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 127B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,11
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 128","Saint John",3,59,4,0,25,0,91,423
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 129","Saint John",5,74,0,0,18,1,98,354
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 130","Saint John",5,80,3,1,35,1,125,450
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 131","Saint John",1,60,4,0,31,1,97,324
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 132","Saint John",4,45,2,1,47,2,101,387
13008,"Saint John--Kennebecasis/Saint John--Kennebecasis"," 133","Saint John",6,40,3,0,31,0,80,348
