Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Julie Bergeron,Madeleine Chenette,Marie-Noëlle Closson-Duquette,Michel Lacroix,Chantal Lavoie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 74","Blainville",33,103,71,3,0,3,213,370
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 75","Blainville",37,86,61,2,3,2,191,497
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 76","Blainville",48,66,66,8,3,0,191,505
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 77","Blainville",30,87,79,6,3,1,206,558
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 78","Blainville",48,81,51,2,1,2,185,429
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 79","Blainville",49,97,49,5,1,1,202,473
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 80","Blainville",81,76,70,9,2,2,240,532
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 81","Blainville",32,65,52,8,1,0,158,369
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 82","Blainville",37,68,45,13,0,3,166,414
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 83","Blainville",28,58,70,9,0,1,166,364
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 84","Blainville",51,74,50,9,4,2,190,463
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 85","Blainville",42,103,84,12,3,1,245,585
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 86","Blainville",32,53,45,5,1,0,136,363
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 87","Blainville",40,51,76,5,2,2,176,441
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 88","Blainville",41,54,46,5,2,6,154,343
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 89","Blainville",31,80,89,4,1,5,210,374
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 90","Blainville",46,97,98,9,2,6,258,569
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 91","Blainville",44,76,67,3,0,3,193,492
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 92","Blainville",27,96,71,12,0,2,208,522
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 93","Blainville",30,56,53,6,1,1,147,404
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 94","Blainville",28,61,42,6,1,4,142,351
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 95","Blainville",72,122,49,4,2,1,250,517
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 96","Blainville",41,103,37,2,0,2,185,382
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 97","Blainville",58,97,54,3,0,2,214,446
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 98","Blainville",40,106,38,2,2,0,188,370
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 99","Blainville",41,68,67,3,0,2,181,384
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 100","Blainville",40,63,65,3,0,0,171,423
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 101","Blainville",43,53,77,9,1,4,187,465
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 102","Blainville",45,57,84,10,10,3,209,410
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 103","Blainville",80,110,93,2,0,0,285,492
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 104","Blainville",47,88,84,2,2,0,223,416
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 105","Blainville",61,104,98,13,4,3,283,511
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 106A","Blainville",23,65,55,3,1,1,148,357
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 106B","Mobile poll/Bureau itinérant",4,18,20,1,3,3,49,76
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 107","Blainville",44,91,72,6,2,7,222,375
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 108","Blainville",57,83,65,7,1,4,217,456
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 109","Blainville",42,77,61,5,1,2,188,412
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 110","Blainville",59,68,94,9,1,3,234,561
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 111","Blainville",39,75,59,6,1,3,183,541
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 112","Blainville",32,66,51,3,0,1,153,422
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 113","Blainville",36,51,53,0,4,2,146,458
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 114","Blainville",16,50,42,2,1,4,115,520
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 115","Blainville",30,60,63,7,0,4,164,440
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 116","Blainville",29,71,53,6,2,1,162,403
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 117","Blainville",40,61,63,2,0,1,167,316
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 118","Blainville",51,138,63,2,2,3,259,498
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 119","Blainville",60,127,52,7,0,1,247,496
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 120","Blainville",46,137,79,4,1,2,269,526
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 121","Sainte-Thérèse",63,107,62,3,1,6,242,410
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 122","Blainville",48,115,67,4,1,2,237,434
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 123","Sainte-Thérèse",26,77,45,3,0,2,153,326
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 124","Sainte-Thérèse",40,76,92,3,1,2,214,364
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 125","Sainte-Thérèse",35,106,64,1,0,3,209,370
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 126","Sainte-Thérèse",24,54,48,14,2,8,150,386
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 127","Sainte-Thérèse",42,60,63,4,2,3,174,444
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 128","Sainte-Thérèse",35,36,52,4,1,6,134,354
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 129","Blainville",31,66,59,3,2,4,165,427
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 130","Blainville",49,58,53,8,3,5,176,425
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 131","Blainville",34,49,51,3,2,1,140,373
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 132","Blainville",56,72,69,11,3,5,216,535
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 133","Blainville",69,100,71,1,2,2,245,576
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 134A","Blainville",41,65,81,6,4,5,202,446
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 134B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,17
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 135","Blainville",48,78,85,13,2,0,226,531
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 136","Blainville",48,77,88,11,3,3,230,481
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 137","Blainville",66,106,107,7,2,6,294,570
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 138","Blainville",59,84,96,9,0,8,256,466
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 139","Blainville",57,106,65,4,0,6,238,445
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 140","Blainville",66,113,40,3,0,3,225,450
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 141","Blainville",44,85,72,8,1,4,214,430
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 142","Blainville",45,98,78,12,1,5,239,475
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 143","Blainville",21,73,65,3,1,1,164,411
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 144","Blainville",38,92,94,5,0,2,231,445
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 145A","Blainville",57,150,81,9,0,0,297,518
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 145B","Blainville",Combined with No./Résultats combinés à ceux du n°404,,,,,,,120
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 146","Blainville",37,100,88,8,1,1,235,417
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 147","Blainville",32,59,31,2,0,0,124,262
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 148","Blainville",47,145,114,11,2,2,321,572
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 149","Blainville",71,109,109,4,1,9,303,514
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 150","Sainte-Thérèse",24,66,51,1,1,0,143,468
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 151","Blainville",50,77,94,10,2,5,238,436
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 152","Sainte-Thérèse",14,94,58,2,1,2,171,450
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 153","Sainte-Thérèse",47,78,84,13,3,2,227,416
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 154","Sainte-Thérèse",43,56,80,6,4,4,193,418
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 155","Sainte-Thérèse",53,40,57,6,2,4,162,405
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 156","Sainte-Thérèse",24,116,93,7,0,1,241,430
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 157","Sainte-Thérèse",24,119,84,6,1,3,237,412
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 158","Blainville",39,41,65,7,1,2,155,371
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 159","Sainte-Thérèse",22,107,110,2,2,2,245,384
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 160","Sainte-Thérèse",34,123,109,7,0,0,273,426
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 161","Sainte-Thérèse",51,49,60,8,3,1,172,340
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 162","Sainte-Thérèse",50,100,68,4,1,2,225,421
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 163","Sainte-Thérèse",34,100,45,5,1,2,187,381
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 164","Sainte-Thérèse",51,68,86,10,4,4,223,551
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 165","Sainte-Thérèse",46,71,91,5,2,9,224,512
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 166","Sainte-Thérèse",41,95,127,4,1,0,268,439
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 167","Sainte-Thérèse",23,48,33,1,0,6,111,395
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 168","Sainte-Thérèse",53,96,69,8,0,4,230,537
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 169","Sainte-Thérèse",52,63,64,18,4,8,209,466
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 170","Sainte-Thérèse",32,31,63,8,1,2,137,430
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 171","Sainte-Thérèse",33,104,82,5,0,4,228,450
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 172","Sainte-Thérèse",31,83,82,8,3,3,210,432
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 173","Sainte-Thérèse",26,44,36,10,0,0,116,369
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 174","Sainte-Thérèse",31,59,46,4,2,3,145,343
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 175A","Sainte-Thérèse",17,149,84,3,0,5,258,355
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 175B","Sainte-Thérèse",11,68,31,0,1,7,118,171
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 176","Sainte-Thérèse",33,42,75,8,1,5,164,435
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 177","Sainte-Thérèse",42,67,57,9,1,8,184,481
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 178","Sainte-Thérèse",35,46,55,8,2,4,150,460
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 179","Sainte-Thérèse",29,36,52,13,0,3,133,350
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 180","Sainte-Thérèse",51,53,91,10,1,3,209,525
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 181","Sainte-Thérèse",32,53,75,14,1,4,179,480
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 182","Sainte-Thérèse",35,45,64,8,2,2,156,406
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 183","Sainte-Thérèse",33,55,76,1,3,0,168,507
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 184","Sainte-Thérèse",21,44,80,11,0,1,157,484
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 185","Sainte-Thérèse",46,71,73,7,2,5,204,563
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 186","Sainte-Thérèse",39,51,47,4,0,5,146,447
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 187","Sainte-Thérèse",51,59,61,12,3,4,190,518
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 188","Sainte-Thérèse",31,60,103,6,6,2,208,538
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 189","Sainte-Thérèse",34,60,81,8,4,3,190,555
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 190","Sainte-Thérèse",46,50,62,2,3,8,171,540
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 191","Sainte-Thérèse",47,67,75,10,0,8,207,528
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 192","Sainte-Thérèse",54,75,75,7,1,2,214,536
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 400","Lorraine",14,73,28,0,0,1,116,160
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 401","Blainville",18,135,57,2,3,8,223,249
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 402A","Blainville",13,117,61,0,2,5,198,269
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 402B","Blainville",5,73,31,0,0,2,111,138
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 403","Blainville",8,61,23,5,1,1,99,139
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 404","Blainville",9,155,88,5,1,6,264,209
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 405","Sainte-Thérèse",24,101,54,0,4,9,192,288
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 406","Sainte-Thérèse",13,93,47,1,4,17,175,254
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,30
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 501","Mobile poll/Bureau itinérant",4,19,10,1,3,3,40,69
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,12
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,12
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,14
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,16
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,,25
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 507","Mobile poll/Bureau itinérant",7,16,18,1,0,0,42,23
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 508","Mobile poll/Bureau itinérant",5,44,22,4,1,4,80,79
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,11
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,16
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 511","Mobile poll/Bureau itinérant",3,29,10,2,0,2,46,60
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°106B,,,,,,,57
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°106B,,,,,,,13
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°106B,,,,,,,13
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 515","Mobile poll/Bureau itinérant",7,15,9,2,1,1,35,60
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 516","Mobile poll/Bureau itinérant",9,59,47,2,2,11,130,51
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 517","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,,31
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,,49
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 519","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,,33
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 520","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°524,,,,,,,9
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 521","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,37
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 522","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°525,,,,,,,7
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 523","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°525,,,,,,,10
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 524","Mobile poll/Bureau itinérant",0,7,6,0,1,2,16,71
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 525","Mobile poll/Bureau itinérant",3,20,20,1,0,2,46,43
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 526","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°525,,,,,,,18
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 600","Terrebonne",172,439,362,18,5,5,1001,
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 601","Bois-des-Filion",179,485,406,30,5,18,1123,
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 602","Bois-des-Filion",208,753,446,32,9,27,1475,
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 603","Lorraine",215,1041,434,29,3,10,1732,
24074,"Thérèse-De Blainville/Thérèse-De Blainville"," 604","Blainville",187,765,269,9,1,12,1243,
