Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Scott Aitchison,Heather Hay,Isabel Pereira,Geordie Sabbagh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 165B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,51
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 165C","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,52
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 166","Bracebridge",90,3,7,73,1,174,443
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 167A","Bracebridge",79,6,4,47,0,136,358
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 167B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,166
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 168","Bracebridge",115,22,6,71,0,214,516
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 169","Bracebridge",96,21,3,90,1,211,514
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 170","Bracebridge",59,8,1,40,0,108,389
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 171","Bracebridge",72,6,4,59,3,144,452
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 172","Bracebridge",67,7,1,88,1,164,448
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 173","Bracebridge",51,10,7,70,0,138,456
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 174","Bracebridge",67,6,0,62,0,135,439
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 175","Bracebridge",70,5,2,86,2,165,496
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 176","Bracebridge",63,7,4,75,0,149,458
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 177","Bracebridge",85,11,5,112,0,213,525
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 178","Bracebridge",73,4,3,71,1,152,469
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 179","Bracebridge",108,6,4,71,2,191,489
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 180","Bracebridge",82,7,1,60,0,150,386
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 181","Bracebridge",96,7,1,65,1,170,470
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 182","Bracebridge",147,10,3,54,0,214,496
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 183","Bracebridge",73,8,2,64,1,148,285
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 184","Bracebridge",89,12,2,79,0,182,322
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 185","Walkers Point",79,4,2,58,1,144,289
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 186","Gravenhurst",45,1,1,38,0,85,310
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 187A","Gravenhurst",69,0,1,50,0,120,347
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 187B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,57
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 188","Gravenhurst",87,1,1,59,0,148,430
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 189","Gravenhurst",117,6,4,71,2,200,511
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 190","Gravenhurst",105,9,4,60,1,179,450
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 191","Gravenhurst",93,8,4,60,2,167,513
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 192","Gravenhurst",83,2,1,61,0,147,411
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 193","Gravenhurst",56,7,2,75,1,141,443
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 194","Gravenhurst",79,16,2,69,0,166,513
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 195","Gravenhurst",78,18,1,53,1,151,458
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 196","Gravenhurst",72,12,2,65,1,152,420
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 197","Gravenhurst",66,8,2,66,1,143,406
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 198","Gravenhurst",47,8,2,47,0,104,441
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 199","Gravenhurst",93,10,2,48,0,153,526
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 200","Gravenhurst",81,8,1,94,0,184,480
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 201","Gravenhurst",67,6,1,58,0,132,417
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 202","Gravenhurst",76,9,3,60,2,150,358
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 203","Muskoka Lakes",33,0,0,30,0,63,207
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 204","Gravenhurst",92,2,7,42,0,143,362
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 205","Gravenhurst",58,9,2,57,1,127,402
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 206","Gravenhurst",137,7,6,52,1,203,442
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 207","Gravenhurst",86,13,2,78,2,181,318
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 208","Gravenhurst",104,9,2,41,0,156,291
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 209","Gravenhurst",163,10,9,72,1,255,450
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 210","Gravenhurst",105,13,5,62,0,185,417
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 211","Gravenhurst",176,13,3,81,1,274,448
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 212","Dokis 9",9,22,4,105,0,140,241
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 213","French River 13",6,6,0,18,0,30,123
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 214","Magnetewan 1",6,5,0,13,0,24,51
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 215","Shawanaga 17",10,7,7,54,0,78,141
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 216","Parry Island First Nation",21,22,3,77,1,124,273
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 217","Moose Point 79",34,7,4,38,0,83,136
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 218","Wahta Mohawk Territory",18,3,2,32,0,55,114
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 500","Mobile poll/Bureau itinérant",21,8,0,26,0,55,54
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 501A","Mobile poll/Bureau itinérant",41,3,2,28,1,75,78
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 501B","Huntsville",Combined with No./Résultats combinés à ceux du n°111,,,,,,0
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 502","Mobile poll/Bureau itinérant",33,6,1,57,3,100,88
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501A,,,,,,55
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,41
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,29
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508B,,,,,,101
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 507","Mobile poll/Bureau itinérant",23,9,6,26,2,66,111
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 508A","Parry Sound",Combined with No./Résultats combinés à ceux du n°32,,,,,,2
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 508B","Mobile poll/Bureau itinérant",39,10,2,44,8,103,103
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,27
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 510","Mobile poll/Bureau itinérant",30,0,4,65,3,102,109
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 511","Mobile poll/Bureau itinérant",30,8,2,36,12,88,151
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 512","Mobile poll/Bureau itinérant",40,7,3,37,1,88,69
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,45
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,43
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 515","Mobile poll/Bureau itinérant",28,7,5,28,1,69,177
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 516","Mobile poll/Bureau itinérant",18,3,1,38,6,66,63
35084,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 600","Dokis 9",Combined with No./Résultats combinés à ceux du n°607,,,,,,
