Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Aaron Gunn,Tanille Johnston,Jennifer Lash,Paul Macknight,Glen Staples,Jessica Wegg,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59021,"North Island--Powell River/North Island--Powell River"," 641","Homalco 9",Combined with No./Résultats combinés à ceux du n°640,,,,,,,,
59021,"North Island--Powell River/North Island--Powell River"," 642","Campbell River--Oyster River",575,254,315,3,3,8,1,1159,
59021,"North Island--Powell River/North Island--Powell River"," 643","Nenagwas 12",Combined with No./Résultats combinés à ceux du n°642,,,,,,,,
59021,"North Island--Powell River/North Island--Powell River"," 644","Black Creek",384,231,201,1,2,17,2,838,
59021,"North Island--Powell River/North Island--Powell River"," 645","Merville",483,328,236,1,1,19,0,1068,
59021,"North Island--Powell River/North Island--Powell River"," 646","Courtenay",345,277,166,1,2,19,0,810,
59021,"North Island--Powell River/North Island--Powell River"," 647","Pentledge 2",Combined with No./Résultats combinés à ceux du n°648,,,,,,,,
59021,"North Island--Powell River/North Island--Powell River"," 648","Courtenay",500,375,384,4,2,22,0,1287,
59021,"North Island--Powell River/North Island--Powell River"," 649","Courtenay",562,331,559,9,1,9,0,1471,
59021,"North Island--Powell River/North Island--Powell River"," 650","Comox 1",7,33,10,1,0,0,0,51,
59021,"North Island--Powell River/North Island--Powell River"," 651","Comox",385,396,526,3,6,10,0,1326,
59021,"North Island--Powell River/North Island--Powell River"," 652","Comox",522,576,647,5,5,24,3,1782,
59021,"North Island--Powell River/North Island--Powell River"," 653","Comox",402,415,578,5,5,16,1,1422,
59021,"North Island--Powell River/North Island--Powell River"," 654","Comox",557,380,659,11,4,14,5,1630,
59021,"North Island--Powell River/North Island--Powell River"," 655","Courtenay--Little River",488,360,295,4,0,9,3,1159,
59021,"North Island--Powell River/North Island--Powell River"," 656","Sliammon 1",Combined with No./Résultats combinés à ceux du n°657,,,,,,,,
59021,"North Island--Powell River/North Island--Powell River"," 657","Lang Bay",58,87,61,0,1,4,0,211,
59021,"North Island--Powell River/North Island--Powell River"," 658","Powell River",331,400,192,4,2,14,0,943,
59021,"North Island--Powell River/North Island--Powell River"," 659","Powell River",449,365,320,1,1,18,3,1157,
59021,"North Island--Powell River/North Island--Powell River"," 660","Powell River",472,357,355,3,1,13,1,1202,
59021,"North Island--Powell River/North Island--Powell River"," 661","Texada Island",58,52,34,0,0,5,0,149,
59021,"North Island--Powell River/North Island--Powell River"," 662","Sechelt (Part)",Combined with No./Résultats combinés à ceux du n°661,,,,,,,,
59021,"North Island--Powell River/North Island--Powell River",,Group 1/Groupe 1, 805,519,577,12,2,45,74,2034,357
59021,"North Island--Powell River/North Island--Powell River",,Group 2/Groupe 2, 3185,2535,2852,25,13,153,69,8832,
