Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Michael Barrett,Lorna Jean Edmonds,Paul Lancione,Randi Ramdeen,Hailey Simpson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 18","North Grenville",63,58,4,0,1,1,127,397
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 19","North Grenville",104,52,7,4,4,1,172,420
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 20","North Grenville",24,43,1,1,1,0,70,467
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 21","North Grenville",57,88,1,2,1,3,152,690
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 22A","North Grenville",43,53,6,3,1,0,106,408
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 22B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,65
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 23","North Grenville",41,41,0,1,0,1,84,399
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 24","North Grenville",75,80,5,2,1,0,163,461
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 25","North Grenville",95,85,3,3,4,1,191,507
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 26","North Grenville",65,46,7,1,1,0,120,315
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 27","North Grenville",100,53,3,4,1,0,161,437
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 28","North Grenville",80,77,2,2,1,0,162,481
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 29","North Grenville",67,68,9,3,1,0,148,441
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 30","North Grenville",68,43,3,1,1,0,116,311
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 31","North Grenville",83,93,10,2,1,0,189,462
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 32","North Grenville",128,123,7,0,0,0,258,467
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 33","North Grenville",69,72,4,1,2,0,148,382
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 34","Edwardsburgh/Cardinal",116,34,9,0,3,1,163,443
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 35","Edwardsburgh/Cardinal",90,63,2,1,2,0,158,399
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 36","Edwardsburgh/Cardinal",101,23,4,0,5,0,133,377
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 37","Edwardsburgh/Cardinal",115,45,5,1,5,0,171,480
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 38","Edwardsburgh/Cardinal",115,36,4,2,2,1,160,398
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 39","Edwardsburgh/Cardinal",81,43,4,2,4,0,134,404
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 40","Edwardsburgh/Cardinal",80,47,7,1,1,0,136,340
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 41","North Grenville",81,43,5,0,2,0,131,351
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 42","North Grenville",116,58,8,0,4,0,186,364
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 43","North Grenville",111,84,8,5,6,9,223,418
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 44","Edwardsburgh/Cardinal",123,49,9,3,5,0,189,455
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 45","Edwardsburgh/Cardinal",216,86,6,5,1,0,314,458
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 46","Edwardsburgh/Cardinal",109,36,5,1,5,0,156,374
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 47","Edwardsburgh/Cardinal",99,36,22,1,1,0,159,467
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 48","Edwardsburgh/Cardinal",111,52,8,1,2,0,174,458
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 49","Edwardsburgh/Cardinal",Combined with No./Résultats combinés à ceux du n°45,,,,,,,377
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 50","Merrickville-Wolford",42,59,3,3,2,0,109,370
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 51","Merrickville-Wolford",32,67,4,5,0,0,108,346
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 52","Merrickville-Wolford",50,88,4,4,0,0,146,453
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 53","Merrickville-Wolford",110,77,2,1,0,0,190,395
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 54","Merrickville-Wolford",102,56,7,0,5,2,172,406
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 55","Merrickville-Wolford",110,51,3,5,2,0,171,344
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 56","Merrickville-Wolford",69,49,6,2,4,0,130,452
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 57","Augusta",154,67,12,6,6,0,245,371
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 58","Augusta",118,33,3,2,1,0,157,266
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 59","Augusta",126,34,13,6,3,1,183,383
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 60","Edwardsburgh/Cardinal",168,103,7,1,1,0,280,482
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 61","Edwardsburgh/Cardinal",78,52,6,0,2,1,139,386
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 62","Edwardsburgh/Cardinal",127,67,6,0,3,0,203,409
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 63","Rideau Lakes",126,62,6,0,0,0,194,508
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 64","Rideau Lakes",74,58,6,1,2,0,141,365
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 65","Rideau Lakes",109,48,3,0,2,0,162,433
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 66","Rideau Lakes",79,58,6,1,1,1,146,362
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 67","Rideau Lakes",126,72,3,0,6,0,207,505
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 68","Rideau Lakes",111,54,10,4,1,4,184,468
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 69","Rideau Lakes",120,93,8,3,1,0,225,366
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 70","Rideau Lakes",87,59,3,0,1,1,151,319
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 71","Rideau Lakes",113,68,1,2,0,2,186,378
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 72","Augusta",142,44,8,0,4,1,199,326
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 73","Augusta",116,45,6,6,3,1,177,332
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 74","Augusta",168,62,17,3,4,0,254,389
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 75","Prescott",106,58,8,4,1,1,178,526
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 76","Prescott",137,68,13,4,2,2,226,568
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 77","Prescott",71,55,9,0,1,0,136,417
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 78","Prescott",53,44,9,3,2,1,112,367
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 79","Prescott",68,30,5,4,2,0,109,343
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 80","Augusta",123,41,3,1,4,3,175,353
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 81","Augusta",85,34,4,2,0,0,125,372
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 82","Augusta",125,91,6,1,3,1,227,465
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 83","Prescott",55,52,14,4,3,0,128,375
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 84","Prescott",99,69,11,7,1,0,187,518
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 85","Prescott",66,63,10,2,2,0,143,423
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 86","Augusta",154,70,4,2,2,0,232,452
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 87","Augusta",100,41,4,1,4,0,150,267
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 88","Augusta",85,72,3,6,0,2,168,428
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 89","Elizabethtown-Kitley",125,65,4,2,0,5,201,468
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 90","Elizabethtown-Kitley",143,74,7,5,3,0,232,424
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 91","Elizabethtown-Kitley",144,31,5,2,0,1,183,468
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 92","Elizabethtown-Kitley",115,57,7,2,2,0,183,468
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 93","Augusta",94,60,9,6,1,0,170,362
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 94","Augusta",141,79,6,2,2,1,231,379
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 95","Augusta",93,82,5,4,4,0,188,448
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 96","Augusta",147,64,8,3,3,0,225,484
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 97","Augusta",111,94,3,3,0,0,211,409
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 98","Elizabethtown-Kitley",119,50,6,1,1,0,177,375
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 99","Elizabethtown-Kitley",119,44,4,3,1,0,171,390
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 100","Elizabethtown-Kitley",183,72,11,3,2,5,276,453
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 101","Elizabethtown-Kitley",154,101,7,0,4,5,271,448
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 102","Elizabethtown-Kitley",128,65,10,4,1,0,208,436
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 103","Rideau Lakes",114,58,7,5,4,0,188,527
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 104","Rideau Lakes",105,100,3,2,3,0,213,524
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 105","Elizabethtown-Kitley",83,36,3,6,1,2,131,402
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 106","Elizabethtown-Kitley",Combined with No./Résultats combinés à ceux du n°109,,,,,,,332
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 107","Elizabethtown-Kitley",116,51,20,1,3,0,191,403
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 108","Brockville",88,59,5,3,1,0,156,413
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 109","Brockville",175,129,10,6,5,1,326,428
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 110","Brockville",110,79,19,3,3,0,214,606
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 111","Brockville",163,179,14,7,3,1,367,457
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 112","Brockville",Combined with No./Résultats combinés à ceux du n°113,,,,,,,468
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 113","Brockville",162,219,9,1,6,2,399,525
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 114","Elizabethtown-Kitley",84,57,9,1,1,0,152,422
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 115","Brockville",83,107,7,3,0,2,202,442
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 116","Brockville",85,67,10,2,0,1,165,622
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 117","Brockville",68,47,11,2,2,1,131,553
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 118","Brockville",65,44,13,3,4,0,129,372
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 119","Brockville",49,69,7,2,5,2,134,349
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 120","Brockville",84,58,16,0,4,2,164,506
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 121","Brockville",83,54,6,4,2,2,151,465
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 122","Athens",120,53,8,1,1,2,185,406
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 123","Athens",116,54,7,1,0,1,179,408
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 124","Athens",82,48,11,4,2,0,147,413
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 125","Brockville",Combined with No./Résultats combinés à ceux du n°111,,,,,,,425
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 126","Brockville",114,108,9,3,1,0,235,480
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 127","Brockville",91,45,15,0,2,0,153,454
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 128","Brockville",72,68,3,5,1,2,151,493
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 129","Brockville",91,78,5,3,0,1,178,501
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 130","Brockville",93,82,15,3,2,2,197,541
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 131","Brockville",90,69,15,3,2,3,182,513
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 132","Brockville",85,85,8,0,1,2,181,477
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 133","Brockville",60,80,14,2,2,0,158,443
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 134","Brockville",63,91,9,1,1,1,166,513
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 135A","Brockville",56,71,10,2,3,0,142,431
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 135B","Mobile poll/Bureau itinérant",46,57,5,3,2,0,113,107
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 135C","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°135B,,,,,,,105
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 136A","Brockville",41,50,4,1,1,3,100,308
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 136B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°139B,,,,,,,50
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 137","Brockville",28,41,1,1,3,0,74,316
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 138","Brockville",39,59,5,0,2,1,106,405
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 139A","Brockville",62,59,12,2,3,2,140,381
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 139B","Mobile poll/Bureau itinérant",26,39,2,2,2,2,73,91
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 140","Brockville",100,67,6,2,3,2,180,568
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 141","Brockville",54,91,3,1,0,0,149,400
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 142","Brockville",48,82,6,1,2,0,139,452
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 143","Brockville",61,47,8,4,1,0,121,467
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 144","Brockville",91,65,12,1,1,3,173,539
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 145","Brockville",72,76,11,2,2,0,163,479
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 146","Brockville",49,60,7,1,3,0,120,420
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 147","Brockville",41,66,8,3,0,0,118,435
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 148","Brockville",78,102,8,2,1,0,191,639
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 149","Brockville",60,92,7,2,1,0,162,496
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 150","Rideau Lakes",92,70,5,1,3,0,171,465
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 151","Rideau Lakes",84,54,4,4,6,2,154,447
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 152","Rideau Lakes",110,92,9,4,3,2,220,465
35052,"Leeds--Grenville--Thousand Islands--Rideau Lakes/Leeds--Grenville--Thousand Islands--Rideau Lakes"," 153","Elizabethtown-Kitley",135,55,8,5,1,1,205,425
