Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Michael Bator,Michael Beauchemin,Emily Brown,Karina Gould,Paul Harper,Kyle Hutton,Ocean Marshall,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35017,"Burlington/Burlington"," 24","Burlington",0,11,136,102,0,2,0,0,251,566
35017,"Burlington/Burlington"," 25","Burlington",1,4,89,93,0,1,0,0,188,454
35017,"Burlington/Burlington"," 26","Burlington",2,5,111,148,0,2,1,1,270,590
35017,"Burlington/Burlington"," 27","Burlington",0,7,108,109,0,1,0,1,226,480
35017,"Burlington/Burlington"," 28","Burlington",0,6,80,128,0,2,1,1,218,448
35017,"Burlington/Burlington"," 29","Burlington",0,4,68,126,0,2,0,0,200,555
35017,"Burlington/Burlington"," 30","Burlington",0,7,128,100,0,3,2,1,241,557
35017,"Burlington/Burlington"," 31","Burlington",1,5,68,82,0,2,1,2,161,427
35017,"Burlington/Burlington"," 32","Burlington",1,6,99,79,1,3,0,2,191,476
35017,"Burlington/Burlington"," 33","Burlington",0,2,92,101,0,0,0,0,195,514
35017,"Burlington/Burlington"," 34","Burlington",1,7,68,57,0,1,0,1,135,367
35017,"Burlington/Burlington"," 35","Burlington",2,5,50,82,0,0,0,2,141,455
35017,"Burlington/Burlington"," 36","Burlington",2,9,91,103,0,1,0,0,206,520
35017,"Burlington/Burlington"," 37","Burlington",1,1,72,71,0,4,0,0,149,425
35017,"Burlington/Burlington"," 38","Burlington",1,2,45,64,0,2,0,0,114,368
35017,"Burlington/Burlington"," 39","Burlington",3,5,84,74,0,2,0,0,168,469
35017,"Burlington/Burlington"," 40","Burlington",0,1,65,73,0,2,0,1,142,419
35017,"Burlington/Burlington"," 41","Burlington",0,2,93,70,0,2,0,0,167,429
35017,"Burlington/Burlington"," 42","Burlington",0,2,48,64,0,2,0,0,116,376
35017,"Burlington/Burlington"," 43","Burlington",1,1,52,49,0,3,0,0,106,361
35017,"Burlington/Burlington"," 44","Burlington",0,2,83,76,0,2,0,1,164,400
35017,"Burlington/Burlington"," 45","Burlington",1,2,75,78,0,2,0,0,158,459
35017,"Burlington/Burlington"," 46","Burlington",3,5,75,85,1,3,0,0,172,454
35017,"Burlington/Burlington"," 47","Burlington",2,4,96,82,0,4,0,1,189,487
35017,"Burlington/Burlington"," 48","Burlington",1,2,83,85,0,1,0,0,172,443
35017,"Burlington/Burlington"," 49","Burlington",6,2,92,54,0,2,0,1,157,437
35017,"Burlington/Burlington"," 50","Burlington",1,3,59,52,1,0,0,1,117,361
35017,"Burlington/Burlington"," 51","Burlington",1,0,53,88,0,0,0,1,143,387
35017,"Burlington/Burlington"," 52","Burlington",3,1,56,76,1,1,0,0,138,440
35017,"Burlington/Burlington"," 53","Burlington",1,5,83,83,0,2,0,1,175,431
35017,"Burlington/Burlington"," 54","Burlington",3,4,121,107,0,0,0,0,235,574
35017,"Burlington/Burlington"," 55","Burlington",1,4,94,86,0,3,2,0,190,484
35017,"Burlington/Burlington"," 56","Burlington",1,1,88,85,0,7,0,1,183,464
35017,"Burlington/Burlington"," 57","Burlington",0,6,64,109,0,2,1,0,182,479
35017,"Burlington/Burlington"," 58","Burlington",2,6,72,67,0,1,1,0,149,395
35017,"Burlington/Burlington"," 59","Burlington",0,3,69,86,0,1,0,2,161,389
35017,"Burlington/Burlington"," 60","Burlington",2,3,97,83,0,3,0,0,188,433
35017,"Burlington/Burlington"," 61","Burlington",1,1,96,107,0,2,0,0,207,435
35017,"Burlington/Burlington"," 62","Burlington",3,3,57,76,0,2,0,0,141,351
35017,"Burlington/Burlington"," 63","Burlington",1,5,105,92,0,2,0,1,206,415
35017,"Burlington/Burlington"," 64","Burlington",3,5,94,80,1,0,0,1,184,397
35017,"Burlington/Burlington"," 65","Burlington",3,6,90,106,0,0,0,0,205,477
35017,"Burlington/Burlington"," 66","Burlington",1,6,79,83,0,1,1,1,172,380
35017,"Burlington/Burlington"," 67","Burlington",0,5,126,104,0,6,0,0,241,457
35017,"Burlington/Burlington"," 68","Burlington",0,7,56,58,0,3,1,0,125,365
35017,"Burlington/Burlington"," 69","Burlington",0,8,93,79,0,3,0,0,183,460
35017,"Burlington/Burlington"," 70","Burlington",0,1,52,68,0,0,0,0,121,387
35017,"Burlington/Burlington"," 71","Burlington",1,2,41,49,0,0,0,1,94,337
35017,"Burlington/Burlington"," 72","Burlington",4,10,93,80,0,2,1,2,192,585
35017,"Burlington/Burlington"," 73","Burlington",2,2,100,115,0,3,0,0,222,493
35017,"Burlington/Burlington"," 74","Burlington",0,3,61,68,0,0,0,2,134,350
35017,"Burlington/Burlington"," 75","Burlington",2,2,62,86,0,3,1,0,156,442
35017,"Burlington/Burlington"," 76","Burlington",0,3,51,45,0,1,0,0,100,346
35017,"Burlington/Burlington"," 77","Burlington",0,0,69,93,0,0,0,0,162,426
35017,"Burlington/Burlington"," 78","Burlington",1,2,88,80,0,1,0,0,172,469
35017,"Burlington/Burlington"," 79","Burlington",1,6,74,64,0,1,0,3,149,372
35017,"Burlington/Burlington"," 80","Burlington",2,7,75,61,0,3,0,1,149,462
35017,"Burlington/Burlington"," 81","Burlington",2,0,66,68,1,1,0,3,141,346
35017,"Burlington/Burlington"," 82","Burlington",2,5,80,109,0,2,0,1,199,507
35017,"Burlington/Burlington"," 83","Burlington",2,4,93,78,0,1,0,1,179,495
35017,"Burlington/Burlington"," 84","Burlington",1,7,69,76,0,2,1,1,157,394
35017,"Burlington/Burlington"," 85","Burlington",1,4,73,87,1,0,0,0,166,441
35017,"Burlington/Burlington"," 86","Burlington",2,3,77,74,0,1,0,0,157,442
35017,"Burlington/Burlington"," 87","Burlington",1,4,86,101,1,1,0,1,195,571
35017,"Burlington/Burlington"," 88","Burlington",1,5,83,54,0,2,0,1,146,356
35017,"Burlington/Burlington"," 89","Burlington",0,3,88,58,0,0,1,2,152,372
35017,"Burlington/Burlington"," 90","Burlington",2,4,85,83,0,1,0,0,175,402
35017,"Burlington/Burlington"," 91","Burlington",2,4,84,122,0,2,2,0,216,427
35017,"Burlington/Burlington"," 92","Burlington",3,3,78,91,0,1,0,1,177,364
35017,"Burlington/Burlington"," 93","Burlington",0,3,71,80,0,0,0,0,154,380
35017,"Burlington/Burlington"," 94","Burlington",1,6,80,77,1,2,0,2,169,495
35017,"Burlington/Burlington"," 95","Burlington",4,6,113,98,1,4,0,0,226,635
35017,"Burlington/Burlington"," 96","Burlington",0,1,59,96,1,1,0,0,158,369
35017,"Burlington/Burlington"," 97","Burlington",3,9,64,89,1,4,0,2,172,506
35017,"Burlington/Burlington"," 98","Burlington",4,11,73,116,0,3,0,0,207,496
35017,"Burlington/Burlington"," 99","Burlington",2,0,72,133,0,4,0,0,211,495
35017,"Burlington/Burlington"," 100","Burlington",1,5,66,87,0,1,0,0,160,396
35017,"Burlington/Burlington"," 101","Burlington",2,1,52,64,0,0,0,0,119,341
35017,"Burlington/Burlington"," 102","Burlington",0,5,63,67,0,1,0,2,138,349
35017,"Burlington/Burlington"," 103","Burlington",0,5,101,86,0,0,0,2,194,468
35017,"Burlington/Burlington"," 104","Burlington",0,1,79,66,0,1,0,0,147,380
35017,"Burlington/Burlington"," 105","Burlington",1,3,39,67,0,0,0,0,110,356
35017,"Burlington/Burlington"," 106","Burlington",2,1,76,76,0,2,0,1,158,386
35017,"Burlington/Burlington"," 107","Burlington",0,3,61,60,3,1,0,0,128,345
35017,"Burlington/Burlington"," 108","Burlington",1,1,90,80,0,2,0,0,174,421
35017,"Burlington/Burlington"," 109","Burlington",0,3,95,110,0,2,0,1,211,445
35017,"Burlington/Burlington"," 110","Burlington",2,5,86,102,0,1,1,1,198,572
35017,"Burlington/Burlington"," 111","Burlington",0,1,102,121,1,0,1,1,227,471
35017,"Burlington/Burlington"," 112","Burlington",0,8,42,43,0,1,0,0,94,403
35017,"Burlington/Burlington"," 113","Burlington",0,2,117,100,0,0,0,0,219,471
35017,"Burlington/Burlington"," 114","Burlington",0,0,91,89,0,0,0,1,181,423
35017,"Burlington/Burlington"," 115","Burlington",2,9,81,53,0,1,0,1,147,481
35017,"Burlington/Burlington"," 116","Burlington",1,7,84,47,0,2,0,3,144,411
35017,"Burlington/Burlington"," 117","Burlington",1,4,83,78,0,2,1,0,169,450
35017,"Burlington/Burlington"," 118","Burlington",1,5,69,67,1,3,0,0,146,426
35017,"Burlington/Burlington"," 119","Burlington",0,5,66,79,0,0,0,0,150,372
35017,"Burlington/Burlington"," 120","Burlington",0,2,44,50,0,0,0,0,96,396
35017,"Burlington/Burlington"," 121","Burlington",1,12,89,106,0,0,0,0,208,591
35017,"Burlington/Burlington"," 122","Burlington",2,5,98,62,0,1,0,1,169,463
35017,"Burlington/Burlington"," 123","Burlington",1,6,91,80,0,1,0,0,179,391
35017,"Burlington/Burlington"," 124","Burlington",4,11,123,90,1,3,1,2,235,613
35017,"Burlington/Burlington"," 125","Burlington",1,1,67,68,0,2,0,1,140,367
35017,"Burlington/Burlington"," 126","Burlington",0,4,52,80,0,3,0,0,139,345
35017,"Burlington/Burlington"," 127","Burlington",1,4,82,58,1,2,0,0,148,409
35017,"Burlington/Burlington"," 128","Burlington",0,2,49,58,0,1,1,2,113,408
35017,"Burlington/Burlington"," 129","Burlington",4,9,82,91,0,3,2,0,191,470
35017,"Burlington/Burlington"," 130","Burlington",1,1,51,79,0,2,0,2,136,387
35017,"Burlington/Burlington"," 131","Burlington",1,6,59,105,0,2,0,0,173,377
35017,"Burlington/Burlington"," 132","Burlington",8,10,102,113,0,2,1,2,238,513
35017,"Burlington/Burlington"," 133","Burlington",0,5,90,90,1,0,0,1,187,501
35017,"Burlington/Burlington"," 134","Burlington",0,3,86,105,1,1,2,0,198,542
35017,"Burlington/Burlington"," 135","Burlington",0,4,98,116,0,1,0,0,219,553
35017,"Burlington/Burlington"," 136","Burlington",0,2,51,65,1,0,0,0,119,408
35017,"Burlington/Burlington"," 137","Burlington",1,4,165,135,0,0,0,0,305,736
35017,"Burlington/Burlington"," 138","Burlington",2,7,80,91,1,4,0,0,185,517
35017,"Burlington/Burlington"," 139","Burlington",1,1,77,90,0,0,0,0,169,461
35017,"Burlington/Burlington"," 140","Burlington",2,4,71,73,0,2,0,3,155,344
35017,"Burlington/Burlington"," 141","Burlington",1,2,86,100,0,3,1,0,193,455
35017,"Burlington/Burlington"," 142","Burlington",0,0,55,62,0,0,0,1,118,406
35017,"Burlington/Burlington"," 143","Burlington",0,1,49,68,0,0,0,0,118,339
35017,"Burlington/Burlington"," 144","Burlington",0,0,55,48,0,1,0,0,104,324
35017,"Burlington/Burlington"," 145","Burlington",3,1,67,68,0,0,0,7,146,502
35017,"Burlington/Burlington"," 146","Burlington",3,2,76,109,0,3,0,2,195,557
35017,"Burlington/Burlington"," 147","Burlington",4,2,80,71,0,1,0,0,158,384
35017,"Burlington/Burlington"," 148","Burlington",3,2,72,94,0,0,0,0,171,468
35017,"Burlington/Burlington"," 149","Burlington",0,1,66,76,0,0,1,0,144,398
35017,"Burlington/Burlington"," 150","Burlington",0,2,66,101,0,3,0,0,172,443
35017,"Burlington/Burlington"," 151","Burlington",2,0,51,114,0,2,0,2,171,438
35017,"Burlington/Burlington"," 152","Burlington",3,7,63,72,1,0,0,2,148,431
35017,"Burlington/Burlington"," 153","Burlington",4,8,74,74,1,2,1,4,168,578
35017,"Burlington/Burlington"," 154","Burlington",0,4,48,84,0,1,0,1,138,410
35017,"Burlington/Burlington"," 155","Burlington",1,11,61,71,0,3,0,2,149,481
35017,"Burlington/Burlington"," 156","Burlington",1,4,78,82,0,1,2,1,169,498
35017,"Burlington/Burlington"," 157","Burlington",0,3,63,72,0,0,0,0,138,561
35017,"Burlington/Burlington"," 158","Burlington",1,2,73,94,0,2,0,0,172,583
35017,"Burlington/Burlington"," 159","Burlington",1,1,63,74,0,1,0,0,140,542
35017,"Burlington/Burlington"," 160","Burlington",2,0,52,65,0,5,0,1,125,430
35017,"Burlington/Burlington"," 161","Burlington",0,4,46,64,0,0,1,1,116,409
35017,"Burlington/Burlington"," 162","Burlington",2,8,90,108,1,1,0,1,211,594
35017,"Burlington/Burlington"," 163","Burlington",1,4,86,86,0,2,0,0,179,465
35017,"Burlington/Burlington"," 164","Burlington",5,1,70,92,1,0,0,3,172,464
35017,"Burlington/Burlington"," 165","Burlington",2,3,65,100,0,2,0,0,172,562
35017,"Burlington/Burlington"," 166","Burlington",1,5,70,127,1,1,1,1,207,529
35017,"Burlington/Burlington"," 167","Burlington",1,4,70,101,0,2,1,3,182,501
35017,"Burlington/Burlington"," 168","Burlington",2,2,63,85,0,3,0,2,157,457
35017,"Burlington/Burlington"," 169","Burlington",0,3,81,94,1,2,0,2,183,594
35017,"Burlington/Burlington"," 170","Burlington",2,6,74,59,0,1,2,0,144,438
35017,"Burlington/Burlington"," 171","Burlington",2,9,41,63,2,2,0,0,119,392
35017,"Burlington/Burlington"," 172","Burlington",1,6,60,47,0,0,0,0,114,476
35017,"Burlington/Burlington"," 173","Burlington",1,11,120,124,0,3,0,0,259,698
35017,"Burlington/Burlington"," 174","Burlington",1,9,41,76,0,1,1,2,131,393
35017,"Burlington/Burlington"," 175","Burlington",3,4,49,51,0,1,1,2,111,322
35017,"Burlington/Burlington"," 176","Burlington",0,1,46,65,1,0,0,1,114,415
35017,"Burlington/Burlington"," 177","Burlington",3,3,48,82,1,0,0,0,137,538
35017,"Burlington/Burlington"," 178","Burlington",2,6,75,87,0,2,0,1,173,413
35017,"Burlington/Burlington"," 179","Burlington",0,6,75,39,0,2,0,0,122,357
35017,"Burlington/Burlington"," 180","Burlington",0,12,74,76,0,1,0,3,166,450
35017,"Burlington/Burlington"," 181","Burlington",0,4,67,67,0,3,0,4,145,513
35017,"Burlington/Burlington"," 182","Burlington",2,2,35,57,0,0,0,0,96,327
35017,"Burlington/Burlington"," 183","Burlington",5,7,52,69,0,3,0,1,137,390
35017,"Burlington/Burlington"," 184","Burlington",2,3,51,43,0,0,2,0,101,354
35017,"Burlington/Burlington"," 185","Burlington",1,1,78,57,0,0,0,2,139,357
35017,"Burlington/Burlington"," 186","Burlington",1,5,124,109,0,3,0,2,244,561
35017,"Burlington/Burlington"," 187","Burlington",2,2,102,118,0,2,0,1,227,466
35017,"Burlington/Burlington"," 188","Burlington",0,2,78,91,0,2,0,1,174,437
35017,"Burlington/Burlington"," 189","Burlington",3,2,62,68,0,4,0,2,141,384
35017,"Burlington/Burlington"," 190","Burlington",1,2,58,89,1,1,0,0,152,406
35017,"Burlington/Burlington"," 191","Burlington",0,0,56,47,0,0,0,1,104,351
35017,"Burlington/Burlington"," 192","Burlington",0,1,82,75,0,2,0,0,160,443
35017,"Burlington/Burlington"," 193","Burlington",2,4,99,97,0,1,0,4,207,524
35017,"Burlington/Burlington"," 194A","Burlington",1,3,112,87,0,0,0,3,206,552
35017,"Burlington/Burlington"," 194B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°518,,,,,,,,,38
35017,"Burlington/Burlington"," 195","Burlington",1,1,120,91,0,1,0,0,214,616
35017,"Burlington/Burlington"," 196","Burlington",1,12,95,93,2,3,0,0,206,527
35017,"Burlington/Burlington"," 197","Burlington",1,6,99,93,0,2,0,0,201,482
35017,"Burlington/Burlington"," 198","Burlington",0,6,105,88,0,0,0,0,199,516
35017,"Burlington/Burlington"," 199","Burlington",1,7,97,101,0,0,3,1,210,559
35017,"Burlington/Burlington"," 200","Burlington",0,2,46,76,0,1,0,0,125,359
35017,"Burlington/Burlington"," 201","Burlington",3,0,69,109,0,1,0,0,182,527
35017,"Burlington/Burlington"," 202","Burlington",0,4,77,119,0,0,0,2,202,455
35017,"Burlington/Burlington"," 203","Burlington",2,2,82,122,0,3,0,0,211,578
35017,"Burlington/Burlington"," 204","Burlington",0,2,65,87,0,2,1,0,157,475
35017,"Burlington/Burlington"," 205","Burlington",0,4,70,71,0,1,0,0,146,367
35017,"Burlington/Burlington"," 206","Burlington",1,0,109,78,0,0,0,1,189,540
35017,"Burlington/Burlington"," 207","Burlington",5,4,84,118,0,3,0,1,215,478
35017,"Burlington/Burlington"," 400","Burlington",2,1,36,46,0,2,0,0,87,137
35017,"Burlington/Burlington"," 401","Burlington",1,2,22,98,1,0,0,4,128,191
35017,"Burlington/Burlington"," 402","Burlington",0,4,56,99,0,1,0,4,164,237
35017,"Burlington/Burlington"," 403","Burlington",1,9,69,130,0,1,2,6,218,303
35017,"Burlington/Burlington"," 404","Burlington",3,1,65,75,0,0,0,1,145,172
35017,"Burlington/Burlington"," 405","Burlington",4,5,50,87,0,0,0,3,149,245
35017,"Burlington/Burlington"," 406","Burlington",0,7,67,97,1,1,0,3,176,232
35017,"Burlington/Burlington"," 407","Burlington",3,5,50,102,2,0,0,3,165,221
35017,"Burlington/Burlington"," 408","Burlington",0,2,16,37,0,2,0,1,58,83
35017,"Burlington/Burlington"," 409","Burlington",0,2,13,31,0,1,0,1,48,82
35017,"Burlington/Burlington"," 410","Burlington",1,4,44,48,0,0,0,1,98,170
35017,"Burlington/Burlington"," 411","Burlington",0,3,54,50,0,1,0,0,108,180
35017,"Burlington/Burlington"," 412","Burlington",0,5,37,52,0,2,0,3,99,175
35017,"Burlington/Burlington"," 413","Burlington",3,7,76,108,0,3,0,2,199,304
35017,"Burlington/Burlington"," 414","Burlington",1,6,72,215,0,2,0,6,302,404
35017,"Burlington/Burlington"," 415","Burlington",3,2,50,110,0,4,0,0,169,258
35017,"Burlington/Burlington"," 416","Burlington",1,4,48,107,0,0,0,0,160,224
35017,"Burlington/Burlington"," 417","Burlington",0,1,56,81,0,0,0,1,139,261
35017,"Burlington/Burlington"," 418","Burlington",0,1,51,73,0,1,0,0,126,250
35017,"Burlington/Burlington"," 419","Burlington",1,0,35,81,0,1,0,0,118,197
35017,"Burlington/Burlington"," 420","Burlington",2,7,66,109,0,0,0,2,186,262
35017,"Burlington/Burlington"," 421","Burlington",4,7,64,152,0,4,0,3,234,300
35017,"Burlington/Burlington"," 422","Burlington",3,7,56,144,1,0,1,0,212,279
35017,"Burlington/Burlington"," 423","Burlington",1,2,17,57,0,0,0,0,77,112
35017,"Burlington/Burlington"," 424","Burlington",0,3,25,55,0,1,1,0,85,119
35017,"Burlington/Burlington"," 425","Burlington",1,2,62,129,0,1,0,0,195,271
35017,"Burlington/Burlington"," 426","Burlington",3,4,65,99,0,1,0,0,172,250
35017,"Burlington/Burlington"," 427","Burlington",1,2,33,71,0,0,0,3,110,156
35017,"Burlington/Burlington"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,,,56
35017,"Burlington/Burlington"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,,,74
35017,"Burlington/Burlington"," 502","Mobile poll/Bureau itinérant",4,3,22,48,0,2,2,2,83,87
35017,"Burlington/Burlington"," 503","Mobile poll/Bureau itinérant",1,13,20,38,0,2,3,5,82,67
35017,"Burlington/Burlington"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,,,101
35017,"Burlington/Burlington"," 505","Mobile poll/Bureau itinérant",1,3,55,80,0,0,0,2,141,104
35017,"Burlington/Burlington"," 506","Burlington",Combined with No./Résultats combinés à ceux du n°64,,,,,,,,,63
35017,"Burlington/Burlington"," 507","Mobile poll/Bureau itinérant",8,11,29,43,0,5,5,3,104,110
35017,"Burlington/Burlington"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,,71
35017,"Burlington/Burlington"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,,44
35017,"Burlington/Burlington"," 510","Mobile poll/Bureau itinérant",3,6,32,47,1,2,0,3,94,100
35017,"Burlington/Burlington"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,,,35
35017,"Burlington/Burlington"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,,58
35017,"Burlington/Burlington"," 513","Mobile poll/Bureau itinérant",0,0,39,103,0,0,0,1,143,148
35017,"Burlington/Burlington"," 514","Mobile poll/Bureau itinérant",2,4,43,94,0,2,1,3,149,127
35017,"Burlington/Burlington"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,,,,43
35017,"Burlington/Burlington"," 516","Mobile poll/Bureau itinérant",1,3,24,43,1,1,1,3,77,143
35017,"Burlington/Burlington"," 517","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°522,,,,,,,,,68
35017,"Burlington/Burlington"," 518","Mobile poll/Bureau itinérant",1,3,23,54,0,0,0,0,81,124
35017,"Burlington/Burlington"," 519","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,,,,134
35017,"Burlington/Burlington"," 520","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°518,,,,,,,,,45
35017,"Burlington/Burlington"," 521","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,,,,54
35017,"Burlington/Burlington"," 522","Mobile poll/Bureau itinérant",2,2,30,95,1,0,1,0,131,134
35017,"Burlington/Burlington"," 600","Burlington",3,15,583,822,2,2,1,5,1433,
35017,"Burlington/Burlington"," 601","Burlington",4,20,529,872,0,4,2,3,1434,
35017,"Burlington/Burlington"," 602","Burlington",9,12,622,991,1,12,2,0,1649,
35017,"Burlington/Burlington"," 603","Burlington",10,22,752,1124,0,11,3,5,1927,
35017,"Burlington/Burlington"," 604","Burlington",3,16,755,1114,1,5,1,5,1900,
35017,"Burlington/Burlington"," 605","Burlington",3,17,475,984,1,10,0,3,1493,
35017,"Burlington/Burlington"," 606","Burlington",2,19,517,902,0,13,3,3,1459,
35017,"Burlington/Burlington"," 607","Burlington",5,14,499,879,1,3,1,6,1408,
35017,"Burlington/Burlington"," 608","Burlington",15,27,550,962,2,11,0,25,1592,
35017,"Burlington/Burlington"," 609","Burlington",20,44,710,950,0,15,6,12,1757,
35017,"Burlington/Burlington"," 610","Burlington",13,33,761,1134,4,9,1,4,1959,
35017,"Burlington/Burlington"," 611","Burlington",7,41,730,1258,2,12,0,5,2055,
35017,"Burlington/Burlington"," 612","Burlington",12,13,734,1081,0,1,0,3,1844,
35017,"Burlington/Burlington"," 613","Burlington",8,26,556,929,5,7,3,9,1543,
35017,"Burlington/Burlington"," 614","Burlington",6,24,462,794,0,8,0,6,1300,
35017,"Burlington/Burlington"," 615","Burlington",4,22,471,1080,0,8,4,5,1594,
35017,"Burlington/Burlington"," 616","Burlington",12,28,531,1068,2,9,2,5,1657,
35017,"Burlington/Burlington"," 617","Burlington",3,15,723,1187,2,12,1,1,1944,
35017,"Burlington/Burlington"," 618","Burlington",3,31,527,830,0,14,1,3,1409,
35017,"Burlington/Burlington"," 619","Burlington",16,31,551,886,0,15,1,7,1507,
35017,"Burlington/Burlington",,Group 1/Groupe 1, 8,23,288,588,0,13,0,47,967,525
35017,"Burlington/Burlington",,Group 2/Groupe 2, 15,52,1272,2241,3,30,2,64,3679,
