Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Peyman Askari,Lauren Greenlaw,Gordon Jeffrey,Jäger Rosenberg,Keith Roy,Patrick Weiler,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 13-1","Cheakamus 11--Waiwakum 14",Combined with No./Résultats combinés à ceux du n°14,,,,,,,,169
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 14","Squamish",0,19,0,13,54,76,0,162,335
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 15","Squamish",1,7,0,11,32,73,1,125,393
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 16","Squamish",0,14,2,4,41,109,1,171,430
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 17","Squamish",3,16,0,5,59,120,1,204,518
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 17-1","Yekwaupsum 18",Combined with No./Résultats combinés à ceux du n°17,,,,,,,,5
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 18","Squamish",4,23,0,10,62,96,1,196,582
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 19","Squamish",1,7,0,6,61,62,0,137,437
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 20","Squamish",0,10,0,10,79,142,0,241,492
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 21","Whistler",0,12,0,3,61,81,0,157,531
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 22","Whistler",1,13,0,3,59,95,0,171,593
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 23","Whistler",0,17,1,9,77,163,0,267,732
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 24","Irvines Landing",0,0,0,6,42,75,0,123,439
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 24-1","Sechelt (Part)",Combined with No./Résultats combinés à ceux du n°24,,,,,,,,15
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 25","Irvines Landing",0,6,1,8,40,54,0,109,371
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 26","Whistler",0,7,0,6,53,100,0,166,455
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 27","Whistler",1,7,0,1,47,142,1,199,595
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 28","Whistler",0,7,0,4,52,97,1,161,469
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 29","Whistler",1,4,0,5,66,90,0,166,413
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 30","Whistler",0,11,2,8,56,98,0,175,453
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 31","Whistler",0,7,0,0,47,91,0,145,437
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 32","Whistler",1,7,1,1,42,105,0,157,495
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 33","Whistler",0,5,2,2,37,69,2,117,454
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 34","Whistler",0,3,0,3,43,74,3,126,396
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 35","Whistler",0,6,1,5,51,81,0,144,413
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 36","Whistler",3,9,0,7,44,93,0,156,394
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 37","Whistler",0,8,0,7,43,59,0,117,386
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 38","Whistler",1,6,0,1,41,53,0,102,315
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 39","Whistler",0,6,0,8,36,73,1,124,369
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 40","Whistler",1,13,0,6,39,95,0,154,429
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 41","Whistler",0,7,0,8,48,99,0,162,431
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 42","Whistler",1,18,0,4,71,117,0,211,499
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 43","Donnely Landing",1,2,0,3,50,69,0,125,413
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 44","Madeira Park",0,3,0,10,64,64,0,141,433
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 44-1","Sechelt (Part)",Combined with No./Résultats combinés à ceux du n°44,,,,,,,,13
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 45","Madeira Park",2,2,0,9,50,66,0,129,428
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 46","Madeira Park--Kleindale",1,3,1,11,56,47,0,119,413
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 47","Squamish",0,7,0,7,46,127,0,187,469
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 48","Squamish",1,5,0,3,60,77,0,146,316
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 49","Squamish",2,17,0,15,59,112,0,205,467
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 50","Squamish",4,12,0,9,74,130,0,229,488
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 51","Squamish",2,8,0,5,64,82,2,163,445
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 52","Tuwanek",0,5,0,8,57,110,0,180,419
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 53","Sechelt",0,3,0,4,60,123,1,191,509
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 54","Sechelt",2,2,1,7,70,54,0,136,491
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 55","Sechelt",2,3,1,13,34,68,0,121,470
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 56","Sechelt",0,4,0,6,51,49,3,113,440
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 57","Sechelt",1,6,1,17,42,73,1,141,449
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 58","Sechelt",Combined with No./Résultats combinés à ceux du n°57,,,,,,,,147
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 58-1","Sechelt (Part)",3,0,0,37,33,72,2,147,455
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 59","Sechelt",0,3,0,8,30,62,0,103,454
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 60","Sechelt",Combined with No./Résultats combinés à ceux du n°61,,,,,,,,360
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 61","Sechelt",3,3,0,11,63,87,0,167,397
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 62","Secret Cove",8,3,1,7,51,92,0,162,423
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 63","Halfmoon Bay",0,5,2,5,54,79,0,145,356
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 64","Halfmoon Bay",0,3,1,2,39,89,0,134,301
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 65","Sechelt",2,3,1,5,65,62,0,138,437
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 66","Sunshine Coast B",0,4,0,10,60,102,0,176,406
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 67","Welcome Beach",2,4,0,9,58,78,1,152,361
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 68","Welcome Beach",1,7,2,8,44,53,0,115,321
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 69","Squamish",0,10,0,3,87,139,0,239,501
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 70","Squamish",0,8,0,4,46,112,0,170,413
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 71","Squamish",0,13,1,5,80,125,0,224,483
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 72","Squamish",2,4,0,3,76,163,1,249,542
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 73","Squamish",3,12,0,3,67,130,0,215,565
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 74","Squamish",0,18,1,7,81,149,0,256,609
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 75","Squamish",0,17,0,4,45,122,0,188,527
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 76","Squamish",2,17,0,8,75,77,4,183,527
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 77","Squamish",0,29,2,16,56,120,0,223,676
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 78","Squamish",2,11,0,0,45,71,2,131,458
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 79","Squamish",0,14,0,12,58,114,0,198,677
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 80","Squamish",1,15,1,11,80,109,1,218,581
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 81","Squamish",2,13,0,2,38,73,0,128,418
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 82","Squamish",0,14,0,3,36,73,0,126,419
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 83","Squamish",1,18,0,9,56,110,0,194,466
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 83-1","Seaichem 16--Kowtain 17",Combined with No./Résultats combinés à ceux du n°83,,,,,,,,48
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 84","Squamish",1,4,0,6,68,90,0,169,466
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 85","Squamish",0,9,0,8,32,72,0,121,394
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 86","Squamish",0,9,3,6,60,90,0,168,487
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 87","Squamish",0,16,0,1,107,148,0,272,733
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 88","Sechelt",1,6,0,9,42,62,0,120,452
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 89","Sechelt",1,4,0,4,52,74,0,135,351
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 90","Sechelt",0,7,0,9,53,58,0,127,397
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 91","Sechelt",0,7,0,10,42,35,0,94,414
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 92","Sechelt",Combined with No./Résultats combinés à ceux du n°92-1,,,,,,,,191
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 92-1","Sechelt (Part)",0,7,0,4,30,67,0,108,249
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 93","Sechelt",1,1,1,12,62,90,0,167,450
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 94","Sechelt",0,4,0,14,66,101,0,185,448
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 95","Sechelt",0,2,0,5,62,120,1,190,466
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 96","Sechelt",0,4,0,13,48,86,1,152,432
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 97","Sechelt",0,4,1,2,46,83,0,136,428
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 98","Sechelt",0,2,0,12,62,60,0,136,481
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 99","Sechelt",0,12,0,8,74,88,2,184,475
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 100","Langdale",0,4,0,10,62,105,0,181,370
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 101","Gambier Harbour",Combined with No./Résultats combinés à ceux du n°100,,,,,,,,138
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 102","Gibsons",1,5,0,7,56,46,1,116,400
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 103","Gibsons",1,20,0,16,49,101,0,187,313
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 104","Granthams Landing",Combined with No./Résultats combinés à ceux du n°103,,,,,,,,213
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 105","Sunshine Coast F",2,9,0,6,29,80,0,126,345
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 105-1","Chekwelp 26",Combined with No./Résultats combinés à ceux du n°105,,,,,,,,1
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 106","Langdale",1,3,1,10,40,63,0,118,280
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 107","Squamish",1,9,1,2,82,144,0,239,556
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 108","Squamish",2,28,0,17,81,151,1,280,704
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 109","Squamish",0,13,1,9,68,108,0,199,520
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 110","Squamish",0,19,1,13,58,109,1,201,493
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 111","Squamish",1,21,0,5,41,119,0,187,461
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 112","Squamish",2,6,0,8,71,71,0,158,389
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 113","Furry Creek",1,15,1,17,102,114,1,251,545
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 113-1","Stawamus 24",Combined with No./Résultats combinés à ceux du n°113,,,,,,,,73
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 114","Roberts Creek",4,12,0,8,43,97,0,164,376
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 115","Roberts Creek",3,10,1,8,83,89,0,194,389
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 116","Sunshine Coast D",4,12,0,17,43,90,1,167,396
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 117","Sunshine Coast D",4,3,0,9,41,117,0,174,345
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 118","Roberts Creek",2,4,0,10,57,114,1,188,417
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 119","Roberts Creek",1,14,1,9,49,106,1,181,372
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 120","Sunshine Coast D",2,13,4,12,46,133,0,210,409
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 121","Gibsons",Combined with No./Résultats combinés à ceux du n°124,,,,,,,,344
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 122","Gibsons",1,4,1,18,33,62,1,120,413
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 123","Gibsons",1,6,0,8,47,73,1,136,408
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 124","Gibsons",1,15,1,8,41,117,0,183,358
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 125","Gibsons",1,2,0,10,48,88,0,149,388
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 126","Gibsons",1,6,0,10,72,58,1,148,520
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 127","Sunshine Coast E",1,5,0,8,37,31,0,82,298
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 128","Gibsons",0,5,1,11,45,52,0,114,417
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 129","Gibsons",0,4,0,4,39,67,0,114,393
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 130","Gibsons",0,4,1,18,37,55,0,115,392
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 131","Gibsons",0,4,0,9,49,73,0,135,463
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 132","Gibsons",2,5,0,15,28,65,0,115,433
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 133","Gibsons",1,3,0,5,25,51,0,85,385
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 134","Gibsons",0,9,0,8,86,92,2,197,438
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 135","Sunshine Coast E",1,14,1,7,89,122,0,234,386
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 136","Sunshine Coast E",Combined with No./Résultats combinés à ceux du n°135,,,,,,,,329
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 137","Sunshine Coast E",2,6,0,11,63,84,0,166,411
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 138","Sunshine Coast E",0,3,0,13,40,56,0,112,345
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 139","Sunshine Coast E",2,4,1,12,82,120,0,221,348
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 140","Sunshine Coast E",Combined with No./Résultats combinés à ceux du n°139,,,,,,,,349
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 141","Lions Bay",1,6,0,2,75,119,0,203,400
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 142","Lions Bay",2,6,0,3,80,114,0,205,434
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 143","Lions Bay",1,4,0,5,58,112,0,180,367
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 144","West Vancouver",0,7,0,3,68,99,0,177,510
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 145","West Vancouver",1,3,0,0,67,57,1,129,481
59043,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 146","West Vancouver",1,2,0,2,64,76,0,145,434
