Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Fatima Badran,Jean-Sébastien Lepage,Denis Perreault,Luc Thériault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24050,"Montcalm/Montcalm"," 101","Saint-Lin--Laurentides",22,60,3,37,9,131,443
24050,"Montcalm/Montcalm"," 102","Saint-Lin--Laurentides",24,44,4,88,7,167,423
24050,"Montcalm/Montcalm"," 103","Saint-Lin--Laurentides",38,59,6,63,3,169,557
24050,"Montcalm/Montcalm"," 104","Saint-Lin--Laurentides",40,30,4,65,4,143,379
24050,"Montcalm/Montcalm"," 105","Saint-Lin--Laurentides",23,76,4,100,5,208,513
24050,"Montcalm/Montcalm"," 106","Saint-Lin--Laurentides",32,63,12,90,10,207,507
24050,"Montcalm/Montcalm"," 107","Saint-Lin--Laurentides",41,44,6,97,6,194,500
24050,"Montcalm/Montcalm"," 108","Saint-Lin--Laurentides",63,69,8,79,3,222,572
24050,"Montcalm/Montcalm"," 109","Saint-Lin--Laurentides",25,89,3,88,6,211,557
24050,"Montcalm/Montcalm"," 110","Saint-Lin--Laurentides",43,41,8,45,4,141,382
24050,"Montcalm/Montcalm"," 111","Saint-Lin--Laurentides",28,39,2,50,2,121,334
24050,"Montcalm/Montcalm"," 112","Saint-Lin--Laurentides",30,52,13,115,9,219,482
24050,"Montcalm/Montcalm"," 113","Saint-Lin--Laurentides",34,66,6,78,4,188,537
24050,"Montcalm/Montcalm"," 114","Saint-Lin--Laurentides",33,51,4,76,8,172,484
24050,"Montcalm/Montcalm"," 115","Saint-Lin--Laurentides",38,68,9,86,12,213,584
24050,"Montcalm/Montcalm"," 116","Saint-Lin--Laurentides",52,99,9,91,9,260,626
24050,"Montcalm/Montcalm"," 117","Saint-Lin--Laurentides",40,114,11,93,3,261,573
24050,"Montcalm/Montcalm"," 118","Saint-Lin--Laurentides",54,66,7,103,3,233,542
24050,"Montcalm/Montcalm"," 119","Saint-Lin--Laurentides",43,79,6,93,9,230,588
24050,"Montcalm/Montcalm"," 120","Saint-Lin--Laurentides",27,51,7,69,7,161,391
24050,"Montcalm/Montcalm"," 121","Saint-Lin--Laurentides",54,87,1,62,3,207,512
24050,"Montcalm/Montcalm"," 122","Mascouche",34,53,9,77,1,174,450
24050,"Montcalm/Montcalm"," 123","Mascouche",50,70,3,82,1,206,453
24050,"Montcalm/Montcalm"," 124","Mascouche",59,55,8,88,4,214,450
24050,"Montcalm/Montcalm"," 125","Mascouche",66,39,10,88,1,204,393
24050,"Montcalm/Montcalm"," 126","Mascouche",47,34,1,88,1,171,373
24050,"Montcalm/Montcalm"," 127","Mascouche",57,36,4,87,6,190,362
24050,"Montcalm/Montcalm"," 128","Mascouche",41,35,13,65,4,158,325
24050,"Montcalm/Montcalm"," 129","Mascouche",54,52,2,96,7,211,491
24050,"Montcalm/Montcalm"," 130","Mascouche",45,40,2,77,1,165,311
24050,"Montcalm/Montcalm"," 131","Mascouche",39,34,10,66,3,152,354
24050,"Montcalm/Montcalm"," 132","Mascouche",61,34,10,111,16,232,438
24050,"Montcalm/Montcalm"," 133","Mascouche",38,26,7,92,6,169,450
24050,"Montcalm/Montcalm"," 134","Mascouche",36,32,6,77,3,154,288
24050,"Montcalm/Montcalm"," 135","Mascouche",31,40,6,66,6,149,393
24050,"Montcalm/Montcalm"," 136","Mascouche",40,40,8,79,1,168,447
24050,"Montcalm/Montcalm"," 137","Mascouche",26,31,8,53,2,120,351
24050,"Montcalm/Montcalm"," 138","Mascouche",40,48,3,75,4,170,387
24050,"Montcalm/Montcalm"," 139","Mascouche",47,48,3,99,0,197,404
24050,"Montcalm/Montcalm"," 140","Mascouche",30,47,7,63,3,150,366
24050,"Montcalm/Montcalm"," 141","Mascouche",84,54,7,127,1,273,585
24050,"Montcalm/Montcalm"," 142","Mascouche",75,58,4,104,4,245,539
24050,"Montcalm/Montcalm"," 143","Mascouche",82,53,11,82,1,229,470
24050,"Montcalm/Montcalm"," 144","Mascouche",75,70,6,49,1,201,469
24050,"Montcalm/Montcalm"," 145","Mascouche",64,56,14,92,14,240,582
24050,"Montcalm/Montcalm"," 146","Mascouche",46,47,9,68,4,174,401
24050,"Montcalm/Montcalm"," 147","Mascouche",66,59,5,104,1,235,438
24050,"Montcalm/Montcalm"," 148","Mascouche",64,54,2,87,7,214,471
24050,"Montcalm/Montcalm"," 149A","Mascouche",71,56,11,74,6,218,492
24050,"Montcalm/Montcalm"," 149B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,9
24050,"Montcalm/Montcalm"," 150","Mascouche",43,43,4,51,6,147,350
24050,"Montcalm/Montcalm"," 151","Mascouche",48,45,4,83,5,185,481
24050,"Montcalm/Montcalm"," 152","Mascouche",54,48,12,78,2,194,398
24050,"Montcalm/Montcalm"," 153","Mascouche",66,46,3,90,6,211,442
24050,"Montcalm/Montcalm"," 154","Mascouche",46,18,4,80,3,151,358
24050,"Montcalm/Montcalm"," 155","Mascouche",36,33,8,84,6,167,358
24050,"Montcalm/Montcalm"," 156","Mascouche",67,30,8,102,6,213,428
24050,"Montcalm/Montcalm"," 157A","Mascouche",43,39,7,95,5,189,426
24050,"Montcalm/Montcalm"," 157B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,2
24050,"Montcalm/Montcalm"," 158","Mascouche",36,24,4,77,2,143,341
24050,"Montcalm/Montcalm"," 159","Mascouche",57,27,8,71,6,169,338
24050,"Montcalm/Montcalm"," 160","Mascouche",69,41,12,83,4,209,431
24050,"Montcalm/Montcalm"," 161","Mascouche",46,33,5,85,4,173,402
24050,"Montcalm/Montcalm"," 162","Mascouche",67,69,10,119,6,271,584
24050,"Montcalm/Montcalm"," 163","Mascouche",51,39,5,97,3,195,528
24050,"Montcalm/Montcalm"," 164","Mascouche",67,73,10,87,7,244,514
24050,"Montcalm/Montcalm"," 165","Mascouche",60,25,6,122,4,217,539
24050,"Montcalm/Montcalm"," 166","Mascouche",52,44,10,77,1,184,493
24050,"Montcalm/Montcalm"," 167","Mascouche",72,59,9,117,4,261,593
24050,"Montcalm/Montcalm"," 168","Mascouche",74,35,14,74,2,199,498
24050,"Montcalm/Montcalm"," 169","Mascouche",60,58,4,114,5,241,547
24050,"Montcalm/Montcalm"," 170","Mascouche",48,45,6,89,1,189,435
24050,"Montcalm/Montcalm"," 171","Mascouche",44,44,5,109,8,210,545
24050,"Montcalm/Montcalm"," 172","Mascouche",51,60,5,80,4,200,496
24050,"Montcalm/Montcalm"," 173","Mascouche",79,90,7,118,3,297,536
24050,"Montcalm/Montcalm"," 174","Mascouche",71,55,9,119,3,257,524
24050,"Montcalm/Montcalm"," 175","Mascouche",64,47,10,104,5,230,429
24050,"Montcalm/Montcalm"," 176","Mascouche",73,55,9,114,2,253,420
24050,"Montcalm/Montcalm"," 177","Mascouche",72,56,9,88,7,232,466
24050,"Montcalm/Montcalm"," 178","Mascouche",74,18,5,89,20,206,306
24050,"Montcalm/Montcalm"," 179","Mascouche",72,56,6,152,3,289,476
24050,"Montcalm/Montcalm"," 180","Mascouche",78,57,18,143,12,308,575
24050,"Montcalm/Montcalm"," 181","Mascouche",53,66,9,147,5,280,501
24050,"Montcalm/Montcalm"," 182A","Mascouche",66,70,8,75,2,221,583
24050,"Montcalm/Montcalm"," 182B","Mascouche",50,58,8,61,1,178,501
24050,"Montcalm/Montcalm"," 183","Mascouche",68,59,11,53,4,195,550
24050,"Montcalm/Montcalm"," 184A","Mascouche",40,23,2,41,1,107,392
24050,"Montcalm/Montcalm"," 184B","Mascouche",45,29,5,58,3,140,441
24050,"Montcalm/Montcalm"," 185","Mascouche",55,40,4,56,4,159,318
24050,"Montcalm/Montcalm"," 186","Mascouche",55,55,8,49,1,168,476
24050,"Montcalm/Montcalm"," 187","Mascouche",44,60,6,46,5,161,291
24050,"Montcalm/Montcalm"," 188","Mascouche",Combined with No./Résultats combinés à ceux du n°187,,,,,,231
24050,"Montcalm/Montcalm"," 189","Mascouche",69,44,10,106,6,235,491
24050,"Montcalm/Montcalm"," 190","Mascouche",58,31,11,101,3,204,375
