Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,James Aylward,Adam Harding,Kent MacDonald,Wayne Phelan,Maria Rodriguez,Lynne Thiele,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
11001,"Cardigan/Cardigan"," 49","Kinross",62,1,83,4,3,10,2,165,328
11001,"Cardigan/Cardigan"," 50","Stratford",73,2,93,2,1,3,2,176,464
11001,"Cardigan/Cardigan"," 51","Stratford",43,0,94,3,4,3,2,149,411
11001,"Cardigan/Cardigan"," 52","Stratford",39,1,68,2,2,2,3,117,366
11001,"Cardigan/Cardigan"," 53","Stratford",58,0,102,4,1,4,1,170,528
11001,"Cardigan/Cardigan"," 54","Stratford",52,2,108,12,1,1,0,176,502
11001,"Cardigan/Cardigan"," 55","Stratford",68,0,107,5,2,2,0,184,521
11001,"Cardigan/Cardigan"," 56","Stratford",51,1,76,5,2,6,0,141,484
11001,"Cardigan/Cardigan"," 57","Stratford",62,2,105,1,0,6,0,176,569
11001,"Cardigan/Cardigan"," 58","Stratford",40,0,75,3,0,2,0,120,448
11001,"Cardigan/Cardigan"," 59","Stratford",45,1,89,3,5,5,2,150,459
11001,"Cardigan/Cardigan"," 60","Stratford",66,0,84,5,1,5,3,164,476
11001,"Cardigan/Cardigan"," 61","Cherry Valley",56,0,66,4,2,1,4,133,309
11001,"Cardigan/Cardigan"," 62","Murray Harbour--Gladstone",59,3,88,3,0,2,0,155,344
11001,"Cardigan/Cardigan"," 63","Beach Point",62,2,61,1,5,12,2,145,304
11001,"Cardigan/Cardigan"," 64","Hazelbrook",56,1,54,10,2,4,0,127,361
11001,"Cardigan/Cardigan"," 65","Pownal",88,1,89,3,3,4,3,191,448
11001,"Cardigan/Cardigan"," 66","Alexandra",47,3,97,1,3,2,0,153,330
11001,"Cardigan/Cardigan"," 67","Stratford",58,3,93,1,2,2,3,162,452
11001,"Cardigan/Cardigan"," 68","Stratford",66,2,102,8,1,4,0,183,520
11001,"Cardigan/Cardigan"," 69","Stratford",51,1,98,6,1,4,0,161,451
11001,"Cardigan/Cardigan"," 70","Stratford",64,0,96,6,3,2,2,173,510
11001,"Cardigan/Cardigan"," 71","Stratford",47,0,112,3,2,1,2,167,506
11001,"Cardigan/Cardigan"," 72","Iona",54,0,103,1,5,5,0,168,295
11001,"Cardigan/Cardigan"," 73","Murray River",66,2,84,5,3,4,1,165,371
11001,"Cardigan/Cardigan"," 74","Lewes",48,2,45,1,3,4,2,105,346
11001,"Cardigan/Cardigan"," 75","Abney",97,2,74,4,2,5,0,184,440
11001,"Cardigan/Cardigan"," 76","Mount Buchanan",72,0,127,5,7,5,4,220,432
11001,"Cardigan/Cardigan"," 77","Wood Islands",43,1,53,3,4,6,5,115,363
11001,"Cardigan/Cardigan"," 78","Flat River",81,2,70,6,2,5,2,168,430
11001,"Cardigan/Cardigan"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,22
11001,"Cardigan/Cardigan"," 501","Mobile poll/Bureau itinérant",15,3,37,1,0,3,4,63,52
11001,"Cardigan/Cardigan"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,25
11001,"Cardigan/Cardigan"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,,53
11001,"Cardigan/Cardigan"," 504","Mobile poll/Bureau itinérant",22,3,30,2,0,0,4,61,63
11001,"Cardigan/Cardigan"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,,19
11001,"Cardigan/Cardigan"," 506","Mobile poll/Bureau itinérant",29,1,37,1,1,2,4,75,73
11001,"Cardigan/Cardigan"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,24
11001,"Cardigan/Cardigan"," 508","Mobile poll/Bureau itinérant",32,3,23,0,2,2,3,65,98
11001,"Cardigan/Cardigan"," 600","Souris",347,3,567,8,5,10,17,957,
11001,"Cardigan/Cardigan"," 601","Souris",223,4,352,5,6,15,0,605,
11001,"Cardigan/Cardigan"," 602","Mount Stewart",257,0,396,4,6,12,5,680,
11001,"Cardigan/Cardigan"," 603","Scotchfort 4--Morell 2",3,0,4,0,0,0,0,7,
11001,"Cardigan/Cardigan"," 604","Central Kings--Three Rivers",330,5,521,6,5,21,3,891,
11001,"Cardigan/Cardigan"," 605","Montague",344,11,543,17,10,17,8,950,
11001,"Cardigan/Cardigan"," 606","Wood Islands",360,8,489,5,6,24,8,900,
11001,"Cardigan/Cardigan"," 607","Vernon River, Part 1",363,2,574,7,12,17,5,980,
11001,"Cardigan/Cardigan"," 608","Alexandra",321,3,819,11,9,11,6,1180,
11001,"Cardigan/Cardigan"," 609","Stratford",304,2,752,13,11,13,5,1100,
11001,"Cardigan/Cardigan"," 610","Stratford",292,3,760,9,17,19,7,1107,
11001,"Cardigan/Cardigan"," 611","Stratford",323,9,609,15,16,18,9,999,
11001,"Cardigan/Cardigan"," 612","Mount Stewart",193,4,409,11,7,12,5,641,
11001,"Cardigan/Cardigan",,Group 1/Groupe 1, 182,1,412,6,12,26,23,662,86
11001,"Cardigan/Cardigan",,Group 2/Groupe 2, 322,11,556,12,13,16,8,938,
