Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jim Belanger,Andréane Chénier,Himal Hossain,Justin Dean Newell Leroux,Marc G. Serré,Sharilynne St. Louis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 102","Markstay",81,6,3,1,51,1,1,144,335
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 103","Markstay",119,18,1,0,57,2,3,200,469
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 104","Sturgeon Falls",82,11,0,3,71,1,0,168,490
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 105","Sturgeon Falls",60,4,1,0,54,3,0,122,405
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 106","Sturgeon Falls",46,9,1,2,57,1,2,118,356
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 107","Sturgeon Falls",35,6,1,0,39,2,0,83,393
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 108","Sturgeon Falls",66,8,2,0,60,1,5,142,412
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 109","Sturgeon Falls",52,9,1,0,46,4,0,112,352
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 110","Sturgeon Falls",41,11,0,0,52,0,1,105,334
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 111","Sturgeon Falls",41,0,0,0,39,1,0,81,305
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 112","Sturgeon Falls",78,4,1,0,42,2,2,129,431
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 113","Sturgeon Falls",76,18,1,0,84,2,0,181,535
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 114","Sturgeon Falls",45,6,2,0,36,0,1,90,329
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 115","Sturgeon Falls",107,8,0,0,69,1,2,187,502
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 116","Dowling",127,17,1,1,42,0,2,190,465
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 117","Dowling",101,10,1,0,50,2,0,164,445
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 118","Dowling",107,26,5,1,60,1,2,202,493
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 119","Dowling",125,19,1,0,39,1,3,188,479
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 120","Dowling",123,14,2,1,66,1,0,207,547
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 121","Chelmsford",99,13,1,1,45,2,1,162,446
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 122","Chelmsford",113,13,2,1,47,1,0,177,484
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 123","Chelmsford",98,12,1,1,55,1,1,169,434
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 124","Chelmsford",96,21,1,0,57,2,1,178,563
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 125","Chelmsford",73,10,3,1,46,0,2,135,467
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 126","Chelmsford",119,18,2,3,80,2,4,228,609
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 127","Chelmsford",101,14,1,1,60,0,1,178,529
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 128","Chelmsford",101,7,1,0,59,0,0,168,412
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 129","Chelmsford",95,6,0,2,60,0,1,164,490
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 130","Onaping Falls",88,14,1,2,42,6,3,156,355
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 131","Onaping Falls",88,22,2,2,74,3,1,192,459
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 132","Verner",42,1,0,0,36,2,0,81,233
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 133","Verner",75,6,0,1,41,1,1,125,301
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 134","Verner",70,12,0,0,64,4,16,166,421
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 135","Verner",57,7,0,1,70,7,1,143,327
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 136","Verner",59,6,1,0,61,2,4,133,379
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 137","Cache Bay",82,9,6,1,71,2,1,172,324
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 138","Cache Bay",69,13,2,1,72,4,0,161,327
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 139","St. Charles",140,13,4,2,85,5,1,250,457
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 140","St. Charles",127,12,1,1,79,2,2,224,477
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 141","St. Charles",110,22,0,1,98,2,0,233,446
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 142","Naughton",54,5,0,0,27,0,0,86,169
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 143","Whitefish",117,21,0,0,57,3,1,199,373
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 144","Lavigne",59,3,2,0,40,4,0,108,187
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 145","Lavigne",71,8,1,2,76,5,1,164,343
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 146","Nairn Centre",87,26,1,0,55,0,0,169,378
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 147","Naughton",92,13,1,3,53,1,0,163,378
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 148","Naughton",69,10,3,1,76,3,0,162,382
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 149","Fairbank",74,10,1,1,39,0,1,126,318
35104,"Sudbury East--Manitoulin--Nickel Belt/Sudbury-Est--Manitoulin--Nickel Belt"," 150","Worthington",66,14,1,1,27,1,0,110,211
