Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Kelly Block,Cheryl Loadman,Katelyn Zimmer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 122A","Corman Park No. 344",Combined with No./Résultats combinés à ceux du n°112,,,,,76
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 122B","Corman Park No. 344",192,14,68,0,274,562
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 123","Blucher No. 343",220,13,57,2,292,451
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 124","Blucher No. 343",179,18,44,1,242,474
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 125","Vade",107,13,23,0,143,374
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 126","Delisle",132,18,18,1,169,422
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 127","Delisle",99,15,21,2,137,402
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 128","Dixon",177,7,24,2,210,410
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 129","Humboldt",74,9,23,1,107,450
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 130","Humboldt",127,11,20,4,162,553
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 131","Humboldt",132,8,24,0,164,500
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 132A","Humboldt",141,15,31,1,188,545
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 132B","Humboldt",Combined with No./Résultats combinés à ceux du n°142,,,,,4
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 133","Corman Park No. 344",120,9,53,0,182,445
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 134","Corman Park No. 344",183,14,90,1,288,551
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 135","Corman Park No. 344",118,11,30,1,160,354
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 136","Corman Park No. 344",125,11,50,1,187,414
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 137","Humboldt",143,5,24,1,173,512
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 138","Humboldt",151,9,27,0,187,576
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 139","Humboldt",128,5,18,0,151,474
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 140","Humboldt",115,16,26,1,158,535
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 141","Humboldt",101,8,14,1,124,441
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 142","Muenster",183,13,28,1,225,417
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 143","Blucher No. 343",123,8,33,1,165,436
