Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Kelly-Ann Callaghan,Paul Church,Larry Duchesne,Stephen Ellis,Alana Hirtle,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12004,"Cumberland--Colchester/Cumberland--Colchester"," 28","Wentworth",5,2,13,141,158,2,321,523
12004,"Cumberland--Colchester/Cumberland--Colchester"," 29","East Amherst",1,0,3,67,38,0,109,392
12004,"Cumberland--Colchester/Cumberland--Colchester"," 30","Amherst",0,1,9,45,53,0,108,453
12004,"Cumberland--Colchester/Cumberland--Colchester"," 31","Hastings",0,1,1,60,35,1,98,352
12004,"Cumberland--Colchester/Cumberland--Colchester"," 32","Amherst",3,0,2,54,77,0,136,435
12004,"Cumberland--Colchester/Cumberland--Colchester"," 33","Amherst",1,1,4,90,106,1,203,571
12004,"Cumberland--Colchester/Cumberland--Colchester"," 34","Amherst",2,2,3,58,59,2,126,403
12004,"Cumberland--Colchester/Cumberland--Colchester"," 35","Amherst",3,2,3,74,83,1,166,497
12004,"Cumberland--Colchester/Cumberland--Colchester"," 36","Amherst",6,2,4,43,44,1,100,406
12004,"Cumberland--Colchester/Cumberland--Colchester"," 37","Amherst",6,0,10,46,49,1,112,403
12004,"Cumberland--Colchester/Cumberland--Colchester"," 38","Amherst",0,1,4,71,48,0,124,346
12004,"Cumberland--Colchester/Cumberland--Colchester"," 39","Amherst",0,0,6,62,69,0,137,457
12004,"Cumberland--Colchester/Cumberland--Colchester"," 40","Amherst",0,0,5,62,51,0,118,393
12004,"Cumberland--Colchester/Cumberland--Colchester"," 41","Amherst",2,0,11,51,58,2,124,429
12004,"Cumberland--Colchester/Cumberland--Colchester"," 42","Amherst",1,2,3,63,38,1,108,418
12004,"Cumberland--Colchester/Cumberland--Colchester"," 43","Kemptown",4,1,5,64,30,2,106,188
12004,"Cumberland--Colchester/Cumberland--Colchester"," 44","Amherst",1,1,4,55,79,1,141,442
12004,"Cumberland--Colchester/Cumberland--Colchester"," 45","Amherst",0,1,4,43,40,1,89,378
12004,"Cumberland--Colchester/Cumberland--Colchester"," 46","Amherst",0,2,7,41,39,1,90,352
12004,"Cumberland--Colchester/Cumberland--Colchester"," 47","Amherst",4,2,5,58,33,0,102,347
12004,"Cumberland--Colchester/Cumberland--Colchester"," 48","Amherst",2,1,4,39,37,1,84,348
12004,"Cumberland--Colchester/Cumberland--Colchester"," 49","Amherst",2,2,13,45,35,0,97,341
12004,"Cumberland--Colchester/Cumberland--Colchester"," 50","Upper North River",0,3,6,79,65,1,154,316
12004,"Cumberland--Colchester/Cumberland--Colchester"," 51","Brookdale",0,0,6,73,54,1,134,279
12004,"Cumberland--Colchester/Cumberland--Colchester"," 52","Brookdale",3,2,13,114,69,0,201,393
12004,"Cumberland--Colchester/Cumberland--Colchester"," 53","West Amherst",5,1,3,49,43,0,101,434
12004,"Cumberland--Colchester/Cumberland--Colchester"," 54","Nappan",1,1,1,60,56,0,119,351
12004,"Cumberland--Colchester/Cumberland--Colchester"," 55","Westchester Valley",4,1,3,101,57,2,168,279
12004,"Cumberland--Colchester/Cumberland--Colchester"," 56","East Mountain",1,0,5,85,47,0,138,478
12004,"Cumberland--Colchester/Cumberland--Colchester"," 57","Valley",0,0,2,67,59,0,128,411
12004,"Cumberland--Colchester/Cumberland--Colchester"," 58","Valley",1,0,1,72,35,0,109,376
12004,"Cumberland--Colchester/Cumberland--Colchester"," 59","Bible Hill",2,1,7,37,25,0,72,288
12004,"Cumberland--Colchester/Cumberland--Colchester"," 60","Bible Hill",2,0,6,64,69,0,141,373
12004,"Cumberland--Colchester/Cumberland--Colchester"," 61","Upper North River",0,0,6,94,45,2,147,348
12004,"Cumberland--Colchester/Cumberland--Colchester"," 62","Onslow Mountain",0,1,5,76,40,2,124,362
12004,"Cumberland--Colchester/Cumberland--Colchester"," 63","North River",0,2,4,67,34,0,107,309
12004,"Cumberland--Colchester/Cumberland--Colchester"," 64","North River",3,1,12,70,69,2,157,374
12004,"Cumberland--Colchester/Cumberland--Colchester"," 65","North River",1,1,6,68,67,0,143,342
12004,"Cumberland--Colchester/Cumberland--Colchester"," 66","Upper Onslow",4,1,5,62,56,1,129,415
12004,"Cumberland--Colchester/Cumberland--Colchester"," 67","Greenfield",2,1,5,90,48,0,146,406
12004,"Cumberland--Colchester/Cumberland--Colchester"," 68","Valley",2,2,7,66,78,1,156,422
12004,"Cumberland--Colchester/Cumberland--Colchester"," 69","Valley",1,2,3,59,61,0,126,352
12004,"Cumberland--Colchester/Cumberland--Colchester"," 70","Valley",2,0,3,53,49,1,108,265
12004,"Cumberland--Colchester/Cumberland--Colchester"," 71","Bible Hill",1,1,3,74,76,2,157,461
12004,"Cumberland--Colchester/Cumberland--Colchester"," 72","River Philip",2,1,11,78,62,0,154,319
12004,"Cumberland--Colchester/Cumberland--Colchester"," 73","Valley Cross Roads",3,1,4,57,54,1,120,394
12004,"Cumberland--Colchester/Cumberland--Colchester"," 74","Valley",1,0,0,64,92,2,159,469
12004,"Cumberland--Colchester/Cumberland--Colchester"," 75","Athol",1,2,7,110,53,1,174,459
12004,"Cumberland--Colchester/Cumberland--Colchester"," 76","Millvale",1,0,10,87,81,1,180,309
12004,"Cumberland--Colchester/Cumberland--Colchester"," 77","Eastville",5,1,5,67,60,2,140,285
12004,"Cumberland--Colchester/Cumberland--Colchester"," 78","Upper Stewiacke",2,3,4,107,46,0,162,311
12004,"Cumberland--Colchester/Cumberland--Colchester"," 79","Brookside",2,3,10,73,75,0,163,429
12004,"Cumberland--Colchester/Cumberland--Colchester"," 80","Brookside",0,1,9,50,53,0,113,376
12004,"Cumberland--Colchester/Cumberland--Colchester"," 81","Bible Hill",1,0,9,59,31,0,100,357
12004,"Cumberland--Colchester/Cumberland--Colchester"," 82","Bible Hill",2,6,9,49,41,1,108,323
12004,"Cumberland--Colchester/Cumberland--Colchester"," 83","Debert",4,4,6,127,68,3,212,449
12004,"Cumberland--Colchester/Cumberland--Colchester"," 84","Belmont",4,0,8,95,65,0,172,420
12004,"Cumberland--Colchester/Cumberland--Colchester"," 85","Belmont",1,0,8,125,58,0,192,446
12004,"Cumberland--Colchester/Cumberland--Colchester"," 86","Belmont",1,1,6,67,49,3,127,457
12004,"Cumberland--Colchester/Cumberland--Colchester"," 87","Glenholme",4,3,7,102,87,2,205,358
12004,"Cumberland--Colchester/Cumberland--Colchester"," 88","Masstown",1,1,5,44,29,0,80,290
12004,"Cumberland--Colchester/Cumberland--Colchester"," 89","Lower Debert--Masstown",1,2,1,90,75,3,172,424
12004,"Cumberland--Colchester/Cumberland--Colchester"," 90","Bible Hill",1,0,7,39,47,2,96,278
12004,"Cumberland--Colchester/Cumberland--Colchester"," 91","Bible Hill",1,1,2,72,54,0,130,344
12004,"Cumberland--Colchester/Cumberland--Colchester"," 92","Bible Hill",0,1,1,58,75,0,135,398
12004,"Cumberland--Colchester/Cumberland--Colchester"," 93","Bible Hill",4,1,4,45,48,2,104,304
12004,"Cumberland--Colchester/Cumberland--Colchester"," 94","Bible Hill",4,1,3,69,64,0,141,450
12004,"Cumberland--Colchester/Cumberland--Colchester"," 95","Bible Hill",5,0,7,56,57,2,127,342
12004,"Cumberland--Colchester/Cumberland--Colchester"," 96","Londonderry",5,0,8,138,71,2,224,399
12004,"Cumberland--Colchester/Cumberland--Colchester"," 97","Greenfield",1,0,3,72,49,1,126,320
12004,"Cumberland--Colchester/Cumberland--Colchester"," 98","Salmon River",5,1,8,100,79,1,194,526
12004,"Cumberland--Colchester/Cumberland--Colchester"," 99","Salmon River",2,0,6,80,41,2,131,318
12004,"Cumberland--Colchester/Cumberland--Colchester"," 100","Bible Hill",1,0,6,40,44,0,91,318
12004,"Cumberland--Colchester/Cumberland--Colchester"," 101","Springhill",3,0,8,48,60,0,119,332
12004,"Cumberland--Colchester/Cumberland--Colchester"," 102","Springhill",5,2,5,66,17,0,95,294
12004,"Cumberland--Colchester/Cumberland--Colchester"," 103","Springhill",3,0,9,49,27,0,88,346
12004,"Cumberland--Colchester/Cumberland--Colchester"," 104","Truro",2,0,9,43,45,2,101,378
12004,"Cumberland--Colchester/Cumberland--Colchester"," 105","Truro",1,0,3,58,68,1,131,506
12004,"Cumberland--Colchester/Cumberland--Colchester"," 106","Truro",2,1,8,53,74,0,138,429
12004,"Cumberland--Colchester/Cumberland--Colchester"," 107","Truro",2,2,8,40,68,0,120,426
12004,"Cumberland--Colchester/Cumberland--Colchester"," 108","Belmont",1,1,5,50,34,0,91,308
12004,"Cumberland--Colchester/Cumberland--Colchester"," 109","Crowes Mills",0,2,3,46,28,0,79,259
12004,"Cumberland--Colchester/Cumberland--Colchester"," 110","Central Onslow",5,0,1,63,44,1,114,365
12004,"Cumberland--Colchester/Cumberland--Colchester"," 111","Lower Onslow",1,1,2,56,49,0,109,332
12004,"Cumberland--Colchester/Cumberland--Colchester"," 112","Salmon River",3,1,4,69,47,0,124,392
12004,"Cumberland--Colchester/Cumberland--Colchester"," 113","Harmony",5,1,5,91,41,1,144,370
12004,"Cumberland--Colchester/Cumberland--Colchester"," 114","Salmon River",3,1,7,79,58,1,149,356
12004,"Cumberland--Colchester/Cumberland--Colchester"," 115","Salmon River--Harmony",5,0,2,79,48,1,135,377
12004,"Cumberland--Colchester/Cumberland--Colchester"," 116","Truro",0,0,13,37,49,0,99,393
12004,"Cumberland--Colchester/Cumberland--Colchester"," 117","Truro",1,1,6,31,56,1,96,430
12004,"Cumberland--Colchester/Cumberland--Colchester"," 118","Truro",0,0,2,26,57,1,86,405
12004,"Cumberland--Colchester/Cumberland--Colchester"," 119","Truro",1,0,3,30,78,0,112,442
12004,"Cumberland--Colchester/Cumberland--Colchester"," 120","Truro",2,1,9,36,58,0,106,330
12004,"Cumberland--Colchester/Cumberland--Colchester"," 121","Truro",2,3,9,62,104,2,182,471
12004,"Cumberland--Colchester/Cumberland--Colchester"," 122","Truro",0,0,6,40,81,0,127,365
12004,"Cumberland--Colchester/Cumberland--Colchester"," 123","Truro",4,0,9,36,68,1,118,422
12004,"Cumberland--Colchester/Cumberland--Colchester"," 124","Truro",3,2,6,69,95,0,175,463
12004,"Cumberland--Colchester/Cumberland--Colchester"," 125","Truro",2,1,6,51,80,1,141,412
12004,"Cumberland--Colchester/Cumberland--Colchester"," 126","Truro",1,2,10,51,93,0,157,428
12004,"Cumberland--Colchester/Cumberland--Colchester"," 127","Truro",1,1,4,42,71,1,120,323
12004,"Cumberland--Colchester/Cumberland--Colchester"," 128","Truro",4,1,7,33,82,0,127,325
12004,"Cumberland--Colchester/Cumberland--Colchester"," 129","River Hebert East",4,0,11,98,60,0,173,367
12004,"Cumberland--Colchester/Cumberland--Colchester"," 130","River Hebert",3,5,8,97,74,0,187,303
12004,"Cumberland--Colchester/Cumberland--Colchester"," 131","Truro",4,0,4,45,54,0,107,461
12004,"Cumberland--Colchester/Cumberland--Colchester"," 132","Truro",3,0,7,77,85,2,174,520
12004,"Cumberland--Colchester/Cumberland--Colchester"," 133","Truro",3,1,5,45,46,0,100,401
12004,"Cumberland--Colchester/Cumberland--Colchester"," 134","Truro",2,0,7,42,39,0,90,399
12004,"Cumberland--Colchester/Cumberland--Colchester"," 135","Truro",2,0,4,54,28,0,88,304
12004,"Cumberland--Colchester/Cumberland--Colchester"," 136","Truro",5,1,3,52,44,0,105,347
12004,"Cumberland--Colchester/Cumberland--Colchester"," 137","Truro",3,0,4,89,89,1,186,541
12004,"Cumberland--Colchester/Cumberland--Colchester"," 138A","Springhill",3,0,1,46,27,0,77,271
12004,"Cumberland--Colchester/Cumberland--Colchester"," 138B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,3
12004,"Cumberland--Colchester/Cumberland--Colchester"," 139","Springhill",4,2,5,54,42,0,107,308
12004,"Cumberland--Colchester/Cumberland--Colchester"," 140","Springhill",3,3,5,49,26,2,88,279
12004,"Cumberland--Colchester/Cumberland--Colchester"," 141","Springhill",3,1,4,52,34,1,95,324
12004,"Cumberland--Colchester/Cumberland--Colchester"," 142","Springhill",1,1,3,66,38,3,112,292
12004,"Cumberland--Colchester/Cumberland--Colchester"," 143","Rodney",3,0,3,60,37,1,104,350
12004,"Cumberland--Colchester/Cumberland--Colchester"," 144","Millbrook 27",2,2,6,12,58,0,80,332
12004,"Cumberland--Colchester/Cumberland--Colchester"," 145","Millbrook 27",4,0,3,15,87,0,109,370
12004,"Cumberland--Colchester/Cumberland--Colchester"," 146","Truro Heights",1,1,7,51,50,0,110,386
12004,"Cumberland--Colchester/Cumberland--Colchester"," 147","Truro Heights",2,0,6,94,83,0,185,410
12004,"Cumberland--Colchester/Cumberland--Colchester"," 148","Truro Heights",2,2,9,89,70,1,173,508
12004,"Cumberland--Colchester/Cumberland--Colchester"," 149","Lower Truro",1,0,4,54,45,0,104,304
12004,"Cumberland--Colchester/Cumberland--Colchester"," 150","Great Village",2,2,10,124,70,2,210,380
12004,"Cumberland--Colchester/Cumberland--Colchester"," 151","Glenholme",2,0,8,86,67,0,163,300
12004,"Cumberland--Colchester/Cumberland--Colchester"," 152","Maccan",2,0,2,80,25,1,110,395
12004,"Cumberland--Colchester/Cumberland--Colchester"," 153","Southampton",2,3,7,145,90,1,248,425
12004,"Cumberland--Colchester/Cumberland--Colchester"," 154","Truro",1,0,8,93,74,0,176,352
12004,"Cumberland--Colchester/Cumberland--Colchester"," 155","Hilden",0,1,7,78,71,0,157,335
12004,"Cumberland--Colchester/Cumberland--Colchester"," 156","Hilden--Brookfield",3,1,7,79,71,0,161,369
12004,"Cumberland--Colchester/Cumberland--Colchester"," 157","Hilden",3,1,4,67,55,0,130,244
12004,"Cumberland--Colchester/Cumberland--Colchester"," 158","Hilden",2,3,7,83,68,0,163,276
12004,"Cumberland--Colchester/Cumberland--Colchester"," 159","Portapique",2,2,6,79,52,1,142,312
12004,"Cumberland--Colchester/Cumberland--Colchester"," 160","Bass River",9,0,5,88,75,1,178,476
12004,"Cumberland--Colchester/Cumberland--Colchester"," 161","Upper Brookfield",2,1,1,58,51,0,113,276
12004,"Cumberland--Colchester/Cumberland--Colchester"," 162","Brookfield",0,2,2,38,35,1,78,225
12004,"Cumberland--Colchester/Cumberland--Colchester"," 163","Lower Cove--Joggins",6,5,7,148,69,3,238,436
12004,"Cumberland--Colchester/Cumberland--Colchester"," 164","Clifton",2,2,10,82,88,1,185,406
12004,"Cumberland--Colchester/Cumberland--Colchester"," 165","Middle Stewiacke",4,4,2,95,80,3,188,377
12004,"Cumberland--Colchester/Cumberland--Colchester"," 166","Meadowvale",4,3,9,74,34,0,124,238
12004,"Cumberland--Colchester/Cumberland--Colchester"," 167","Stewiacke East",1,0,8,58,24,0,91,391
12004,"Cumberland--Colchester/Cumberland--Colchester"," 168","Brookfield",2,1,10,78,39,0,130,363
12004,"Cumberland--Colchester/Cumberland--Colchester"," 169","Brookfield",1,2,4,88,54,1,150,391
12004,"Cumberland--Colchester/Cumberland--Colchester"," 170","Shortts Lake",3,1,3,73,67,1,148,353
12004,"Cumberland--Colchester/Cumberland--Colchester"," 171","Economy",4,3,9,70,80,0,166,380
12004,"Cumberland--Colchester/Cumberland--Colchester"," 172","Five Islands",2,0,19,55,67,1,144,293
12004,"Cumberland--Colchester/Cumberland--Colchester"," 173","Fort Ellis",4,1,9,104,73,3,194,504
12004,"Cumberland--Colchester/Cumberland--Colchester"," 174","Stewiacke",0,0,5,61,62,0,128,357
12004,"Cumberland--Colchester/Cumberland--Colchester"," 175","Stewiacke",2,3,5,68,49,0,127,308
12004,"Cumberland--Colchester/Cumberland--Colchester"," 176","Stewiacke",3,1,19,80,63,1,167,525
12004,"Cumberland--Colchester/Cumberland--Colchester"," 177","Stewiacke",3,2,7,64,44,1,121,314
12004,"Cumberland--Colchester/Cumberland--Colchester"," 178","Wittenburg",0,0,15,83,31,2,131,376
12004,"Cumberland--Colchester/Cumberland--Colchester"," 179","Shubenacadie East",3,0,7,69,39,0,118,351
12004,"Cumberland--Colchester/Cumberland--Colchester"," 180","Shubenacadie East--Gays River",5,2,11,61,68,0,147,327
12004,"Cumberland--Colchester/Cumberland--Colchester"," 181","Parrsboro--Lakelands",4,0,7,71,53,0,135,390
12004,"Cumberland--Colchester/Cumberland--Colchester"," 182A","Parrsboro",4,0,4,60,60,1,129,387
12004,"Cumberland--Colchester/Cumberland--Colchester"," 182B","Mobile poll/Bureau itinérant",0,1,0,5,4,0,10,6
12004,"Cumberland--Colchester/Cumberland--Colchester"," 183","Parrsboro",3,0,1,57,74,1,136,451
12004,"Cumberland--Colchester/Cumberland--Colchester"," 184","Parrsboro",1,0,9,57,56,0,123,354
12004,"Cumberland--Colchester/Cumberland--Colchester"," 185","Diligent River",2,0,2,32,32,0,68,186
12004,"Cumberland--Colchester/Cumberland--Colchester"," 186","Port Greville",0,0,3,47,44,2,96,203
12004,"Cumberland--Colchester/Cumberland--Colchester"," 187A","West Advocate",12,2,7,120,113,0,254,392
12004,"Cumberland--Colchester/Cumberland--Colchester"," 187B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°182B,,,,,,,6
12004,"Cumberland--Colchester/Cumberland--Colchester"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,5
12004,"Cumberland--Colchester/Cumberland--Colchester"," 501","Mobile poll/Bureau itinérant",4,0,4,20,18,2,48,57
12004,"Cumberland--Colchester/Cumberland--Colchester"," 502","Mobile poll/Bureau itinérant",4,0,3,10,14,3,34,64
12004,"Cumberland--Colchester/Cumberland--Colchester"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,5
12004,"Cumberland--Colchester/Cumberland--Colchester"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,26
12004,"Cumberland--Colchester/Cumberland--Colchester"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,37
12004,"Cumberland--Colchester/Cumberland--Colchester"," 506","Mobile poll/Bureau itinérant",2,6,5,21,16,4,54,54
12004,"Cumberland--Colchester/Cumberland--Colchester"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,88
12004,"Cumberland--Colchester/Cumberland--Colchester"," 508","Mobile poll/Bureau itinérant",5,3,2,19,19,1,49,32
12004,"Cumberland--Colchester/Cumberland--Colchester"," 509","Mobile poll/Bureau itinérant",0,0,6,17,9,2,34,65
12004,"Cumberland--Colchester/Cumberland--Colchester"," 510","Mobile poll/Bureau itinérant",1,1,1,12,14,0,29,55
12004,"Cumberland--Colchester/Cumberland--Colchester"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,5
12004,"Cumberland--Colchester/Cumberland--Colchester"," 512","Mobile poll/Bureau itinérant",1,1,5,5,10,1,23,34
12004,"Cumberland--Colchester/Cumberland--Colchester"," 513","Mobile poll/Bureau itinérant",1,0,4,19,46,0,70,72
12004,"Cumberland--Colchester/Cumberland--Colchester"," 514A","Mobile poll/Bureau itinérant",1,2,4,13,18,1,39,82
12004,"Cumberland--Colchester/Cumberland--Colchester"," 514B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,,47
12004,"Cumberland--Colchester/Cumberland--Colchester"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514A,,,,,,,30
12004,"Cumberland--Colchester/Cumberland--Colchester"," 516","Mobile poll/Bureau itinérant",4,2,8,21,17,0,52,32
12004,"Cumberland--Colchester/Cumberland--Colchester"," 517","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,,6
12004,"Cumberland--Colchester/Cumberland--Colchester"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,15
12004,"Cumberland--Colchester/Cumberland--Colchester"," 600","Tatamagouche",20,8,31,369,623,2,1053,
12004,"Cumberland--Colchester/Cumberland--Colchester"," 601","Pugwash",8,3,30,347,442,2,832,
12004,"Cumberland--Colchester/Cumberland--Colchester"," 602","East Linden",5,1,17,157,188,0,368,
12004,"Cumberland--Colchester/Cumberland--Colchester"," 603","Amherst",13,6,30,395,583,0,1027,
12004,"Cumberland--Colchester/Cumberland--Colchester"," 604","Amherst",11,6,53,483,580,1,1134,
12004,"Cumberland--Colchester/Cumberland--Colchester"," 605","Maccan",9,3,28,266,255,0,561,
12004,"Cumberland--Colchester/Cumberland--Colchester"," 606","Parrsboro",8,1,33,292,402,2,738,
12004,"Cumberland--Colchester/Cumberland--Colchester"," 607","Springhill",7,5,48,521,348,13,942,
12004,"Cumberland--Colchester/Cumberland--Colchester"," 608","Oxford",4,3,25,367,330,5,734,
12004,"Cumberland--Colchester/Cumberland--Colchester"," 609","Bass River",8,4,11,231,281,3,538,
12004,"Cumberland--Colchester/Cumberland--Colchester"," 610","Debert",6,6,26,575,596,9,1218,
12004,"Cumberland--Colchester/Cumberland--Colchester"," 611","Belmont",9,6,24,490,505,2,1036,
12004,"Cumberland--Colchester/Cumberland--Colchester"," 612","Valley",5,1,37,590,927,0,1560,
12004,"Cumberland--Colchester/Cumberland--Colchester"," 613","Bible Hill",13,6,39,516,803,8,1385,
12004,"Cumberland--Colchester/Cumberland--Colchester"," 614","Truro",6,4,41,342,696,2,1091,
12004,"Cumberland--Colchester/Cumberland--Colchester"," 615","Truro",8,9,34,333,721,2,1107,
12004,"Cumberland--Colchester/Cumberland--Colchester"," 616","Truro",13,5,27,310,744,10,1109,
12004,"Cumberland--Colchester/Cumberland--Colchester"," 617","Millbrook 27",2,0,9,21,76,1,109,
12004,"Cumberland--Colchester/Cumberland--Colchester"," 618","Truro",4,2,20,275,346,3,650,
12004,"Cumberland--Colchester/Cumberland--Colchester"," 619","Truro--Salmon River",11,6,22,436,455,5,935,
12004,"Cumberland--Colchester/Cumberland--Colchester"," 620","Brookfield",5,7,22,338,363,3,738,
12004,"Cumberland--Colchester/Cumberland--Colchester"," 621","Stewiacke",12,6,29,473,548,3,1071,
12004,"Cumberland--Colchester/Cumberland--Colchester",,Group 1/Groupe 1, 17,2,15,246,344,34,658,150
12004,"Cumberland--Colchester/Cumberland--Colchester",,Group 2/Groupe 2, 28,15,89,1446,1895,50,3523,
