Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Ravinder Bhatia,Don Davies,Amy K. Gill,Imtiaz Popat,Fiona Wang,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59039,"Vancouver Kingsway/Vancouver Kingsway"," 104","Vancouver",27,43,39,1,1,0,111,405
59039,"Vancouver Kingsway/Vancouver Kingsway"," 105","Vancouver",34,40,29,0,0,2,105,356
59039,"Vancouver Kingsway/Vancouver Kingsway"," 106","Vancouver",32,15,28,1,0,0,76,494
59039,"Vancouver Kingsway/Vancouver Kingsway"," 107","Vancouver",20,18,17,1,1,0,57,449
59039,"Vancouver Kingsway/Vancouver Kingsway"," 108","Vancouver",38,39,32,2,2,0,113,452
59039,"Vancouver Kingsway/Vancouver Kingsway"," 109","Vancouver",21,24,22,0,0,1,68,390
59039,"Vancouver Kingsway/Vancouver Kingsway"," 110","Vancouver",30,34,27,2,0,0,93,460
59039,"Vancouver Kingsway/Vancouver Kingsway"," 111","Vancouver",20,20,21,3,0,0,64,445
59039,"Vancouver Kingsway/Vancouver Kingsway"," 112","Vancouver",27,33,27,0,2,2,91,479
59039,"Vancouver Kingsway/Vancouver Kingsway"," 113","Vancouver",66,70,88,5,0,1,230,524
59039,"Vancouver Kingsway/Vancouver Kingsway"," 114","Vancouver",58,53,82,2,4,1,200,582
59039,"Vancouver Kingsway/Vancouver Kingsway"," 115","Vancouver",Combined with No./Résultats combinés à ceux du n°116,,,,,,,325
59039,"Vancouver Kingsway/Vancouver Kingsway"," 116","Vancouver",77,49,120,2,1,3,252,382
59039,"Vancouver Kingsway/Vancouver Kingsway"," 117","Vancouver",38,50,61,2,0,1,152,420
59039,"Vancouver Kingsway/Vancouver Kingsway"," 118","Vancouver",43,47,51,5,1,1,148,419
59039,"Vancouver Kingsway/Vancouver Kingsway"," 119","Vancouver",54,59,74,2,2,1,192,400
59039,"Vancouver Kingsway/Vancouver Kingsway"," 120","Vancouver",43,28,17,0,3,1,92,384
