Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Naveed Ahmed,Nadeem Akbar,Adam Van Koeverden,Charles Zach,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 616","Burlington",24,802,1230,6,3,2065,
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 617","Burlington",23,585,979,6,6,1599,
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 618","Burlington",37,582,1025,14,4,1662,
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 619","Burlington",36,599,972,15,2,1624,
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 620","Burlington",34,598,908,11,3,1554,
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 621","Milton",25,443,560,6,11,1045,
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 622","Milton",9,210,192,0,0,411,
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 623","Milton",9,440,582,7,4,1042,
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest",,Group 1/Groupe 1, 17,462,727,11,113,1330,426
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest",,Group 2/Groupe 2, 25,713,1113,6,48,1905,
