Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Lynette Powell,Clifford Small,Darian Vincent,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10003,"Central Newfoundland/Central Newfoundland"," 24","Hillgrade",24,71,0,0,95,207
10003,"Central Newfoundland/Central Newfoundland"," 25","Fairbank",29,32,1,1,63,122
10003,"Central Newfoundland/Central Newfoundland"," 26","Stoneville--Port Albert",21,126,2,0,149,286
10003,"Central Newfoundland/Central Newfoundland"," 27","Virgin Arm",45,181,4,0,230,559
10003,"Central Newfoundland/Central Newfoundland"," 28","Horwood",29,85,6,0,120,316
10003,"Central Newfoundland/Central Newfoundland"," 29","Moreton's Harbour",23,11,1,0,35,50
10003,"Central Newfoundland/Central Newfoundland"," 30","Moreton's Harbour",Combined with No./Résultats combinés à ceux du n°16,,,,,206
10003,"Central Newfoundland/Central Newfoundland"," 31","Brent's Cove",23,104,6,6,139,249
10003,"Central Newfoundland/Central Newfoundland"," 32","Coachman's Cove",15,37,1,2,55,94
10003,"Central Newfoundland/Central Newfoundland"," 33","Summerford",44,93,5,0,142,302
10003,"Central Newfoundland/Central Newfoundland"," 34","Summerford",18,81,3,1,103,215
10003,"Central Newfoundland/Central Newfoundland"," 35","Summerford",34,81,5,1,121,205
10003,"Central Newfoundland/Central Newfoundland"," 36","Cottlesville",37,75,4,2,118,202
10003,"Central Newfoundland/Central Newfoundland"," 37","Boyd's Cove",46,44,3,1,94,135
10003,"Central Newfoundland/Central Newfoundland"," 38","Little Burnt Bay",36,69,3,5,113,229
10003,"Central Newfoundland/Central Newfoundland"," 39","Beaumont",37,46,3,1,87,150
10003,"Central Newfoundland/Central Newfoundland"," 40","Wild Cove",8,19,0,2,29,45
10003,"Central Newfoundland/Central Newfoundland"," 41","Ming's Bight",29,114,3,7,153,245
10003,"Central Newfoundland/Central Newfoundland"," 42","Cottrell's Cove",24,47,4,6,81,167
10003,"Central Newfoundland/Central Newfoundland"," 43","Gander Bay South",34,140,2,1,177,358
10003,"Central Newfoundland/Central Newfoundland"," 44","Nippers Harbour",2,30,1,0,33,71
10003,"Central Newfoundland/Central Newfoundland"," 45","Baie Verte",28,88,2,1,119,350
10003,"Central Newfoundland/Central Newfoundland"," 46","Comfort Cove-Newstead",69,110,4,1,184,328
10003,"Central Newfoundland/Central Newfoundland"," 47A","Victoria Cove",40,80,3,7,130,223
10003,"Central Newfoundland/Central Newfoundland"," 47B","Victoria Cove",33,85,4,3,125,301
10003,"Central Newfoundland/Central Newfoundland"," 48A","Clarke's Head",Combined with No./Résultats combinés à ceux du n°47A,,,,,74
10003,"Central Newfoundland/Central Newfoundland"," 48B","Clarke's Head",Combined with No./Résultats combinés à ceux du n°47B,,,,,48
10003,"Central Newfoundland/Central Newfoundland"," 49","Baie Verte",25,65,0,1,91,277
10003,"Central Newfoundland/Central Newfoundland"," 50","Baie Verte",38,114,6,1,159,389
10003,"Central Newfoundland/Central Newfoundland"," 51","Birchy Bay",54,217,5,6,282,497
10003,"Central Newfoundland/Central Newfoundland"," 52","Burlington",23,174,4,9,210,357
10003,"Central Newfoundland/Central Newfoundland"," 53","Baytona",30,108,6,0,144,226
10003,"Central Newfoundland/Central Newfoundland"," 54","Seal Cove",28,90,4,1,123,232
10003,"Central Newfoundland/Central Newfoundland"," 55","King's Point--Nickey's Nose Cove",29,52,6,1,88,158
10003,"Central Newfoundland/Central Newfoundland"," 56","Embree",34,97,4,5,140,275
10003,"Central Newfoundland/Central Newfoundland"," 57","Embree",18,125,3,2,148,273
10003,"Central Newfoundland/Central Newfoundland"," 58","Leading Tickles",64,125,4,5,198,275
10003,"Central Newfoundland/Central Newfoundland"," 59","Campbellton",58,98,2,0,158,286
10003,"Central Newfoundland/Central Newfoundland"," 60","Campbellton--Loon Bay",71,98,5,0,174,328
10003,"Central Newfoundland/Central Newfoundland"," 61","Brighton",33,70,3,3,109,138
10003,"Central Newfoundland/Central Newfoundland"," 62","Little Bay",46,87,5,0,138,289
10003,"Central Newfoundland/Central Newfoundland"," 63","Stanhope",31,112,3,1,147,201
10003,"Central Newfoundland/Central Newfoundland"," 64","Lewisporte",54,88,3,0,145,345
10003,"Central Newfoundland/Central Newfoundland"," 65","Lewisporte",41,70,0,1,112,293
10003,"Central Newfoundland/Central Newfoundland"," 66","Lewisporte",37,57,1,0,95,323
10003,"Central Newfoundland/Central Newfoundland"," 67","Lewisporte",43,83,2,0,128,249
10003,"Central Newfoundland/Central Newfoundland"," 68","Triton",37,156,3,5,201,329
10003,"Central Newfoundland/Central Newfoundland"," 69","Triton",63,218,9,3,293,544
10003,"Central Newfoundland/Central Newfoundland"," 70","Middle Arm",14,204,1,0,219,389
10003,"Central Newfoundland/Central Newfoundland"," 71","Pilley's Island",55,76,6,0,137,246
10003,"Central Newfoundland/Central Newfoundland"," 72","Port Anson",27,93,6,0,126,212
10003,"Central Newfoundland/Central Newfoundland"," 73","Brown's Arm--Porterville",51,160,3,0,214,295
10003,"Central Newfoundland/Central Newfoundland"," 74","Point of Bay",39,59,3,4,105,180
10003,"Central Newfoundland/Central Newfoundland"," 75","Gander",55,70,3,1,129,291
10003,"Central Newfoundland/Central Newfoundland"," 76","Gander",100,64,3,0,167,351
10003,"Central Newfoundland/Central Newfoundland"," 77","Gander",93,73,2,0,168,415
10003,"Central Newfoundland/Central Newfoundland"," 78","Gander",81,41,7,2,131,358
10003,"Central Newfoundland/Central Newfoundland"," 79","Gander",58,60,4,0,122,323
10003,"Central Newfoundland/Central Newfoundland"," 80","Gander",87,96,4,1,188,435
10003,"Central Newfoundland/Central Newfoundland"," 81","Gander",66,51,3,5,125,371
10003,"Central Newfoundland/Central Newfoundland"," 82","Gander",69,118,2,1,190,468
10003,"Central Newfoundland/Central Newfoundland"," 83","Benton",25,53,0,0,78,152
10003,"Central Newfoundland/Central Newfoundland"," 84","Westport",21,106,2,2,131,190
10003,"Central Newfoundland/Central Newfoundland"," 85","Gander",68,62,6,0,136,408
10003,"Central Newfoundland/Central Newfoundland"," 86","Gander",73,43,1,3,120,322
10003,"Central Newfoundland/Central Newfoundland"," 87","Gander",54,62,6,0,122,322
10003,"Central Newfoundland/Central Newfoundland"," 88","Gander",67,54,5,0,126,357
10003,"Central Newfoundland/Central Newfoundland"," 89","Point Leamington",59,128,3,4,194,308
10003,"Central Newfoundland/Central Newfoundland"," 90","Point Leamington",51,79,10,1,141,252
10003,"Central Newfoundland/Central Newfoundland"," 91","Gander",53,57,4,1,115,324
10003,"Central Newfoundland/Central Newfoundland"," 92","Gander",75,63,3,0,141,354
10003,"Central Newfoundland/Central Newfoundland"," 93","Gander",55,49,6,0,110,274
10003,"Central Newfoundland/Central Newfoundland"," 94","Gander",111,85,14,0,210,547
10003,"Central Newfoundland/Central Newfoundland"," 95","Gander",62,51,5,2,120,393
10003,"Central Newfoundland/Central Newfoundland"," 96","Springdale",35,62,2,0,99,290
10003,"Central Newfoundland/Central Newfoundland"," 97","Springdale",39,82,0,0,121,344
10003,"Central Newfoundland/Central Newfoundland"," 98","Springdale",35,62,3,3,103,333
10003,"Central Newfoundland/Central Newfoundland"," 99","Lewisporte",82,128,0,1,211,493
10003,"Central Newfoundland/Central Newfoundland"," 100","Lewisporte",50,65,0,8,123,342
10003,"Central Newfoundland/Central Newfoundland"," 101","Lewisporte",79,155,0,0,234,480
10003,"Central Newfoundland/Central Newfoundland"," 102","Lewisporte",78,121,4,2,205,427
10003,"Central Newfoundland/Central Newfoundland"," 103","Gander",79,60,4,1,144,339
10003,"Central Newfoundland/Central Newfoundland"," 104","Gander",75,43,1,1,120,329
10003,"Central Newfoundland/Central Newfoundland"," 105","Gander",107,72,5,0,184,457
10003,"Central Newfoundland/Central Newfoundland"," 106","Gander",77,44,3,2,126,330
10003,"Central Newfoundland/Central Newfoundland"," 107","Gander",49,55,3,1,108,339
10003,"Central Newfoundland/Central Newfoundland"," 108","Gander",64,55,2,0,121,341
10003,"Central Newfoundland/Central Newfoundland"," 109","Gander",64,44,4,1,113,316
10003,"Central Newfoundland/Central Newfoundland"," 110","Gander",122,92,4,1,219,599
10003,"Central Newfoundland/Central Newfoundland"," 111","Robert's Arm",23,120,1,1,145,365
10003,"Central Newfoundland/Central Newfoundland"," 112","Robert's Arm",32,93,4,1,130,288
10003,"Central Newfoundland/Central Newfoundland"," 113","Laurenceton",25,68,0,0,93,194
10003,"Central Newfoundland/Central Newfoundland"," 114","Rattling Brook",Combined with No./Résultats combinés à ceux du n°116,,,,,11
10003,"Central Newfoundland/Central Newfoundland"," 115","King's Point",50,123,2,3,178,340
10003,"Central Newfoundland/Central Newfoundland"," 116","King's Point",66,99,0,3,168,296
10003,"Central Newfoundland/Central Newfoundland"," 117","Springdale",45,84,2,0,131,416
10003,"Central Newfoundland/Central Newfoundland"," 118","Springdale",44,71,5,3,123,350
10003,"Central Newfoundland/Central Newfoundland"," 119","Springdale",51,104,3,1,159,417
10003,"Central Newfoundland/Central Newfoundland"," 120","Springdale",57,108,7,1,173,441
10003,"Central Newfoundland/Central Newfoundland"," 121","Norris Arm North",25,87,2,1,115,180
10003,"Central Newfoundland/Central Newfoundland"," 122","Glenwood",98,96,13,0,207,339
10003,"Central Newfoundland/Central Newfoundland"," 123","Glenwood",93,108,10,0,211,374
10003,"Central Newfoundland/Central Newfoundland"," 124","Botwood",82,57,3,0,142,386
10003,"Central Newfoundland/Central Newfoundland"," 125","Botwood",57,75,11,0,143,400
10003,"Central Newfoundland/Central Newfoundland"," 126","Northern Arm",92,100,11,2,205,360
10003,"Central Newfoundland/Central Newfoundland"," 127","Botwood",54,46,6,0,106,272
10003,"Central Newfoundland/Central Newfoundland"," 128","Botwood",102,97,1,2,202,445
10003,"Central Newfoundland/Central Newfoundland"," 129","Botwood",45,59,7,0,111,349
10003,"Central Newfoundland/Central Newfoundland"," 130","Botwood",34,71,7,0,112,281
10003,"Central Newfoundland/Central Newfoundland"," 131","Botwood",39,73,1,1,114,379
10003,"Central Newfoundland/Central Newfoundland"," 132","Peterview",12,125,3,0,140,381
10003,"Central Newfoundland/Central Newfoundland"," 133","Peterview",35,108,2,1,146,365
10003,"Central Newfoundland/Central Newfoundland"," 134","Appleton",66,63,4,2,135,225
10003,"Central Newfoundland/Central Newfoundland"," 135","Appleton",95,89,2,0,186,312
10003,"Central Newfoundland/Central Newfoundland"," 136","Bishop's Falls",48,72,1,1,122,300
10003,"Central Newfoundland/Central Newfoundland"," 137","Bishop's Falls",49,94,5,0,148,384
10003,"Central Newfoundland/Central Newfoundland"," 138","Bishop's Falls",71,86,8,1,166,429
10003,"Central Newfoundland/Central Newfoundland"," 139","Bishop's Falls",32,62,3,2,99,289
10003,"Central Newfoundland/Central Newfoundland"," 140","Bishop's Falls",72,99,5,1,177,374
10003,"Central Newfoundland/Central Newfoundland"," 141","Bishop's Falls",50,80,3,0,133,361
10003,"Central Newfoundland/Central Newfoundland"," 142","Norris Arm",67,149,12,6,234,355
10003,"Central Newfoundland/Central Newfoundland"," 143","Norris Arm",106,99,9,7,221,466
10003,"Central Newfoundland/Central Newfoundland"," 144","Grand Falls-Windsor",84,104,3,3,194,391
10003,"Central Newfoundland/Central Newfoundland"," 145","Grand Falls-Windsor",54,81,14,6,155,368
10003,"Central Newfoundland/Central Newfoundland"," 146","Grand Falls-Windsor",58,60,5,1,124,331
10003,"Central Newfoundland/Central Newfoundland"," 147","Grand Falls-Windsor",59,94,9,4,166,370
10003,"Central Newfoundland/Central Newfoundland"," 148","South Brook",62,227,7,3,299,518
10003,"Central Newfoundland/Central Newfoundland"," 149","Grand Falls-Windsor",82,93,2,0,177,403
10003,"Central Newfoundland/Central Newfoundland"," 150","Grand Falls-Windsor",121,98,9,1,229,535
10003,"Central Newfoundland/Central Newfoundland"," 151","Grand Falls-Windsor",37,50,3,0,90,245
10003,"Central Newfoundland/Central Newfoundland"," 152","Grand Falls-Windsor",136,115,7,0,258,544
10003,"Central Newfoundland/Central Newfoundland"," 153","Grand Falls-Windsor",91,118,5,1,215,479
10003,"Central Newfoundland/Central Newfoundland"," 154","Grand Falls-Windsor",66,86,7,0,159,426
10003,"Central Newfoundland/Central Newfoundland"," 155","Grand Falls-Windsor",47,98,6,3,154,424
10003,"Central Newfoundland/Central Newfoundland"," 156","Bishop's Falls",72,85,1,6,164,347
10003,"Central Newfoundland/Central Newfoundland"," 157","Bishop's Falls",58,83,0,12,153,384
10003,"Central Newfoundland/Central Newfoundland"," 158","Grand Falls-Windsor",90,83,3,3,179,407
10003,"Central Newfoundland/Central Newfoundland"," 159","Grand Falls-Windsor",99,74,6,0,179,432
10003,"Central Newfoundland/Central Newfoundland"," 160","Grand Falls-Windsor",57,48,3,0,108,342
10003,"Central Newfoundland/Central Newfoundland"," 161","Grand Falls-Windsor",82,81,2,0,165,395
10003,"Central Newfoundland/Central Newfoundland"," 162","Grand Falls-Windsor",66,105,3,0,174,409
10003,"Central Newfoundland/Central Newfoundland"," 163","Grand Falls-Windsor",42,53,3,0,98,399
10003,"Central Newfoundland/Central Newfoundland"," 164","Grand Falls-Windsor",71,74,3,0,148,353
10003,"Central Newfoundland/Central Newfoundland"," 165","Grand Falls-Windsor",89,74,2,1,166,346
10003,"Central Newfoundland/Central Newfoundland"," 166","Grand Falls-Windsor",150,96,6,1,253,563
10003,"Central Newfoundland/Central Newfoundland"," 167","Grand Falls-Windsor",67,55,3,2,127,364
10003,"Central Newfoundland/Central Newfoundland"," 168","Grand Falls-Windsor",64,64,0,0,128,362
10003,"Central Newfoundland/Central Newfoundland"," 169","Grand Falls-Windsor",78,83,1,0,162,404
10003,"Central Newfoundland/Central Newfoundland"," 170","Grand Falls-Windsor",59,50,3,1,113,390
10003,"Central Newfoundland/Central Newfoundland"," 171","Grand Falls-Windsor",55,90,3,0,148,356
10003,"Central Newfoundland/Central Newfoundland"," 172","Grand Falls-Windsor",60,46,1,0,107,371
10003,"Central Newfoundland/Central Newfoundland"," 173","Grand Falls-Windsor",79,61,1,4,145,414
10003,"Central Newfoundland/Central Newfoundland"," 174","Grand Falls-Windsor",73,63,6,0,142,361
10003,"Central Newfoundland/Central Newfoundland"," 175","Grand Falls-Windsor",70,56,4,1,131,374
10003,"Central Newfoundland/Central Newfoundland"," 176","Badger",94,157,6,0,257,458
10003,"Central Newfoundland/Central Newfoundland"," 177","Badger",57,122,3,0,182,284
10003,"Central Newfoundland/Central Newfoundland"," 178","Buchans Junction--Millertown",46,27,1,0,74,124
10003,"Central Newfoundland/Central Newfoundland"," 179","Buchans",48,58,5,4,115,217
10003,"Central Newfoundland/Central Newfoundland"," 180","Buchans",78,62,6,1,147,357
10003,"Central Newfoundland/Central Newfoundland"," 181","Pool's Cove",31,59,2,2,94,147
10003,"Central Newfoundland/Central Newfoundland"," 182","Head of Bay D'Espoir--St. Veronica's",58,40,2,2,102,176
10003,"Central Newfoundland/Central Newfoundland"," 183","Milltown",103,103,4,0,210,435
10003,"Central Newfoundland/Central Newfoundland"," 184","Samiajij Miawpukek",157,73,11,2,243,716
10003,"Central Newfoundland/Central Newfoundland"," 185","Morrisville",30,21,1,4,56,72
10003,"Central Newfoundland/Central Newfoundland"," 186","Rencontre East",24,31,1,1,57,78
10003,"Central Newfoundland/Central Newfoundland"," 187","St. Alban's",61,103,2,5,171,384
10003,"Central Newfoundland/Central Newfoundland"," 188","St. Alban's",76,95,5,0,176,339
10003,"Central Newfoundland/Central Newfoundland"," 189","St. Alban's",43,92,4,1,140,317
10003,"Central Newfoundland/Central Newfoundland"," 190","Belleoram",18,89,1,1,109,277
10003,"Central Newfoundland/Central Newfoundland"," 191","Gaultois",26,9,4,2,41,75
10003,"Central Newfoundland/Central Newfoundland"," 192","Mose Ambrose",48,92,1,7,148,302
10003,"Central Newfoundland/Central Newfoundland"," 193","Hermitage-Sandyville",101,99,2,3,205,373
10003,"Central Newfoundland/Central Newfoundland"," 194","McCallum",Combined with No./Résultats combinés à ceux du n°193,,,,,28
10003,"Central Newfoundland/Central Newfoundland"," 195","Harbour Breton",58,64,1,0,123,308
10003,"Central Newfoundland/Central Newfoundland"," 196","Harbour Breton",19,47,0,0,66,230
10003,"Central Newfoundland/Central Newfoundland"," 197","Harbour Breton",45,56,1,0,102,365
10003,"Central Newfoundland/Central Newfoundland"," 198","Harbour Breton",31,60,0,0,91,351
10003,"Central Newfoundland/Central Newfoundland"," 199","Wreck Cove",21,23,0,2,46,131
10003,"Central Newfoundland/Central Newfoundland"," 200","Seal Cove",60,28,1,8,97,173
10003,"Central Newfoundland/Central Newfoundland"," 500","Twillingate",Combined with No./Résultats combinés à ceux du n°9,,,,,1
10003,"Central Newfoundland/Central Newfoundland"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,16
10003,"Central Newfoundland/Central Newfoundland"," 502","Mobile poll/Bureau itinérant",17,9,0,0,26,21
10003,"Central Newfoundland/Central Newfoundland"," 503","Baie Verte",Combined with No./Résultats combinés à ceux du n°50,,,,,1
10003,"Central Newfoundland/Central Newfoundland"," 504","Mobile poll/Bureau itinérant",16,31,0,8,55,62
10003,"Central Newfoundland/Central Newfoundland"," 505","Mobile poll/Bureau itinérant",27,26,2,3,58,6
10003,"Central Newfoundland/Central Newfoundland"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,60
10003,"Central Newfoundland/Central Newfoundland"," 507","Lewisporte",Combined with No./Résultats combinés à ceux du n°100,,,,,4
10003,"Central Newfoundland/Central Newfoundland"," 508","Mobile poll/Bureau itinérant",30,40,2,3,75,100
10003,"Central Newfoundland/Central Newfoundland"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,35
10003,"Central Newfoundland/Central Newfoundland"," 510","Mobile poll/Bureau itinérant",68,44,2,3,117,171
10003,"Central Newfoundland/Central Newfoundland"," 511","Mobile poll/Bureau itinérant",60,20,2,2,84,78
10003,"Central Newfoundland/Central Newfoundland"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,56
10003,"Central Newfoundland/Central Newfoundland"," 513","Mobile poll/Bureau itinérant",27,26,0,5,58,10
10003,"Central Newfoundland/Central Newfoundland"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,11
10003,"Central Newfoundland/Central Newfoundland"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,25
10003,"Central Newfoundland/Central Newfoundland"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,74
10003,"Central Newfoundland/Central Newfoundland"," 517","Mobile poll/Bureau itinérant",23,44,1,10,78,68
10003,"Central Newfoundland/Central Newfoundland"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,29
10003,"Central Newfoundland/Central Newfoundland"," 519","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,47
10003,"Central Newfoundland/Central Newfoundland"," 520","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°521,,,,,12
10003,"Central Newfoundland/Central Newfoundland"," 521","Mobile poll/Bureau itinérant",26,18,2,5,51,58
10003,"Central Newfoundland/Central Newfoundland"," 522A","Mobile poll/Bureau itinérant",72,22,3,0,97,87
10003,"Central Newfoundland/Central Newfoundland"," 522B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°522A,,,,,60
10003,"Central Newfoundland/Central Newfoundland"," 523","Mobile poll/Bureau itinérant",45,23,1,2,71,64
10003,"Central Newfoundland/Central Newfoundland"," 524","Mobile poll/Bureau itinérant",52,19,1,0,72,20
10003,"Central Newfoundland/Central Newfoundland"," 525","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,
10003,"Central Newfoundland/Central Newfoundland"," 526","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°523,,,,,21
10003,"Central Newfoundland/Central Newfoundland"," 527","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°524,,,,,99
10003,"Central Newfoundland/Central Newfoundland"," 600","Joe Batt's Arm-Barr'd Islands-Shoal Bay",79,65,3,5,152,
10003,"Central Newfoundland/Central Newfoundland"," 601","Twillingate",159,176,6,1,342,
10003,"Central Newfoundland/Central Newfoundland"," 602","Twillingate",66,172,9,3,250,
10003,"Central Newfoundland/Central Newfoundland"," 603","Horwood",32,121,1,4,158,
10003,"Central Newfoundland/Central Newfoundland"," 604","Gander",735,292,24,7,1058,
10003,"Central Newfoundland/Central Newfoundland"," 605","Gander",593,261,14,2,870,
10003,"Central Newfoundland/Central Newfoundland"," 606","Lewisporte",147,177,7,0,331,
10003,"Central Newfoundland/Central Newfoundland"," 607","Lewisporte",183,226,10,1,420,
10003,"Central Newfoundland/Central Newfoundland"," 608","Bishop's Falls",336,286,12,0,634,
10003,"Central Newfoundland/Central Newfoundland"," 609","Grand Falls-Windsor",471,231,16,1,719,
10003,"Central Newfoundland/Central Newfoundland"," 610","Grand Falls-Windsor",719,322,24,2,1067,
10003,"Central Newfoundland/Central Newfoundland"," 611","Grand Falls-Windsor",330,293,14,0,637,
10003,"Central Newfoundland/Central Newfoundland"," 612","Botwood",366,296,14,1,677,
10003,"Central Newfoundland/Central Newfoundland"," 613","Robert's Arm",68,169,4,2,243,
10003,"Central Newfoundland/Central Newfoundland"," 614","La Scie",38,150,0,0,188,
10003,"Central Newfoundland/Central Newfoundland"," 615","Baie Verte",104,261,1,3,369,
10003,"Central Newfoundland/Central Newfoundland"," 616","Springdale",244,317,10,11,582,
10003,"Central Newfoundland/Central Newfoundland"," 617","Buchans",89,54,2,3,148,
10003,"Central Newfoundland/Central Newfoundland"," 618","Belleoram",26,29,1,1,57,
10003,"Central Newfoundland/Central Newfoundland"," 619","Samiajij Miawpukek",16,16,0,0,32,
10003,"Central Newfoundland/Central Newfoundland"," 620","St. Alban's",93,96,4,3,196,
10003,"Central Newfoundland/Central Newfoundland"," 621","Harbour Breton",64,128,2,11,205,
10003,"Central Newfoundland/Central Newfoundland",,Group 1/Groupe 1, 255,304,20,19,598,54
10003,"Central Newfoundland/Central Newfoundland",,Group 2/Groupe 2, 1227,1162,35,30,2454,
