Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Fares Al Soud,Zulfiqar Ali,Muhammad Ishaq,Brandon Nguyen,Gurdeep Wolosz,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35061,"Mississauga Centre/Mississauga-Centre"," 15","Mississauga",139,1,93,6,2,3,244,511
35061,"Mississauga Centre/Mississauga-Centre"," 16","Mississauga",106,0,84,0,3,2,195,530
35061,"Mississauga Centre/Mississauga-Centre"," 17","Mississauga",104,1,106,3,1,0,215,466
35061,"Mississauga Centre/Mississauga-Centre"," 18","Mississauga",113,2,88,10,7,1,221,398
35061,"Mississauga Centre/Mississauga-Centre"," 19","Mississauga",120,0,76,9,0,0,205,412
35061,"Mississauga Centre/Mississauga-Centre"," 20","Mississauga",113,1,94,1,5,0,214,428
35061,"Mississauga Centre/Mississauga-Centre"," 21","Mississauga",60,1,79,6,5,1,152,331
35061,"Mississauga Centre/Mississauga-Centre"," 22","Mississauga",73,0,83,8,2,1,167,372
35061,"Mississauga Centre/Mississauga-Centre"," 23A","Mississauga",50,1,53,4,0,1,109,286
35061,"Mississauga Centre/Mississauga-Centre"," 23B","Mississauga",Combined with No./Résultats combinés à ceux du n°500,,,,,,,171
35061,"Mississauga Centre/Mississauga-Centre"," 24","Mississauga",87,1,94,6,0,1,189,384
35061,"Mississauga Centre/Mississauga-Centre"," 25","Mississauga",171,2,144,10,1,2,330,361
35061,"Mississauga Centre/Mississauga-Centre"," 26","Mississauga",Combined with No./Résultats combinés à ceux du n°25,,,,,,,389
35061,"Mississauga Centre/Mississauga-Centre"," 27","Mississauga",103,2,105,10,3,3,226,602
35061,"Mississauga Centre/Mississauga-Centre"," 28A","Mississauga",81,1,62,6,0,3,153,438
35061,"Mississauga Centre/Mississauga-Centre"," 28B","Mississauga",62,0,40,6,1,2,111,242
35061,"Mississauga Centre/Mississauga-Centre"," 29","Mississauga",107,0,85,7,3,0,202,494
35061,"Mississauga Centre/Mississauga-Centre"," 30","Mississauga",54,0,46,7,2,1,110,388
35061,"Mississauga Centre/Mississauga-Centre"," 31","Mississauga",66,0,39,5,4,1,115,376
35061,"Mississauga Centre/Mississauga-Centre"," 32","Mississauga",63,0,71,5,1,0,140,360
35061,"Mississauga Centre/Mississauga-Centre"," 33","Mississauga",45,0,61,5,2,0,113,343
35061,"Mississauga Centre/Mississauga-Centre"," 34","Mississauga",70,0,58,6,1,2,137,380
35061,"Mississauga Centre/Mississauga-Centre"," 35","Mississauga",74,1,105,5,2,3,190,436
35061,"Mississauga Centre/Mississauga-Centre"," 36","Mississauga",46,1,61,4,0,0,112,320
35061,"Mississauga Centre/Mississauga-Centre"," 37","Mississauga",112,0,96,6,3,0,217,455
35061,"Mississauga Centre/Mississauga-Centre"," 38","Mississauga",143,0,119,6,1,0,269,522
35061,"Mississauga Centre/Mississauga-Centre"," 39","Mississauga",104,0,69,5,1,0,179,329
35061,"Mississauga Centre/Mississauga-Centre"," 40","Mississauga",111,0,117,5,1,0,234,563
35061,"Mississauga Centre/Mississauga-Centre"," 41","Mississauga",62,1,79,2,1,0,145,437
35061,"Mississauga Centre/Mississauga-Centre"," 42","Mississauga",109,3,73,2,0,0,187,449
35061,"Mississauga Centre/Mississauga-Centre"," 43","Mississauga",76,3,40,5,0,0,124,381
35061,"Mississauga Centre/Mississauga-Centre"," 44","Mississauga",88,1,62,3,1,0,155,376
35061,"Mississauga Centre/Mississauga-Centre"," 45","Mississauga",83,1,48,3,0,1,136,323
35061,"Mississauga Centre/Mississauga-Centre"," 46","Mississauga",158,2,131,10,4,0,305,636
35061,"Mississauga Centre/Mississauga-Centre"," 47","Mississauga",99,0,82,6,5,2,194,533
35061,"Mississauga Centre/Mississauga-Centre"," 48","Mississauga",87,2,74,8,3,3,177,474
35061,"Mississauga Centre/Mississauga-Centre"," 49","Mississauga",66,0,62,4,2,5,139,373
35061,"Mississauga Centre/Mississauga-Centre"," 50","Mississauga",48,0,76,5,1,0,130,409
35061,"Mississauga Centre/Mississauga-Centre"," 51","Mississauga",76,0,55,1,0,0,132,372
35061,"Mississauga Centre/Mississauga-Centre"," 52","Mississauga",146,1,106,8,2,0,263,742
35061,"Mississauga Centre/Mississauga-Centre"," 53","Mississauga",85,2,68,0,2,0,157,497
35061,"Mississauga Centre/Mississauga-Centre"," 54","Mississauga",89,1,73,10,0,0,173,558
35061,"Mississauga Centre/Mississauga-Centre"," 55","Mississauga",94,1,77,5,1,1,179,502
35061,"Mississauga Centre/Mississauga-Centre"," 56","Mississauga",82,1,71,4,0,1,159,515
35061,"Mississauga Centre/Mississauga-Centre"," 57","Mississauga",112,0,47,5,0,0,164,462
35061,"Mississauga Centre/Mississauga-Centre"," 58","Mississauga",97,0,61,1,1,2,162,503
35061,"Mississauga Centre/Mississauga-Centre"," 59","Mississauga",110,0,108,7,5,0,230,624
35061,"Mississauga Centre/Mississauga-Centre"," 60","Mississauga",53,0,55,3,5,0,116,332
35061,"Mississauga Centre/Mississauga-Centre"," 61","Mississauga",59,0,67,4,3,0,133,460
35061,"Mississauga Centre/Mississauga-Centre"," 62","Mississauga",80,0,66,4,0,2,152,543
35061,"Mississauga Centre/Mississauga-Centre"," 63","Mississauga",83,2,43,12,1,0,141,514
35061,"Mississauga Centre/Mississauga-Centre"," 64","Mississauga",45,0,53,2,0,0,100,343
35061,"Mississauga Centre/Mississauga-Centre"," 65","Mississauga",78,0,53,7,4,3,145,439
35061,"Mississauga Centre/Mississauga-Centre"," 66","Mississauga",55,0,66,2,0,0,123,380
35061,"Mississauga Centre/Mississauga-Centre"," 67","Mississauga",52,0,47,3,1,0,103,372
35061,"Mississauga Centre/Mississauga-Centre"," 68","Mississauga",79,0,69,0,0,2,150,432
35061,"Mississauga Centre/Mississauga-Centre"," 69","Mississauga",88,0,69,7,1,0,165,566
35061,"Mississauga Centre/Mississauga-Centre"," 70","Mississauga",56,0,58,2,0,3,119,373
35061,"Mississauga Centre/Mississauga-Centre"," 71A","Mississauga",55,0,38,3,0,0,96,363
35061,"Mississauga Centre/Mississauga-Centre"," 71B","Mississauga",64,2,12,1,0,1,80,136
35061,"Mississauga Centre/Mississauga-Centre"," 72A","Mississauga",44,3,49,0,0,1,97,350
35061,"Mississauga Centre/Mississauga-Centre"," 72B","Mississauga",77,1,50,3,2,3,136,211
35061,"Mississauga Centre/Mississauga-Centre"," 73","Mississauga",88,0,90,8,0,0,186,422
35061,"Mississauga Centre/Mississauga-Centre"," 74","Mississauga",67,1,56,1,0,0,125,374
35061,"Mississauga Centre/Mississauga-Centre"," 75","Mississauga",59,0,80,13,2,0,154,433
35061,"Mississauga Centre/Mississauga-Centre"," 76","Mississauga",78,0,34,1,0,0,113,340
35061,"Mississauga Centre/Mississauga-Centre"," 77","Mississauga",78,2,81,4,1,2,168,492
35061,"Mississauga Centre/Mississauga-Centre"," 78","Mississauga",100,1,71,4,1,1,178,564
35061,"Mississauga Centre/Mississauga-Centre"," 79","Mississauga",86,0,80,1,1,0,168,581
35061,"Mississauga Centre/Mississauga-Centre"," 80","Mississauga",135,1,93,6,5,4,244,545
35061,"Mississauga Centre/Mississauga-Centre"," 81","Mississauga",112,1,97,2,4,10,226,507
35061,"Mississauga Centre/Mississauga-Centre"," 82","Mississauga",77,1,62,5,4,2,151,408
35061,"Mississauga Centre/Mississauga-Centre"," 83","Mississauga",125,0,98,7,2,5,237,566
35061,"Mississauga Centre/Mississauga-Centre"," 84","Mississauga",109,0,67,3,2,1,182,374
35061,"Mississauga Centre/Mississauga-Centre"," 85","Mississauga",143,0,95,4,2,0,244,529
35061,"Mississauga Centre/Mississauga-Centre"," 86","Mississauga",106,0,97,8,2,2,215,469
35061,"Mississauga Centre/Mississauga-Centre"," 87","Mississauga",136,0,93,7,2,5,243,508
35061,"Mississauga Centre/Mississauga-Centre"," 88","Mississauga",87,1,68,3,3,3,165,412
35061,"Mississauga Centre/Mississauga-Centre"," 89","Mississauga",125,7,109,15,5,0,261,558
35061,"Mississauga Centre/Mississauga-Centre"," 90","Mississauga",110,2,86,9,1,0,208,439
35061,"Mississauga Centre/Mississauga-Centre"," 91","Mississauga",89,1,59,1,0,0,150,372
35061,"Mississauga Centre/Mississauga-Centre"," 92","Mississauga",108,1,90,4,1,1,205,450
35061,"Mississauga Centre/Mississauga-Centre"," 93","Mississauga",39,0,48,3,0,0,90,322
35061,"Mississauga Centre/Mississauga-Centre"," 94","Mississauga",59,0,101,9,3,0,172,379
35061,"Mississauga Centre/Mississauga-Centre"," 95","Mississauga",67,0,76,2,0,0,145,412
35061,"Mississauga Centre/Mississauga-Centre"," 96","Mississauga",66,0,95,4,4,1,170,443
35061,"Mississauga Centre/Mississauga-Centre"," 97A","Mississauga",Combined with No./Résultats combinés à ceux du n°96,,,,,,,2
35061,"Mississauga Centre/Mississauga-Centre"," 97B","Mobile poll/Bureau itinérant",59,0,53,4,6,3,125,156
35061,"Mississauga Centre/Mississauga-Centre"," 97C","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°97B,,,,,,,137
35061,"Mississauga Centre/Mississauga-Centre"," 98","Mississauga",91,3,103,9,4,2,212,479
35061,"Mississauga Centre/Mississauga-Centre"," 99","Mississauga",59,1,77,2,0,2,141,434
35061,"Mississauga Centre/Mississauga-Centre"," 100","Mississauga",74,0,72,8,0,2,156,403
35061,"Mississauga Centre/Mississauga-Centre"," 101","Mississauga",73,0,82,0,3,1,159,359
35061,"Mississauga Centre/Mississauga-Centre"," 102","Mississauga",63,1,93,2,3,0,162,380
35061,"Mississauga Centre/Mississauga-Centre"," 103","Mississauga",56,0,73,1,8,0,138,376
35061,"Mississauga Centre/Mississauga-Centre"," 104","Mississauga",60,0,92,3,0,0,155,381
35061,"Mississauga Centre/Mississauga-Centre"," 105","Mississauga",58,0,49,2,5,0,114,403
35061,"Mississauga Centre/Mississauga-Centre"," 106","Mississauga",45,0,53,1,1,2,102,325
35061,"Mississauga Centre/Mississauga-Centre"," 107","Mississauga",121,0,84,13,2,1,221,502
35061,"Mississauga Centre/Mississauga-Centre"," 108","Mississauga",122,3,135,4,2,0,266,572
35061,"Mississauga Centre/Mississauga-Centre"," 109","Mississauga",93,0,101,5,0,1,200,471
35061,"Mississauga Centre/Mississauga-Centre"," 110","Mississauga",84,1,68,3,3,0,159,422
35061,"Mississauga Centre/Mississauga-Centre"," 111","Mississauga",74,0,58,4,5,2,143,443
35061,"Mississauga Centre/Mississauga-Centre"," 112","Mississauga",65,0,75,3,0,0,143,341
35061,"Mississauga Centre/Mississauga-Centre"," 113","Mississauga",82,0,78,7,0,0,167,516
35061,"Mississauga Centre/Mississauga-Centre"," 114","Mississauga",27,0,65,0,0,1,93,359
35061,"Mississauga Centre/Mississauga-Centre"," 115","Mississauga",68,1,77,4,2,1,153,461
35061,"Mississauga Centre/Mississauga-Centre"," 116","Mississauga",69,2,63,4,1,1,140,402
35061,"Mississauga Centre/Mississauga-Centre"," 117","Mississauga",94,0,52,2,0,0,148,424
35061,"Mississauga Centre/Mississauga-Centre"," 118","Mississauga",121,0,112,8,3,1,245,488
35061,"Mississauga Centre/Mississauga-Centre"," 119","Mississauga",95,0,76,6,0,0,177,414
35061,"Mississauga Centre/Mississauga-Centre"," 120","Mississauga",48,0,41,6,1,0,96,219
35061,"Mississauga Centre/Mississauga-Centre"," 121","Mississauga",105,0,74,4,1,1,185,364
35061,"Mississauga Centre/Mississauga-Centre"," 122","Mississauga",72,0,78,3,0,2,155,317
35061,"Mississauga Centre/Mississauga-Centre"," 123","Mississauga",65,2,78,2,1,2,150,410
35061,"Mississauga Centre/Mississauga-Centre"," 124","Mississauga",95,1,73,4,5,1,179,335
35061,"Mississauga Centre/Mississauga-Centre"," 125","Mississauga",77,1,66,5,3,1,153,333
35061,"Mississauga Centre/Mississauga-Centre"," 126","Mississauga",97,1,107,5,1,2,213,518
35061,"Mississauga Centre/Mississauga-Centre"," 127","Mississauga",63,1,64,7,2,4,141,339
35061,"Mississauga Centre/Mississauga-Centre"," 128","Mississauga",87,2,85,5,8,2,189,444
35061,"Mississauga Centre/Mississauga-Centre"," 129","Mississauga",62,0,60,8,2,0,132,386
35061,"Mississauga Centre/Mississauga-Centre"," 130","Mississauga",86,0,84,9,2,1,182,505
35061,"Mississauga Centre/Mississauga-Centre"," 131","Mississauga",58,0,49,6,2,1,116,406
35061,"Mississauga Centre/Mississauga-Centre"," 132","Mississauga",60,1,83,3,4,1,152,358
35061,"Mississauga Centre/Mississauga-Centre"," 133","Mississauga",83,0,79,2,2,0,166,395
35061,"Mississauga Centre/Mississauga-Centre"," 134","Mississauga",74,1,50,4,1,1,131,488
35061,"Mississauga Centre/Mississauga-Centre"," 135","Mississauga",73,1,39,2,1,0,116,426
35061,"Mississauga Centre/Mississauga-Centre"," 136","Mississauga",107,0,88,10,1,4,210,601
35061,"Mississauga Centre/Mississauga-Centre"," 137","Mississauga",90,0,71,8,16,5,190,611
35061,"Mississauga Centre/Mississauga-Centre"," 138","Mississauga",126,2,72,3,4,1,208,456
35061,"Mississauga Centre/Mississauga-Centre"," 139","Mississauga",78,1,56,0,1,1,137,361
35061,"Mississauga Centre/Mississauga-Centre"," 140","Mississauga",94,0,87,5,1,4,191,487
35061,"Mississauga Centre/Mississauga-Centre"," 141","Mississauga",67,1,55,1,11,3,138,418
35061,"Mississauga Centre/Mississauga-Centre"," 142","Mississauga",91,2,100,2,1,0,196,431
35061,"Mississauga Centre/Mississauga-Centre"," 143","Mississauga",81,1,56,3,4,3,148,414
35061,"Mississauga Centre/Mississauga-Centre"," 144","Mississauga",63,0,80,2,2,1,148,409
35061,"Mississauga Centre/Mississauga-Centre"," 145","Mississauga",71,2,86,5,2,1,167,523
35061,"Mississauga Centre/Mississauga-Centre"," 146","Mississauga",104,1,92,8,1,1,207,487
35061,"Mississauga Centre/Mississauga-Centre"," 147","Mississauga",65,2,94,3,1,0,165,413
35061,"Mississauga Centre/Mississauga-Centre"," 148","Mississauga",72,0,97,5,4,3,181,472
35061,"Mississauga Centre/Mississauga-Centre"," 149","Mississauga",79,1,82,3,4,1,170,388
35061,"Mississauga Centre/Mississauga-Centre"," 150","Mississauga",35,1,48,3,3,0,90,261
35061,"Mississauga Centre/Mississauga-Centre"," 400","Mississauga",106,2,62,8,3,0,181,286
35061,"Mississauga Centre/Mississauga-Centre"," 401","Mississauga",206,3,144,6,4,3,366,573
35061,"Mississauga Centre/Mississauga-Centre"," 402","Mississauga",247,2,100,9,6,2,366,667
35061,"Mississauga Centre/Mississauga-Centre"," 403","Mississauga",181,1,111,11,2,1,307,571
35061,"Mississauga Centre/Mississauga-Centre"," 404","Mississauga",207,3,143,4,3,3,363,583
35061,"Mississauga Centre/Mississauga-Centre"," 405","Mobile poll/Bureau itinérant",67,5,70,8,3,0,153,211
35061,"Mississauga Centre/Mississauga-Centre"," 406","Mississauga",136,2,88,2,1,0,229,373
35061,"Mississauga Centre/Mississauga-Centre"," 407","Mississauga",Void/Supprimé,,,,,,,
35061,"Mississauga Centre/Mississauga-Centre"," 408","Mississauga",Void/Supprimé,,,,,,,
35061,"Mississauga Centre/Mississauga-Centre"," 409","Mississauga",Void/Supprimé,,,,,,,
35061,"Mississauga Centre/Mississauga-Centre"," 410","Mississauga",Combined with No./Résultats combinés à ceux du n°411,,,,,,,218
35061,"Mississauga Centre/Mississauga-Centre"," 411","Mississauga",129,4,116,7,3,1,260,231
35061,"Mississauga Centre/Mississauga-Centre"," 412","Mississauga",133,1,101,9,1,2,247,431
35061,"Mississauga Centre/Mississauga-Centre"," 413","Mississauga",143,0,88,8,1,3,243,393
35061,"Mississauga Centre/Mississauga-Centre"," 414","Mississauga",117,0,72,3,3,2,197,309
35061,"Mississauga Centre/Mississauga-Centre"," 415","Mississauga",97,3,95,4,7,0,206,330
35061,"Mississauga Centre/Mississauga-Centre"," 416","Mississauga",178,3,113,12,4,24,334,321
35061,"Mississauga Centre/Mississauga-Centre"," 417","Mississauga",Combined with No./Résultats combinés à ceux du n°416,,,,,,,354
35061,"Mississauga Centre/Mississauga-Centre"," 418","Mississauga",147,2,109,13,4,2,277,496
35061,"Mississauga Centre/Mississauga-Centre"," 419","Mississauga",192,2,189,10,8,2,403,390
35061,"Mississauga Centre/Mississauga-Centre"," 420","Mississauga",Combined with No./Résultats combinés à ceux du n°419,,,,,,,360
35061,"Mississauga Centre/Mississauga-Centre"," 421","Mississauga",106,2,93,9,1,3,214,341
35061,"Mississauga Centre/Mississauga-Centre"," 422","Mississauga",153,2,70,6,2,1,234,465
35061,"Mississauga Centre/Mississauga-Centre"," 423","Mississauga",135,2,119,14,5,3,278,456
35061,"Mississauga Centre/Mississauga-Centre"," 424","Mississauga",Void/Supprimé,,,,,,,
35061,"Mississauga Centre/Mississauga-Centre"," 425","Mississauga",69,1,71,7,1,1,150,265
35061,"Mississauga Centre/Mississauga-Centre"," 426","Mississauga",49,2,33,7,2,2,95,211
35061,"Mississauga Centre/Mississauga-Centre"," 427","Mississauga",66,1,42,0,0,0,109,237
35061,"Mississauga Centre/Mississauga-Centre"," 428","Mississauga",102,1,75,6,0,1,185,324
35061,"Mississauga Centre/Mississauga-Centre"," 429","Mississauga",117,2,103,5,3,8,238,338
35061,"Mississauga Centre/Mississauga-Centre"," 430","Mississauga",94,1,89,5,2,1,192,298
35061,"Mississauga Centre/Mississauga-Centre"," 431","Mississauga",165,1,89,9,6,0,270,640
35061,"Mississauga Centre/Mississauga-Centre"," 432","Mississauga",165,0,102,7,2,0,276,618
35061,"Mississauga Centre/Mississauga-Centre"," 433","Mississauga",123,4,78,7,7,5,224,374
35061,"Mississauga Centre/Mississauga-Centre"," 434","Mississauga",105,0,82,4,2,1,194,344
35061,"Mississauga Centre/Mississauga-Centre"," 435","Mississauga",143,3,103,8,1,1,259,409
35061,"Mississauga Centre/Mississauga-Centre"," 436","Mississauga",108,1,67,2,0,4,182,297
35061,"Mississauga Centre/Mississauga-Centre"," 437","Mississauga",81,0,96,2,0,0,179,372
35061,"Mississauga Centre/Mississauga-Centre"," 438","Mississauga",88,1,95,5,3,1,193,329
35061,"Mississauga Centre/Mississauga-Centre"," 439","Mississauga",Combined with No./Résultats combinés à ceux du n°440,,,,,,,375
35061,"Mississauga Centre/Mississauga-Centre"," 440","Mississauga",215,1,155,11,10,7,399,304
35061,"Mississauga Centre/Mississauga-Centre"," 441","Mississauga",95,0,89,5,1,0,190,334
35061,"Mississauga Centre/Mississauga-Centre"," 442","Mississauga",137,4,109,9,8,4,271,479
35061,"Mississauga Centre/Mississauga-Centre"," 443","Mississauga",97,0,67,7,1,0,172,269
35061,"Mississauga Centre/Mississauga-Centre"," 444","Mississauga",76,1,81,7,6,2,173,362
35061,"Mississauga Centre/Mississauga-Centre"," 445","Mississauga",106,3,80,3,2,1,195,427
35061,"Mississauga Centre/Mississauga-Centre"," 446","Mississauga",133,0,88,5,7,3,236,406
35061,"Mississauga Centre/Mississauga-Centre"," 447","Mississauga",221,10,145,16,3,4,399,410
35061,"Mississauga Centre/Mississauga-Centre"," 448","Mississauga",Combined with No./Résultats combinés à ceux du n°447,,,,,,,376
35061,"Mississauga Centre/Mississauga-Centre"," 449","Mississauga",157,0,165,12,1,2,337,310
35061,"Mississauga Centre/Mississauga-Centre"," 450","Mississauga",Combined with No./Résultats combinés à ceux du n°449,,,,,,,182
35061,"Mississauga Centre/Mississauga-Centre"," 451","Mississauga",Combined with No./Résultats combinés à ceux du n°449,,,,,,,213
35061,"Mississauga Centre/Mississauga-Centre"," 452","Mississauga",141,5,137,10,1,0,294,329
35061,"Mississauga Centre/Mississauga-Centre"," 453","Mississauga",Combined with No./Résultats combinés à ceux du n°452,,,,,,,384
35061,"Mississauga Centre/Mississauga-Centre"," 454","Mississauga",Void/Supprimé,,,,,,,
35061,"Mississauga Centre/Mississauga-Centre"," 455","Mississauga",Void/Supprimé,,,,,,,
35061,"Mississauga Centre/Mississauga-Centre"," 456","Mississauga",96,0,91,6,2,0,195,182
35061,"Mississauga Centre/Mississauga-Centre"," 457","Mississauga",Combined with No./Résultats combinés à ceux du n°456,,,,,,,266
35061,"Mississauga Centre/Mississauga-Centre"," 458","Mississauga",76,0,68,2,1,0,147,311
35061,"Mississauga Centre/Mississauga-Centre"," 459","Mississauga",Void/Supprimé,,,,,,,
35061,"Mississauga Centre/Mississauga-Centre"," 460","Mississauga",40,0,46,1,1,0,88,255
35061,"Mississauga Centre/Mississauga-Centre"," 461","Mississauga",Void/Supprimé,,,,,,,
35061,"Mississauga Centre/Mississauga-Centre"," 462","Mississauga",Void/Supprimé,,,,,,,
35061,"Mississauga Centre/Mississauga-Centre"," 463","Mississauga",35,0,38,3,1,0,77,299
35061,"Mississauga Centre/Mississauga-Centre"," 464","Mississauga",Void/Supprimé,,,,,,,
35061,"Mississauga Centre/Mississauga-Centre"," 465","Mississauga",Void/Supprimé,,,,,,,
35061,"Mississauga Centre/Mississauga-Centre"," 466","Mississauga",Void/Supprimé,,,,,,,
35061,"Mississauga Centre/Mississauga-Centre"," 467","Mississauga",145,0,106,2,3,2,258,423
35061,"Mississauga Centre/Mississauga-Centre"," 468","Mississauga",183,7,109,14,3,4,320,575
35061,"Mississauga Centre/Mississauga-Centre"," 469","Mississauga",76,0,63,3,0,2,144,272
35061,"Mississauga Centre/Mississauga-Centre"," 470","Mississauga",93,0,92,3,2,2,192,389
35061,"Mississauga Centre/Mississauga-Centre"," 500","Mississauga",119,4,32,7,2,0,164,134
35061,"Mississauga Centre/Mississauga-Centre"," 600","Mississauga",255,0,191,20,2,1,469,
35061,"Mississauga Centre/Mississauga-Centre"," 601","Mississauga",370,1,248,11,10,1,641,
35061,"Mississauga Centre/Mississauga-Centre"," 602","Mississauga",264,1,136,8,1,0,410,
35061,"Mississauga Centre/Mississauga-Centre"," 603","Mississauga",313,1,177,19,4,5,519,
35061,"Mississauga Centre/Mississauga-Centre"," 604","Mississauga",177,1,150,7,4,0,339,
35061,"Mississauga Centre/Mississauga-Centre"," 605","Mississauga",188,0,162,6,3,1,360,
35061,"Mississauga Centre/Mississauga-Centre"," 606","Mississauga",315,5,149,12,5,0,486,
35061,"Mississauga Centre/Mississauga-Centre"," 607","Mississauga",222,3,187,14,3,4,433,
35061,"Mississauga Centre/Mississauga-Centre"," 608","Mississauga",745,1,531,37,17,11,1342,
35061,"Mississauga Centre/Mississauga-Centre"," 609","Mississauga",402,2,309,35,5,1,754,
35061,"Mississauga Centre/Mississauga-Centre"," 610","Mississauga",597,6,462,19,10,0,1094,
35061,"Mississauga Centre/Mississauga-Centre"," 611","Mississauga",568,0,298,13,7,3,889,
35061,"Mississauga Centre/Mississauga-Centre"," 612","Mississauga",772,6,489,43,9,5,1324,
35061,"Mississauga Centre/Mississauga-Centre"," 613","Mississauga",892,8,551,20,6,2,1479,
35061,"Mississauga Centre/Mississauga-Centre"," 614","Mississauga",708,1,515,30,4,7,1265,
35061,"Mississauga Centre/Mississauga-Centre"," 615","Mississauga",716,4,490,25,8,1,1244,
35061,"Mississauga Centre/Mississauga-Centre"," 616","Mississauga",556,1,432,25,15,7,1036,
35061,"Mississauga Centre/Mississauga-Centre"," 617","Mississauga",855,6,520,34,19,8,1442,
35061,"Mississauga Centre/Mississauga-Centre",,Group 1/Groupe 1, 490,2,272,24,3,68,859,474
35061,"Mississauga Centre/Mississauga-Centre",,Group 2/Groupe 2, 691,2,329,28,9,42,1101,
