Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jasleen Bains,Terry Dowdall,Allan Kuhn,Giorgio Mammoliti,Bren Munro,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35098,"Simcoe--Grey/Simcoe--Grey"," 103","Clearview",4,114,3,2,124,1,248,393
35098,"Simcoe--Grey/Simcoe--Grey"," 104","Clearview",4,94,7,4,69,0,178,323
35098,"Simcoe--Grey/Simcoe--Grey"," 105","Clearview",0,127,4,3,73,1,208,380
35098,"Simcoe--Grey/Simcoe--Grey"," 106","Clearview",15,155,3,4,82,0,259,694
35098,"Simcoe--Grey/Simcoe--Grey"," 107A","Clearview",10,123,6,1,53,0,193,536
35098,"Simcoe--Grey/Simcoe--Grey"," 107B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,5
35098,"Simcoe--Grey/Simcoe--Grey"," 108","Clearview",4,104,2,0,45,0,155,484
35098,"Simcoe--Grey/Simcoe--Grey"," 109","Clearview",5,97,2,5,48,0,157,529
35098,"Simcoe--Grey/Simcoe--Grey"," 110","Clearview",6,118,7,2,48,0,181,605
35098,"Simcoe--Grey/Simcoe--Grey"," 111","Clearview",4,110,4,0,45,0,163,584
35098,"Simcoe--Grey/Simcoe--Grey"," 112","Clearview--Sunnidale",0,59,2,0,27,0,88,255
35098,"Simcoe--Grey/Simcoe--Grey"," 113","Clearview",7,97,3,2,48,0,157,476
35098,"Simcoe--Grey/Simcoe--Grey"," 114","Clearview",7,146,2,4,67,0,226,591
35098,"Simcoe--Grey/Simcoe--Grey"," 115","The Blue Mountains",2,124,8,4,107,1,246,477
35098,"Simcoe--Grey/Simcoe--Grey"," 116","The Blue Mountains",2,84,5,3,126,0,220,495
35098,"Simcoe--Grey/Simcoe--Grey"," 117","The Blue Mountains",7,145,7,2,108,3,272,453
35098,"Simcoe--Grey/Simcoe--Grey"," 118","Clearview",4,189,5,1,87,3,289,453
35098,"Simcoe--Grey/Simcoe--Grey"," 119","Clearview",Combined with No./Résultats combinés à ceux du n°118,,,,,,,359
35098,"Simcoe--Grey/Simcoe--Grey"," 120","Clearview",Combined with No./Résultats combinés à ceux du n°123,,,,,,,465
35098,"Simcoe--Grey/Simcoe--Grey"," 121","Clearview",Combined with No./Résultats combinés à ceux du n°122,,,,,,,367
35098,"Simcoe--Grey/Simcoe--Grey"," 122","Clearview",10,184,7,4,83,0,288,494
35098,"Simcoe--Grey/Simcoe--Grey"," 123","Clearview",10,194,10,2,73,0,289,453
35098,"Simcoe--Grey/Simcoe--Grey"," 124","Essa",1,81,3,5,54,0,144,362
35098,"Simcoe--Grey/Simcoe--Grey"," 125","Essa",5,102,2,6,34,0,149,355
35098,"Simcoe--Grey/Simcoe--Grey"," 126","Essa",9,102,1,2,38,0,152,370
35098,"Simcoe--Grey/Simcoe--Grey"," 127","Essa",6,93,1,3,42,0,145,359
35098,"Simcoe--Grey/Simcoe--Grey"," 128","Essa",6,64,3,1,29,1,104,405
35098,"Simcoe--Grey/Simcoe--Grey"," 129","Essa",5,138,3,4,56,0,206,578
35098,"Simcoe--Grey/Simcoe--Grey"," 130","Essa",11,151,5,0,68,3,238,598
35098,"Simcoe--Grey/Simcoe--Grey"," 131","Essa",3,113,2,1,55,2,176,573
35098,"Simcoe--Grey/Simcoe--Grey"," 132","Essa",5,117,3,2,55,1,183,579
35098,"Simcoe--Grey/Simcoe--Grey"," 133","Essa",3,133,2,4,57,0,199,558
35098,"Simcoe--Grey/Simcoe--Grey"," 134","Essa",4,123,1,2,46,2,178,529
35098,"Simcoe--Grey/Simcoe--Grey"," 135","Essa",7,125,1,2,51,0,186,541
35098,"Simcoe--Grey/Simcoe--Grey"," 136","Essa",5,111,2,0,48,0,166,482
35098,"Simcoe--Grey/Simcoe--Grey"," 137","Essa",8,129,1,3,48,1,190,560
35098,"Simcoe--Grey/Simcoe--Grey"," 138","Essa",2,124,3,1,49,0,179,595
35098,"Simcoe--Grey/Simcoe--Grey"," 139","Clearview",5,72,3,0,46,0,126,314
35098,"Simcoe--Grey/Simcoe--Grey"," 140","Clearview",2,70,3,0,54,0,129,304
35098,"Simcoe--Grey/Simcoe--Grey"," 141","Clearview",1,91,2,1,41,1,137,345
35098,"Simcoe--Grey/Simcoe--Grey"," 142","Essa",6,80,3,0,31,1,121,344
35098,"Simcoe--Grey/Simcoe--Grey"," 143","Essa",5,83,8,2,24,2,124,349
35098,"Simcoe--Grey/Simcoe--Grey"," 144","Essa",5,116,3,1,49,0,174,584
35098,"Simcoe--Grey/Simcoe--Grey"," 145","Essa",4,69,0,3,39,1,116,344
35098,"Simcoe--Grey/Simcoe--Grey"," 146","Essa",8,109,1,2,62,1,183,467
35098,"Simcoe--Grey/Simcoe--Grey"," 147","Essa",9,144,3,4,44,2,206,567
