Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Danielle Maniuk,Costas Menegakis,Tom Muench,Leah Taylor Roy,Igor Tvorogov,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 44","Aurora",4,104,4,82,2,3,199,517
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 45","Aurora",6,133,3,75,1,2,220,512
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 46","Aurora",5,104,5,81,1,4,200,477
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 47","Aurora",2,123,3,53,0,0,181,529
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 48","Aurora",1,72,0,80,0,1,154,421
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 49","Aurora",3,86,4,81,1,0,175,361
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 50","Aurora",2,87,0,65,0,0,154,447
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 51","Aurora",4,109,0,68,0,1,182,549
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 52","Aurora",3,77,0,68,0,0,148,378
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 53","Aurora",0,125,1,63,1,0,190,620
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 54","Aurora",5,119,1,77,1,0,203,448
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 55","Aurora",4,105,5,51,0,0,165,443
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 56","Aurora",4,117,1,74,0,0,196,446
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 57","Aurora",1,104,0,92,0,1,198,410
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 58","Aurora",2,115,3,93,1,0,214,451
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 59","Aurora",0,145,0,76,0,0,221,556
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 60","Aurora",2,89,3,68,1,0,163,406
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 61","Richmond Hill",5,96,1,46,0,0,148,428
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 62","Richmond Hill",0,95,2,54,1,1,153,521
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 63","Richmond Hill",1,87,0,71,1,4,164,536
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 64","Richmond Hill",1,72,1,32,0,1,107,334
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 65","Richmond Hill",1,89,2,39,1,0,132,446
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 66","Richmond Hill",0,58,0,32,1,0,91,300
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 67","Richmond Hill",1,89,0,78,0,2,170,449
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 68","Richmond Hill",3,98,0,56,2,0,159,507
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 69","Richmond Hill",3,76,1,51,0,1,132,414
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 70","Richmond Hill",5,160,0,60,1,0,226,519
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 71","Richmond Hill",4,85,1,78,1,0,169,424
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 72","Richmond Hill",5,106,3,80,4,2,200,464
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 73A","Richmond Hill",4,107,1,60,0,0,172,540
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 73B","Richmond Hill",4,93,2,46,3,0,148,402
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 74","Richmond Hill",3,80,1,50,0,0,134,405
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 75","Richmond Hill",3,181,3,60,1,3,251,536
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 76","Richmond Hill",2,67,1,61,2,0,133,342
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 77","Richmond Hill",4,124,1,73,1,2,205,493
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 78","Richmond Hill",4,105,3,60,1,0,173,368
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 79","Richmond Hill",0,189,0,80,0,2,271,550
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 80","Richmond Hill",1,131,4,81,1,1,219,545
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 81","Richmond Hill",3,128,1,72,1,1,206,464
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 82","Richmond Hill",2,79,0,67,0,1,149,492
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 83","Richmond Hill",1,142,1,53,0,2,199,502
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 84","Richmond Hill",1,112,0,54,0,1,168,495
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 85","Richmond Hill",2,75,1,57,0,0,135,432
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 86","Richmond Hill",0,120,0,62,0,1,183,501
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 87","Richmond Hill",3,95,4,65,0,1,168,480
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 88","Richmond Hill",3,63,2,57,0,1,126,373
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 89","Richmond Hill",6,96,1,58,1,0,162,484
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 90","Richmond Hill",3,75,0,60,2,0,140,437
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 91","Richmond Hill",0,102,2,59,0,0,163,462
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 92","Richmond Hill",2,83,2,55,0,3,145,415
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 93","Richmond Hill",1,73,5,35,1,0,115,416
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 94","Richmond Hill",0,46,1,25,0,1,73,377
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 95","Richmond Hill",6,76,3,47,0,0,132,468
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 96","Richmond Hill",2,107,1,54,2,1,167,527
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 97","Richmond Hill",4,103,0,61,0,0,168,500
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 98","Richmond Hill",0,72,1,48,2,0,123,431
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 99","Richmond Hill",6,127,5,66,3,0,207,532
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 100","Richmond Hill",6,107,0,64,4,0,181,571
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 101","Richmond Hill",1,119,0,70,0,0,190,614
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 102","Richmond Hill",2,115,0,48,0,0,165,591
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 103","Richmond Hill",2,98,1,41,1,3,146,496
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 104","Richmond Hill",3,142,3,67,0,0,215,503
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 105","Richmond Hill",4,108,0,63,3,0,178,563
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 106","Richmond Hill",3,131,1,93,0,0,228,527
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 107","Richmond Hill",2,137,1,68,1,2,211,565
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 108","Richmond Hill",4,132,3,85,1,1,226,528
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 109","Richmond Hill",0,120,1,65,0,0,186,389
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 110","Richmond Hill",2,83,2,80,0,0,167,508
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 111","Richmond Hill",7,129,1,77,1,1,216,512
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 112","Richmond Hill",4,157,3,70,0,1,235,546
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 113","Richmond Hill",6,130,0,73,5,0,214,441
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 114","Richmond Hill",2,83,0,71,0,1,157,413
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 115","Richmond Hill",3,121,1,55,0,0,180,400
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 116","Richmond Hill",7,119,0,81,0,1,208,466
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 117","Richmond Hill",0,110,6,77,0,1,194,410
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 118","Richmond Hill",2,116,2,73,0,0,193,487
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 119","Richmond Hill",1,97,1,77,0,1,177,439
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 120","Richmond Hill",0,90,1,38,1,2,132,474
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 121","Richmond Hill",5,112,3,54,0,0,174,458
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 122","Richmond Hill",1,113,2,67,0,3,186,512
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 123","Richmond Hill",1,97,2,48,2,0,150,477
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 124","Richmond Hill",2,104,1,101,3,1,212,532
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 125","Richmond Hill",1,146,1,77,0,1,226,519
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 126","Richmond Hill",3,89,0,62,0,1,155,402
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 127","Richmond Hill",0,107,1,57,1,0,166,475
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 128","Richmond Hill",4,104,0,59,0,2,169,465
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 129","Richmond Hill",1,86,0,75,0,1,163,410
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 130","Richmond Hill",3,127,1,70,1,2,204,510
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 131","Richmond Hill",2,87,0,54,0,1,144,486
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 132","Richmond Hill",0,72,0,49,0,2,123,425
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 133","Richmond Hill",5,148,2,81,1,2,239,569
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 134","Richmond Hill",3,119,2,63,2,1,190,487
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 135","Richmond Hill",2,104,2,105,0,1,214,496
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 136","Richmond Hill",1,85,0,56,0,2,144,458
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 137","Richmond Hill",1,89,0,56,1,1,148,560
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 138","Richmond Hill",4,98,2,40,1,0,145,558
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 139","Richmond Hill",2,101,1,56,0,1,161,523
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 140","Richmond Hill",6,67,0,50,0,0,123,379
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 141","Richmond Hill",1,87,0,63,0,0,151,487
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 142","Richmond Hill",4,87,1,59,0,2,153,456
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 143","Richmond Hill",4,77,1,54,0,1,137,431
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 144","Richmond Hill",4,56,0,46,0,0,106,430
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 145","Richmond Hill",1,71,1,39,1,0,113,332
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 146","Richmond Hill",0,113,1,47,0,2,163,509
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 147","Richmond Hill",3,102,4,69,1,4,183,532
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 148","Richmond Hill",2,104,1,64,1,2,174,577
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 149","Richmond Hill",2,74,0,51,0,1,128,441
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 150","Richmond Hill",0,76,1,77,1,0,155,534
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 151","Richmond Hill",2,85,1,64,0,1,153,516
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 152","Richmond Hill",2,85,2,57,0,3,149,439
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 153","Richmond Hill",0,114,1,56,2,0,173,557
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 154","Richmond Hill",2,73,2,67,2,0,146,549
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 155","Richmond Hill",3,117,6,87,3,1,217,558
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 156","Richmond Hill",4,69,0,49,0,1,123,377
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 157","Richmond Hill",3,128,1,56,1,0,189,513
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 158A","Richmond Hill",5,113,0,71,2,0,191,590
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 158B","Richmond Hill",3,96,1,60,1,0,161,505
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 159","Richmond Hill",7,117,0,83,1,3,211,569
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 160","Richmond Hill",6,113,2,70,0,0,191,472
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 161","Richmond Hill",3,74,8,92,1,1,179,531
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 162","Richmond Hill",1,68,1,57,2,0,129,430
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 163","Richmond Hill",3,74,0,62,0,0,139,413
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 164","Richmond Hill",0,94,2,76,1,0,173,415
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 165","Richmond Hill",5,73,2,51,0,2,133,433
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 166","Richmond Hill",0,69,2,56,1,3,131,421
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 167","Richmond Hill",4,123,1,72,3,2,205,586
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 168","Richmond Hill",2,45,1,45,1,0,94,340
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 169","Richmond Hill",3,79,3,77,1,0,163,450
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 170","Richmond Hill",3,96,1,68,0,0,168,405
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 171","Richmond Hill",2,71,5,72,1,2,153,501
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 172","Richmond Hill",2,97,5,88,0,2,194,496
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 173","Richmond Hill",0,61,0,52,1,1,115,487
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 174","Richmond Hill",2,73,4,53,2,0,134,422
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 175","Richmond Hill",3,97,1,54,1,0,156,469
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 176","Richmond Hill",1,69,3,49,5,2,129,473
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 177","Richmond Hill",1,116,0,58,1,1,177,523
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 178","Richmond Hill",1,95,0,36,0,0,132,388
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 179","Richmond Hill",4,91,2,77,5,1,180,552
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 180","Richmond Hill",0,104,1,82,1,1,189,589
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 181","Richmond Hill",5,78,1,72,2,2,160,429
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 182","Richmond Hill",3,124,2,55,0,1,185,536
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 183","Richmond Hill",2,69,2,55,3,1,132,421
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 184","Richmond Hill",0,69,1,34,1,1,106,399
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 400A","Richmond Hill",3,106,3,135,2,6,255,404
