Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Luc Desilets,Michel Genois,Joseph Hakizimana,Linda Lapointe,Elia Lopez,David Santamaria Quiceno,Alec Ware,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 66","Boisbriand",54,1,0,54,23,2,2,1,137,383
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 67","Boisbriand",35,0,4,93,57,0,1,1,191,360
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 68","Boisbriand",88,0,5,99,42,0,5,2,241,367
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 69","Boisbriand",32,0,2,43,25,3,0,2,107,384
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 70","Boisbriand",55,0,0,49,36,3,2,2,147,385
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 71","Boisbriand",62,2,4,111,42,2,3,3,229,430
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 72","Boisbriand",50,1,3,51,54,3,0,0,162,380
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 73","Boisbriand",71,1,4,94,32,0,2,2,206,350
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 74","Boisbriand",47,0,2,70,34,1,5,0,159,391
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 75","Boisbriand",57,0,1,128,38,0,6,0,230,398
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 76","Boisbriand",44,0,1,63,36,4,5,4,157,344
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 77","Boisbriand",65,0,3,106,45,3,5,3,230,367
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 78","Boisbriand",65,1,7,131,68,0,5,5,282,414
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 79","Boisbriand",67,1,7,80,38,2,3,2,200,363
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 80","Boisbriand",55,0,2,56,47,1,1,1,163,356
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 81","Boisbriand",63,1,5,89,55,2,3,2,220,398
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 82","Boisbriand",3,0,1,191,21,2,0,2,220,423
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 83","Boisbriand",3,2,1,120,14,0,1,2,143,421
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 84","Boisbriand",3,2,2,112,24,0,0,0,143,469
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 85","Boisbriand",32,1,4,35,22,0,2,1,97,405
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 86","Saint-Eustache",60,0,1,50,30,1,3,3,148,292
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 87","Saint-Eustache",57,0,3,50,28,1,0,3,142,369
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 88","Saint-Eustache",45,0,5,73,46,0,1,2,172,345
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 89","Saint-Eustache",90,1,7,60,47,0,1,1,207,392
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 90","Saint-Eustache",78,0,4,71,38,2,5,1,199,407
24063,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 91","Saint-Eustache",76,1,6,51,41,0,4,3,182,390
