Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Dave Blackburn,Hugues Boily-Maltais,Lorie Bouchard,Alexis Brunelle-Duceppe,Denis Lemieux,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 146","Saint-Prime",58,3,0,51,28,0,140,282
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 147","Saint-Prime",64,0,1,87,47,5,204,466
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 148","Saint-Prime",53,4,0,70,39,2,168,373
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 149","Saint-Prime",53,2,3,73,27,6,164,396
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 150","Saint-Prime",41,2,2,69,30,2,146,354
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 151","Saint-Prime",62,1,0,61,36,1,161,337
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 152","Métabetchouan--Lac-à-la-Croix",20,2,0,52,25,1,100,247
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 153","Métabetchouan--Lac-à-la-Croix",49,6,1,72,29,1,158,342
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 154","Métabetchouan--Lac-à-la-Croix",25,4,3,57,35,3,127,330
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 155","Roberval",46,2,0,75,38,2,163,416
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 156","Roberval",34,0,1,40,9,4,88,363
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 157","Roberval",25,0,2,31,16,2,76,335
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 158","Roberval",23,2,3,38,22,1,89,331
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 159","Roberval",17,4,3,27,18,4,73,314
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 160","Desbiens",59,4,1,79,42,1,186,334
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 161","Desbiens",34,5,1,70,24,1,135,249
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 162","Desbiens",31,4,1,61,39,2,138,249
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 163","Métabetchouan--Lac-à-la-Croix",56,4,5,63,37,0,165,332
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 164","Métabetchouan--Lac-à-la-Croix",33,0,3,55,45,3,139,318
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 165","Roberval",47,3,1,50,21,1,123,297
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 166","Roberval",30,1,1,42,26,0,100,396
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 167","Roberval",28,4,2,67,34,1,136,371
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 168","Roberval",38,2,1,81,32,2,156,480
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 169","Roberval",42,4,1,60,23,2,132,430
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 170","Roberval",36,2,6,47,17,0,108,312
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 171","Roberval",39,1,2,58,28,0,128,406
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 172","Métabetchouan--Lac-à-la-Croix",20,3,1,50,15,2,91,211
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 173","Métabetchouan--Lac-à-la-Croix",61,3,0,85,30,1,180,389
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 174","Métabetchouan--Lac-à-la-Croix",42,2,0,58,31,0,133,245
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 175","Chambord",38,1,2,69,25,2,137,350
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 176","Chambord",41,0,2,79,29,1,152,317
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 177","Chambord",33,4,5,82,35,1,160,404
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 178","Chambord",47,2,1,59,26,3,138,324
24033,"Lac-Saint-Jean/Lac-Saint-Jean"," 179","Métabetchouan--Lac-à-la-Croix",48,3,6,94,34,0,185,320
