Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Aeriol Alderking,Michael de Jong,Sukhman Gill,Kevin Gillies,Melissa Snazell,Dharmasena Yakandawela,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 53","Langley",1,13,55,48,0,8,0,125,430
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 54","Langley",2,22,61,71,3,3,0,162,464
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 55","Langley",0,16,87,49,2,3,0,157,502
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 56","Langley",0,32,58,46,2,6,0,144,411
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 57","Langley",1,28,66,52,2,13,3,165,512
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 58","Langley",1,17,110,51,2,7,1,189,472
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 59","Langley",2,4,71,51,5,13,0,146,463
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 60","Langley",3,11,67,46,1,21,1,150,412
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 61","Langley",0,20,72,47,1,9,0,149,476
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 62","Langley",1,26,102,75,5,18,1,228,559
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 63","Langley",1,23,110,57,4,2,0,197,415
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 64","Langley",1,19,50,18,1,7,0,96,357
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 65","Langley",2,19,112,82,2,4,1,222,590
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 66","Langley",0,23,78,45,2,3,1,152,355
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 67","Langley",1,27,71,67,1,9,0,176,384
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 68","Langley",6,30,69,35,1,7,0,148,311
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 69","Abbotsford",0,11,59,38,0,8,0,116,329
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 70","Abbotsford",0,17,54,20,1,2,0,94,265
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 71","Abbotsford",0,16,87,44,1,3,1,152,424
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 72","Abbotsford",3,35,81,33,0,2,0,154,325
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 73","Abbotsford",0,22,74,36,0,7,3,142,404
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 74","Abbotsford",1,42,107,66,0,5,2,223,470
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 75","Abbotsford",2,24,36,25,0,1,1,89,315
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 76","Abbotsford",0,18,63,33,0,4,0,118,339
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 77","Abbotsford",2,19,31,61,0,4,1,118,393
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 78","Abbotsford",1,27,48,35,0,1,1,113,332
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 79","Abbotsford",0,24,96,64,1,1,3,189,486
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 80","Abbotsford",0,39,80,68,0,2,6,195,524
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 81","Abbotsford",1,22,57,47,0,2,1,130,388
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 82","Abbotsford",1,33,55,55,0,2,2,148,456
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 83","Abbotsford",1,51,51,42,0,4,0,149,439
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 84","Abbotsford",3,49,84,53,3,7,0,199,578
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 85","Abbotsford",0,40,62,58,2,3,2,167,495
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 86","Abbotsford",1,35,50,36,2,2,0,126,511
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 87","Abbotsford",2,62,94,35,1,6,1,201,571
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 88","Abbotsford",4,13,36,43,0,5,1,102,308
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 89","Abbotsford",2,30,58,46,2,4,0,142,495
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 90","Abbotsford",3,26,69,73,4,7,0,182,544
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 91","Abbotsford",0,28,60,48,0,10,0,146,523
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 92","Abbotsford",1,80,79,42,3,5,4,214,511
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 93","Abbotsford",0,22,83,78,1,15,1,200,569
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 94","Abbotsford",2,17,48,38,2,11,2,120,420
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 95","Abbotsford",4,18,27,46,2,9,0,106,331
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 96","Abbotsford",0,31,56,37,3,2,0,129,393
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 97","Abbotsford",0,43,47,22,2,2,1,117,327
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 98","Abbotsford",1,57,62,29,1,5,1,156,292
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 99","Abbotsford",0,55,86,44,2,8,0,195,415
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 100","Abbotsford",0,32,40,55,1,7,1,136,328
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 101","Abbotsford",0,37,136,80,3,3,2,261,485
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 102","Abbotsford",1,43,51,33,0,3,1,132,359
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 103","Abbotsford",1,48,58,39,1,2,0,149,407
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 104","Matsqui 4",0,32,44,135,3,14,0,228,376
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 105","Abbotsford",0,27,34,34,0,6,2,103,372
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 106","Abbotsford",2,44,52,32,2,4,5,141,452
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 107","Abbotsford",0,28,64,61,0,4,3,160,462
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 108","Abbotsford",2,6,54,35,3,3,0,103,383
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 109","Abbotsford",0,17,77,47,2,11,1,155,468
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 110","Abbotsford",1,30,76,52,3,5,3,170,513
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 111","Abbotsford",4,57,53,108,3,9,1,235,526
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 112","Abbotsford",5,44,87,91,2,15,3,247,640
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 113","Abbotsford",1,23,57,52,2,6,1,142,460
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 114","Abbotsford",2,54,49,52,0,4,0,161,407
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 115","Abbotsford",3,41,47,54,0,13,3,161,453
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 116","Abbotsford",0,27,28,50,3,4,0,112,399
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 117","Abbotsford",0,36,82,80,5,12,1,216,642
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 118","Abbotsford",0,53,24,32,0,4,1,114,391
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 119","Abbotsford",1,11,78,43,1,4,1,139,456
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 120","Abbotsford",3,34,22,35,0,5,0,99,324
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 121","Abbotsford",2,40,49,49,3,9,2,154,548
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 122","Abbotsford",2,4,49,33,0,7,1,96,356
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 123","Abbotsford",4,79,97,70,4,12,1,267,536
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 124","Abbotsford",0,49,100,73,2,8,1,233,529
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 125","Abbotsford",1,31,46,60,1,2,2,143,449
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 126","Abbotsford",0,33,83,62,2,6,0,186,427
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 127","Abbotsford",1,21,41,40,2,7,0,112,349
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 128","Abbotsford",2,17,59,70,2,9,1,160,578
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 129","Abbotsford",1,21,64,52,1,8,1,148,526
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 130","Abbotsford",0,23,36,41,2,5,2,109,399
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 131","Abbotsford",2,28,50,37,1,5,0,123,483
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 132","Abbotsford",0,19,76,51,2,3,3,154,514
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 133","Abbotsford",5,34,81,56,2,10,2,190,646
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 134","Abbotsford",1,45,66,46,1,4,2,165,523
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 135","Abbotsford",2,46,85,38,2,8,2,183,565
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 136A","Abbotsford",0,56,87,51,2,8,6,210,570
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 136B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,,,48
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 137","Abbotsford",2,46,67,40,1,8,0,164,526
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 138","Abbotsford",0,31,93,66,2,6,0,198,561
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 139","Abbotsford",0,30,56,42,0,4,1,133,503
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 140","Abbotsford",0,42,45,46,1,5,0,139,544
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 141","Abbotsford",0,65,61,44,1,2,0,173,546
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 142","Abbotsford",2,17,55,42,2,8,2,128,467
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 143","Abbotsford",0,37,52,33,1,0,2,125,479
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 144","Abbotsford",1,22,42,50,1,17,0,133,498
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 145","Abbotsford",2,32,70,59,3,8,0,174,552
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 146","Abbotsford",0,28,75,39,0,6,1,149,586
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 147","Abbotsford",1,31,52,49,3,10,0,146,495
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 148","Abbotsford",4,32,53,38,3,8,0,138,506
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 149","Abbotsford",4,17,54,45,2,9,0,131,419
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 150","Abbotsford",5,61,74,54,4,5,0,203,483
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 151","Abbotsford",0,24,69,60,2,13,0,168,557
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 152","Abbotsford",0,29,70,50,4,7,0,160,425
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 153","Abbotsford",0,16,57,56,3,7,0,139,412
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 154","Abbotsford",1,26,65,37,1,7,0,137,490
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 155","Abbotsford",0,23,47,38,3,5,1,117,476
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 156","Abbotsford",0,53,66,66,4,3,0,192,470
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 157","Abbotsford",3,40,58,47,2,5,1,156,443
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 158","Abbotsford",4,44,71,32,0,4,3,158,395
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 159","Abbotsford",2,38,57,47,3,4,0,151,419
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 160","Abbotsford",0,38,44,20,2,2,1,107,399
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 161","Abbotsford",0,42,41,19,0,1,1,104,376
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 162","Abbotsford",0,72,53,18,2,5,0,150,384
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 163","Abbotsford",1,44,55,36,5,10,2,153,503
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 164","Abbotsford",1,28,49,42,3,4,0,127,412
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 165","Abbotsford",0,20,53,46,2,4,4,129,450
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 166","Abbotsford",2,31,70,51,2,10,0,166,462
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 167","Abbotsford",0,15,66,56,2,8,0,147,491
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 168","Abbotsford",0,14,41,24,1,1,0,81,316
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 169","Abbotsford",3,27,91,62,1,10,2,196,520
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 170","Abbotsford",3,29,120,81,1,12,0,246,610
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 171","Abbotsford",1,18,60,50,4,10,0,143,462
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 172","Abbotsford",0,16,59,34,0,9,1,119,357
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 173","Abbotsford",1,23,48,28,1,13,1,115,438
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 174","Abbotsford",1,26,68,53,3,6,0,157,592
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 175","Abbotsford",0,8,25,55,2,15,1,106,381
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 176","Abbotsford",1,14,43,59,0,8,0,125,452
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 177","Abbotsford",0,24,69,41,0,4,0,138,509
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 178","Abbotsford",0,11,49,35,4,13,0,112,357
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 179","Abbotsford",2,20,80,78,3,4,0,187,500
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 180","Abbotsford",2,44,98,59,1,11,3,218,652
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 181","Abbotsford",0,46,70,25,0,8,0,149,486
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 182","Abbotsford",2,26,50,52,4,4,0,138,492
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 183","Abbotsford",0,31,56,22,1,3,0,113,403
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 184","Abbotsford",1,28,51,26,3,2,1,112,422
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 185","Abbotsford",2,64,38,30,3,2,0,139,363
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 400","Abbotsford",6,80,41,63,3,10,3,206,289
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 500","Langley",Combined with No./Résultats combinés à ceux du n°7,,,,,,,,24
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,,10
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 502","Mobile poll/Bureau itinérant",2,11,19,27,0,12,3,74,47
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,,70
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 504","Mobile poll/Bureau itinérant",0,50,22,21,0,4,3,100,67
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,,,41
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 506","Mobile poll/Bureau itinérant",1,12,17,11,3,6,1,51,46
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 507","Mobile poll/Bureau itinérant",1,36,31,25,1,3,1,98,94
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,82
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,,16
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 510","Mobile poll/Bureau itinérant",1,5,11,8,2,4,1,32,48
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°519,,,,,,,,70
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 512","Mobile poll/Bureau itinérant",1,65,24,21,1,1,1,114,124
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,,54
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 514","Mobile poll/Bureau itinérant",0,13,30,19,5,12,0,79,70
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 515","Mobile poll/Bureau itinérant",0,57,29,18,1,2,2,109,89
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,,53
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 517","Mobile poll/Bureau itinérant",0,30,21,18,4,10,1,84,36
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,24
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 519","Mobile poll/Bureau itinérant",3,17,20,24,2,7,1,74,46
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 600","Langley",10,125,704,673,17,40,8,1577,
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 601","Langley",18,141,774,641,11,43,7,1635,
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 602","Langley",8,96,538,296,5,28,2,973,
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 603","Langley",2,55,378,267,3,11,1,717,
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 604","Matsqui 4",Combined with No./Résultats combinés à ceux du n°607,,,,,,,,
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 605","Langley",28,173,698,517,22,55,16,1509,
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 606","Langley",8,137,595,542,12,53,11,1358,
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 607","Langley",10,111,496,397,10,52,1,1077,
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 608","Abbotsford",6,188,361,198,5,13,3,774,
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 609","Abbotsford",6,476,701,485,13,33,17,1731,
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 610","Abbotsford",11,374,665,486,12,21,14,1583,
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 611","Abbotsford",9,258,453,342,10,25,18,1115,
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 612","Abbotsford",12,188,475,473,8,45,10,1211,
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 613","Abbotsford",17,347,582,484,15,35,14,1494,
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 614","Abbotsford",14,390,522,575,10,66,3,1580,
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 615","Abbotsford",12,297,484,610,6,54,4,1467,
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 616","Abbotsford",14,230,494,474,13,46,5,1276,
59001,"Abbotsford--South Langley/Abbotsford--Langley-Sud"," 617","Abbotsford",10,189,502,470,8,52,6,1237,
