Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Elaine Allan,Hedy Fry,Avi Lewis,Scott MacDonald,Drew William McPherson,Christopher Varga,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59035,"Vancouver Centre/Vancouver-Centre"," 45","Vancouver",19,58,14,5,0,0,0,96,446
59035,"Vancouver Centre/Vancouver-Centre"," 46","Vancouver",18,57,25,1,0,0,0,101,488
59035,"Vancouver Centre/Vancouver-Centre"," 47","Vancouver",50,64,29,0,0,1,0,144,561
59035,"Vancouver Centre/Vancouver-Centre"," 48","Vancouver",26,54,24,5,0,2,0,111,455
59035,"Vancouver Centre/Vancouver-Centre"," 49","Vancouver",25,28,7,0,0,0,0,60,271
59035,"Vancouver Centre/Vancouver-Centre"," 50","Vancouver",45,34,5,1,0,1,0,86,382
59035,"Vancouver Centre/Vancouver-Centre"," 51","Vancouver",38,29,8,0,0,0,0,75,411
59035,"Vancouver Centre/Vancouver-Centre"," 52","Vancouver",35,33,5,1,0,0,1,75,341
59035,"Vancouver Centre/Vancouver-Centre"," 53","Vancouver",43,30,3,2,0,0,0,78,408
59035,"Vancouver Centre/Vancouver-Centre"," 54","Vancouver",27,42,16,2,0,0,0,87,350
59035,"Vancouver Centre/Vancouver-Centre"," 55","Vancouver",54,45,9,2,0,0,0,110,468
59035,"Vancouver Centre/Vancouver-Centre"," 56","Vancouver",45,40,5,0,0,0,0,90,412
59035,"Vancouver Centre/Vancouver-Centre"," 57","Vancouver",42,54,11,0,0,0,5,112,523
59035,"Vancouver Centre/Vancouver-Centre"," 58","Vancouver",66,22,3,0,1,0,0,92,504
59035,"Vancouver Centre/Vancouver-Centre"," 59","Vancouver",72,56,1,0,0,1,1,131,566
59035,"Vancouver Centre/Vancouver-Centre"," 60","Vancouver",85,30,0,0,0,0,0,115,581
59035,"Vancouver Centre/Vancouver-Centre"," 61","Vancouver",35,36,15,0,0,0,0,86,403
59035,"Vancouver Centre/Vancouver-Centre"," 62","Vancouver",56,44,5,5,0,1,0,111,546
59035,"Vancouver Centre/Vancouver-Centre"," 63","Vancouver",48,50,6,3,2,0,0,109,529
59035,"Vancouver Centre/Vancouver-Centre"," 64","Vancouver",25,66,21,5,0,1,0,118,491
59035,"Vancouver Centre/Vancouver-Centre"," 65","Vancouver",29,59,16,2,0,0,0,106,460
59035,"Vancouver Centre/Vancouver-Centre"," 66","Vancouver",36,67,14,3,0,1,0,121,480
59035,"Vancouver Centre/Vancouver-Centre"," 67","Vancouver",48,95,38,3,1,1,0,186,513
59035,"Vancouver Centre/Vancouver-Centre"," 68","Vancouver",19,42,14,3,1,1,1,81,362
59035,"Vancouver Centre/Vancouver-Centre"," 69","Vancouver",31,48,24,5,0,0,0,108,485
59035,"Vancouver Centre/Vancouver-Centre"," 70","Vancouver",19,66,31,1,0,0,1,118,401
59035,"Vancouver Centre/Vancouver-Centre"," 71","Vancouver",50,100,42,6,0,2,0,200,601
59035,"Vancouver Centre/Vancouver-Centre"," 72","Vancouver",46,54,29,2,0,1,0,132,411
59035,"Vancouver Centre/Vancouver-Centre"," 73","Vancouver",51,89,16,2,0,2,0,160,472
59035,"Vancouver Centre/Vancouver-Centre"," 74","Vancouver",54,68,15,3,0,0,1,141,360
59035,"Vancouver Centre/Vancouver-Centre"," 75","Vancouver",50,75,33,2,0,0,0,160,526
59035,"Vancouver Centre/Vancouver-Centre"," 76","Vancouver",54,70,8,0,0,1,1,134,382
59035,"Vancouver Centre/Vancouver-Centre"," 77","Vancouver",28,66,14,3,0,0,0,111,469
59035,"Vancouver Centre/Vancouver-Centre"," 78","Vancouver",13,37,42,2,2,2,1,99,339
59035,"Vancouver Centre/Vancouver-Centre"," 79","Vancouver",27,62,27,4,2,1,0,123,579
59035,"Vancouver Centre/Vancouver-Centre"," 80","Vancouver",41,87,47,6,1,2,0,184,445
59035,"Vancouver Centre/Vancouver-Centre"," 81","Vancouver",26,62,28,0,1,0,1,118,396
59035,"Vancouver Centre/Vancouver-Centre"," 82","Vancouver",33,42,14,1,0,0,0,90,403
59035,"Vancouver Centre/Vancouver-Centre"," 83","Vancouver",20,51,7,3,0,1,0,82,327
59035,"Vancouver Centre/Vancouver-Centre"," 84","Vancouver",35,53,38,1,1,0,0,128,438
59035,"Vancouver Centre/Vancouver-Centre"," 85","Vancouver",34,66,27,1,0,2,2,132,436
59035,"Vancouver Centre/Vancouver-Centre"," 86","Vancouver",18,54,22,2,0,0,0,96,434
59035,"Vancouver Centre/Vancouver-Centre"," 87","Vancouver",35,58,8,3,0,3,0,107,340
59035,"Vancouver Centre/Vancouver-Centre"," 88","Vancouver",61,49,10,0,0,0,0,120,481
59035,"Vancouver Centre/Vancouver-Centre"," 89","Vancouver",70,88,15,4,0,1,2,180,676
59035,"Vancouver Centre/Vancouver-Centre"," 90","Vancouver",62,52,11,0,0,0,0,125,520
59035,"Vancouver Centre/Vancouver-Centre"," 91","Vancouver",28,42,15,1,0,0,0,86,502
59035,"Vancouver Centre/Vancouver-Centre"," 92","Vancouver",27,28,10,3,1,1,0,70,396
59035,"Vancouver Centre/Vancouver-Centre"," 93","Vancouver",53,70,15,1,0,2,0,141,563
59035,"Vancouver Centre/Vancouver-Centre"," 94","Vancouver",29,56,17,2,0,1,0,105,335
59035,"Vancouver Centre/Vancouver-Centre"," 95","Vancouver",44,54,4,1,0,0,0,103,403
59035,"Vancouver Centre/Vancouver-Centre"," 96","Vancouver",33,70,24,3,0,1,0,131,528
59035,"Vancouver Centre/Vancouver-Centre"," 97","Vancouver",28,48,14,3,0,1,0,94,249
59035,"Vancouver Centre/Vancouver-Centre"," 98","Vancouver",64,102,28,3,3,2,3,205,523
59035,"Vancouver Centre/Vancouver-Centre"," 99","Vancouver",35,63,23,2,0,1,0,124,527
59035,"Vancouver Centre/Vancouver-Centre"," 100","Vancouver",13,25,15,1,0,2,0,56,401
59035,"Vancouver Centre/Vancouver-Centre"," 101","Vancouver",45,87,32,2,1,1,0,168,566
59035,"Vancouver Centre/Vancouver-Centre"," 102","Vancouver",23,47,28,1,1,0,0,100,330
59035,"Vancouver Centre/Vancouver-Centre"," 103","Vancouver",32,47,21,0,0,0,0,100,376
59035,"Vancouver Centre/Vancouver-Centre"," 104","Vancouver",66,117,38,4,0,1,0,226,559
59035,"Vancouver Centre/Vancouver-Centre"," 105","Vancouver",66,72,6,2,0,1,0,147,509
59035,"Vancouver Centre/Vancouver-Centre"," 106","Vancouver",90,93,17,2,1,1,2,206,686
59035,"Vancouver Centre/Vancouver-Centre"," 107","Vancouver",60,82,10,3,0,1,0,156,598
59035,"Vancouver Centre/Vancouver-Centre"," 108","Vancouver",44,53,6,1,0,0,0,104,407
59035,"Vancouver Centre/Vancouver-Centre"," 109","Vancouver",22,42,10,1,0,0,2,77,321
59035,"Vancouver Centre/Vancouver-Centre"," 110","Vancouver",45,54,12,0,0,0,0,111,415
59035,"Vancouver Centre/Vancouver-Centre"," 111","Vancouver",45,37,6,3,1,0,0,92,354
59035,"Vancouver Centre/Vancouver-Centre"," 112","Vancouver",48,51,6,1,0,0,0,106,395
59035,"Vancouver Centre/Vancouver-Centre"," 113","Vancouver",15,14,6,2,0,0,1,38,417
59035,"Vancouver Centre/Vancouver-Centre"," 114","Vancouver",22,35,5,0,0,0,1,63,332
59035,"Vancouver Centre/Vancouver-Centre"," 115","Vancouver",43,41,4,0,0,0,1,89,381
59035,"Vancouver Centre/Vancouver-Centre"," 116","Vancouver",39,33,4,1,0,0,0,77,351
59035,"Vancouver Centre/Vancouver-Centre"," 117","Vancouver",32,39,5,1,0,0,2,79,351
59035,"Vancouver Centre/Vancouver-Centre"," 118","Vancouver",53,57,7,1,0,0,0,118,514
59035,"Vancouver Centre/Vancouver-Centre"," 119","Vancouver",42,49,4,2,0,0,0,97,469
59035,"Vancouver Centre/Vancouver-Centre"," 120","Vancouver",36,68,22,2,2,0,2,132,356
59035,"Vancouver Centre/Vancouver-Centre"," 121","Vancouver",44,56,11,3,0,3,1,118,454
59035,"Vancouver Centre/Vancouver-Centre"," 122","Vancouver",66,33,15,2,0,0,0,116,437
59035,"Vancouver Centre/Vancouver-Centre"," 123","Vancouver",65,99,16,5,0,1,1,187,541
59035,"Vancouver Centre/Vancouver-Centre"," 124","Vancouver",39,57,13,0,0,0,0,109,370
59035,"Vancouver Centre/Vancouver-Centre"," 125","Vancouver",56,64,7,0,0,0,1,128,495
59035,"Vancouver Centre/Vancouver-Centre"," 126","Vancouver",32,40,6,1,0,0,0,79,307
59035,"Vancouver Centre/Vancouver-Centre"," 127","Vancouver",51,41,10,2,1,1,0,106,437
59035,"Vancouver Centre/Vancouver-Centre"," 128","Vancouver",71,67,6,1,0,0,0,145,569
59035,"Vancouver Centre/Vancouver-Centre"," 129","Vancouver",58,59,8,3,0,2,0,130,507
59035,"Vancouver Centre/Vancouver-Centre"," 130","Vancouver",54,52,6,2,0,0,0,114,430
59035,"Vancouver Centre/Vancouver-Centre"," 131","Vancouver",35,39,6,2,0,0,0,82,394
59035,"Vancouver Centre/Vancouver-Centre"," 132","Vancouver",34,47,7,0,0,0,2,90,441
59035,"Vancouver Centre/Vancouver-Centre"," 133","Vancouver",44,52,14,1,0,0,0,111,429
59035,"Vancouver Centre/Vancouver-Centre"," 134","Vancouver",39,47,7,2,0,0,0,95,370
59035,"Vancouver Centre/Vancouver-Centre"," 135","Vancouver",45,44,7,1,0,0,0,97,439
59035,"Vancouver Centre/Vancouver-Centre"," 136","Vancouver",58,53,4,2,0,0,1,118,520
59035,"Vancouver Centre/Vancouver-Centre"," 137","Vancouver",52,55,6,1,0,0,1,115,451
59035,"Vancouver Centre/Vancouver-Centre"," 138","Vancouver",52,40,3,3,0,0,0,98,355
59035,"Vancouver Centre/Vancouver-Centre"," 139","Vancouver",49,38,10,0,1,1,0,99,448
59035,"Vancouver Centre/Vancouver-Centre"," 140","Vancouver",46,72,10,1,0,0,1,130,500
59035,"Vancouver Centre/Vancouver-Centre"," 141","Vancouver",45,51,4,3,0,0,0,103,540
59035,"Vancouver Centre/Vancouver-Centre"," 142","Vancouver",44,62,10,1,0,2,0,119,535
59035,"Vancouver Centre/Vancouver-Centre"," 143","Vancouver",44,40,7,1,0,0,0,92,387
59035,"Vancouver Centre/Vancouver-Centre"," 144","Vancouver",30,32,9,0,0,0,0,71,518
59035,"Vancouver Centre/Vancouver-Centre"," 145","Vancouver",39,33,21,1,0,3,0,97,482
59035,"Vancouver Centre/Vancouver-Centre"," 146","Vancouver",53,69,9,1,0,0,0,132,562
59035,"Vancouver Centre/Vancouver-Centre"," 147","Vancouver",58,46,5,0,0,0,0,109,480
59035,"Vancouver Centre/Vancouver-Centre"," 148","Vancouver",58,57,13,3,0,3,0,134,525
59035,"Vancouver Centre/Vancouver-Centre"," 149","Vancouver",79,65,9,4,0,0,0,157,569
59035,"Vancouver Centre/Vancouver-Centre"," 150","Vancouver",96,81,6,1,0,1,0,185,751
59035,"Vancouver Centre/Vancouver-Centre"," 151","Vancouver",54,42,6,1,0,0,0,103,505
59035,"Vancouver Centre/Vancouver-Centre"," 152","Vancouver",38,22,11,0,0,0,0,71,350
59035,"Vancouver Centre/Vancouver-Centre"," 153","Vancouver",37,35,8,0,0,1,0,81,384
59035,"Vancouver Centre/Vancouver-Centre"," 154","Vancouver",50,80,6,1,0,0,1,138,562
59035,"Vancouver Centre/Vancouver-Centre"," 155","Vancouver",67,73,17,2,1,3,1,164,713
59035,"Vancouver Centre/Vancouver-Centre"," 156","Vancouver",50,70,13,3,0,0,0,136,655
59035,"Vancouver Centre/Vancouver-Centre"," 157","Vancouver",44,66,9,3,0,0,0,122,462
59035,"Vancouver Centre/Vancouver-Centre"," 158","Vancouver",32,49,13,0,1,0,0,95,375
59035,"Vancouver Centre/Vancouver-Centre"," 159","Vancouver",48,59,10,1,1,0,2,121,429
59035,"Vancouver Centre/Vancouver-Centre"," 160","Vancouver",56,82,12,3,0,0,0,153,533
59035,"Vancouver Centre/Vancouver-Centre"," 161","Vancouver",31,44,5,0,0,0,0,80,346
59035,"Vancouver Centre/Vancouver-Centre"," 162","Vancouver",34,46,4,0,0,1,0,85,373
59035,"Vancouver Centre/Vancouver-Centre"," 163","Vancouver",51,35,11,2,1,3,1,104,381
59035,"Vancouver Centre/Vancouver-Centre"," 164","Vancouver",72,62,12,2,0,0,0,148,474
59035,"Vancouver Centre/Vancouver-Centre"," 165","Vancouver",47,44,6,0,0,0,0,97,257
59035,"Vancouver Centre/Vancouver-Centre"," 166","Vancouver",22,50,9,2,0,0,0,83,416
59035,"Vancouver Centre/Vancouver-Centre"," 167","Vancouver",26,64,13,5,0,1,1,110,473
59035,"Vancouver Centre/Vancouver-Centre"," 168","Vancouver",52,58,7,0,0,0,0,117,547
59035,"Vancouver Centre/Vancouver-Centre"," 169","Vancouver",41,65,33,3,2,1,1,146,577
59035,"Vancouver Centre/Vancouver-Centre"," 170","Vancouver",29,55,15,0,0,0,1,100,375
59035,"Vancouver Centre/Vancouver-Centre"," 171","Vancouver",53,101,9,0,0,0,1,164,563
59035,"Vancouver Centre/Vancouver-Centre"," 172","Vancouver",51,50,12,1,0,0,1,115,490
59035,"Vancouver Centre/Vancouver-Centre"," 173","Vancouver",53,80,12,3,0,1,0,149,432
59035,"Vancouver Centre/Vancouver-Centre"," 174","Vancouver",42,48,13,3,0,0,1,107,510
59035,"Vancouver Centre/Vancouver-Centre"," 175","Vancouver",57,106,22,3,0,0,1,189,562
59035,"Vancouver Centre/Vancouver-Centre"," 176","Vancouver",62,99,18,2,0,0,0,181,545
59035,"Vancouver Centre/Vancouver-Centre"," 177","Vancouver",53,80,23,1,0,3,0,160,580
59035,"Vancouver Centre/Vancouver-Centre"," 178","Vancouver",52,74,21,1,0,0,0,148,498
59035,"Vancouver Centre/Vancouver-Centre"," 179","Vancouver",83,99,13,3,1,0,1,200,722
59035,"Vancouver Centre/Vancouver-Centre"," 180","Vancouver",40,71,11,3,0,0,0,125,457
59035,"Vancouver Centre/Vancouver-Centre"," 181","Vancouver",57,90,15,2,2,0,0,166,571
59035,"Vancouver Centre/Vancouver-Centre"," 500","Mobile poll/Bureau itinérant",8,26,16,1,0,0,0,51,45
59035,"Vancouver Centre/Vancouver-Centre"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,60
59035,"Vancouver Centre/Vancouver-Centre"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,25
59035,"Vancouver Centre/Vancouver-Centre"," 503","Mobile poll/Bureau itinérant",10,23,16,5,3,2,4,63,59
59035,"Vancouver Centre/Vancouver-Centre"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,,52
59035,"Vancouver Centre/Vancouver-Centre"," 600","Vancouver",365,956,340,20,0,7,2,1690,
59035,"Vancouver Centre/Vancouver-Centre"," 601","Vancouver",331,1145,327,34,0,11,2,1850,
59035,"Vancouver Centre/Vancouver-Centre"," 602","Vancouver",308,1078,351,36,0,9,3,1785,
59035,"Vancouver Centre/Vancouver-Centre"," 603","Vancouver",351,977,290,30,1,8,7,1664,
59035,"Vancouver Centre/Vancouver-Centre"," 604","Vancouver",251,916,324,17,3,8,3,1522,
59035,"Vancouver Centre/Vancouver-Centre"," 605","Vancouver",244,749,220,28,0,1,3,1245,
59035,"Vancouver Centre/Vancouver-Centre"," 606","Vancouver",465,697,91,12,3,2,2,1272,
59035,"Vancouver Centre/Vancouver-Centre"," 607","Vancouver",529,652,115,15,1,6,10,1328,
59035,"Vancouver Centre/Vancouver-Centre"," 608","Vancouver",442,773,130,12,0,4,6,1367,
59035,"Vancouver Centre/Vancouver-Centre"," 609","Vancouver",399,752,95,11,1,5,2,1265,
59035,"Vancouver Centre/Vancouver-Centre"," 610","Vancouver",412,735,129,17,0,2,0,1295,
59035,"Vancouver Centre/Vancouver-Centre"," 611","Vancouver",631,1036,124,15,1,9,5,1821,
59035,"Vancouver Centre/Vancouver-Centre"," 612","Vancouver",695,1226,127,18,2,6,3,2077,
59035,"Vancouver Centre/Vancouver-Centre"," 613","Vancouver",711,1101,122,11,0,9,3,1957,
59035,"Vancouver Centre/Vancouver-Centre"," 614","Vancouver",413,1001,143,16,1,0,5,1579,
59035,"Vancouver Centre/Vancouver-Centre"," 615","Vancouver",506,1268,197,25,0,6,5,2007,
59035,"Vancouver Centre/Vancouver-Centre",,Group 1/Groupe 1, 466,1314,193,37,1,5,102,2118,1481
59035,"Vancouver Centre/Vancouver-Centre",,Group 2/Groupe 2, 1233,3079,642,53,4,7,182,5200,
