Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Donald Gagnon,Marie-Andrée Gravel,Beritan Oerde,Tiny Olinga,Terry Roberts,Sherry Romanado,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 22","Longueuil",0,22,47,1,18,43,1,132,389
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 23","Longueuil",1,12,37,2,14,45,4,115,330
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 24","Longueuil",4,11,37,0,20,51,3,126,405
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 25","Longueuil",2,12,42,2,27,67,0,152,444
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 26","Longueuil",0,13,40,0,30,46,3,132,387
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 27","Longueuil",0,11,56,1,23,55,7,153,414
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 28","Longueuil",2,10,34,2,35,74,1,158,425
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 29","Longueuil",1,4,24,0,16,33,0,78,479
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 30","Longueuil",0,8,15,0,15,29,2,69,417
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 31","Longueuil",1,16,25,1,46,91,1,181,513
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 32","Longueuil",0,6,21,2,18,79,0,126,412
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 33","Longueuil",2,13,15,0,23,61,1,115,374
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 34","Longueuil",2,22,56,0,37,96,0,213,501
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 35","Longueuil",3,6,33,1,16,46,3,108,370
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 36","Longueuil",3,5,46,1,23,43,2,123,417
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 37","Longueuil",3,11,50,2,32,41,6,145,414
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 38","Longueuil",2,8,52,2,36,63,3,166,434
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 39","Longueuil",3,15,42,3,23,37,9,132,397
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 40","Longueuil",0,2,54,0,32,58,3,149,353
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 41","Longueuil",3,6,48,0,32,51,2,142,419
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 42","Longueuil",1,7,42,1,29,57,5,142,399
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 43","Longueuil",1,7,31,2,15,56,1,113,378
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 44","Longueuil",0,16,44,1,20,43,2,126,347
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 45","Longueuil",1,11,37,0,30,40,5,124,382
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 46","Longueuil",3,9,68,0,22,66,3,171,443
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 47","Longueuil",1,12,24,2,20,73,11,143,371
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 48","Longueuil",3,5,38,2,18,71,2,139,438
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 49","Longueuil",1,12,56,8,33,83,6,199,480
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 50","Longueuil",0,6,27,1,11,57,5,107,422
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 51","Longueuil",2,8,30,1,21,46,2,110,328
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 52","Longueuil",2,16,66,2,25,97,4,212,446
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 53","Longueuil",2,9,62,1,29,71,5,179,492
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 54","Longueuil",0,8,45,0,29,55,1,138,358
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 55","Longueuil",1,11,56,1,34,90,7,200,417
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 56","Longueuil",0,11,53,4,26,44,2,140,363
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 57","Longueuil",2,7,47,1,35,52,6,150,436
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 58","Longueuil",2,13,49,4,21,71,2,162,405
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 59","Longueuil",0,9,34,1,19,40,1,104,344
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 60","Longueuil",4,13,41,0,24,59,2,143,403
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 61","Longueuil",3,12,45,2,21,55,4,142,371
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 62","Longueuil",1,12,37,1,25,50,5,131,418
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 63","Longueuil",2,14,52,3,26,74,5,176,389
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 64","Longueuil",2,9,28,0,36,33,0,108,321
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 65","Longueuil",0,15,48,0,29,59,3,154,329
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 66","Longueuil",2,16,81,4,38,91,2,234,446
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 67","Longueuil",3,17,54,3,29,64,4,174,458
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 68","Longueuil",0,13,40,0,38,62,5,158,390
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 69","Longueuil",1,14,36,0,20,72,7,150,430
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 70","Longueuil",0,10,49,1,25,58,0,143,349
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 71","Longueuil",0,7,26,1,26,67,3,130,398
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 72","Longueuil",1,10,46,2,38,49,5,151,435
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 73","Longueuil",0,6,48,0,25,68,1,148,375
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 74","Longueuil",1,10,50,5,27,64,3,160,427
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 75","Longueuil",2,11,40,0,21,90,4,168,361
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 76","Longueuil",1,7,60,3,23,57,7,158,439
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 77","Longueuil",0,7,38,1,27,47,1,121,402
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 78","Longueuil",1,7,40,2,24,66,1,141,396
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 79","Longueuil",0,4,28,3,30,58,4,127,428
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 80","Longueuil",2,2,32,1,29,54,1,121,343
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 81","Longueuil",0,6,36,2,20,44,2,110,369
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 82","Longueuil",2,6,34,1,22,63,1,129,437
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 83","Longueuil",0,7,47,2,26,60,2,144,479
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 84","Longueuil",1,9,20,0,21,39,2,92,340
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 85","Longueuil",0,8,17,0,15,51,2,93,359
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 86","Longueuil",0,8,30,0,26,54,2,120,385
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 87","Longueuil",1,9,41,1,22,67,5,146,448
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 88","Longueuil",0,10,35,3,24,53,3,128,377
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 89","Longueuil",0,8,43,2,31,54,1,139,363
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 90","Longueuil",1,9,38,0,17,55,2,122,342
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 91","Longueuil",2,6,25,3,36,61,2,135,381
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 92","Longueuil",1,11,48,1,39,57,0,157,422
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 93","Longueuil",3,5,32,0,35,58,0,133,418
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 94","Longueuil",1,8,39,1,22,31,0,102,378
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 95","Longueuil",1,8,23,1,19,69,5,126,445
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 96","Longueuil",1,1,26,0,19,44,0,91,349
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 97","Longueuil",1,13,42,1,33,57,4,151,420
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 98","Longueuil",2,13,44,1,36,74,3,173,441
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 99","Longueuil",4,11,32,3,44,60,1,155,441
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 100","Longueuil",2,15,47,0,34,59,4,161,419
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 101","Longueuil",1,10,33,1,27,60,2,134,440
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 102","Longueuil",0,6,29,1,17,32,2,87,329
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 103","Longueuil",2,7,29,0,45,74,4,161,461
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 104","Longueuil",0,4,38,2,29,64,0,137,417
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 105","Longueuil",0,1,40,4,24,47,2,118,422
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 106","Longueuil",0,9,25,2,45,75,5,161,461
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 107","Longueuil",0,7,42,2,30,81,1,163,388
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 108","Longueuil",0,3,29,0,28,55,2,117,356
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 109","Longueuil",0,9,49,0,19,72,3,152,395
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 110","Longueuil",0,0,42,1,41,73,0,157,421
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 111","Longueuil",1,8,45,4,41,82,6,187,494
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 112","Longueuil",2,9,45,2,25,64,2,149,455
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 113","Longueuil",0,7,38,2,25,67,0,139,347
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 114","Longueuil",0,6,32,0,36,66,4,144,439
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 115","Longueuil",1,7,49,0,31,58,9,155,471
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 116","Longueuil",2,7,43,0,27,73,3,155,463
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 117","Longueuil",1,6,40,3,56,76,7,189,534
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 118","Longueuil",1,8,31,0,26,93,3,162,374
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 119","Longueuil",2,8,31,1,29,92,2,165,339
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 120","Longueuil",3,4,37,2,27,75,3,151,358
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 121","Longueuil",2,13,24,2,25,82,8,156,310
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 122","Longueuil",0,14,48,2,28,68,3,163,419
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 123","Longueuil",0,15,55,0,25,51,4,150,494
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 124","Longueuil",1,13,42,1,14,56,2,129,361
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 125","Longueuil",2,18,32,1,30,43,3,129,359
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 126","Longueuil",0,12,20,3,28,57,3,123,360
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 127","Longueuil",4,16,53,0,54,92,6,225,458
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 128","Longueuil",1,7,27,0,24,49,2,110,409
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 129","Longueuil",1,10,41,2,36,61,4,155,457
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 130","Longueuil",2,7,33,3,33,70,5,153,385
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 131","Longueuil",2,7,19,1,50,52,5,136,403
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 132","Longueuil",0,8,23,0,30,60,2,123,423
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 133","Longueuil",0,4,62,0,22,74,2,164,394
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 134","Longueuil",0,8,30,1,35,58,4,136,423
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 135","Longueuil",0,7,25,0,25,87,1,145,360
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 136","Longueuil",0,5,23,1,35,58,1,123,374
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 137","Longueuil",0,3,13,0,31,44,0,91,465
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 138","Longueuil",0,9,31,1,24,38,0,103,368
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 139","Longueuil",2,10,39,0,25,69,5,150,421
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 140","Longueuil",1,21,44,2,40,119,3,230,464
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 141","Longueuil",1,6,19,1,31,48,1,107,324
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 142","Longueuil",0,7,27,0,25,35,3,97,321
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 143","Longueuil",0,9,30,1,24,44,3,111,359
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 144","Longueuil",2,12,70,1,31,68,1,185,419
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 145","Longueuil",3,15,41,1,30,75,4,169,403
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 146","Longueuil",0,10,33,1,21,64,1,130,339
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 147","Longueuil",4,6,44,2,20,77,0,153,342
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 148","Longueuil",2,10,42,1,36,68,5,164,447
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 149","Longueuil",2,13,16,0,32,77,1,141,425
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 150","Longueuil",1,12,22,4,30,138,0,207,428
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 151","Longueuil",2,4,12,2,22,80,4,126,340
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 152","Longueuil",1,8,33,0,30,71,0,143,322
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 153","Longueuil",0,3,16,1,38,73,0,131,358
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 154","Longueuil",3,10,32,2,30,67,1,145,335
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 155","Longueuil",2,15,24,0,34,118,1,194,357
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 156","Longueuil",5,9,26,0,38,136,7,221,402
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 157","Longueuil",0,9,46,0,26,86,2,169,473
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 158","Longueuil",0,10,33,0,34,68,0,145,384
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 159","Longueuil",3,5,54,0,31,71,3,167,380
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 160","Longueuil",0,7,52,1,22,82,1,165,382
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 161","Longueuil",0,7,32,3,31,55,2,130,349
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 162","Longueuil",5,8,29,2,36,68,2,150,411
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 163","Longueuil",3,7,22,2,40,85,3,162,424
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 164","Longueuil",3,11,39,5,38,64,8,168,449
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 165","Longueuil",1,5,62,0,46,67,4,185,427
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 166","Longueuil",0,11,35,1,33,91,2,173,415
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 167","Longueuil",0,12,36,1,25,106,4,184,378
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 168","Longueuil",2,11,41,1,28,92,3,178,363
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 169","Longueuil",3,12,47,1,22,85,3,173,394
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 170","Longueuil",0,13,54,2,19,110,4,202,425
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 171","Longueuil",1,9,41,0,30,104,0,185,455
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 172","Longueuil",5,8,44,1,42,114,6,220,522
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 173","Longueuil",1,5,18,4,29,81,2,140,328
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 174","Longueuil",0,10,22,1,41,73,3,150,495
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 175","Longueuil",1,7,28,0,30,70,2,138,364
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 176","Longueuil",0,5,39,4,28,78,2,156,428
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 177","Longueuil",2,9,48,0,29,113,5,206,421
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 178","Longueuil",0,7,34,2,51,132,5,231,474
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 179","Longueuil",2,4,55,1,46,109,6,223,439
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 180","Longueuil",2,8,39,0,39,85,0,173,464
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 181","Longueuil",1,11,28,1,30,98,1,170,390
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 182","Longueuil",1,13,27,1,20,54,1,117,321
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 183","Longueuil",2,6,36,0,33,118,1,196,437
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 184","Longueuil",1,5,26,0,20,121,2,175,372
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 185","Longueuil",2,8,36,2,28,149,0,225,469
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 186","Longueuil",1,10,20,1,36,70,2,140,319
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 187","Longueuil",2,12,20,2,33,105,3,177,436
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 188","Longueuil",1,7,32,2,28,135,2,207,412
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 189","Longueuil",1,13,20,0,34,123,5,196,398
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 190","Longueuil",1,10,32,4,32,129,1,209,373
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 191","Longueuil",2,11,45,5,55,96,1,215,471
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 192","Longueuil",2,10,70,2,66,96,2,248,524
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 193","Longueuil",3,6,42,0,56,93,2,202,494
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 194","Longueuil",0,10,30,1,30,58,2,131,338
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 195","Longueuil",0,15,33,3,34,68,3,156,396
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 196","Longueuil",1,7,28,4,51,77,2,170,393
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 197","Longueuil",0,6,17,4,28,91,3,149,382
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 198","Longueuil",1,13,31,3,46,93,4,191,471
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 400","Longueuil",2,4,8,2,17,45,0,78,251
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 401","Longueuil",0,3,19,0,19,52,2,95,295
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 402","Longueuil",0,6,13,0,19,32,2,72,249
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 403","Longueuil",Void/Supprimé,,,,,,,,
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 404","Longueuil",0,1,20,0,5,26,1,53,216
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 500","Mobile poll/Bureau itinérant",4,3,67,4,8,97,11,194,261
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 501","Mobile poll/Bureau itinérant",1,3,16,0,9,32,2,63,33
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,49
