Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Ranald MacFarlane,Logan McLellan,Bobby Morrissey,Carol Rybinski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
11003,"Egmont/Egmont"," 72","Summerside",4,49,86,2,1,142,393
11003,"Egmont/Egmont"," 73","Wellington",3,93,105,6,0,207,405
11003,"Egmont/Egmont"," 74","St. Philip",3,57,75,4,1,140,370
11003,"Egmont/Egmont"," 75","Urbainville",1,74,69,6,6,156,383
11003,"Egmont/Egmont"," 76","Maximeville",6,86,87,7,1,187,470
11003,"Egmont/Egmont"," 77","St. Nicholas",7,80,69,0,0,156,275
11003,"Egmont/Egmont"," 78","Lower Bedeque",18,104,78,5,0,205,395
11003,"Egmont/Egmont"," 79","Central Bedeque",10,65,88,13,1,177,390
11003,"Egmont/Egmont"," 80","Union Corner",9,123,97,6,2,237,479
11003,"Egmont/Egmont"," 500","Mobile poll/Bureau itinérant",1,24,33,1,2,61,48
11003,"Egmont/Egmont"," 501","Mobile poll/Bureau itinérant",0,25,31,3,1,60,45
11003,"Egmont/Egmont"," 502","Alberton",Combined with No./Résultats combinés à ceux du n°11A,,,,,,9
11003,"Egmont/Egmont"," 503","Coleman",Combined with No./Résultats combinés à ceux du n°27A,,,,,,2
11003,"Egmont/Egmont"," 504","Port Hill",Combined with No./Résultats combinés à ceux du n°29A,,,,,,2
11003,"Egmont/Egmont"," 505","Mobile poll/Bureau itinérant",7,24,41,3,3,78,77
11003,"Egmont/Egmont"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,83
11003,"Egmont/Egmont"," 507","Mobile poll/Bureau itinérant",4,20,37,1,0,62,27
11003,"Egmont/Egmont"," 508","Mobile poll/Bureau itinérant",5,25,52,3,3,88,65
11003,"Egmont/Egmont"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,80
11003,"Egmont/Egmont"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,50
11003,"Egmont/Egmont"," 600","Tignish",20,663,734,11,5,1433,
11003,"Egmont/Egmont"," 601","Alberton",18,786,629,18,9,1460,
11003,"Egmont/Egmont"," 602","O'Leary",5,605,636,27,12,1285,
11003,"Egmont/Egmont"," 603","Tyne Valley",11,295,455,35,2,798,
11003,"Egmont/Egmont"," 604","Lennox Island 1",Combined with No./Résultats combinés à ceux du n°603,,,,,,
11003,"Egmont/Egmont"," 605","Wellington",21,275,368,13,2,679,
11003,"Egmont/Egmont"," 606","Miscouche",15,356,503,20,9,903,
11003,"Egmont/Egmont"," 607","Sherbrooke",19,238,484,24,5,770,
11003,"Egmont/Egmont"," 608","Summerside",20,278,590,22,19,929,
11003,"Egmont/Egmont"," 609","Summerside",23,173,403,19,8,626,
11003,"Egmont/Egmont"," 610","Summerside",23,311,631,26,11,1002,
11003,"Egmont/Egmont"," 611","Kensington",16,170,239,7,1,433,
11003,"Egmont/Egmont",,Group 1/Groupe 1, 3,64,129,10,10,216,63
11003,"Egmont/Egmont",,Group 2/Groupe 2, 44,702,1369,46,33,2194,
