Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Nick Babic,Kathy Borrelli,Helmi Charif,Alex Ilijoski,Irek Kusmierczyk,Beth St Denis,Roxanne Tellier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 151","Windsor",5,90,1,6,43,4,2,0,151,385
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 152","Windsor",9,100,1,12,66,1,0,3,192,514
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 153","Windsor",2,78,0,8,60,3,1,2,154,343
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 154","Windsor",2,75,2,16,71,0,0,3,169,416
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 155","Windsor",3,86,1,16,65,1,4,0,176,398
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 156","Windsor",0,74,0,3,59,1,0,0,137,372
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 157","Windsor",1,102,1,9,56,0,0,1,170,428
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 158","Windsor",3,74,0,8,48,1,2,1,137,408
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 159","Windsor",1,119,0,9,65,0,2,1,197,458
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 160","Windsor",3,93,0,8,59,1,1,0,165,447
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 161","Windsor",3,84,0,17,65,0,0,1,170,426
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 162","Windsor",5,99,0,21,58,1,0,0,184,453
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 163","Windsor",1,84,0,15,61,0,1,0,162,444
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 164","Windsor",1,122,0,27,59,2,3,0,214,470
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 165","Windsor",5,69,0,17,62,0,1,1,155,518
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 166","Windsor",6,103,0,13,46,0,1,1,170,561
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 167","Windsor",3,68,1,10,45,2,1,1,131,458
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 168","Windsor",0,79,1,10,72,0,0,4,166,385
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 169","Windsor",1,69,0,18,53,1,1,2,145,463
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 170","Windsor",6,92,0,12,51,0,1,0,162,586
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 171","Windsor",3,113,0,11,77,2,0,3,209,560
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 172","Windsor",3,113,1,9,59,1,1,2,189,530
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 173","Windsor",3,102,0,6,67,0,3,0,181,445
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 174","Windsor",0,134,6,6,65,0,0,1,212,598
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 175","Windsor",2,88,0,8,75,1,0,0,174,468
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 176","Windsor",5,98,1,13,75,1,1,2,196,514
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 177","Windsor",0,99,1,8,53,0,1,0,162,439
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 178","Windsor",1,80,0,16,52,1,1,2,153,469
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 179","Windsor",4,76,0,18,65,1,2,0,166,500
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 180","Windsor",3,89,0,17,72,0,0,1,182,524
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 181","Windsor",2,109,6,28,75,1,4,1,226,532
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 182","Windsor",3,108,0,16,62,0,1,1,191,462
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 183","Windsor",0,103,1,15,42,0,0,1,162,487
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 184","Windsor",1,83,0,8,63,0,1,1,157,438
35118,"Windsor--Tecumseh--Lakeshore/Windsor--Tecumseh--Lakeshore"," 185","Windsor",1,67,1,19,70,0,2,1,161,449
