Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Steven MacKinnon,Richard Nadeau,Kethlande Pierre,Mathieu Saint-Jean,Daniel Simoncic,Pierre Soublière,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24025,"Gatineau/Gatineau"," 33","Gatineau",74,28,16,1,6,0,2,127,417
24025,"Gatineau/Gatineau"," 34","Gatineau",141,48,37,0,5,1,1,233,572
24025,"Gatineau/Gatineau"," 35","Gatineau",79,47,37,1,7,1,2,174,480
24025,"Gatineau/Gatineau"," 36","Gatineau",99,33,39,1,7,1,0,180,394
24025,"Gatineau/Gatineau"," 37","Gatineau",77,33,31,1,7,1,0,150,339
24025,"Gatineau/Gatineau"," 38","Gatineau",61,24,29,4,8,1,0,127,340
24025,"Gatineau/Gatineau"," 39","Gatineau",122,47,47,6,5,0,3,230,524
24025,"Gatineau/Gatineau"," 40","Gatineau",125,36,43,0,9,0,2,215,435
24025,"Gatineau/Gatineau"," 41","Gatineau",110,36,51,4,10,0,2,213,578
24025,"Gatineau/Gatineau"," 42","Gatineau",75,42,50,4,7,0,5,183,486
24025,"Gatineau/Gatineau"," 43","Gatineau",93,35,33,0,9,0,0,170,364
24025,"Gatineau/Gatineau"," 44","Gatineau",83,25,46,4,5,0,5,168,369
24025,"Gatineau/Gatineau"," 45","Gatineau",119,36,40,2,6,0,1,204,387
24025,"Gatineau/Gatineau"," 46","Gatineau",59,22,27,0,3,1,3,115,342
24025,"Gatineau/Gatineau"," 47","Gatineau",83,33,30,1,9,0,3,159,467
24025,"Gatineau/Gatineau"," 48","Gatineau",129,45,55,4,3,1,5,242,501
24025,"Gatineau/Gatineau"," 49","Gatineau",75,27,40,0,4,1,1,148,352
24025,"Gatineau/Gatineau"," 50","Gatineau",72,21,45,1,2,0,0,141,353
24025,"Gatineau/Gatineau"," 51","Gatineau",54,19,38,3,5,1,3,123,380
24025,"Gatineau/Gatineau"," 52","Gatineau",70,34,61,2,7,1,2,177,569
24025,"Gatineau/Gatineau"," 53","Gatineau",76,18,51,5,7,0,1,158,468
24025,"Gatineau/Gatineau"," 54","Gatineau",61,23,14,1,3,0,0,102,352
24025,"Gatineau/Gatineau"," 55","Gatineau",61,29,37,1,6,1,1,136,434
24025,"Gatineau/Gatineau"," 56","Gatineau",53,14,39,2,0,2,1,111,368
24025,"Gatineau/Gatineau"," 57","Gatineau",69,19,35,1,12,1,1,138,430
24025,"Gatineau/Gatineau"," 58","Gatineau",53,14,29,1,8,0,4,109,435
24025,"Gatineau/Gatineau"," 59","Gatineau",115,21,46,5,8,1,2,198,443
24025,"Gatineau/Gatineau"," 60","Gatineau",61,30,30,0,5,0,1,127,440
24025,"Gatineau/Gatineau"," 61","Gatineau",116,58,46,0,5,1,1,227,535
24025,"Gatineau/Gatineau"," 62","Gatineau",95,30,32,0,7,1,3,168,361
24025,"Gatineau/Gatineau"," 63","Gatineau",85,26,47,0,3,0,1,162,393
24025,"Gatineau/Gatineau"," 64","Gatineau",144,44,50,1,3,0,0,242,585
24025,"Gatineau/Gatineau"," 65","Gatineau",135,31,41,2,4,0,0,213,472
24025,"Gatineau/Gatineau"," 66","Gatineau",87,30,31,0,7,0,2,157,430
24025,"Gatineau/Gatineau"," 67","Gatineau",81,20,31,2,4,0,0,138,376
24025,"Gatineau/Gatineau"," 68","Gatineau",71,32,48,3,5,1,3,163,418
24025,"Gatineau/Gatineau"," 69","Gatineau",68,28,42,1,5,0,1,145,385
24025,"Gatineau/Gatineau"," 70","Gatineau",45,17,31,4,0,1,2,100,331
24025,"Gatineau/Gatineau"," 71","Gatineau",48,16,36,1,4,0,0,105,337
24025,"Gatineau/Gatineau"," 72","Gatineau",52,26,28,3,4,0,3,116,364
24025,"Gatineau/Gatineau"," 73","Gatineau",90,44,42,4,2,0,3,185,495
24025,"Gatineau/Gatineau"," 74","Gatineau",72,17,38,3,2,0,2,134,334
24025,"Gatineau/Gatineau"," 75","Gatineau",80,19,37,1,7,0,4,148,371
24025,"Gatineau/Gatineau"," 76","Gatineau",71,24,30,3,9,2,2,141,402
24025,"Gatineau/Gatineau"," 77","Gatineau",70,33,41,2,10,0,5,161,449
24025,"Gatineau/Gatineau"," 78","Gatineau",68,29,29,3,6,1,3,139,359
24025,"Gatineau/Gatineau"," 79","Gatineau",72,23,32,1,10,0,0,138,331
24025,"Gatineau/Gatineau"," 80","Gatineau",46,20,32,6,4,0,4,112,341
24025,"Gatineau/Gatineau"," 81","Gatineau",71,21,36,1,3,0,3,135,352
24025,"Gatineau/Gatineau"," 82","Gatineau",55,14,28,4,4,4,2,111,331
24025,"Gatineau/Gatineau"," 83","Gatineau",58,15,36,3,6,1,0,119,336
24025,"Gatineau/Gatineau"," 84","Gatineau",41,16,29,2,3,0,2,93,404
24025,"Gatineau/Gatineau"," 85","Gatineau",83,20,29,4,5,0,1,142,385
24025,"Gatineau/Gatineau"," 86","Gatineau",40,15,42,0,6,0,1,104,387
24025,"Gatineau/Gatineau"," 87","Gatineau",45,18,31,1,5,1,2,103,423
24025,"Gatineau/Gatineau"," 88","Gatineau",108,41,48,1,2,0,5,205,440
24025,"Gatineau/Gatineau"," 89","Gatineau",126,27,33,6,5,2,4,203,423
24025,"Gatineau/Gatineau"," 90","Gatineau",114,15,26,2,8,2,0,167,382
24025,"Gatineau/Gatineau"," 91","Gatineau",105,34,37,6,5,0,2,189,455
24025,"Gatineau/Gatineau"," 92","Gatineau",114,29,20,1,5,0,3,172,368
24025,"Gatineau/Gatineau"," 93","Gatineau",158,48,40,0,3,1,2,252,476
24025,"Gatineau/Gatineau"," 94","Gatineau",112,21,49,3,14,1,3,203,388
24025,"Gatineau/Gatineau"," 95","Gatineau",114,24,38,0,4,1,0,181,343
24025,"Gatineau/Gatineau"," 96","Gatineau",150,25,46,1,7,1,2,232,410
24025,"Gatineau/Gatineau"," 97","Gatineau",119,38,61,0,13,0,2,233,437
24025,"Gatineau/Gatineau"," 98","Gatineau",135,42,46,3,6,0,4,236,476
24025,"Gatineau/Gatineau"," 99","Gatineau",135,47,48,2,6,0,0,238,467
24025,"Gatineau/Gatineau"," 100","Gatineau",107,35,42,1,5,0,3,193,460
24025,"Gatineau/Gatineau"," 101","Gatineau",126,38,40,2,8,2,3,219,568
24025,"Gatineau/Gatineau"," 102","Gatineau",60,21,44,1,1,0,4,131,337
24025,"Gatineau/Gatineau"," 103","Gatineau",54,19,32,4,1,0,0,110,335
24025,"Gatineau/Gatineau"," 104","Gatineau",41,25,29,0,5,0,0,100,323
24025,"Gatineau/Gatineau"," 105","Gatineau",67,26,47,1,2,0,2,145,374
24025,"Gatineau/Gatineau"," 106","Gatineau",79,27,54,5,9,0,4,178,465
24025,"Gatineau/Gatineau"," 107","Gatineau",64,21,46,1,3,0,5,140,399
24025,"Gatineau/Gatineau"," 108","Gatineau",46,14,31,1,10,2,7,111,444
24025,"Gatineau/Gatineau"," 109","Gatineau",29,12,32,0,4,0,1,78,307
24025,"Gatineau/Gatineau"," 110","Gatineau",87,31,62,2,2,1,3,188,512
24025,"Gatineau/Gatineau"," 111","Gatineau",70,15,37,3,3,3,1,132,329
24025,"Gatineau/Gatineau"," 112","Gatineau",83,32,50,3,3,1,1,173,541
24025,"Gatineau/Gatineau"," 113","Gatineau",55,24,30,2,6,1,0,118,344
24025,"Gatineau/Gatineau"," 114","Gatineau",55,11,17,2,4,0,0,89,331
24025,"Gatineau/Gatineau"," 115","Gatineau",78,21,34,0,1,2,5,141,340
24025,"Gatineau/Gatineau"," 116","Gatineau",59,9,19,1,9,0,0,97,329
24025,"Gatineau/Gatineau"," 117","Gatineau",42,23,22,5,6,0,0,98,325
24025,"Gatineau/Gatineau"," 118","Gatineau",36,17,21,0,1,0,0,75,309
24025,"Gatineau/Gatineau"," 119","Gatineau",53,23,28,5,4,0,4,117,333
24025,"Gatineau/Gatineau"," 120","Gatineau",73,22,30,4,6,1,1,137,465
24025,"Gatineau/Gatineau"," 121","Gatineau",76,9,17,1,4,0,1,108,331
24025,"Gatineau/Gatineau"," 122","Gatineau",70,14,37,0,8,1,6,136,453
24025,"Gatineau/Gatineau"," 123","Gatineau",59,23,31,2,9,2,1,127,331
24025,"Gatineau/Gatineau"," 124","Gatineau",67,14,17,1,5,0,1,105,333
24025,"Gatineau/Gatineau"," 125","Gatineau",58,8,12,1,0,0,0,79,400
24025,"Gatineau/Gatineau"," 126","Gatineau",74,8,15,0,5,1,1,104,397
24025,"Gatineau/Gatineau"," 127","Gatineau",92,35,30,1,3,0,2,163,490
24025,"Gatineau/Gatineau"," 128","Gatineau",103,21,28,1,3,0,0,156,365
24025,"Gatineau/Gatineau"," 129","Gatineau",83,36,38,4,2,0,0,163,491
24025,"Gatineau/Gatineau"," 130","Gatineau",105,48,24,3,9,0,3,192,548
24025,"Gatineau/Gatineau"," 131","Gatineau",105,24,53,2,5,1,2,192,386
24025,"Gatineau/Gatineau"," 132","Gatineau",108,28,100,0,0,2,1,239,499
24025,"Gatineau/Gatineau"," 133","Gatineau",92,30,29,0,8,0,0,159,340
24025,"Gatineau/Gatineau"," 134","Gatineau",88,22,30,1,1,0,1,143,405
24025,"Gatineau/Gatineau"," 135","Gatineau",62,17,17,0,4,1,0,101,420
24025,"Gatineau/Gatineau"," 136","Gatineau",90,38,38,0,5,1,0,172,520
24025,"Gatineau/Gatineau"," 137","Gatineau",57,30,12,1,1,0,1,102,336
24025,"Gatineau/Gatineau"," 138","Gatineau",97,40,31,2,8,1,0,179,382
24025,"Gatineau/Gatineau"," 139","Gatineau",77,20,24,5,2,0,0,128,358
24025,"Gatineau/Gatineau"," 140","Gatineau",95,23,26,2,6,0,0,152,346
24025,"Gatineau/Gatineau"," 141","Gatineau",134,28,17,1,2,1,3,186,670
24025,"Gatineau/Gatineau"," 142","Gatineau",142,40,56,2,9,1,1,251,592
24025,"Gatineau/Gatineau"," 143","Gatineau",121,36,48,1,7,1,4,218,454
24025,"Gatineau/Gatineau"," 144","Gatineau",49,27,38,0,11,1,1,127,357
24025,"Gatineau/Gatineau"," 145","Gatineau",25,11,32,1,1,0,2,72,376
24025,"Gatineau/Gatineau"," 146","Gatineau",58,26,45,1,6,0,1,137,453
24025,"Gatineau/Gatineau"," 147","Gatineau",81,28,42,4,6,0,0,161,473
24025,"Gatineau/Gatineau"," 148","Gatineau",134,21,65,1,5,0,0,226,535
24025,"Gatineau/Gatineau"," 149","Gatineau",75,11,30,4,4,1,1,126,409
24025,"Gatineau/Gatineau"," 150","Gatineau",106,27,29,2,8,0,1,173,407
24025,"Gatineau/Gatineau"," 151","Gatineau",112,29,31,5,5,0,1,183,421
24025,"Gatineau/Gatineau"," 152","Gatineau",142,38,32,1,12,3,3,231,512
24025,"Gatineau/Gatineau"," 153","Gatineau",168,48,28,3,3,2,5,257,564
24025,"Gatineau/Gatineau"," 154","Gatineau",125,39,21,3,5,0,2,195,452
24025,"Gatineau/Gatineau"," 155","Gatineau",130,29,34,2,6,0,2,203,497
24025,"Gatineau/Gatineau"," 156","Gatineau",44,12,30,1,4,0,2,93,349
24025,"Gatineau/Gatineau"," 157","Gatineau",83,20,32,8,3,0,3,149,390
24025,"Gatineau/Gatineau"," 158","Gatineau",141,29,63,0,4,1,0,238,574
24025,"Gatineau/Gatineau"," 159","Gatineau",108,16,21,3,3,0,0,151,335
24025,"Gatineau/Gatineau"," 160","Gatineau",100,19,45,4,2,1,1,172,436
24025,"Gatineau/Gatineau"," 161","Gatineau",79,17,46,2,7,1,1,153,433
24025,"Gatineau/Gatineau"," 162","Gatineau",95,32,30,2,6,1,1,167,456
24025,"Gatineau/Gatineau"," 163","Gatineau",78,19,44,2,4,0,0,147,436
24025,"Gatineau/Gatineau"," 164","Gatineau",61,20,26,0,6,0,0,113,331
24025,"Gatineau/Gatineau"," 165","Gatineau",72,28,25,1,9,1,0,136,354
24025,"Gatineau/Gatineau"," 166","Gatineau",90,15,36,1,3,2,3,150,393
24025,"Gatineau/Gatineau"," 167","Gatineau",54,13,33,4,5,1,3,113,431
24025,"Gatineau/Gatineau"," 168","Gatineau",82,16,33,0,3,0,4,138,320
24025,"Gatineau/Gatineau"," 169","Gatineau",81,16,29,0,4,0,1,131,423
24025,"Gatineau/Gatineau"," 170","Gatineau",58,12,27,4,7,0,1,109,361
24025,"Gatineau/Gatineau"," 171","Gatineau",82,13,36,0,7,1,1,140,342
24025,"Gatineau/Gatineau"," 172","Gatineau",74,16,36,1,7,0,0,134,347
24025,"Gatineau/Gatineau"," 173","Gatineau",84,20,29,1,5,0,2,141,343
24025,"Gatineau/Gatineau"," 174","Gatineau",83,23,38,1,3,0,0,148,348
24025,"Gatineau/Gatineau"," 175","Gatineau",74,23,30,3,2,0,0,132,357
24025,"Gatineau/Gatineau"," 176","Gatineau",81,31,41,1,2,0,2,158,380
24025,"Gatineau/Gatineau"," 177","Gatineau",101,33,43,1,4,0,2,184,375
24025,"Gatineau/Gatineau"," 178","Gatineau",54,21,32,2,3,1,1,114,320
24025,"Gatineau/Gatineau"," 179","Gatineau",59,19,15,2,0,1,1,97,351
24025,"Gatineau/Gatineau"," 180","Gatineau",81,24,30,1,4,1,0,141,394
24025,"Gatineau/Gatineau"," 181","Gatineau",77,28,36,1,1,0,2,145,368
24025,"Gatineau/Gatineau"," 182","Gatineau",61,14,50,0,2,0,0,127,306
24025,"Gatineau/Gatineau"," 183","Gatineau",105,23,32,0,6,0,3,169,355
24025,"Gatineau/Gatineau"," 184","Gatineau",92,12,37,2,5,1,2,151,432
24025,"Gatineau/Gatineau"," 185","Gatineau",57,21,14,2,2,0,0,96,338
24025,"Gatineau/Gatineau"," 186","Gatineau",75,24,36,0,0,2,0,137,384
24025,"Gatineau/Gatineau"," 187","Gatineau",69,22,42,3,4,1,0,141,386
24025,"Gatineau/Gatineau"," 188","Gatineau",59,17,35,1,4,2,2,120,412
24025,"Gatineau/Gatineau"," 189","Gatineau",56,19,32,9,6,3,2,127,431
24025,"Gatineau/Gatineau"," 190","Gatineau",32,13,25,1,2,1,0,74,309
24025,"Gatineau/Gatineau"," 191","Gatineau",58,16,24,0,2,0,0,100,439
24025,"Gatineau/Gatineau"," 192","Gatineau",37,15,17,2,5,2,1,79,312
24025,"Gatineau/Gatineau"," 193","Gatineau",62,26,29,0,4,3,1,125,509
24025,"Gatineau/Gatineau"," 194","Gatineau",52,28,19,0,6,1,0,106,346
24025,"Gatineau/Gatineau"," 195","Gatineau",75,9,34,1,13,0,1,133,510
24025,"Gatineau/Gatineau"," 196","Gatineau",70,17,21,0,4,0,3,115,370
24025,"Gatineau/Gatineau"," 197","Gatineau",50,9,17,1,3,2,2,84,353
24025,"Gatineau/Gatineau"," 198","Gatineau",56,25,48,1,7,0,1,138,390
24025,"Gatineau/Gatineau"," 199","Gatineau",75,16,20,0,4,0,0,115,352
24025,"Gatineau/Gatineau"," 200","Gatineau",70,29,38,2,6,1,2,148,477
24025,"Gatineau/Gatineau"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,64
24025,"Gatineau/Gatineau"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,64
24025,"Gatineau/Gatineau"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,38
24025,"Gatineau/Gatineau"," 503","Gatineau",Combined with No./Résultats combinés à ceux du n°3,,,,,,,,0
24025,"Gatineau/Gatineau"," 504","Gatineau",Combined with No./Résultats combinés à ceux du n°4,,,,,,,,1
24025,"Gatineau/Gatineau"," 505","Mobile poll/Bureau itinérant",102,16,12,1,0,1,6,138,145
24025,"Gatineau/Gatineau"," 506","Mobile poll/Bureau itinérant",28,11,7,3,1,0,1,51,71
24025,"Gatineau/Gatineau"," 507","Gatineau",Combined with No./Résultats combinés à ceux du n°146,,,,,,,,59
24025,"Gatineau/Gatineau"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,,,122
24025,"Gatineau/Gatineau"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,,134
24025,"Gatineau/Gatineau"," 510","Mobile poll/Bureau itinérant",130,21,15,1,2,0,11,180,159
24025,"Gatineau/Gatineau"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,,23
24025,"Gatineau/Gatineau"," 512","Mobile poll/Bureau itinérant",106,20,4,0,2,1,6,139,190
24025,"Gatineau/Gatineau"," 513","Mobile poll/Bureau itinérant",135,19,16,2,1,1,8,182,174
24025,"Gatineau/Gatineau"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,,59
24025,"Gatineau/Gatineau"," 515","Mobile poll/Bureau itinérant",37,16,5,1,3,1,1,64,83
24025,"Gatineau/Gatineau"," 516A","Gatineau",111,15,15,3,2,0,9,155,272
24025,"Gatineau/Gatineau"," 516B","Gatineau",126,18,10,1,0,1,1,157,281
24025,"Gatineau/Gatineau"," 600","Gatineau",1189,309,198,3,39,2,6,1746,
24025,"Gatineau/Gatineau"," 601","Gatineau",991,235,164,6,28,3,9,1436,
24025,"Gatineau/Gatineau"," 602","Gatineau",1202,271,165,2,27,3,7,1677,
24025,"Gatineau/Gatineau"," 603","Gatineau",1206,260,263,6,33,5,15,1788,
24025,"Gatineau/Gatineau"," 604","Gatineau",741,147,146,5,37,0,7,1083,
24025,"Gatineau/Gatineau"," 605","Gatineau",847,202,183,6,37,2,7,1284,
24025,"Gatineau/Gatineau"," 606","Gatineau",900,212,177,15,35,8,20,1367,
24025,"Gatineau/Gatineau"," 607","Gatineau",849,213,161,8,31,1,4,1267,
24025,"Gatineau/Gatineau"," 608","Gatineau",775,188,137,5,16,1,6,1128,
24025,"Gatineau/Gatineau"," 609","Gatineau",1020,237,190,12,36,4,8,1507,
24025,"Gatineau/Gatineau"," 610","Gatineau",941,224,183,4,32,0,12,1396,
24025,"Gatineau/Gatineau"," 611","Gatineau",891,231,209,5,33,2,8,1379,
24025,"Gatineau/Gatineau"," 612","Gatineau",781,211,177,11,13,4,9,1206,
24025,"Gatineau/Gatineau"," 613","Gatineau",512,117,112,6,23,3,9,782,
24025,"Gatineau/Gatineau"," 614","Gatineau",612,132,161,6,20,2,9,942,
24025,"Gatineau/Gatineau"," 615","Gatineau",623,166,153,4,30,1,9,986,
24025,"Gatineau/Gatineau"," 616","Gatineau",701,156,173,4,18,2,12,1066,
24025,"Gatineau/Gatineau"," 617","Gatineau",580,150,163,5,26,1,14,939,
24025,"Gatineau/Gatineau",,Group 1/Groupe 1, 400,85,108,9,34,3,46,685,215
24025,"Gatineau/Gatineau",,Group 2/Groupe 2, 1129,220,222,10,28,0,28,1637,
