Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jaxson Boot,Isaiah Hunter,Melissa McGillivray,Greg Poelzer,Corey Tochor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47010,"Saskatoon--University/Saskatoon--University"," 91","Saskatoon",1,1,14,75,45,0,136,418
47010,"Saskatoon--University/Saskatoon--University"," 92","Saskatoon",4,0,8,51,50,0,113,387
47010,"Saskatoon--University/Saskatoon--University"," 93","Saskatoon",1,0,13,49,58,0,121,317
47010,"Saskatoon--University/Saskatoon--University"," 94","Saskatoon",5,1,18,31,70,0,125,366
47010,"Saskatoon--University/Saskatoon--University"," 95","Saskatoon",6,3,12,69,105,0,195,610
47010,"Saskatoon--University/Saskatoon--University"," 96","Saskatoon",1,0,17,49,61,1,129,407
47010,"Saskatoon--University/Saskatoon--University"," 97","Saskatoon",4,2,11,52,70,0,139,379
47010,"Saskatoon--University/Saskatoon--University"," 98","Saskatoon",0,0,14,41,63,0,118,314
47010,"Saskatoon--University/Saskatoon--University"," 99","Saskatoon",1,0,5,59,70,0,135,396
47010,"Saskatoon--University/Saskatoon--University"," 100","Saskatoon",0,1,15,45,89,0,150,364
47010,"Saskatoon--University/Saskatoon--University"," 101","Saskatoon",0,1,11,50,58,0,120,367
47010,"Saskatoon--University/Saskatoon--University"," 102","Saskatoon",3,0,18,70,87,1,179,453
47010,"Saskatoon--University/Saskatoon--University"," 103","Saskatoon",1,0,15,54,72,1,143,421
47010,"Saskatoon--University/Saskatoon--University"," 104","Saskatoon",5,1,23,73,134,1,237,583
47010,"Saskatoon--University/Saskatoon--University"," 105","Saskatoon",1,1,8,45,78,0,133,538
47010,"Saskatoon--University/Saskatoon--University"," 106","Saskatoon",1,2,8,46,52,0,109,321
47010,"Saskatoon--University/Saskatoon--University"," 107","Saskatoon",2,1,5,54,95,0,157,549
47010,"Saskatoon--University/Saskatoon--University"," 108","Saskatoon",1,1,16,79,101,0,198,617
47010,"Saskatoon--University/Saskatoon--University"," 109","Saskatoon",1,0,20,66,64,2,153,430
47010,"Saskatoon--University/Saskatoon--University"," 110","Saskatoon",0,1,16,39,51,2,109,362
47010,"Saskatoon--University/Saskatoon--University"," 111","Saskatoon",0,1,3,48,90,1,143,392
47010,"Saskatoon--University/Saskatoon--University"," 112","Saskatoon",0,2,5,34,61,1,103,359
47010,"Saskatoon--University/Saskatoon--University"," 113","Saskatoon",0,0,6,53,94,0,153,414
47010,"Saskatoon--University/Saskatoon--University"," 114","Saskatoon",0,0,10,52,86,0,148,410
47010,"Saskatoon--University/Saskatoon--University"," 115","Saskatoon",1,0,10,83,41,0,135,406
47010,"Saskatoon--University/Saskatoon--University"," 116","Saskatoon",4,1,24,60,35,1,125,392
47010,"Saskatoon--University/Saskatoon--University"," 117","Saskatoon",0,0,4,49,84,3,140,435
47010,"Saskatoon--University/Saskatoon--University"," 118","Saskatoon",1,1,25,93,52,1,173,344
47010,"Saskatoon--University/Saskatoon--University"," 119","Saskatoon",2,3,25,99,60,2,191,431
47010,"Saskatoon--University/Saskatoon--University"," 120","Saskatoon",2,1,14,55,37,0,109,283
47010,"Saskatoon--University/Saskatoon--University"," 121","Saskatoon",1,1,30,81,40,1,154,381
47010,"Saskatoon--University/Saskatoon--University"," 122","Saskatoon",1,3,29,103,33,0,169,341
47010,"Saskatoon--University/Saskatoon--University"," 123","Saskatoon",2,1,35,90,33,0,161,365
47010,"Saskatoon--University/Saskatoon--University"," 124","Saskatoon",1,0,6,53,106,0,166,466
47010,"Saskatoon--University/Saskatoon--University"," 125","Saskatoon",0,0,8,71,96,0,175,496
47010,"Saskatoon--University/Saskatoon--University"," 126","Saskatoon",2,1,14,72,113,0,202,523
47010,"Saskatoon--University/Saskatoon--University"," 127","Saskatoon",2,0,20,100,60,0,182,439
47010,"Saskatoon--University/Saskatoon--University"," 128","Saskatoon",3,1,34,90,45,0,173,408
47010,"Saskatoon--University/Saskatoon--University"," 129","Saskatoon",0,0,10,76,43,1,130,392
47010,"Saskatoon--University/Saskatoon--University"," 130","Saskatoon",2,0,32,102,56,3,195,485
47010,"Saskatoon--University/Saskatoon--University"," 131","Saskatoon",1,0,11,54,45,2,113,393
47010,"Saskatoon--University/Saskatoon--University"," 132","Saskatoon",4,0,22,56,68,1,151,463
47010,"Saskatoon--University/Saskatoon--University"," 133","Saskatoon",0,1,18,49,65,1,134,346
47010,"Saskatoon--University/Saskatoon--University"," 134","Saskatoon",2,0,15,48,67,1,133,362
47010,"Saskatoon--University/Saskatoon--University"," 135","Saskatoon",3,0,17,62,61,3,146,390
