Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Sayid Ahmed,Gregory Bell,Ronald S. Billingsley Jr.,David John Bohonos,Mike Dutcher,Merryn Edwards de la O,Trisha Estabrooks,Eleanor Olszewski,Naomi Rankin,John Ross,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48015,"Edmonton Centre/Edmonton-Centre"," 28","Edmonton",57,0,0,4,3,2,22,57,2,5,0,152,444
48015,"Edmonton Centre/Edmonton-Centre"," 29","Edmonton",67,0,1,1,0,0,9,42,0,1,1,122,497
48015,"Edmonton Centre/Edmonton-Centre"," 30","Edmonton",66,2,0,1,3,0,17,55,0,2,0,146,522
48015,"Edmonton Centre/Edmonton-Centre"," 31","Edmonton",59,0,2,0,0,0,27,47,0,3,3,141,606
48015,"Edmonton Centre/Edmonton-Centre"," 32","Edmonton",27,0,0,0,0,1,18,52,0,3,0,101,516
48015,"Edmonton Centre/Edmonton-Centre"," 33","Edmonton",44,0,1,1,0,0,24,50,0,1,2,123,478
48015,"Edmonton Centre/Edmonton-Centre"," 34","Edmonton",58,1,0,1,1,0,39,74,1,0,0,175,488
48015,"Edmonton Centre/Edmonton-Centre"," 35","Edmonton",55,0,0,0,0,0,36,70,0,6,0,167,509
48015,"Edmonton Centre/Edmonton-Centre"," 36","Edmonton",60,1,0,0,0,0,37,54,0,0,0,152,534
48015,"Edmonton Centre/Edmonton-Centre"," 37","Edmonton",59,2,0,1,0,0,23,99,0,2,5,191,551
48015,"Edmonton Centre/Edmonton-Centre"," 38","Edmonton",60,2,0,4,0,0,40,86,0,1,0,193,496
48015,"Edmonton Centre/Edmonton-Centre"," 39","Edmonton",133,0,0,1,1,0,45,95,0,3,5,283,529
48015,"Edmonton Centre/Edmonton-Centre"," 40","Edmonton",118,2,0,0,2,0,30,88,0,2,3,245,526
48015,"Edmonton Centre/Edmonton-Centre"," 41","Edmonton",143,1,0,1,0,0,35,68,0,3,2,253,549
48015,"Edmonton Centre/Edmonton-Centre"," 42","Edmonton",112,1,2,0,1,0,26,68,0,2,3,215,496
48015,"Edmonton Centre/Edmonton-Centre"," 43","Edmonton",82,1,2,2,1,0,44,100,2,3,2,239,581
48015,"Edmonton Centre/Edmonton-Centre"," 44","Edmonton",118,0,0,2,1,1,31,84,0,1,0,238,498
48015,"Edmonton Centre/Edmonton-Centre"," 45","Edmonton",116,0,0,2,0,1,37,65,1,1,0,223,496
48015,"Edmonton Centre/Edmonton-Centre"," 46","Edmonton",93,0,0,2,0,0,32,70,1,2,2,202,529
48015,"Edmonton Centre/Edmonton-Centre"," 47","Edmonton",98,0,1,0,2,1,37,71,0,7,4,221,472
48015,"Edmonton Centre/Edmonton-Centre"," 48","Edmonton",91,2,0,0,0,0,42,73,0,1,1,210,493
48015,"Edmonton Centre/Edmonton-Centre"," 49","Edmonton",100,2,1,1,0,0,25,83,1,0,0,213,512
48015,"Edmonton Centre/Edmonton-Centre"," 50","Edmonton",86,0,0,0,1,0,58,113,0,0,1,259,524
48015,"Edmonton Centre/Edmonton-Centre"," 51","Edmonton",63,1,1,0,2,0,24,85,0,1,4,181,555
48015,"Edmonton Centre/Edmonton-Centre"," 52","Edmonton",49,0,0,1,0,0,27,65,0,0,3,145,499
48015,"Edmonton Centre/Edmonton-Centre"," 53","Edmonton",53,2,0,1,1,1,38,78,2,2,6,184,548
48015,"Edmonton Centre/Edmonton-Centre"," 54","Edmonton",38,1,0,0,1,0,30,68,0,2,3,143,555
48015,"Edmonton Centre/Edmonton-Centre"," 55","Edmonton",42,0,0,3,1,0,37,84,0,2,1,170,540
48015,"Edmonton Centre/Edmonton-Centre"," 56","Edmonton",107,2,0,1,1,1,44,124,1,5,4,290,578
48015,"Edmonton Centre/Edmonton-Centre"," 57","Edmonton",96,2,0,1,2,0,29,56,0,2,0,188,533
48015,"Edmonton Centre/Edmonton-Centre"," 58A","Edmonton",57,1,0,1,1,1,18,37,2,0,1,119,328
48015,"Edmonton Centre/Edmonton-Centre"," 58B","Edmonton",44,1,1,1,0,0,8,37,0,1,1,94,267
48015,"Edmonton Centre/Edmonton-Centre"," 59","Edmonton",79,0,0,0,0,0,19,62,1,2,0,163,532
48015,"Edmonton Centre/Edmonton-Centre"," 60","Edmonton",87,0,0,5,0,0,29,63,0,3,2,189,511
48015,"Edmonton Centre/Edmonton-Centre"," 61","Edmonton",98,1,0,1,1,0,66,123,0,0,0,290,539
48015,"Edmonton Centre/Edmonton-Centre"," 62","Edmonton",68,1,1,0,0,0,37,98,0,2,0,207,481
48015,"Edmonton Centre/Edmonton-Centre"," 63","Edmonton",102,0,0,1,2,0,23,108,0,3,1,240,497
48015,"Edmonton Centre/Edmonton-Centre"," 64","Edmonton",70,0,0,1,0,0,34,74,1,1,2,183,434
48015,"Edmonton Centre/Edmonton-Centre"," 65","Edmonton",85,1,0,1,0,0,46,75,0,0,4,212,514
48015,"Edmonton Centre/Edmonton-Centre"," 66A","Edmonton",55,1,0,0,0,2,28,50,0,3,3,142,475
48015,"Edmonton Centre/Edmonton-Centre"," 66B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,,,,,,110
48015,"Edmonton Centre/Edmonton-Centre"," 67","Edmonton",49,0,0,1,0,2,35,69,2,1,1,160,487
48015,"Edmonton Centre/Edmonton-Centre"," 68","Edmonton",46,0,0,1,0,0,14,57,0,1,0,119,480
48015,"Edmonton Centre/Edmonton-Centre"," 69","Edmonton",64,0,1,2,0,0,45,116,0,2,0,230,497
48015,"Edmonton Centre/Edmonton-Centre"," 70","Edmonton",72,0,0,0,0,0,29,90,0,0,0,191,522
48015,"Edmonton Centre/Edmonton-Centre"," 71","Edmonton",83,0,1,0,0,0,17,100,0,1,0,202,542
48015,"Edmonton Centre/Edmonton-Centre"," 72","Edmonton",92,0,3,2,0,1,38,112,2,3,2,255,535
48015,"Edmonton Centre/Edmonton-Centre"," 73","Edmonton",94,0,0,1,0,0,18,91,1,0,0,205,578
48015,"Edmonton Centre/Edmonton-Centre"," 74","Edmonton",58,0,0,0,0,0,31,71,0,4,0,164,540
48015,"Edmonton Centre/Edmonton-Centre"," 75","Edmonton",98,0,1,0,0,0,28,105,0,2,4,238,535
48015,"Edmonton Centre/Edmonton-Centre"," 76","Edmonton",56,0,0,0,1,0,20,58,0,2,3,140,558
48015,"Edmonton Centre/Edmonton-Centre"," 77","Edmonton",84,0,0,2,1,0,38,77,0,2,3,207,540
48015,"Edmonton Centre/Edmonton-Centre"," 78","Edmonton",60,0,0,0,2,0,19,41,1,2,1,126,505
48015,"Edmonton Centre/Edmonton-Centre"," 79","Edmonton",113,1,0,0,3,1,28,110,1,2,1,260,556
48015,"Edmonton Centre/Edmonton-Centre"," 80","Edmonton",71,4,0,1,0,0,46,105,0,3,0,230,537
48015,"Edmonton Centre/Edmonton-Centre"," 81","Edmonton",41,0,0,0,1,0,23,73,0,2,0,140,515
48015,"Edmonton Centre/Edmonton-Centre"," 82","Edmonton",52,0,0,0,2,0,36,133,0,0,0,223,520
48015,"Edmonton Centre/Edmonton-Centre"," 83A","Edmonton",44,0,0,0,0,0,23,78,0,1,1,147,408
48015,"Edmonton Centre/Edmonton-Centre"," 83B","Edmonton",46,1,0,0,0,0,20,72,1,1,0,141,333
48015,"Edmonton Centre/Edmonton-Centre"," 84","Edmonton",110,1,1,2,0,0,21,78,0,6,3,222,581
48015,"Edmonton Centre/Edmonton-Centre"," 85","Edmonton",96,2,1,3,1,0,36,68,1,5,0,213,561
48015,"Edmonton Centre/Edmonton-Centre"," 86A","Edmonton",78,0,0,1,0,0,17,66,1,2,2,167,418
48015,"Edmonton Centre/Edmonton-Centre"," 86B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,,,,,,64
48015,"Edmonton Centre/Edmonton-Centre"," 87","Edmonton",77,0,0,0,1,0,16,70,0,3,0,167,542
48015,"Edmonton Centre/Edmonton-Centre"," 88","Edmonton",127,0,1,1,1,0,25,79,1,2,0,237,529
48015,"Edmonton Centre/Edmonton-Centre"," 89","Edmonton",133,0,1,0,0,0,24,75,0,3,1,237,528
48015,"Edmonton Centre/Edmonton-Centre"," 90","Edmonton",79,0,1,0,1,0,24,66,1,4,1,177,555
48015,"Edmonton Centre/Edmonton-Centre"," 91A","Edmonton",51,0,2,1,0,1,22,53,1,1,0,132,300
48015,"Edmonton Centre/Edmonton-Centre"," 91B","Edmonton",56,1,0,2,0,1,25,48,0,6,0,139,287
48015,"Edmonton Centre/Edmonton-Centre"," 92","Edmonton",53,3,1,0,0,2,14,77,0,0,0,150,519
48015,"Edmonton Centre/Edmonton-Centre"," 93","Edmonton",51,0,1,0,0,0,22,55,1,2,1,133,575
48015,"Edmonton Centre/Edmonton-Centre"," 94","Edmonton",67,3,0,0,0,0,24,96,1,1,3,195,622
48015,"Edmonton Centre/Edmonton-Centre"," 95","Edmonton",55,0,0,0,0,0,24,60,0,4,1,144,548
48015,"Edmonton Centre/Edmonton-Centre"," 96","Edmonton",45,0,0,2,1,1,23,53,0,1,2,128,541
48015,"Edmonton Centre/Edmonton-Centre"," 97","Edmonton",43,1,1,0,0,2,17,48,1,1,1,115,538
48015,"Edmonton Centre/Edmonton-Centre"," 98","Edmonton",53,0,0,0,0,0,35,110,0,1,1,200,494
48015,"Edmonton Centre/Edmonton-Centre"," 99","Edmonton",51,1,1,0,0,0,27,53,1,0,0,134,533
48015,"Edmonton Centre/Edmonton-Centre"," 100","Edmonton",66,2,3,0,1,0,42,103,0,0,0,217,595
48015,"Edmonton Centre/Edmonton-Centre"," 101","Edmonton",42,3,0,0,0,0,7,42,1,0,1,96,536
48015,"Edmonton Centre/Edmonton-Centre"," 102","Edmonton",59,0,2,0,0,0,24,67,1,1,0,154,510
48015,"Edmonton Centre/Edmonton-Centre"," 103","Edmonton",71,1,2,0,1,0,28,56,0,4,3,166,523
48015,"Edmonton Centre/Edmonton-Centre"," 104","Edmonton",87,2,1,2,1,0,25,73,0,5,3,199,571
48015,"Edmonton Centre/Edmonton-Centre"," 105","Edmonton",111,0,0,0,0,0,20,106,0,1,0,238,510
48015,"Edmonton Centre/Edmonton-Centre"," 106","Edmonton",90,0,0,0,0,0,15,113,0,1,0,219,559
48015,"Edmonton Centre/Edmonton-Centre"," 107","Edmonton",99,0,0,0,1,0,9,91,0,5,1,206,566
48015,"Edmonton Centre/Edmonton-Centre"," 108","Edmonton",92,1,0,0,0,2,23,73,0,3,0,194,559
48015,"Edmonton Centre/Edmonton-Centre"," 109","Edmonton",62,0,0,1,0,0,36,82,1,1,0,183,520
48015,"Edmonton Centre/Edmonton-Centre"," 110","Edmonton",60,0,0,0,1,2,36,96,0,1,0,196,590
48015,"Edmonton Centre/Edmonton-Centre"," 111","Edmonton",73,0,1,1,1,0,45,121,0,1,3,246,481
48015,"Edmonton Centre/Edmonton-Centre"," 112","Edmonton",50,1,0,0,2,0,27,108,3,2,1,194,611
48015,"Edmonton Centre/Edmonton-Centre"," 113","Edmonton",76,0,0,0,0,1,34,113,0,0,2,226,548
48015,"Edmonton Centre/Edmonton-Centre"," 114A","Edmonton",100,1,1,0,2,0,44,125,1,1,2,277,384
48015,"Edmonton Centre/Edmonton-Centre"," 114B","Edmonton",70,0,0,0,0,1,39,127,2,1,3,243,314
48015,"Edmonton Centre/Edmonton-Centre"," 115","Edmonton",59,0,0,0,0,0,48,90,0,1,1,199,455
48015,"Edmonton Centre/Edmonton-Centre"," 116","Edmonton",36,0,0,0,0,0,31,103,1,0,1,172,469
48015,"Edmonton Centre/Edmonton-Centre"," 117A","Edmonton",Combined with No./Résultats combinés à ceux du n°114A,,,,,,,,,,,,269
48015,"Edmonton Centre/Edmonton-Centre"," 117B","Edmonton",Combined with No./Résultats combinés à ceux du n°114B,,,,,,,,,,,,245
48015,"Edmonton Centre/Edmonton-Centre"," 118","Edmonton",54,0,0,3,0,1,28,96,1,0,1,184,545
48015,"Edmonton Centre/Edmonton-Centre"," 119","Edmonton",43,0,0,1,1,1,33,60,0,1,0,140,486
48015,"Edmonton Centre/Edmonton-Centre"," 120","Edmonton",55,1,2,0,0,0,35,81,2,1,2,179,564
48015,"Edmonton Centre/Edmonton-Centre"," 121","Edmonton",60,0,0,1,0,1,29,114,0,0,1,206,475
48015,"Edmonton Centre/Edmonton-Centre"," 122","Edmonton",118,0,0,0,0,0,8,118,2,0,1,247,565
48015,"Edmonton Centre/Edmonton-Centre"," 123","Edmonton",92,0,0,0,0,0,6,131,0,0,1,230,467
48015,"Edmonton Centre/Edmonton-Centre"," 124","Edmonton",65,0,0,0,0,0,38,110,1,1,1,216,546
48015,"Edmonton Centre/Edmonton-Centre"," 125","Edmonton",71,0,0,0,0,0,32,122,1,0,0,226,563
48015,"Edmonton Centre/Edmonton-Centre"," 126","Edmonton",92,0,0,0,0,0,32,120,0,2,1,247,624
48015,"Edmonton Centre/Edmonton-Centre"," 127","Edmonton",6,1,0,0,0,0,8,11,0,0,0,26,403
48015,"Edmonton Centre/Edmonton-Centre"," 128","Edmonton",45,1,1,0,0,1,24,45,0,0,1,118,499
48015,"Edmonton Centre/Edmonton-Centre"," 129","Edmonton",60,0,1,1,0,0,25,93,0,1,2,183,498
48015,"Edmonton Centre/Edmonton-Centre"," 130","Edmonton",71,1,0,0,0,0,9,69,0,0,0,150,528
48015,"Edmonton Centre/Edmonton-Centre"," 131","Edmonton",59,0,0,0,1,1,26,76,0,2,0,165,579
48015,"Edmonton Centre/Edmonton-Centre"," 132","Edmonton",Combined with No./Résultats combinés à ceux du n°123,,,,,,,,,,,,32
48015,"Edmonton Centre/Edmonton-Centre"," 133","Edmonton",48,0,0,0,0,0,17,68,0,0,0,133,445
48015,"Edmonton Centre/Edmonton-Centre"," 134","Edmonton",58,0,0,0,0,0,35,95,1,2,1,192,579
48015,"Edmonton Centre/Edmonton-Centre"," 135","Edmonton",48,0,1,0,0,0,29,73,1,1,0,153,427
48015,"Edmonton Centre/Edmonton-Centre"," 136A","Edmonton",72,0,0,0,0,0,13,78,0,1,1,165,497
48015,"Edmonton Centre/Edmonton-Centre"," 136B","Edmonton",75,0,1,0,0,0,14,91,0,1,0,182,469
48015,"Edmonton Centre/Edmonton-Centre"," 137","Edmonton",56,1,0,0,0,0,31,97,0,4,1,190,554
48015,"Edmonton Centre/Edmonton-Centre"," 138","Edmonton",52,1,0,0,0,1,31,95,0,1,2,183,584
48015,"Edmonton Centre/Edmonton-Centre"," 139","Edmonton",77,0,1,2,0,0,26,106,0,2,1,215,407
48015,"Edmonton Centre/Edmonton-Centre"," 140","Edmonton",73,0,1,0,0,0,32,108,1,3,0,218,571
48015,"Edmonton Centre/Edmonton-Centre"," 141","Edmonton",74,0,0,0,0,0,32,149,1,2,3,261,560
48015,"Edmonton Centre/Edmonton-Centre"," 142","Edmonton",58,0,2,0,0,0,21,72,0,1,1,155,465
48015,"Edmonton Centre/Edmonton-Centre"," 143","Edmonton",39,0,0,0,0,1,14,52,0,0,0,106,363
48015,"Edmonton Centre/Edmonton-Centre"," 144","Edmonton",78,0,0,0,0,0,61,163,0,4,4,310,653
48015,"Edmonton Centre/Edmonton-Centre"," 145","Edmonton",59,2,0,0,1,1,26,117,0,3,0,209,434
48015,"Edmonton Centre/Edmonton-Centre"," 146","Edmonton",90,0,0,0,0,0,53,138,0,2,0,283,619
48015,"Edmonton Centre/Edmonton-Centre"," 147","Edmonton",48,0,0,1,0,1,38,109,0,1,1,199,593
48015,"Edmonton Centre/Edmonton-Centre"," 148","Edmonton",59,0,0,0,1,0,24,72,0,2,0,158,558
48015,"Edmonton Centre/Edmonton-Centre"," 149","Edmonton",61,1,0,1,0,0,34,104,2,0,2,205,606
48015,"Edmonton Centre/Edmonton-Centre"," 150","Edmonton",40,2,0,0,1,0,32,86,0,3,0,164,510
48015,"Edmonton Centre/Edmonton-Centre"," 151","Edmonton",44,1,0,0,0,1,25,91,1,3,0,166,500
48015,"Edmonton Centre/Edmonton-Centre"," 152","Edmonton",84,0,1,0,0,0,40,105,1,0,0,231,561
48015,"Edmonton Centre/Edmonton-Centre"," 153","Edmonton",54,1,2,1,0,1,22,82,0,2,0,165,482
48015,"Edmonton Centre/Edmonton-Centre"," 154","Edmonton",55,0,2,1,0,1,33,106,1,1,0,200,615
48015,"Edmonton Centre/Edmonton-Centre"," 155","Edmonton",71,0,3,0,1,0,37,156,0,1,2,271,532
48015,"Edmonton Centre/Edmonton-Centre"," 400","Edmonton",Combined with No./Résultats combinés à ceux du n°3,,,,,,,,,,,,28
48015,"Edmonton Centre/Edmonton-Centre"," 401","Edmonton",103,2,1,0,3,1,44,80,0,4,0,238,400
48015,"Edmonton Centre/Edmonton-Centre"," 402","Edmonton",54,2,2,4,1,0,40,43,1,1,4,152,293
48015,"Edmonton Centre/Edmonton-Centre"," 403","Edmonton",Combined with No./Résultats combinés à ceux du n°111,,,,,,,,,,,,147
48015,"Edmonton Centre/Edmonton-Centre"," 404","Edmonton",7,4,1,0,4,1,8,9,1,0,3,38,525
48015,"Edmonton Centre/Edmonton-Centre"," 405A","Mobile poll/Bureau itinérant",71,1,0,2,1,0,24,96,0,1,3,199,48
48015,"Edmonton Centre/Edmonton-Centre"," 405B","Edmonton",42,3,1,2,0,0,19,37,1,2,1,108,234
48015,"Edmonton Centre/Edmonton-Centre"," 406","Edmonton",Combined with No./Résultats combinés à ceux du n°129,,,,,,,,,,,,131
48015,"Edmonton Centre/Edmonton-Centre"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,,,,,53
48015,"Edmonton Centre/Edmonton-Centre"," 501","Mobile poll/Bureau itinérant",48,1,1,0,2,0,16,56,0,1,2,127,100
48015,"Edmonton Centre/Edmonton-Centre"," 502","Mobile poll/Bureau itinérant",17,3,3,2,3,0,19,17,0,1,1,66,65
48015,"Edmonton Centre/Edmonton-Centre"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,,,,,41
48015,"Edmonton Centre/Edmonton-Centre"," 504","Mobile poll/Bureau itinérant",56,0,0,0,1,0,11,40,0,2,5,115,113
48015,"Edmonton Centre/Edmonton-Centre"," 505A","Edmonton",Combined with No./Résultats combinés à ceux du n°91A,,,,,,,,,,,,41
48015,"Edmonton Centre/Edmonton-Centre"," 505B","Edmonton",Combined with No./Résultats combinés à ceux du n°91B,,,,,,,,,,,,38
48015,"Edmonton Centre/Edmonton-Centre"," 506","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,,,,
48015,"Edmonton Centre/Edmonton-Centre"," 507A","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507B,,,,,,,,,,,,29
48015,"Edmonton Centre/Edmonton-Centre"," 507B","Mobile poll/Bureau itinérant",27,2,1,4,3,1,17,24,1,3,2,85,111
48015,"Edmonton Centre/Edmonton-Centre"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,,,,,87
48015,"Edmonton Centre/Edmonton-Centre"," 509","Mobile poll/Bureau itinérant",58,0,3,3,0,0,17,57,2,2,2,144,86
48015,"Edmonton Centre/Edmonton-Centre"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°405A,,,,,,,,,,,,85
48015,"Edmonton Centre/Edmonton-Centre"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°405A,,,,,,,,,,,,89
48015,"Edmonton Centre/Edmonton-Centre"," 512","Edmonton",Combined with No./Résultats combinés à ceux du n°130,,,,,,,,,,,,41
48015,"Edmonton Centre/Edmonton-Centre"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°405A,,,,,,,,,,,,119
48015,"Edmonton Centre/Edmonton-Centre"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°405A,,,,,,,,,,,,20
48015,"Edmonton Centre/Edmonton-Centre"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,,,,,,,98
48015,"Edmonton Centre/Edmonton-Centre"," 516","Mobile poll/Bureau itinérant",33,0,1,2,0,0,15,61,0,0,3,115,142
48015,"Edmonton Centre/Edmonton-Centre"," 517","Edmonton",Combined with No./Résultats combinés à ceux du n°139,,,,,,,,,,,,131
48015,"Edmonton Centre/Edmonton-Centre"," 600","Edmonton",595,3,0,4,3,0,219,330,5,11,6,1176,
48015,"Edmonton Centre/Edmonton-Centre"," 601","Edmonton",515,4,3,2,2,0,222,375,4,4,5,1136,
48015,"Edmonton Centre/Edmonton-Centre"," 602","Edmonton",547,3,0,2,3,2,263,549,3,15,0,1387,
48015,"Edmonton Centre/Edmonton-Centre"," 603","Edmonton",384,0,2,2,2,2,212,480,3,11,9,1107,
48015,"Edmonton Centre/Edmonton-Centre"," 604","Edmonton",265,0,0,1,0,0,100,328,1,7,7,709,
48015,"Edmonton Centre/Edmonton-Centre"," 605","Edmonton",476,4,4,4,4,1,267,993,1,5,5,1764,
48015,"Edmonton Centre/Edmonton-Centre"," 606","Edmonton",417,2,1,0,0,0,166,602,1,7,5,1201,
48015,"Edmonton Centre/Edmonton-Centre"," 607","Edmonton",410,0,1,0,1,1,77,228,4,7,4,733,
48015,"Edmonton Centre/Edmonton-Centre"," 608","Edmonton",389,0,0,0,1,0,110,421,0,3,4,928,
48015,"Edmonton Centre/Edmonton-Centre"," 609","Edmonton",497,3,2,3,1,1,99,424,1,11,3,1045,
48015,"Edmonton Centre/Edmonton-Centre"," 610","Edmonton",614,4,1,3,1,0,125,1036,2,2,2,1790,
48015,"Edmonton Centre/Edmonton-Centre"," 611","Edmonton",276,3,0,1,3,1,162,611,1,6,3,1067,
48015,"Edmonton Centre/Edmonton-Centre"," 612","Edmonton",275,0,1,2,2,0,158,613,3,3,4,1061,
48015,"Edmonton Centre/Edmonton-Centre"," 613","Edmonton",241,1,2,4,0,2,222,611,5,8,2,1098,
48015,"Edmonton Centre/Edmonton-Centre"," 614","Edmonton",291,4,1,0,4,2,176,708,0,10,4,1200,
48015,"Edmonton Centre/Edmonton-Centre"," 615","Edmonton",308,1,0,0,2,0,169,618,2,5,0,1105,
48015,"Edmonton Centre/Edmonton-Centre",,Group 1/Groupe 1, 515,5,3,7,13,2,232,728,13,23,87,1628,759
48015,"Edmonton Centre/Edmonton-Centre",,Group 2/Groupe 2, 1033,6,0,2,4,5,468,1197,6,16,103,2840,
