Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Parm Bains,Steven Ji,Keefer Pelech,Zach Segal,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 99","Richmond",76,0,2,99,4,181,519
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 100","Richmond",52,0,2,72,0,126,362
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 101","Richmond",56,5,3,52,0,116,337
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 102","Richmond",51,1,12,53,0,117,402
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 103","Richmond",65,4,2,81,1,153,457
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 104","Richmond",132,0,14,83,1,230,537
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 105","Richmond",81,3,6,80,3,173,386
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 106","Richmond",90,1,5,62,0,158,338
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 107","Richmond",82,0,2,76,0,160,390
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 108","Richmond",71,1,8,58,0,138,316
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 109","Richmond",59,0,4,48,1,112,270
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 110","Richmond",61,3,4,56,3,127,266
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 111","Richmond",87,1,4,91,0,183,436
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 112","Richmond",82,2,1,110,2,197,465
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 113","Richmond",101,1,2,94,0,198,470
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 114","Richmond",85,0,13,61,0,159,369
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 115","Richmond",68,1,5,77,0,151,423
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 116","Richmond",91,1,7,87,0,186,398
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 117","Richmond",65,1,7,48,0,121,285
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 118","Richmond",91,1,2,97,1,192,541
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 119","Richmond",70,0,6,38,0,114,390
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 120","Richmond",100,1,7,88,1,197,411
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 121","Richmond",62,3,3,52,0,120,342
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 122","Richmond",73,0,4,85,2,164,294
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 123","Richmond",140,0,11,73,0,224,446
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 124","Richmond",83,2,8,56,1,150,372
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 125","Richmond",40,2,4,63,0,109,369
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 126","Richmond",80,0,9,90,2,181,468
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 127","Richmond",60,0,9,73,1,143,440
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 128","Richmond",57,0,3,45,0,105,400
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 129","Richmond",63,0,5,115,2,185,631
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 130","Richmond",76,1,11,73,0,161,444
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 131","Richmond",65,2,9,61,1,138,397
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 132","Richmond",48,3,6,96,0,153,468
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 133","Richmond",56,1,8,95,2,162,443
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 134","Richmond",81,3,10,97,1,192,446
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 135","Richmond",81,0,9,86,1,177,349
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 136","Richmond",47,0,4,76,0,127,415
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 137","Richmond",100,1,10,76,5,192,457
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 138","Richmond",90,3,8,72,2,175,353
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 139","Richmond",129,2,11,82,7,231,441
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 140","Richmond",119,5,11,140,0,275,714
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 141","Richmond",104,1,9,69,12,195,458
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 142","Richmond",39,2,9,66,0,116,407
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 143","Richmond",44,3,4,50,0,101,464
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 144","Richmond",70,1,6,64,1,142,480
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 145","Richmond",73,1,15,109,0,198,558
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 146","Richmond",53,1,4,64,0,122,440
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 147","Richmond",58,3,7,67,0,135,516
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 148","Richmond",53,2,10,53,1,119,427
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 149","Richmond",68,3,11,96,0,178,619
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 150","Richmond",72,3,13,67,1,156,495
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 151","Richmond",51,0,0,58,0,109,310
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 152","Richmond",78,2,5,86,0,171,440
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 153","Richmond",52,1,8,88,1,150,430
59028,"Richmond East--Steveston/Richmond-Est--Steveston"," 154","Richmond",127,0,4,82,1,214,478
