Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Luc Berthold,Gabriel D'Astous,Yves Gilbert,Réjean Hurteau,Charles Mckaig,Marek Spacek,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 530","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,,32
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 531","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,,,9
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 532","Thetford Mines",Combined with No./Résultats combinés à ceux du n°141,,,,,,,,5
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 533","Disraeli",Combined with No./Résultats combinés à ceux du n°174,,,,,,,,6
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 534","Mobile poll/Bureau itinérant",8,1,0,3,11,1,0,24,24
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 535","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°527,,,,,,,,11
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 536","Lambton",Combined with No./Résultats combinés à ceux du n°164,,,,,,,,6
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 537","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°540,,,,,,,,17
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 538","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°534,,,,,,,,14
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 539","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°543,,,,,,,,10
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 540","Mobile poll/Bureau itinérant",24,2,2,4,11,2,2,47,26
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 541","Lac-Mégantic",Combined with No./Résultats combinés à ceux du n°199,,,,,,,,12
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 542","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°540,,,,,,,,18
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 543","Mobile poll/Bureau itinérant",5,2,1,5,4,1,1,19,16
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 600","Lotbinière",233,15,1,133,192,9,9,592,
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 601","Laurier-Station",400,18,2,126,200,8,6,760,
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 602","Val-Alain",106,6,8,29,66,3,7,225,
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 603","Saint-Janvier-de-Joly",242,8,1,62,97,6,5,421,
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 604","Lyster",106,5,0,33,55,0,2,201,
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 605","Plessisville",628,17,1,175,325,8,15,1169,
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 606","Plessisville",598,32,0,210,332,9,22,1203,
24046,"Mégantic--L'Érable--Lotbinière/Mégantic--L'Érable--Lotbinière"," 607","Princeville",399,14,3,118,161,2,15,712,
