Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Chris Bittle,Taha Alexander Haj-Ahmad,Karen Orlandi,Christopher Reilly,Bas Sluijmers,Dennis Wilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35101,"St. Catharines/St. Catharines"," 185","St. Catharines",98,4,15,1,70,0,0,188,535
35101,"St. Catharines/St. Catharines"," 186","St. Catharines",144,0,23,0,75,3,1,246,568
35101,"St. Catharines/St. Catharines"," 187","St. Catharines",114,1,9,0,86,0,2,212,540
35101,"St. Catharines/St. Catharines"," 188","St. Catharines",112,1,14,0,78,2,0,207,559
35101,"St. Catharines/St. Catharines"," 189","St. Catharines",101,0,16,0,75,2,0,194,499
35101,"St. Catharines/St. Catharines"," 190","St. Catharines",48,1,4,0,51,2,0,106,443
35101,"St. Catharines/St. Catharines"," 400","St. Catharines",105,1,7,0,46,4,3,166,395
35101,"St. Catharines/St. Catharines"," 401","St. Catharines",33,0,2,1,26,0,0,62,172
35101,"St. Catharines/St. Catharines"," 402","St. Catharines",49,0,12,1,40,2,2,106,209
35101,"St. Catharines/St. Catharines"," 500","Mobile poll/Bureau itinérant",103,1,21,5,40,6,1,177,192
35101,"St. Catharines/St. Catharines"," 501","Mobile poll/Bureau itinérant",86,1,2,1,33,3,1,127,118
35101,"St. Catharines/St. Catharines"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,127
35101,"St. Catharines/St. Catharines"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,78
35101,"St. Catharines/St. Catharines"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,86
35101,"St. Catharines/St. Catharines"," 505","Mobile poll/Bureau itinérant",57,1,4,0,96,1,4,163,44
35101,"St. Catharines/St. Catharines"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,139
35101,"St. Catharines/St. Catharines"," 507","Mobile poll/Bureau itinérant",86,0,1,0,32,1,3,123,129
35101,"St. Catharines/St. Catharines"," 508","Mobile poll/Bureau itinérant",39,0,8,2,19,1,0,69,103
