Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Nik Boisvert,Jeffrey Evely,Chris Gallant,Mike Kelloway,Kimberly Losier,Anna Manley,Michael Pittman,Joe Ward,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 67","Cape Breton",1,3,1,58,6,62,0,3,0,134,348
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 68","Cape Breton",0,2,1,69,8,62,0,0,0,142,306
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 69","Cape Breton",0,2,0,69,5,58,0,3,0,137,335
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 70","Reserve Rows",0,2,1,54,8,62,0,4,4,135,319
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 71","Port Morien",0,1,0,58,7,59,0,0,1,126,265
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 72","Cape Breton",0,2,0,35,3,58,0,2,0,100,285
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 73","Florence",0,3,0,34,5,52,0,0,1,95,303
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 74","Cape Breton",0,2,0,45,3,56,0,0,0,106,349
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 75","Bras d'Or",0,1,0,22,4,36,1,2,0,66,283
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 76","Florence",0,3,0,32,7,48,1,1,2,94,307
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 77","Sand Lake",0,0,0,51,6,52,1,2,0,112,257
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 78","Birch Grove",0,2,1,54,7,71,2,1,4,142,225
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 79","Cape Breton",1,1,1,83,1,62,1,8,1,159,431
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 80","Cape Breton",0,3,1,70,5,54,1,2,0,136,457
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 81","Cape Breton",0,2,1,51,4,71,0,2,0,131,408
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 82","Cape Breton",0,2,3,58,6,90,1,2,0,162,423
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 83","Cape Breton",0,4,0,55,4,79,1,0,0,143,421
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 84","Cape Breton",0,3,0,52,1,58,0,1,0,115,407
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 85","Cape Breton",0,1,0,55,3,63,1,0,0,123,290
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 86","Cape Breton",0,5,0,74,4,105,1,2,2,193,425
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 87","Cape Breton",0,1,0,40,9,59,0,1,0,110,340
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 88","Cape Breton",0,4,1,32,8,67,0,0,0,112,367
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 89","Grand Lake Road",0,0,1,58,4,63,0,1,1,128,394
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 90","Kytes Hill",0,4,1,85,2,37,0,1,0,130,351
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 91","South Bar",0,1,0,73,5,55,1,5,0,140,257
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 92","South Bar",0,4,1,67,3,54,1,3,0,133,314
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 93","Little Bras d'Or",0,2,0,26,7,51,2,0,0,88,322
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 94","Cape Breton",0,0,0,55,1,44,0,0,0,100,308
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 95A","Lingan Road",1,6,0,61,6,57,0,2,2,135,363
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 95B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,,,28
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 96","Cape Breton",0,1,0,65,8,64,1,3,0,142,441
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 97","Cape Breton",0,4,0,59,2,53,0,1,0,119,358
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 98","Cape Breton",0,2,0,48,9,71,2,5,0,137,421
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 99","Cape Breton",0,0,0,49,4,60,0,0,0,113,398
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 100","Cape Breton",0,4,2,35,6,60,1,0,0,108,385
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 101","Cape Breton",1,11,1,56,2,81,0,5,0,157,450
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 102","Cape Breton",0,1,0,83,0,64,0,3,2,153,411
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 103","Cape Breton",0,1,0,39,3,49,0,2,0,94,312
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 104","Cape Breton",0,0,2,74,6,52,1,4,4,143,379
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 105","Cape Breton",0,2,1,37,7,35,1,0,0,83,307
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 106","Cape Breton",0,4,0,67,2,64,0,3,2,142,431
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 107","Georges River",0,2,0,25,3,47,0,1,0,78,219
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 108","Cape Breton",0,0,1,39,7,46,1,2,0,96,362
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 109","Cape Breton",0,2,0,61,9,26,0,3,0,101,313
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 110","Cape Breton",0,2,2,50,5,33,1,1,0,94,324
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 111","Cape Breton",0,2,1,64,4,40,1,1,0,113,334
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 112","Cape Breton",0,1,0,20,8,63,1,2,0,95,337
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 113","Cape Breton",0,4,0,43,6,42,2,0,0,97,321
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 114","Cape Breton",1,2,1,54,12,41,2,4,0,117,386
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 115","Cape Breton",2,2,0,60,6,37,1,5,0,113,337
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 116","Cape Breton",0,3,1,81,7,60,0,3,0,155,394
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 117","Cape Breton",0,2,0,76,11,65,0,2,0,156,469
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 118","Cape Breton",0,0,0,33,7,32,0,0,0,72,320
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 119","Cape Breton",0,0,0,70,4,47,0,2,1,124,388
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 120","Upper North Sydney",0,1,1,60,1,57,0,2,0,122,327
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 121","Cape Breton",0,3,1,58,13,54,2,6,0,137,422
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 122","Cape Breton",1,8,0,90,5,47,2,9,1,163,404
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 123","Cape Breton",0,2,1,55,5,36,0,0,0,99,343
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 124","Cape Breton",0,1,0,49,5,26,1,2,0,84,355
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 125","Cape Breton",0,2,1,41,3,30,0,3,1,81,358
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 126","Edwardsville",0,0,1,61,3,55,0,2,0,122,293
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 127","Cape Breton",0,1,0,63,7,37,1,2,2,113,417
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 128","Cape Breton",1,2,1,61,3,61,0,2,0,131,483
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 129","Cape Breton",1,0,0,44,2,47,1,2,7,104,350
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 130","Cape Breton",0,1,0,70,2,26,0,2,0,101,339
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 131","Cape Breton",1,2,0,72,3,39,0,1,0,118,403
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 132","Cape Breton",0,1,0,51,6,45,1,2,0,106,376
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 133","Cape Breton",1,3,0,57,3,24,0,0,1,89,317
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 134","Cape Breton",1,1,1,78,5,54,0,0,0,140,349
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 135","Cape Breton",0,2,0,70,10,38,0,1,0,121,354
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 136","Cape Breton",2,2,0,66,5,24,1,2,1,103,380
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 137","Cape Breton",1,2,0,79,3,23,0,0,0,108,362
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 138","Cape Breton",1,1,0,65,5,30,0,3,2,107,353
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 139","Cape Breton",0,1,0,82,6,27,0,1,0,117,320
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 140","Cape Breton",0,2,1,66,2,27,0,3,0,101,387
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 141","Cape Breton",0,0,0,54,2,43,0,3,3,105,342
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 142","Cape Breton",0,1,0,68,1,39,0,1,0,110,355
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 143","Cape Breton",1,2,1,100,8,39,0,2,0,153,435
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 144","Cape Breton",0,0,0,55,6,25,1,3,1,91,340
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 145","Cape Breton",2,2,0,68,3,42,0,3,3,123,334
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 146","Cape Breton",0,2,0,69,4,44,1,3,1,124,458
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 147","Cape Breton",0,1,0,48,2,42,0,1,1,95,292
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 148","Cape Breton",0,1,1,45,10,47,0,0,0,104,363
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 149","Cape Breton",0,1,1,57,2,26,0,3,0,90,343
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 150","Mira Road",0,0,0,63,2,34,1,2,0,102,220
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 151","Mira Road",0,0,0,73,1,45,1,0,0,120,246
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 152","Cape Breton",0,3,0,44,4,30,2,0,1,84,392
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 153","Cape Breton",0,5,0,53,1,36,1,1,2,99,388
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 154","Cape Breton",0,1,1,65,6,62,2,2,0,139,489
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 155","Westmount",1,1,0,48,1,36,0,3,0,90,331
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 156","Coxheath",0,1,0,38,5,28,0,0,1,73,228
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 157","Balls Creek",0,1,0,42,4,42,1,2,1,93,277
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 158","Cape Breton",0,0,0,65,3,28,0,3,0,99,478
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 159","Cape Breton",2,6,0,75,10,38,1,3,0,135,435
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 160","Membertou 28B",0,0,0,101,1,10,0,0,0,112,376
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 161","Cape Breton",1,1,1,63,5,32,0,3,1,107,381
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 162","Membertou 28B",0,0,0,117,3,14,1,0,0,135,452
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 163","Cape Breton",0,3,0,80,7,39,0,3,0,132,428
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 164","Cape Breton",1,0,0,56,6,41,0,2,0,106,415
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 165","Cape Breton",1,0,0,64,7,44,1,1,0,118,432
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 166","Cape Breton",1,0,0,73,7,31,0,0,2,114,435
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 167","Cape Breton",0,1,0,99,4,38,0,5,0,147,499
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 168","Coxheath",1,0,1,66,3,39,0,2,0,112,376
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 169","Cape Breton",0,2,0,44,6,32,0,0,0,84,326
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 170","Cape Breton",0,0,0,70,8,52,0,5,2,137,459
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 171","Cape Breton",0,0,0,125,2,31,1,2,0,161,464
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 172","Cape Breton",0,1,0,90,8,30,0,5,0,134,430
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 173","Cape Breton",0,1,0,70,4,29,0,2,1,107,418
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 174","Dutch Brook",0,3,1,67,7,80,0,2,0,160,301
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 175","Sydney River",0,1,0,54,4,34,0,3,0,96,342
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 176","Howie Centre",0,2,0,93,1,62,0,2,0,160,459
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 177","Howie Centre",0,1,1,50,8,54,0,0,0,114,423
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 178","Howie Centre",0,1,0,58,4,59,1,0,0,123,430
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 179","Cape Breton",0,1,0,69,1,51,0,0,0,122,402
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 180","Sydney Forks",0,4,0,65,7,65,1,0,0,142,458
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 181","Meadows Road",0,4,0,67,4,48,0,2,0,125,367
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 400","Cape Breton",0,2,1,36,3,12,5,4,6,69,141
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 401","Cape Breton",0,2,0,55,10,23,1,3,2,96,142
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 402","Cape Breton",0,1,1,55,8,10,0,3,12,90,107
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 403","Cape Breton",1,3,3,40,8,18,0,0,0,73,100
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,,,54
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 501","Mobile poll/Bureau itinérant",2,3,2,62,9,15,0,3,2,98,56
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 502","Mobile poll/Bureau itinérant",4,2,4,33,10,17,3,2,0,75,70
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,,,3
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,,,16
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 505","Mobile poll/Bureau itinérant",1,5,1,35,9,47,0,2,2,102,33
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,,,16
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,,,4
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,,,7
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,,,8
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,,,,3
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 511","Mobile poll/Bureau itinérant",1,3,2,68,8,29,3,7,1,122,61
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,,,,30
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,,,,14
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,,,,106
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 515","Mobile poll/Bureau itinérant",1,0,1,58,1,15,7,1,5,89,82
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 600","Cape Breton",0,10,0,366,22,351,2,6,6,763,
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 601","Cape Breton",3,15,6,492,43,447,6,7,4,1023,
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 602","Cape Breton",1,12,4,519,33,610,4,9,4,1196,
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 603","Cape Breton",4,18,0,946,55,732,13,27,11,1806,
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 604","Cape Breton",0,8,5,1046,33,476,1,13,4,1586,
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 605","Cape Breton",2,17,4,615,55,324,6,20,7,1050,
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 606","Cape Breton",3,20,5,540,32,396,3,2,10,1011,
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 607","Cape Breton",3,17,16,779,67,524,7,9,12,1434,
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 608","Cape Breton",0,12,1,665,45,453,1,14,8,1199,
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 609","Cape Breton",1,5,3,705,44,496,1,12,7,1274,
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 610","Cape Breton",0,6,1,767,36,439,5,14,10,1278,
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 611","Cape Breton",1,3,0,189,14,168,1,1,2,379,
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 612","Cape Breton",0,2,1,432,12,259,3,8,0,717,
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 613","Cape Breton",2,5,4,1349,58,415,8,22,6,1869,
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 614","Cape Breton",3,8,3,759,29,220,5,18,15,1060,
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 615","Membertou 28B",0,0,0,147,3,16,0,1,2,169,
12011,"Sydney--Glace Bay/Sydney--Glace Bay"," 616","Cape Breton",0,5,4,874,31,334,2,19,13,1282,
