Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Andre Anderson,Dave Carroll,Braedon Clark,Ryan Slaney,Isaac Wilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 27","Fall River",2,50,47,1,3,0,103,325
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 28","Halifax",0,46,61,0,7,0,114,506
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 29","Halifax",1,63,87,1,6,0,158,527
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 30","Halifax",2,50,85,0,3,2,142,483
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 31","Halifax",0,45,67,0,3,0,115,421
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 32","Halifax",4,42,67,0,5,1,119,405
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 33","Halifax",Combined with No./Résultats combinés à ceux du n°17,,,,,,,180
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 34","Halifax",2,36,53,0,7,0,98,376
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 35","Halifax",1,58,68,1,3,0,131,452
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 36","Halifax",2,26,31,2,2,0,63,252
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 37","Halifax",0,43,46,1,2,0,92,334
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 38A","Halifax",2,38,39,3,4,0,86,313
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 38B","Halifax",2,19,31,1,4,0,57,250
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 39","Halifax",1,54,53,3,14,0,125,528
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 40","East Preston",3,21,49,4,14,2,93,259
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 41","East Preston",2,25,42,1,18,1,89,303
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 42","East Preston",5,35,55,2,6,4,107,367
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 43","Lake Major",1,41,47,2,11,1,103,277
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 44","Halifax",1,36,42,0,10,0,89,335
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 45","Halifax",1,60,83,1,2,0,147,406
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 46","Halifax",0,54,66,3,2,0,125,394
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 47","Halifax",2,72,96,0,3,1,174,443
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 48","Halifax",1,53,66,0,5,1,126,451
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 49","Halifax",1,48,61,2,12,0,124,402
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 50","Lewis Lake",0,72,56,1,15,0,144,417
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 51","Halifax",1,70,83,1,3,0,158,434
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 52","Halifax",1,71,74,0,11,0,157,486
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 53","Waverley",1,42,86,1,2,0,132,411
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 54","Waverley",0,47,79,1,9,2,138,406
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 55","Waverley",0,31,77,0,4,1,113,406
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 56","Waverley",2,42,57,2,11,0,114,363
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 57","Halifax",0,45,66,1,5,0,117,469
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 58","Halifax",2,78,78,0,2,1,161,565
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 59A","Halifax",1,27,53,1,6,0,88,289
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 59B","Halifax",3,23,53,0,4,0,83,278
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 60","Halifax",3,69,64,1,10,0,147,446
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 61","Halifax",1,50,102,1,15,0,169,521
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 62","Halifax",4,97,120,5,10,2,238,535
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 63","Halifax",0,56,66,1,10,0,133,402
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 64","Halifax",6,83,101,0,6,0,196,558
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 65","Halifax",2,70,72,0,4,1,149,389
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 66","Halifax",5,93,87,1,8,1,195,537
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 67","Halifax",2,50,41,1,11,0,105,391
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 68","Halifax",0,45,56,3,2,1,107,289
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 69","Cherry Brook--Lake Major",0,22,28,1,4,0,55,232
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 70","Halifax",0,45,64,0,4,0,113,421
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 71","Halifax",1,73,107,0,8,0,189,510
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 72","Halifax",2,39,88,3,8,1,141,365
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 73","Halifax",1,53,94,0,8,0,156,394
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 74","Halifax",4,48,77,1,13,3,146,405
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 75","Halifax",0,40,57,4,13,0,114,427
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 76","Halifax",1,51,59,3,7,0,121,350
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 77","Halifax",2,59,107,0,8,2,178,446
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 78","Halifax",2,32,49,1,4,0,88,333
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 79","Halifax",1,51,89,1,15,2,159,503
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 80","Halifax",1,22,51,4,3,1,82,354
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 81A","Halifax",0,46,56,2,5,0,109,296
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 81B","Halifax",2,45,58,2,6,0,113,301
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 82","Halifax",0,41,65,2,6,0,114,400
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 83","Halifax",1,28,71,2,9,0,111,376
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 84","Halifax",1,55,46,3,13,1,119,525
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 85","Halifax",1,69,97,0,12,1,180,507
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 86","Halifax",0,62,106,0,4,0,172,438
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 87","Halifax",1,47,67,1,3,0,119,386
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 88","Halifax",2,58,87,2,6,1,156,473
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 89","Halifax",2,60,85,1,7,0,155,421
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 90","Halifax",0,51,90,1,7,1,150,413
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 91","Halifax",1,57,107,1,10,0,176,451
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 92","Halifax",6,26,63,3,6,1,105,367
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 93","Halifax",3,41,53,3,4,0,104,404
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 94","Halifax",1,32,63,4,10,2,112,404
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 95","Halifax",1,43,58,0,8,1,111,341
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 96","Lakeview",2,63,105,3,7,0,180,391
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 97","Halifax",1,47,58,0,5,1,112,346
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 98","Halifax",0,64,81,5,11,0,161,501
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 99","Halifax",0,35,57,3,5,0,100,349
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 100","Halifax",1,48,86,2,7,1,145,472
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 101","Halifax",2,38,58,1,13,2,114,323
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 102","Halifax",3,49,55,0,1,2,110,301
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 103","Halifax",0,37,49,0,8,0,94,364
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 104","Halifax",0,63,79,1,17,1,161,503
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 105","Halifax",2,44,60,0,10,0,116,372
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 106","Halifax",0,43,70,0,15,1,129,417
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 107","Halifax",3,40,67,1,10,0,121,348
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 108","Halifax",1,54,100,1,15,0,171,493
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 109","Halifax",4,54,75,2,9,0,144,440
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 110","Halifax",3,40,94,1,9,0,147,487
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 111","Halifax",1,45,76,3,11,0,136,361
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 112","Halifax",5,75,96,0,9,2,187,560
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 113","Halifax",2,49,73,0,10,1,135,410
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 114","Halifax",2,61,69,0,9,0,141,342
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 115","Halifax",1,52,81,2,13,0,149,543
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 116","Halifax",3,34,54,0,9,1,101,413
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 117","Halifax",0,27,53,2,7,0,89,434
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 118","Halifax",0,46,55,2,9,1,113,478
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 119A","Halifax",2,25,42,0,8,1,78,280
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 119B","Halifax",3,30,28,4,6,2,73,293
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 120","Halifax",3,58,64,1,7,0,133,534
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 121","Halifax",4,54,65,3,9,2,137,527
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 122A","Halifax",1,35,39,0,3,1,79,296
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 122B","Halifax",2,33,34,1,8,0,78,293
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 123","Halifax",3,62,60,1,17,0,143,474
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 124","Lucasville",2,56,65,0,2,1,126,316
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 125","Lucasville",0,67,70,1,2,0,140,399
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 126","Lucasville",1,24,27,0,1,0,53,207
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 127","Lucasville",1,42,64,1,1,1,110,307
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 128","Lucasville",1,59,66,0,5,0,131,507
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 129","Lucasville",0,31,34,0,11,1,77,370
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 130","Lucasville",0,38,47,1,2,4,92,298
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 131","Lucasville",0,30,51,0,1,0,82,315
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 132","Halifax",4,40,61,0,4,1,110,336
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 133","Pockwock",0,61,79,0,7,0,147,409
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 134","Halifax",1,38,120,3,3,1,166,493
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 135","Halifax",2,37,76,1,3,0,119,428
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 136","Halifax",1,41,83,4,4,0,133,460
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 137","Halifax",1,37,78,2,4,0,122,356
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 138","Halifax",0,45,88,2,2,0,137,369
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 139","Halifax",1,37,85,0,3,0,126,476
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 140","Halifax",0,41,53,2,4,1,101,303
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 141","Halifax",2,48,92,0,7,1,150,471
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 142","Halifax",1,55,87,1,9,1,154,482
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 143","Halifax",1,32,64,0,21,1,119,437
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 144","Halifax",1,43,59,0,4,0,107,471
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 145A","Halifax",1,32,40,0,1,0,74,314
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 145B","Halifax",2,27,55,0,6,0,90,303
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 146","Halifax",2,13,50,0,1,2,68,359
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 147","Halifax",1,31,78,1,8,0,119,334
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 148","Halifax",0,32,66,0,8,0,106,333
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 149","Halifax",0,40,78,3,12,0,133,362
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 150","Halifax",1,31,70,0,0,2,104,357
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 151","Halifax",1,42,106,0,3,0,152,423
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 152","Halifax",3,33,105,1,4,1,147,462
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 153","Halifax",2,30,77,1,2,0,112,411
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 154","Halifax",3,58,76,1,8,0,146,416
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 155","Halifax",0,25,68,0,9,0,102,342
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 156","Halifax",0,38,86,1,2,2,129,428
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 157","Halifax",1,34,77,0,1,0,113,421
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 158","Halifax",0,44,92,1,2,0,139,504
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 159A","Halifax",0,29,65,0,2,0,96,429
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 159B","Halifax",0,7,74,0,0,0,81,124
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 160","Halifax",0,39,71,0,4,0,114,428
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 161","Halifax",0,36,120,3,4,0,163,431
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 162","Halifax",0,61,85,2,15,0,163,573
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 163","Halifax",0,31,63,1,3,3,101,498
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 164","Hammond Plains",0,70,88,1,8,0,167,438
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 165","Hammond Plains",1,46,50,0,1,1,99,303
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 166","Hammond Plains",0,39,44,0,4,0,87,211
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 167","English Corner",1,62,74,4,2,0,143,441
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 168","Hammond Plains",0,43,62,0,1,0,106,245
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 169","Halifax",2,33,85,1,6,0,127,515
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 170","Halifax",1,33,71,0,3,1,109,477
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 171","Halifax",1,35,71,2,8,0,117,479
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 172","Halifax",0,28,61,0,4,0,93,340
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 173","Halifax",4,51,110,2,6,2,175,404
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 174","Halifax",0,29,92,0,3,0,124,343
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 175","Halifax",3,57,91,0,1,0,152,482
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 176","Hammond Plains",3,57,66,0,1,0,127,375
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 177","Pockwock",8,69,95,1,10,0,183,567
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 178","English Corner",0,89,95,0,6,0,190,464
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 179","Halifax",2,53,67,0,1,1,124,479
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 180A","Halifax",1,32,59,1,5,0,98,409
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 180B","Halifax",0,10,47,1,1,0,59,82
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 181","Halifax",2,47,74,1,3,1,128,521
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 182","English Corner",1,42,68,0,3,1,115,360
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 183","Halifax",2,62,74,0,5,0,143,492
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 184A","Halifax",1,18,47,3,9,1,79,317
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 184B","Halifax",Combined with No./Résultats combinés à ceux du n°186B,,,,,,,45
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 185","Halifax",0,56,87,1,8,1,153,537
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 186A","Halifax",1,45,75,0,1,2,124,472
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 186B","Halifax",6,25,57,4,7,1,100,153
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 186C","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,8
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 187","Halifax",0,55,104,0,5,2,166,564
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 188A","Halifax",0,34,35,3,7,1,80,285
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 188B","Halifax",1,18,61,0,3,1,84,134
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 189","Halifax",1,32,52,2,4,1,92,389
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 190A","Halifax",0,15,22,2,2,0,41,130
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 190B","Halifax",0,25,95,1,4,0,125,236
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 190C","Halifax",4,27,66,0,5,0,102,224
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 191A","Halifax",0,24,118,2,4,0,148,248
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 191B","Halifax",1,39,96,0,11,1,148,250
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 400","Halifax",0,17,53,0,0,0,70,149
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 401","Halifax",0,8,32,0,2,0,42,88
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 402","Halifax",0,16,46,1,1,0,64,128
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 403","Halifax",0,17,73,0,2,0,92,150
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 500","Mobile poll/Bureau itinérant",0,13,18,4,5,0,40,11
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,18
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 502","Mobile poll/Bureau itinérant",4,2,10,0,4,0,20,17
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 503","Mobile poll/Bureau itinérant",2,20,46,3,5,0,76,24
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,62
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,59
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 600","Halifax",8,401,652,7,47,1,1116,
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 601","Fletchers Lake",13,447,860,6,28,3,1357,
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 602","Halifax",19,828,1715,4,56,6,2628,
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 603","Halifax",16,481,696,12,67,10,1282,
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 604","Halifax",20,606,1479,4,87,3,2199,
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 605","Halifax",11,257,624,5,54,3,954,
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 606","Halifax",10,629,1290,11,81,5,2026,
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 607","Halifax",7,640,1080,11,81,9,1828,
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 608","Pockwock",11,485,904,6,39,9,1454,
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 609","English Corner",6,362,776,8,26,3,1181,
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 610","Halifax",12,510,1150,17,88,6,1783,
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 611","Halifax",11,341,844,11,14,1,1222,
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 612","Halifax",14,336,837,11,52,9,1259,
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 613","Halifax",3,52,123,7,7,0,192,
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 614","Halifax",8,353,1417,14,34,10,1836,
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 615","Halifax",12,421,1638,8,38,7,2124,
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 616","Halifax",5,364,1060,11,38,10,1488,
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston"," 617","Halifax",17,494,1357,11,68,3,1950,
12009,"Sackville--Bedford--Preston/Sackville--Bedford--Preston",,Group 1/Groupe 1, 22,495,1143,14,59,117,1850,293
