Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Rebecca Alty,Rainbow Eyes,Kimberly Fairman,Kelvin Kotchilea,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
61001,"Northwest Territories/Territoires du Nord-Ouest"," 32","Yellowknife",52,0,35,13,1,101,451
61001,"Northwest Territories/Territoires du Nord-Ouest"," 33","Yellowknife",42,1,33,11,1,88,258
61001,"Northwest Territories/Territoires du Nord-Ouest"," 34","Yellowknife",88,1,51,20,3,163,488
61001,"Northwest Territories/Territoires du Nord-Ouest"," 35","Yellowknife",40,1,43,4,0,88,248
61001,"Northwest Territories/Territoires du Nord-Ouest"," 36","Yellowknife",138,3,103,21,1,266,644
61001,"Northwest Territories/Territoires du Nord-Ouest"," 37","Yellowknife",45,1,51,14,0,111,381
61001,"Northwest Territories/Territoires du Nord-Ouest"," 38","Edzo",Void/Supprimé,,,,,,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 39","Behchoko",76,4,17,37,1,135,186
61001,"Northwest Territories/Territoires du Nord-Ouest"," 40","Behchoko",38,0,10,22,3,73,153
61001,"Northwest Territories/Territoires du Nord-Ouest"," 41","Behchoko",127,7,35,93,6,268,906
61001,"Northwest Territories/Territoires du Nord-Ouest"," 42A","Fort Simpson",69,6,47,29,1,152,217
61001,"Northwest Territories/Territoires du Nord-Ouest"," 42B","Fort Simpson",57,2,37,19,1,116,101
61001,"Northwest Territories/Territoires du Nord-Ouest"," 43A","Fort Simpson",Combined with No./Résultats combinés à ceux du n°42A,,,,,,203
61001,"Northwest Territories/Territoires du Nord-Ouest"," 43B","Fort Simpson",Combined with No./Résultats combinés à ceux du n°42B,,,,,,114
61001,"Northwest Territories/Territoires du Nord-Ouest"," 44A","Fort Simpson",Combined with No./Résultats combinés à ceux du n°42A,,,,,,189
61001,"Northwest Territories/Territoires du Nord-Ouest"," 44B","Fort Simpson",Combined with No./Résultats combinés à ceux du n°42B,,,,,,82
61001,"Northwest Territories/Territoires du Nord-Ouest"," 45","Jean Marie River",14,0,3,3,1,21,29
61001,"Northwest Territories/Territoires du Nord-Ouest"," 46","Yellowknife",35,1,80,12,13,141,387
61001,"Northwest Territories/Territoires du Nord-Ouest"," 47","Yellowknife",88,1,43,6,0,138,447
61001,"Northwest Territories/Territoires du Nord-Ouest"," 48","Yellowknife",82,0,48,16,4,150,378
61001,"Northwest Territories/Territoires du Nord-Ouest"," 49","Yellowknife",40,3,37,10,1,91,312
61001,"Northwest Territories/Territoires du Nord-Ouest"," 50","Yellowknife",59,2,41,13,1,116,238
61001,"Northwest Territories/Territoires du Nord-Ouest"," 51","Yellowknife",92,2,68,10,0,172,345
61001,"Northwest Territories/Territoires du Nord-Ouest"," 52","Yellowknife",84,1,81,31,1,198,432
61001,"Northwest Territories/Territoires du Nord-Ouest"," 53","Yellowknife",56,1,78,18,0,153,358
61001,"Northwest Territories/Territoires du Nord-Ouest"," 54","Yellowknife",52,0,32,15,1,100,440
61001,"Northwest Territories/Territoires du Nord-Ouest"," 55","Yellowknife",61,4,25,18,0,108,367
61001,"Northwest Territories/Territoires du Nord-Ouest"," 56","Yellowknife",58,1,56,18,0,133,318
61001,"Northwest Territories/Territoires du Nord-Ouest"," 57","Yellowknife",70,1,27,13,0,111,245
61001,"Northwest Territories/Territoires du Nord-Ouest"," 58","Yellowknife",63,1,13,28,1,106,320
61001,"Northwest Territories/Territoires du Nord-Ouest"," 59","Yellowknife",74,0,44,10,2,130,370
61001,"Northwest Territories/Territoires du Nord-Ouest"," 60","Yellowknife",101,0,37,16,1,155,398
61001,"Northwest Territories/Territoires du Nord-Ouest"," 61","Yellowknife",97,1,46,13,5,162,451
61001,"Northwest Territories/Territoires du Nord-Ouest"," 62","Yellowknife",47,1,35,18,1,102,338
61001,"Northwest Territories/Territoires du Nord-Ouest"," 63","Yellowknife",69,1,34,19,2,125,564
61001,"Northwest Territories/Territoires du Nord-Ouest"," 64","Yellowknife",51,0,34,5,1,91,367
61001,"Northwest Territories/Territoires du Nord-Ouest"," 65","Yellowknife",22,0,15,2,1,40,154
61001,"Northwest Territories/Territoires du Nord-Ouest"," 66","Yellowknife",104,3,60,17,0,184,529
61001,"Northwest Territories/Territoires du Nord-Ouest"," 67","Yellowknife",56,4,38,5,1,104,436
61001,"Northwest Territories/Territoires du Nord-Ouest"," 68","Yellowknife",76,4,28,19,0,127,373
61001,"Northwest Territories/Territoires du Nord-Ouest"," 69","Yellowknife",54,1,41,15,1,112,391
61001,"Northwest Territories/Territoires du Nord-Ouest"," 70","Yellowknife",65,2,30,17,0,114,356
61001,"Northwest Territories/Territoires du Nord-Ouest"," 71","Yellowknife",88,1,57,18,5,169,466
61001,"Northwest Territories/Territoires du Nord-Ouest"," 72","Yellowknife",106,0,101,19,1,227,490
61001,"Northwest Territories/Territoires du Nord-Ouest"," 73","Yellowknife",59,0,76,27,1,163,427
61001,"Northwest Territories/Territoires du Nord-Ouest"," 74","Yellowknife",82,3,82,17,3,187,477
61001,"Northwest Territories/Territoires du Nord-Ouest"," 75","Detah",33,0,13,28,0,74,19
61001,"Northwest Territories/Territoires du Nord-Ouest"," 75-1","Detah",Combined with No./Résultats combinés à ceux du n°75,,,,,,106
61001,"Northwest Territories/Territoires du Nord-Ouest"," 76","Fort Liard",56,1,45,14,2,118,369
61001,"Northwest Territories/Territoires du Nord-Ouest"," 77","Fort Providence",Void/Supprimé,,,,,,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 78","Fort Providence",116,5,58,35,1,215,485
61001,"Northwest Territories/Territoires du Nord-Ouest"," 79","Trout Lake",11,1,9,11,0,32,59
61001,"Northwest Territories/Territoires du Nord-Ouest"," 80","Kakisa",4,0,2,5,0,11,19
61001,"Northwest Territories/Territoires du Nord-Ouest"," 81","Hay River Dene 1",18,0,12,5,0,35,160
61001,"Northwest Territories/Territoires du Nord-Ouest"," 82","Hay River",33,1,57,7,1,99,277
61001,"Northwest Territories/Territoires du Nord-Ouest"," 83","Hay River",61,1,55,5,0,122,350
61001,"Northwest Territories/Territoires du Nord-Ouest"," 84","Hay River",43,2,61,7,1,114,317
61001,"Northwest Territories/Territoires du Nord-Ouest"," 85A","Hay River",49,1,36,10,1,97,339
61001,"Northwest Territories/Territoires du Nord-Ouest"," 85B","Mobile poll/Bureau itinérant",2,0,2,1,0,5,9
61001,"Northwest Territories/Territoires du Nord-Ouest"," 86","Hay River",30,0,40,6,1,77,242
61001,"Northwest Territories/Territoires du Nord-Ouest"," 87","Hay River",39,0,54,6,1,100,285
61001,"Northwest Territories/Territoires du Nord-Ouest"," 88","Hay River",61,0,95,11,1,168,425
61001,"Northwest Territories/Territoires du Nord-Ouest"," 89","Hay River",24,1,93,4,1,123,345
61001,"Northwest Territories/Territoires du Nord-Ouest"," 90","Hay River",Void/Supprimé,,,,,,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 91","Fort Resolution",66,0,34,18,4,122,299
61001,"Northwest Territories/Territoires du Nord-Ouest"," 92","Enterprise",8,1,10,9,0,28,63
61001,"Northwest Territories/Territoires du Nord-Ouest"," 93","Lutselk'e",36,1,11,8,0,56,197
61001,"Northwest Territories/Territoires du Nord-Ouest"," 94","Reliance",Void/Supprimé,,,,,,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 95","Fort Smith",Void/Supprimé,,,,,,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 96","Fort Smith",Void/Supprimé,,,,,,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 97","Fort Smith",82,4,47,23,0,156,381
61001,"Northwest Territories/Territoires du Nord-Ouest"," 98","Fort Smith",87,1,40,18,1,147,260
61001,"Northwest Territories/Territoires du Nord-Ouest"," 99","Fort Smith",54,2,21,14,0,91,286
61001,"Northwest Territories/Territoires du Nord-Ouest"," 100","Fort Smith",81,0,42,34,0,157,392
61001,"Northwest Territories/Territoires du Nord-Ouest"," 101","Fort Smith",102,2,49,19,2,174,491
61001,"Northwest Territories/Territoires du Nord-Ouest"," 600","Sachs Harbour",Combined with No./Résultats combinés à ceux du n°606,,,,,,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 601","Mould Bay",Combined with No./Résultats combinés à ceux du n°606,,,,,,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 602","Ulukhaktok",Combined with No./Résultats combinés à ceux du n°606,,,,,,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 603","Paulatuk",Combined with No./Résultats combinés à ceux du n°606,,,,,,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 604","Cape Parry",Combined with No./Résultats combinés à ceux du n°606,,,,,,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 605","Tuktoyaktuk",Combined with No./Résultats combinés à ceux du n°606,,,,,,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 606","Inuvik",135,0,61,17,2,215,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 607","Aklavik",Combined with No./Résultats combinés à ceux du n°606,,,,,,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 608","Fort McPherson",Combined with No./Résultats combinés à ceux du n°606,,,,,,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 609","Tsiigehtchic",Combined with No./Résultats combinés à ceux du n°606,,,,,,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 610","Fort Good Hope",Combined with No./Résultats combinés à ceux du n°612,,,,,,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 611","Colville Lake",Combined with No./Résultats combinés à ceux du n°612,,,,,,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 612","Norman Wells",32,0,33,6,0,71,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 613","Déline",Combined with No./Résultats combinés à ceux du n°612,,,,,,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 614","Tulita",Combined with No./Résultats combinés à ceux du n°612,,,,,,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 615","Gamètì",Combined with No./Résultats combinés à ceux du n°622,,,,,,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 616","Wekweètì",Combined with No./Résultats combinés à ceux du n°622,,,,,,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 617","Discovery",Combined with No./Résultats combinés à ceux du n°619,,,,,,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 618","Detah",Combined with No./Résultats combinés à ceux du n°621,,,,,,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 619","Yellowknife",494,5,290,59,2,850,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 620","Yellowknife",586,5,226,87,2,906,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 621","Yellowknife",309,0,254,48,2,613,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 622","Behchoko",23,1,10,12,1,47,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 623","Fort Providence",Combined with No./Résultats combinés à ceux du n°622,,,,,,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 624","Wha Ti",Combined with No./Résultats combinés à ceux du n°622,,,,,,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 625","Wrigley",Combined with No./Résultats combinés à ceux du n°628,,,,,,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 626","Nahanni Butte",Combined with No./Résultats combinés à ceux du n°628,,,,,,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 627","Fort Liard",Combined with No./Résultats combinés à ceux du n°628,,,,,,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 628","Fort Simpson",88,2,59,19,2,170,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 629","Jean Marie River",Combined with No./Résultats combinés à ceux du n°628,,,,,,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 630","Trout Lake",Combined with No./Résultats combinés à ceux du n°628,,,,,,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 631","Kakisa",Combined with No./Résultats combinés à ceux du n°633,,,,,,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 632","Enterprise",Combined with No./Résultats combinés à ceux du n°633,,,,,,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 633","Hay River",250,3,235,37,6,531,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 634","Hay River Dene 1",Combined with No./Résultats combinés à ceux du n°633,,,,,,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 635","Fort Resolution",Combined with No./Résultats combinés à ceux du n°633,,,,,,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 636","Fort Smith",204,5,69,34,0,312,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 637","Lutselk'e",Combined with No./Résultats combinés à ceux du n°621,,,,,,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 638","Reliance",Combined with No./Résultats combinés à ceux du n°621,,,,,,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 639","Fort Smith",Void/Supprimé,,,,,,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 640","Behchokò",Void/Supprimé,,,,,,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 641","Fort Simpson",Void/Supprimé,,,,,,
61001,"Northwest Territories/Territoires du Nord-Ouest"," 642","Fort Smith",Void/Supprimé,,,,,,
61001,"Northwest Territories/Territoires du Nord-Ouest",,Group 1/Groupe 1, 274,8,178,57,33,550,135
61001,"Northwest Territories/Territoires du Nord-Ouest",,Group 2/Groupe 2, 1177,18,597,231,19,2042,
