Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Nicholas Bonderoff,Viviane Lapointe,Ian Symington,Nadia Verrelli,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35103,"Sudbury/Sudbury"," 84","Greater Sudbury / Grand Sudbury",3,69,42,19,1,134,366
35103,"Sudbury/Sudbury"," 85","Greater Sudbury / Grand Sudbury",1,43,47,16,0,107,372
35103,"Sudbury/Sudbury"," 86","Greater Sudbury / Grand Sudbury",4,63,56,13,0,136,353
35103,"Sudbury/Sudbury"," 87","Greater Sudbury / Grand Sudbury",1,84,30,25,0,140,322
35103,"Sudbury/Sudbury"," 88","Greater Sudbury / Grand Sudbury",3,79,65,18,2,167,439
35103,"Sudbury/Sudbury"," 89","Greater Sudbury / Grand Sudbury",3,78,49,23,0,153,397
35103,"Sudbury/Sudbury"," 90","Greater Sudbury / Grand Sudbury",1,70,41,23,3,138,428
35103,"Sudbury/Sudbury"," 91","Greater Sudbury / Grand Sudbury",5,84,100,29,2,220,520
35103,"Sudbury/Sudbury"," 92","Greater Sudbury / Grand Sudbury",1,102,81,11,3,198,493
35103,"Sudbury/Sudbury"," 93","Greater Sudbury / Grand Sudbury",1,106,83,19,0,209,449
35103,"Sudbury/Sudbury"," 94","Greater Sudbury / Grand Sudbury",2,48,60,10,0,120,366
35103,"Sudbury/Sudbury"," 95","Greater Sudbury / Grand Sudbury",1,91,99,17,1,209,473
35103,"Sudbury/Sudbury"," 96","Greater Sudbury / Grand Sudbury",4,72,100,18,2,196,437
35103,"Sudbury/Sudbury"," 97","Greater Sudbury / Grand Sudbury",2,87,90,6,0,185,394
35103,"Sudbury/Sudbury"," 98","Greater Sudbury / Grand Sudbury",5,63,68,15,0,151,398
35103,"Sudbury/Sudbury"," 99","Greater Sudbury / Grand Sudbury",2,104,58,22,0,186,385
35103,"Sudbury/Sudbury"," 100","Greater Sudbury / Grand Sudbury",2,86,48,23,0,159,402
35103,"Sudbury/Sudbury"," 101","Greater Sudbury / Grand Sudbury",1,79,48,16,0,144,382
35103,"Sudbury/Sudbury"," 102","Greater Sudbury / Grand Sudbury",4,55,70,13,0,142,353
35103,"Sudbury/Sudbury"," 103","Greater Sudbury / Grand Sudbury",1,79,76,14,0,170,408
35103,"Sudbury/Sudbury"," 104","Greater Sudbury / Grand Sudbury",4,98,68,19,1,190,449
35103,"Sudbury/Sudbury"," 105","Greater Sudbury / Grand Sudbury",5,89,76,24,1,195,465
35103,"Sudbury/Sudbury"," 106","Greater Sudbury / Grand Sudbury",2,42,40,14,1,99,366
35103,"Sudbury/Sudbury"," 107","Greater Sudbury / Grand Sudbury",11,94,93,24,0,222,589
35103,"Sudbury/Sudbury"," 108","Greater Sudbury / Grand Sudbury",8,54,58,20,3,143,490
35103,"Sudbury/Sudbury"," 109","Greater Sudbury / Grand Sudbury",0,56,57,13,2,128,451
35103,"Sudbury/Sudbury"," 110","Greater Sudbury / Grand Sudbury",4,49,54,8,0,115,373
35103,"Sudbury/Sudbury"," 111","Greater Sudbury / Grand Sudbury",4,52,42,24,1,123,469
35103,"Sudbury/Sudbury"," 112","Greater Sudbury / Grand Sudbury",1,50,60,20,5,136,463
35103,"Sudbury/Sudbury"," 113","Greater Sudbury / Grand Sudbury",4,53,30,9,0,96,313
35103,"Sudbury/Sudbury"," 114","Greater Sudbury / Grand Sudbury",2,37,24,11,0,74,289
35103,"Sudbury/Sudbury"," 115","Greater Sudbury / Grand Sudbury",2,47,21,5,1,76,374
35103,"Sudbury/Sudbury"," 116","Greater Sudbury / Grand Sudbury",2,29,26,5,0,62,293
35103,"Sudbury/Sudbury"," 117A","Greater Sudbury / Grand Sudbury",2,47,45,3,2,99,293
35103,"Sudbury/Sudbury"," 117B","Greater Sudbury / Grand Sudbury",1,21,19,8,4,53,145
35103,"Sudbury/Sudbury"," 118","Greater Sudbury / Grand Sudbury",0,31,39,10,0,80,435
35103,"Sudbury/Sudbury"," 119","Greater Sudbury / Grand Sudbury",5,63,52,21,0,141,452
35103,"Sudbury/Sudbury"," 120","Greater Sudbury / Grand Sudbury",0,49,62,11,2,124,399
35103,"Sudbury/Sudbury"," 121","Greater Sudbury / Grand Sudbury",3,73,61,18,0,155,459
35103,"Sudbury/Sudbury"," 122","Greater Sudbury / Grand Sudbury",2,71,45,17,0,135,421
35103,"Sudbury/Sudbury"," 123","Greater Sudbury / Grand Sudbury",2,68,50,11,0,131,407
35103,"Sudbury/Sudbury"," 124","Greater Sudbury / Grand Sudbury",3,81,74,26,0,184,500
35103,"Sudbury/Sudbury"," 125","Greater Sudbury / Grand Sudbury",1,58,51,20,0,130,344
35103,"Sudbury/Sudbury"," 126","Greater Sudbury / Grand Sudbury",1,80,72,11,0,164,429
35103,"Sudbury/Sudbury"," 127","Greater Sudbury / Grand Sudbury",0,78,76,10,1,165,416
35103,"Sudbury/Sudbury"," 128","Greater Sudbury / Grand Sudbury",3,57,59,13,1,133,328
35103,"Sudbury/Sudbury"," 129","Greater Sudbury / Grand Sudbury",2,49,52,14,0,117,375
35103,"Sudbury/Sudbury"," 130","Greater Sudbury / Grand Sudbury",5,119,109,9,3,245,401
35103,"Sudbury/Sudbury"," 131","Greater Sudbury / Grand Sudbury",4,156,136,27,2,325,540
35103,"Sudbury/Sudbury"," 132","Greater Sudbury / Grand Sudbury",1,148,95,20,5,269,468
35103,"Sudbury/Sudbury"," 133","Greater Sudbury / Grand Sudbury",1,39,54,16,1,111,304
35103,"Sudbury/Sudbury"," 134","Greater Sudbury / Grand Sudbury",1,33,48,11,0,93,335
35103,"Sudbury/Sudbury"," 135","Greater Sudbury / Grand Sudbury",0,49,32,12,0,93,293
35103,"Sudbury/Sudbury"," 136","Greater Sudbury / Grand Sudbury",1,98,53,11,0,163,412
35103,"Sudbury/Sudbury"," 137","Greater Sudbury / Grand Sudbury",2,92,39,18,0,151,387
35103,"Sudbury/Sudbury"," 138","Greater Sudbury / Grand Sudbury",1,75,36,5,0,117,314
35103,"Sudbury/Sudbury"," 139","Greater Sudbury / Grand Sudbury",1,80,75,10,2,168,472
35103,"Sudbury/Sudbury"," 140","Greater Sudbury / Grand Sudbury",1,83,68,9,0,161,451
35103,"Sudbury/Sudbury"," 141","Greater Sudbury / Grand Sudbury",1,96,19,6,0,122,360
35103,"Sudbury/Sudbury"," 142","Greater Sudbury / Grand Sudbury",2,111,57,13,3,186,386
35103,"Sudbury/Sudbury"," 143","Greater Sudbury / Grand Sudbury",1,83,49,4,0,137,373
35103,"Sudbury/Sudbury"," 144","Greater Sudbury / Grand Sudbury",1,81,77,16,0,175,350
35103,"Sudbury/Sudbury"," 145","Greater Sudbury / Grand Sudbury",1,78,43,13,0,135,341
35103,"Sudbury/Sudbury"," 146","Greater Sudbury / Grand Sudbury",1,57,77,15,0,150,393
35103,"Sudbury/Sudbury"," 147","Greater Sudbury / Grand Sudbury",5,69,58,23,1,156,406
35103,"Sudbury/Sudbury"," 148","Greater Sudbury / Grand Sudbury",0,76,42,17,0,135,324
35103,"Sudbury/Sudbury"," 149","Greater Sudbury / Grand Sudbury",3,53,82,10,1,149,374
35103,"Sudbury/Sudbury"," 150","Greater Sudbury / Grand Sudbury",1,127,128,10,6,272,554
35103,"Sudbury/Sudbury"," 151","Greater Sudbury / Grand Sudbury",1,107,75,14,1,198,408
35103,"Sudbury/Sudbury"," 152","Greater Sudbury / Grand Sudbury",1,76,64,10,4,155,408
35103,"Sudbury/Sudbury"," 153A","Greater Sudbury / Grand Sudbury",3,120,49,10,0,182,371
35103,"Sudbury/Sudbury"," 153B","Greater Sudbury / Grand Sudbury",3,69,45,12,0,129,325
35103,"Sudbury/Sudbury"," 154","Greater Sudbury / Grand Sudbury",7,118,90,24,3,242,443
35103,"Sudbury/Sudbury"," 155","Greater Sudbury / Grand Sudbury",4,80,84,14,2,184,557
35103,"Sudbury/Sudbury"," 156","Greater Sudbury / Grand Sudbury",6,72,59,15,0,152,424
35103,"Sudbury/Sudbury"," 157","Greater Sudbury / Grand Sudbury",5,80,90,39,0,214,412
35103,"Sudbury/Sudbury"," 158","Greater Sudbury / Grand Sudbury",2,54,33,3,0,92,305
35103,"Sudbury/Sudbury"," 159","Greater Sudbury / Grand Sudbury",4,60,53,23,1,141,477
35103,"Sudbury/Sudbury"," 160","Greater Sudbury / Grand Sudbury",4,112,76,20,4,216,464
35103,"Sudbury/Sudbury"," 161","Greater Sudbury / Grand Sudbury",1,85,71,12,0,169,371
35103,"Sudbury/Sudbury"," 162","Greater Sudbury / Grand Sudbury",1,99,74,8,0,182,417
35103,"Sudbury/Sudbury"," 163","Greater Sudbury / Grand Sudbury",1,100,92,8,4,205,492
35103,"Sudbury/Sudbury"," 164","Greater Sudbury / Grand Sudbury",5,70,66,4,1,146,312
35103,"Sudbury/Sudbury"," 165","Greater Sudbury / Grand Sudbury",1,133,72,8,1,215,455
35103,"Sudbury/Sudbury"," 166","Greater Sudbury / Grand Sudbury",0,101,54,2,0,157,310
35103,"Sudbury/Sudbury"," 167","Greater Sudbury / Grand Sudbury",3,101,144,12,3,263,564
35103,"Sudbury/Sudbury"," 168","Greater Sudbury / Grand Sudbury",1,135,84,8,1,229,466
35103,"Sudbury/Sudbury"," 169","Greater Sudbury / Grand Sudbury",2,107,79,16,1,205,406
35103,"Sudbury/Sudbury"," 170","Greater Sudbury / Grand Sudbury",5,111,122,14,0,252,525
35103,"Sudbury/Sudbury"," 171A","Greater Sudbury / Grand Sudbury",1,42,71,12,2,128,318
35103,"Sudbury/Sudbury"," 171B","Greater Sudbury / Grand Sudbury",2,59,77,17,0,155,328
35103,"Sudbury/Sudbury"," 172","Greater Sudbury / Grand Sudbury",0,73,115,12,0,200,420
35103,"Sudbury/Sudbury"," 173","Greater Sudbury / Grand Sudbury",1,115,107,8,2,233,483
35103,"Sudbury/Sudbury"," 174","Greater Sudbury / Grand Sudbury",1,103,123,19,1,247,466
35103,"Sudbury/Sudbury"," 175","Greater Sudbury / Grand Sudbury",1,86,81,12,0,180,396
35103,"Sudbury/Sudbury"," 176","Greater Sudbury / Grand Sudbury",2,81,118,10,0,211,433
35103,"Sudbury/Sudbury"," 177","Greater Sudbury / Grand Sudbury",1,69,96,6,1,173,420
35103,"Sudbury/Sudbury"," 178","Estaire",0,20,28,3,1,52,148
35103,"Sudbury/Sudbury"," 179","Greater Sudbury / Grand Sudbury",4,65,94,16,2,181,448
35103,"Sudbury/Sudbury"," 180","Greater Sudbury / Grand Sudbury",4,62,99,23,1,189,425
35103,"Sudbury/Sudbury"," 181","Greater Sudbury / Grand Sudbury",0,109,127,21,1,258,485
35103,"Sudbury/Sudbury"," 182","Greater Sudbury / Grand Sudbury",3,63,57,16,0,139,292
35103,"Sudbury/Sudbury"," 183A","Greater Sudbury / Grand Sudbury",2,75,62,9,2,150,312
35103,"Sudbury/Sudbury"," 183B","Greater Sudbury / Grand Sudbury",1,85,58,4,0,148,303
35103,"Sudbury/Sudbury"," 184","Greater Sudbury / Grand Sudbury",6,110,128,14,0,258,506
35103,"Sudbury/Sudbury"," 185A","Greater Sudbury / Grand Sudbury",6,41,51,9,0,107,355
35103,"Sudbury/Sudbury"," 185B","Greater Sudbury / Grand Sudbury",1,41,43,10,0,95,291
35103,"Sudbury/Sudbury"," 186","Greater Sudbury / Grand Sudbury",2,93,84,13,0,192,535
35103,"Sudbury/Sudbury"," 187","Greater Sudbury / Grand Sudbury",1,80,66,14,1,162,444
35103,"Sudbury/Sudbury"," 188","Greater Sudbury / Grand Sudbury",0,63,81,9,1,154,453
35103,"Sudbury/Sudbury"," 189","Greater Sudbury / Grand Sudbury",0,66,78,11,2,157,383
35103,"Sudbury/Sudbury"," 190","Greater Sudbury / Grand Sudbury",2,125,86,9,0,222,544
35103,"Sudbury/Sudbury"," 191","Greater Sudbury / Grand Sudbury",3,93,80,7,6,189,519
35103,"Sudbury/Sudbury"," 192","Greater Sudbury / Grand Sudbury",1,118,110,10,2,241,575
35103,"Sudbury/Sudbury"," 193","Greater Sudbury / Grand Sudbury",2,79,90,3,0,174,503
35103,"Sudbury/Sudbury"," 194","Greater Sudbury / Grand Sudbury",2,86,86,11,2,187,441
35103,"Sudbury/Sudbury"," 195","Greater Sudbury / Grand Sudbury",8,65,79,11,0,163,443
35103,"Sudbury/Sudbury"," 196","Greater Sudbury / Grand Sudbury",0,93,106,11,0,210,412
35103,"Sudbury/Sudbury"," 197","Greater Sudbury / Grand Sudbury",3,135,107,8,3,256,544
35103,"Sudbury/Sudbury"," 400","Greater Sudbury / Grand Sudbury",0,24,15,3,2,44,153
35103,"Sudbury/Sudbury"," 401","Greater Sudbury / Grand Sudbury",2,16,20,8,0,46,157
35103,"Sudbury/Sudbury"," 402","Greater Sudbury / Grand Sudbury",5,77,33,15,4,134,464
35103,"Sudbury/Sudbury"," 403","Greater Sudbury / Grand Sudbury",2,16,6,8,1,33,229
35103,"Sudbury/Sudbury"," 404","Greater Sudbury / Grand Sudbury",3,46,25,12,3,89,146
35103,"Sudbury/Sudbury"," 405","Greater Sudbury / Grand Sudbury",1,42,7,4,0,54,107
35103,"Sudbury/Sudbury"," 406","Greater Sudbury / Grand Sudbury",3,54,15,18,0,90,140
35103,"Sudbury/Sudbury"," 407","Greater Sudbury / Grand Sudbury",4,56,48,23,0,131,433
35103,"Sudbury/Sudbury"," 408","Greater Sudbury / Grand Sudbury",0,12,10,3,0,25,107
35103,"Sudbury/Sudbury"," 409","Greater Sudbury / Grand Sudbury",1,25,21,6,0,53,163
35103,"Sudbury/Sudbury"," 410","Greater Sudbury / Grand Sudbury",0,32,13,7,1,53,102
35103,"Sudbury/Sudbury"," 411","Greater Sudbury / Grand Sudbury",0,63,14,10,2,89,139
35103,"Sudbury/Sudbury"," 412","Greater Sudbury / Grand Sudbury",3,40,15,12,0,70,136
35103,"Sudbury/Sudbury"," 413","Greater Sudbury / Grand Sudbury",1,64,41,13,1,120,172
35103,"Sudbury/Sudbury"," 414","Greater Sudbury / Grand Sudbury",2,40,30,21,2,95,287
35103,"Sudbury/Sudbury"," 415","Greater Sudbury / Grand Sudbury",0,94,30,6,1,131,162
35103,"Sudbury/Sudbury"," 416","Greater Sudbury / Grand Sudbury",4,78,47,14,9,152,211
35103,"Sudbury/Sudbury"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,77
35103,"Sudbury/Sudbury"," 501","Mobile poll/Bureau itinérant",1,70,14,10,6,101,83
35103,"Sudbury/Sudbury"," 502","Greater Sudbury / Grand Sudbury",8,43,22,11,4,88,86
35103,"Sudbury/Sudbury"," 503","Mobile poll/Bureau itinérant",5,150,43,16,2,216,181
35103,"Sudbury/Sudbury"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,157
35103,"Sudbury/Sudbury"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,36
35103,"Sudbury/Sudbury"," 506","Greater Sudbury / Grand Sudbury",2,110,51,18,5,186,389
35103,"Sudbury/Sudbury"," 507","Mobile poll/Bureau itinérant",1,45,13,7,3,69,61
35103,"Sudbury/Sudbury"," 508","Mobile poll/Bureau itinérant",1,47,23,16,4,91,315
35103,"Sudbury/Sudbury"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,20
35103,"Sudbury/Sudbury"," 510","Mobile poll/Bureau itinérant",3,38,14,11,4,70,142
35103,"Sudbury/Sudbury"," 511","Mobile poll/Bureau itinérant",No poll held/Pas de scrutin,,,,,,2
35103,"Sudbury/Sudbury"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,53
35103,"Sudbury/Sudbury"," 513","Mobile poll/Bureau itinérant",4,79,20,14,5,122,98
35103,"Sudbury/Sudbury"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°47B,,,,,,9
35103,"Sudbury/Sudbury"," 515","Mobile poll/Bureau itinérant",1,46,25,9,5,86,77
35103,"Sudbury/Sudbury"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,90
35103,"Sudbury/Sudbury"," 600","Greater Sudbury / Grand Sudbury",7,458,479,69,4,1017,
35103,"Sudbury/Sudbury"," 601","Sudbury, Unorganized, North Part",27,578,576,100,3,1284,
35103,"Sudbury/Sudbury"," 602","Greater Sudbury / Grand Sudbury",12,605,555,92,9,1273,
35103,"Sudbury/Sudbury"," 603","Greater Sudbury / Grand Sudbury",17,1118,563,63,10,1771,
35103,"Sudbury/Sudbury"," 604","Greater Sudbury / Grand Sudbury",10,1053,530,88,14,1695,
35103,"Sudbury/Sudbury"," 605","Greater Sudbury / Grand Sudbury",10,1013,580,84,12,1699,
35103,"Sudbury/Sudbury"," 606","Greater Sudbury / Grand Sudbury",13,969,616,119,15,1732,
35103,"Sudbury/Sudbury"," 607","Greater Sudbury / Grand Sudbury",9,834,506,50,3,1402,
35103,"Sudbury/Sudbury"," 608","Killarney",13,1355,859,69,15,2311,
35103,"Sudbury/Sudbury"," 609","Greater Sudbury / Grand Sudbury",13,826,458,65,5,1367,
35103,"Sudbury/Sudbury"," 610","Greater Sudbury / Grand Sudbury",7,871,400,84,6,1368,
35103,"Sudbury/Sudbury"," 611","Greater Sudbury / Grand Sudbury",18,572,387,119,7,1103,
35103,"Sudbury/Sudbury"," 612","Greater Sudbury / Grand Sudbury",19,426,272,94,5,816,
35103,"Sudbury/Sudbury"," 613","Greater Sudbury / Grand Sudbury",13,641,374,98,0,1126,
35103,"Sudbury/Sudbury"," 614","Greater Sudbury / Grand Sudbury",14,1063,708,86,12,1883,
35103,"Sudbury/Sudbury"," 615","Greater Sudbury / Grand Sudbury",4,600,394,51,2,1051,
35103,"Sudbury/Sudbury",,Group 1/Groupe 1, 7,372,169,44,57,649,239
35103,"Sudbury/Sudbury",,Group 2/Groupe 2, 13,1244,728,166,63,2214,
