Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Maya Bozorgzad,Kevin Dupuis,Tim Louis,Doug Treleaven,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 19","Woolwich",7,4,83,96,2,192,458
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 20","Woolwich",16,1,80,116,0,213,538
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 21","Woolwich",2,3,81,121,0,207,500
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 22","Woolwich",3,3,91,124,1,222,408
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 23","Woolwich",5,3,93,128,0,229,534
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 24","Linwood",1,1,58,103,0,163,360
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 25","Wellesley",0,0,19,35,0,54,375
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 26","Wellesley",10,4,65,123,0,202,369
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 27","Maryhill",3,1,78,112,0,194,366
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 28","Maryhill",4,2,58,75,1,140,315
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 29","Winterbourne",7,0,77,91,0,175,366
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 30","Bloomingdale",4,1,67,104,0,176,365
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 31","Maryhill",2,1,69,131,0,203,378
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 32","Maryhill",3,1,83,93,0,180,481
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 33","Wellesley",4,5,46,105,1,161,428
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 34","Wellesley",0,0,12,29,1,42,392
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 35","Winterbourne",2,1,61,84,0,148,376
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 36","West Montrose",8,1,131,140,0,280,489
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 37","Woolwich",2,0,78,82,0,162,318
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 38","Woolwich",3,1,42,58,0,104,329
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 39","Woolwich",5,5,67,96,0,173,438
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 40","Woolwich",2,0,57,73,0,132,484
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 41","Woolwich",4,1,85,94,0,184,498
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 42","Woolwich",8,3,42,46,0,99,397
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 43","Breslau",6,4,61,128,1,200,266
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 44","Woolwich",11,4,104,190,1,310,591
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 45","Woolwich",6,5,111,176,0,298,537
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 46","Breslau",7,3,41,59,1,111,235
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 47","Wellesley",1,1,58,59,0,119,344
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 48","Wellesley",7,0,91,98,0,196,375
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 49","Wellesley",3,5,94,117,2,221,327
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 50","Wellesley",8,5,120,154,2,289,397
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 51","Wellesley",5,4,63,121,0,193,336
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 52","Wellesley",6,1,48,73,0,128,357
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 53","Wellesley",1,0,29,66,0,96,369
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 54","Wellesley",6,3,64,67,0,140,360
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 55","Woolwich",12,3,115,129,1,260,531
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 56","Woolwich",12,3,122,198,1,336,564
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 57","Woolwich",12,3,148,155,2,320,532
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 58A","Woolwich",9,4,86,122,0,221,464
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 58B","Woolwich",Combined with No./Résultats combinés à ceux du n°43,,,,,,198
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 59","Wellesley",1,1,21,83,0,106,405
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 60","Wellesley",7,1,86,101,1,196,506
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 61","Wellesley",4,3,61,88,0,156,455
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 62","Wellesley",1,6,54,70,0,131,371
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 63","Wellesley",5,7,68,94,1,175,482
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 64","Wellesley",6,4,75,104,0,189,505
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 65","Wellesley",5,1,65,110,0,181,487
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 66","Wilmot",4,6,92,116,0,218,399
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 67","Wilmot",5,5,66,140,2,218,453
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 68","Kitchener",5,2,105,68,1,181,465
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 69","Kitchener",5,4,150,132,4,295,522
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 70","Kitchener",9,7,82,102,1,201,553
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 71","Kitchener",10,3,81,71,0,165,551
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 72","Kitchener",7,4,80,84,0,175,554
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 73","Kitchener",5,1,93,64,0,163,427
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 74","Kitchener",12,3,96,91,1,203,464
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 75","Kitchener",8,1,73,77,0,159,479
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 76","Kitchener",6,1,97,100,0,204,565
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 77","Kitchener",8,5,111,92,1,217,534
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 78","Kitchener",4,6,109,111,1,231,567
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 79","Kitchener",13,5,78,81,0,177,494
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 80","Kitchener",8,11,82,87,0,188,594
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 81","Kitchener",9,3,117,97,3,229,545
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 82","Kitchener",5,7,108,76,0,196,527
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 83","Kitchener",4,4,99,93,0,200,469
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 84","Kitchener",9,2,105,107,2,225,502
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 85","Kitchener",5,4,119,125,1,254,567
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 86","Kitchener",17,2,118,107,1,245,533
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 87","Kitchener",9,6,110,97,0,222,523
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 88","Kitchener",8,2,109,94,1,214,502
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 89","Kitchener",6,0,76,106,1,189,514
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 90","Kitchener",4,0,105,107,2,218,468
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 91","Kitchener",8,5,140,108,0,261,555
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 92","Kitchener",2,8,108,94,1,213,526
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 93","Kitchener",Combined with No./Résultats combinés à ceux du n°94,,,,,,273
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 94","Kitchener",0,0,98,105,2,205,271
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 95","Kitchener",11,1,63,60,0,135,419
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 96","Kitchener",4,1,69,69,1,144,356
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 97A","Kitchener",8,3,85,82,1,179,441
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 97B","Kitchener",10,2,58,56,1,127,391
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 98","Kitchener",13,1,111,103,0,228,507
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 99","Kitchener",3,2,75,88,0,168,479
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 100","Kitchener",7,2,91,92,0,192,604
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 101","Kitchener",9,1,90,84,0,184,529
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 102","Kitchener",8,2,105,75,0,190,493
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 103","Kitchener",14,4,108,97,0,223,549
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 104","Kitchener",4,0,84,96,0,184,486
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 105","Kitchener",6,2,122,86,0,216,574
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 106","Kitchener",9,2,90,83,1,185,553
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 107","Kitchener",3,7,103,76,2,191,559
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 108","Kitchener",5,4,123,91,1,224,614
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 109","Kitchener",8,4,107,125,1,245,521
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 110","Kitchener",10,5,114,105,1,235,515
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 111","Kitchener",8,3,103,113,0,227,465
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 112","Kitchener",11,3,116,119,4,253,535
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 113","Kitchener",4,5,113,102,1,225,454
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 114","Kitchener",13,4,97,84,1,199,503
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 115","Kitchener",8,5,100,95,2,210,496
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 116","Kitchener",7,5,90,70,1,173,426
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 117","Kitchener",10,5,78,109,0,202,422
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 118","Kitchener",8,5,130,150,1,294,587
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 119","Kitchener",7,4,90,129,2,232,501
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 120","Kitchener",7,5,111,115,0,238,502
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 121","Kitchener",6,5,74,97,1,183,396
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 122","Kitchener",6,4,115,165,3,293,570
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 123","Kitchener",7,5,105,128,0,245,460
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 124","Kitchener",13,8,117,155,0,293,567
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 125","Kitchener",6,1,126,147,1,281,586
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 126","Kitchener",11,2,115,137,1,266,490
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 127","Kitchener",10,0,150,103,0,263,559
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 128","Kitchener",9,5,120,115,1,250,591
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 129","Kitchener",7,2,112,144,4,269,592
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 130","Kitchener",10,4,102,148,2,266,552
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 131","Kitchener",3,5,102,119,1,230,550
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 132","Kitchener",5,2,77,110,2,196,493
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 133","Kitchener",8,1,80,96,0,185,530
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 134","Wilmot",7,4,110,123,1,245,376
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 135","St. Agatha",10,2,76,103,2,193,455
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 136","Wilmot",4,1,73,78,0,156,321
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 137","Wilmot",6,5,38,84,0,133,371
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 138","Kitchener",10,2,81,87,1,181,491
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 139A","Kitchener",3,1,53,66,0,123,360
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 139B","Kitchener",6,2,49,54,0,111,341
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 140","Mannheim",1,0,55,67,0,123,406
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 141","Wilmot",1,4,54,65,0,124,455
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 142","Wilmot",2,1,77,45,1,126,435
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 143A","Kitchener",6,0,107,87,3,203,473
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 143B","Kitchener",2,2,80,96,3,183,418
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 144","Kitchener",4,1,80,97,0,182,514
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 145","Kitchener",4,0,77,115,1,197,496
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 146","Kitchener",6,1,98,99,3,207,559
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 147A","Kitchener",3,1,56,88,1,149,338
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 147B","Kitchener",1,3,34,60,0,98,312
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 148","Wilmot",4,2,76,90,0,172,511
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 149","Wilmot",6,2,80,103,0,191,534
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 150","Wilmot",4,3,76,86,1,170,510
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 151","Wilmot",8,3,87,84,0,182,556
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 152","Wilmot",7,5,47,98,0,157,406
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 153","Wilmot",23,3,68,92,0,186,530
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 154","Wilmot",11,3,78,89,0,181,509
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 155","Wilmot",12,4,53,116,1,186,491
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 156","Wilmot",10,2,100,110,4,226,524
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 157","Wilmot",15,0,69,137,1,222,564
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 158","Wilmot",12,9,92,110,2,225,531
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 159","Wilmot",2,2,84,116,1,205,514
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 160","Wilmot",8,2,55,53,0,118,367
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 161","Wilmot",11,6,99,114,0,230,507
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 162","Wilmot",6,2,83,120,1,212,518
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 163","Wilmot",3,3,82,43,2,133,365
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 164","Wilmot",11,4,80,53,0,148,348
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 165","New Dundee",8,6,93,152,1,260,398
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 166","New Dundee",11,3,105,117,0,236,394
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 167","New Dundee",10,6,86,120,1,223,392
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 168","Wilmot",1,0,91,45,1,138,444
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 169","Wilmot",3,0,105,41,0,149,503
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 170","Wilmot",4,1,47,68,1,121,356
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 171","Wilmot",8,0,76,111,1,196,565
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 172","Wilmot",8,1,81,92,0,182,494
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 173","Wilmot",7,4,76,115,0,202,502
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 174","Wilmot",5,2,52,86,0,145,366
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 175","Wilmot",6,3,63,90,0,162,383
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 176","Wilmot",6,0,59,66,0,131,303
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 400A","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,52
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 400B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,64
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,27
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 501","Mobile poll/Bureau itinérant",7,3,32,29,1,72,37
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,74
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,57
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,35
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 505","Mobile poll/Bureau itinérant",17,5,73,29,1,125,88
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,59
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 507","Mobile poll/Bureau itinérant",5,2,46,20,6,79,146
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 508","Mobile poll/Bureau itinérant",8,3,47,25,0,83,83
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,62
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 510","Mobile poll/Bureau itinérant",4,7,69,35,1,116,144
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 600","Elmira",25,16,863,808,4,1716,
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 601","Woolwich",45,14,962,791,2,1814,
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 602","Woolwich",7,6,420,398,1,832,
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 603","Woolwich",21,9,518,662,7,1217,
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 604","Woolwich",23,7,692,533,4,1259,
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 605","Wellesley",6,3,143,224,3,379,
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 606","Wellesley",29,12,736,816,4,1597,
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 607","New Dundee",8,9,437,329,2,785,
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 608","New Hamburg",51,18,1032,857,6,1964,
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 609","Baden",53,26,1423,1091,6,2599,
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 610","New Dundee",11,7,340,426,2,786,
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 611","New Dundee",Combined with No./Résultats combinés à ceux du n°610,,,,,,
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 612","Kitchener",22,7,721,464,5,1219,
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 613","Kitchener",34,13,751,476,11,1285,
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 614","Kitchener",54,20,832,393,2,1301,
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 615","Kitchener",66,14,955,570,2,1607,
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 616","Kitchener",42,20,1145,629,5,1841,
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 617","Kitchener",24,13,395,362,4,798,
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 618","Kitchener",19,3,439,365,1,827,
35049,"Kitchener--Conestoga/Kitchener--Conestoga"," 619","Wilmot",40,11,799,777,1,1628,
35049,"Kitchener--Conestoga/Kitchener--Conestoga",,Group 1/Groupe 1, 18,5,421,267,46,757,298
35049,"Kitchener--Conestoga/Kitchener--Conestoga",,Group 2/Groupe 2, 25,12,898,476,32,1443,
