Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Erica Charlton,Kate Crothers,Chris Malette,Ryan Williams,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35006,"Bay of Quinte/Bay of Quinte"," 173","Quinte West",4,7,47,116,1,175,534
35006,"Bay of Quinte/Bay of Quinte"," 174","Prince Edward County",1,4,78,135,2,220,486
35006,"Bay of Quinte/Bay of Quinte"," 175","Quinte West",4,6,65,89,3,167,397
35006,"Bay of Quinte/Bay of Quinte"," 176","Prince Edward County",4,8,63,119,1,195,506
35006,"Bay of Quinte/Bay of Quinte"," 177","Prince Edward County",4,18,123,71,0,216,405
35006,"Bay of Quinte/Bay of Quinte"," 178","Prince Edward County",3,11,105,121,0,240,398
35006,"Bay of Quinte/Bay of Quinte"," 179","Prince Edward County",1,9,124,110,1,245,465
35006,"Bay of Quinte/Bay of Quinte"," 180","Prince Edward County",1,10,164,91,1,267,515
35006,"Bay of Quinte/Bay of Quinte"," 181","Prince Edward County",0,8,79,118,0,205,428
35006,"Bay of Quinte/Bay of Quinte"," 182","Prince Edward County",1,5,92,81,1,180,455
35006,"Bay of Quinte/Bay of Quinte"," 183","Prince Edward County",1,5,105,84,0,195,442
35006,"Bay of Quinte/Bay of Quinte"," 184","Prince Edward County",4,4,111,94,0,213,479
35006,"Bay of Quinte/Bay of Quinte"," 185","Prince Edward County",2,7,89,65,0,163,439
35006,"Bay of Quinte/Bay of Quinte"," 186","Prince Edward County",2,5,97,50,2,156,582
35006,"Bay of Quinte/Bay of Quinte"," 187","Prince Edward County",0,1,50,21,1,73,502
35006,"Bay of Quinte/Bay of Quinte"," 188","Prince Edward County",0,5,26,13,0,44,390
35006,"Bay of Quinte/Bay of Quinte"," 189","Prince Edward County",1,11,79,66,0,157,443
35006,"Bay of Quinte/Bay of Quinte"," 190","Prince Edward County",0,9,120,92,0,221,477
35006,"Bay of Quinte/Bay of Quinte"," 191","Prince Edward County",1,4,142,98,1,246,489
35006,"Bay of Quinte/Bay of Quinte"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,94
35006,"Bay of Quinte/Bay of Quinte"," 501","Mobile poll/Bureau itinérant",2,9,90,38,5,144,218
35006,"Bay of Quinte/Bay of Quinte"," 502","Mobile poll/Bureau itinérant",2,5,16,19,0,42,52
35006,"Bay of Quinte/Bay of Quinte"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,34
35006,"Bay of Quinte/Bay of Quinte"," 504","Mobile poll/Bureau itinérant",3,5,83,27,2,120,146
35006,"Bay of Quinte/Bay of Quinte"," 505","Mobile poll/Bureau itinérant",2,0,49,26,2,79,141
35006,"Bay of Quinte/Bay of Quinte"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,67
35006,"Bay of Quinte/Bay of Quinte"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,50
35006,"Bay of Quinte/Bay of Quinte"," 508","Mobile poll/Bureau itinérant",4,14,41,40,2,101,284
35006,"Bay of Quinte/Bay of Quinte"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,50
35006,"Bay of Quinte/Bay of Quinte"," 510","Quinte West",Combined with No./Résultats combinés à ceux du n°104,,,,,,3
35006,"Bay of Quinte/Bay of Quinte"," 511","Mobile poll/Bureau itinérant",5,13,34,48,5,105,183
35006,"Bay of Quinte/Bay of Quinte"," 512","Mobile poll/Bureau itinérant",4,6,54,32,4,100,108
35006,"Bay of Quinte/Bay of Quinte"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,98
35006,"Bay of Quinte/Bay of Quinte"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,91
35006,"Bay of Quinte/Bay of Quinte"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,30
35006,"Bay of Quinte/Bay of Quinte"," 516","Mobile poll/Bureau itinérant",5,4,35,9,1,54,72
35006,"Bay of Quinte/Bay of Quinte"," 517","Mobile poll/Bureau itinérant",1,0,14,17,2,34,77
35006,"Bay of Quinte/Bay of Quinte"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,33
35006,"Bay of Quinte/Bay of Quinte"," 600","Quinte West",6,35,633,734,2,1410,
35006,"Bay of Quinte/Bay of Quinte"," 601","Quinte West",8,20,338,568,1,935,
35006,"Bay of Quinte/Bay of Quinte"," 602","Quinte West",14,36,862,772,1,1685,
35006,"Bay of Quinte/Bay of Quinte"," 603","Quinte West",9,24,487,461,0,981,
35006,"Bay of Quinte/Bay of Quinte"," 604","Quinte West",7,20,292,338,3,660,
35006,"Bay of Quinte/Bay of Quinte"," 605","Quinte West",10,40,516,550,7,1123,
35006,"Bay of Quinte/Bay of Quinte"," 606","Quinte West",10,47,642,736,0,1435,
35006,"Bay of Quinte/Bay of Quinte"," 607","Belleville",11,24,508,333,5,881,
35006,"Bay of Quinte/Bay of Quinte"," 608","Belleville",15,45,697,547,2,1306,
35006,"Bay of Quinte/Bay of Quinte"," 609","Belleville",11,23,761,413,6,1214,
35006,"Bay of Quinte/Bay of Quinte"," 610","Belleville",10,34,788,311,5,1148,
35006,"Bay of Quinte/Bay of Quinte"," 611","Belleville",6,23,370,337,3,739,
35006,"Bay of Quinte/Bay of Quinte"," 612","Belleville",12,27,676,356,7,1078,
35006,"Bay of Quinte/Bay of Quinte"," 613","Belleville",12,33,783,516,13,1357,
35006,"Bay of Quinte/Bay of Quinte"," 614","Prince Edward County",5,28,654,460,7,1154,
35006,"Bay of Quinte/Bay of Quinte"," 615","Prince Edward County",7,18,528,265,1,819,
35006,"Bay of Quinte/Bay of Quinte"," 616","Prince Edward County",8,30,918,332,2,1290,
35006,"Bay of Quinte/Bay of Quinte"," 617","Prince Edward County",8,26,741,293,3,1071,
35006,"Bay of Quinte/Bay of Quinte"," 618","Prince Edward County",8,19,493,202,1,723,
35006,"Bay of Quinte/Bay of Quinte"," 619","Prince Edward County",14,39,1103,422,4,1582,
35006,"Bay of Quinte/Bay of Quinte"," 620","Prince Edward County",10,8,382,340,4,744,
35006,"Bay of Quinte/Bay of Quinte",,Group 1/Groupe 1, 15,30,516,498,52,1111,300
35006,"Bay of Quinte/Bay of Quinte",,Group 2/Groupe 2, 36,135,2732,1900,67,4870,
