Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,John Aldag,Sepehr Haghighat,Holly Isaac,Alex Joehl,Debora Soutar,Tako Van Popta,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 91","Langley",78,1,5,3,3,111,0,201,610
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 92","Langley",98,1,10,1,4,121,0,235,441
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 93","Langley",55,2,5,3,1,59,0,125,412
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 94","Langley",81,1,11,3,1,100,0,197,673
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 95","Langley",140,1,20,0,3,201,1,366,964
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 96","Langley",104,2,16,0,0,156,0,278,690
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 97","Langley",118,0,10,3,0,167,0,298,724
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 98A","Langley",42,0,3,0,1,110,0,156,561
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 98B","Langley",51,0,1,1,0,104,1,158,562
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 98C","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,2
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 99","Langley",86,2,8,1,3,112,0,212,589
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 100","Langley",60,1,8,0,2,120,1,192,622
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 101","Langley",59,0,7,0,1,102,1,170,528
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 102","Langley",75,1,7,1,4,112,1,201,478
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 103","Langley",91,1,17,2,2,157,0,270,826
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 104","Langley",81,0,7,1,2,109,2,202,585
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 105","Langley",94,0,7,2,0,92,0,195,589
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 106","Langley",91,0,10,0,0,105,0,206,434
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 107","Langley",32,0,5,3,0,61,2,103,412
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 108","Langley",32,1,6,1,1,77,1,119,451
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 109","Langley",83,0,13,4,4,96,2,202,582
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 110","Langley",Combined with No./Résultats combinés à ceux du n°58,,,,,,,,287
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 111","Langley",102,5,10,0,2,132,4,255,837
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 112","Langley",82,4,10,0,0,101,1,198,630
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 113","Langley",67,1,12,1,2,109,0,192,686
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 114","Langley",38,0,6,0,0,49,0,93,386
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 115","Langley",63,0,4,1,1,98,0,167,566
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 116","Langley",62,1,4,1,2,57,0,127,484
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 117","Langley",91,0,9,0,2,122,1,225,851
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 118","Langley",56,0,4,2,2,37,0,101,348
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 119","Langley",36,2,2,1,2,72,0,115,473
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 120","Langley",65,0,9,1,1,87,2,165,572
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 121","Langley",89,3,18,0,4,98,1,213,488
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 122","Langley",68,0,7,1,1,96,0,173,481
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 123","Langley",92,2,11,1,2,112,0,220,479
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 124","Langley",109,0,19,2,6,98,0,234,548
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 125","Langley",80,3,9,0,1,136,1,230,530
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 126","Langley",121,1,8,2,2,144,0,278,491
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 126-1","McMillan Island 6",Combined with No./Résultats combinés à ceux du n°130,,,,,,,,91
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 127","Langley",76,1,10,0,1,173,0,261,556
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 128","Langley",55,1,8,1,2,139,1,207,471
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 129","Langley",44,0,9,3,4,120,2,182,453
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 130","Langley",78,0,24,0,6,121,2,231,458
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 131","Langley",107,1,9,2,0,144,1,264,691
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 132","Langley",104,0,10,1,2,138,1,256,642
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 133","Langley",68,0,13,0,0,66,0,147,539
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 134","Langley",60,1,16,1,2,99,1,180,721
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 135","Langley",57,0,8,0,1,120,2,188,616
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 136","Langley",66,2,6,1,2,135,0,212,616
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 137","Langley",50,2,7,0,2,83,0,144,633
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 138","Langley",45,2,7,1,1,119,1,176,528
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 139","Langley",47,0,6,1,1,87,0,142,610
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 140","Langley",55,0,4,1,3,72,1,136,482
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 141","Langley",58,0,6,1,1,145,0,211,630
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 142","Langley",61,0,9,1,7,81,0,159,577
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 143","Langley",83,3,8,2,3,95,2,196,612
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 144","Langley",74,1,8,1,0,121,1,206,485
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 145","Langley",77,0,9,0,3,61,2,152,536
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 146","Langley",74,0,5,0,0,133,0,212,609
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 147","Langley",84,0,11,1,2,137,2,237,647
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 148","Langley",55,0,2,1,5,131,1,195,532
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 149","Langley",50,0,11,0,0,101,0,162,534
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 150","Langley",75,1,11,0,0,100,0,187,479
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 151","Langley",59,2,9,1,2,103,0,176,430
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 152","Langley",66,1,7,2,0,88,0,164,425
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 153","Langley",51,0,6,2,0,104,1,164,526
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 154","Langley",111,1,10,0,0,89,0,211,510
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 155","Langley",54,3,8,1,2,120,0,188,501
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 156","Langley",73,1,5,0,0,144,1,224,416
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 157","Langley",84,0,5,1,2,136,0,228,535
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 158","Langley",63,1,4,2,1,127,2,200,462
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 159","Langley",52,0,7,0,2,123,0,184,546
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 160","Langley",47,1,7,1,7,144,0,207,548
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 161","Langley",100,2,7,1,2,146,1,259,561
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 162","Langley",39,0,7,0,5,105,0,156,439
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 163","Langley",48,3,7,1,2,110,0,171,436
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 164","Langley",66,0,6,0,0,132,0,204,483
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 165","Langley",58,0,9,0,1,172,1,241,614
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 166","Langley",65,2,6,0,1,146,2,222,561
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 167","Langley",32,3,5,1,0,64,1,106,349
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 168","Langley",31,4,5,1,1,80,0,122,372
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 400","Langley",Combined with No./Résultats combinés à ceux du n°401,,,,,,,,64
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 401","Langley",138,3,11,0,2,69,1,224,295
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 402","Langley",Combined with No./Résultats combinés à ceux du n°106,,,,,,,,309
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 403","Langley",Combined with No./Résultats combinés à ceux du n°102,,,,,,,,180
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 404","Langley",Combined with No./Résultats combinés à ceux du n°92,,,,,,,,267
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 405","Langley",Combined with No./Résultats combinés à ceux du n°144,,,,,,,,139
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 500","Mobile poll/Bureau itinérant",75,1,14,1,2,50,4,147,158
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,24
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 502","Mobile poll/Bureau itinérant",77,2,16,4,4,50,0,153,123
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,110
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 504","Mobile poll/Bureau itinérant",52,4,19,1,1,36,11,124,133
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 505A","Mobile poll/Bureau itinérant",17,3,13,2,1,29,5,70,109
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 505B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505A,,,,,,,,12
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,,40
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 507","Mobile poll/Bureau itinérant",93,3,21,6,2,77,11,213,148
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,,136
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 600","Surrey",675,8,59,7,10,751,7,1517,
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 601","Surrey",888,9,64,11,2,1103,6,2083,
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 602","Surrey",614,8,51,11,6,842,5,1537,
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 603","Katzie 2--Barnston Island 3",Combined with No./Résultats combinés à ceux du n°604,,,,,,,,
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 604","Langley",998,9,84,9,15,831,7,1953,
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 605","Langley",1375,8,83,9,18,996,2,2491,
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 606","Langley",805,3,44,6,10,716,1,1585,
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 607","McMillan Island 6",Combined with No./Résultats combinés à ceux du n°604,,,,,,,,
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 608","Langley",1175,8,83,6,22,919,5,2218,
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 609","Langley",728,4,49,6,8,691,2,1488,
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 610","Langley",1481,11,118,22,18,1473,13,3136,
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 611","Langley",972,7,93,8,10,1107,6,2203,
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 612","Langley",747,7,61,7,9,877,18,1726,
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 613","Langley",880,5,66,15,13,868,6,1853,
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 614","Langley",685,12,51,8,9,992,3,1760,
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 615","Langley",293,3,17,5,3,498,1,820,
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 616","Langley",622,5,52,6,15,978,4,1682,
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 617","Langley",860,10,77,10,8,966,3,1934,
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights"," 618","Langley",689,6,55,7,7,716,1,1481,
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights",,Group 1/Groupe 1, 444,4,49,2,9,372,50,930,313
59017,"Langley Township--Fraser Heights/Langley Township--Fraser Heights",,Group 2/Groupe 2, 1298,10,88,10,18,1198,112,2734,
