Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Marwan El Attar,Panagiota Koroneos,Patricia Lattanzio,Laurie Lelacheur,Caroline Mailloux,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 68","Montréal",9,30,94,3,3,5,144,428
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 69","Montréal",13,18,97,15,1,4,148,443
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 70","Montréal",13,26,117,8,0,9,173,416
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 71","Montréal",6,36,102,17,0,2,163,377
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 72","Montréal",9,39,144,12,2,1,207,446
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 73","Montréal",9,35,108,6,0,6,164,376
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 74","Montréal",13,55,105,10,0,5,188,427
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 75","Montréal",7,30,107,2,1,2,149,348
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 76","Montréal",7,33,83,15,3,5,146,396
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 77","Montréal",4,32,95,6,3,8,148,347
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 78","Montréal",9,39,76,9,2,8,143,402
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 79","Montréal",14,45,97,8,5,3,172,450
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 80","Montréal",18,39,106,11,1,6,181,516
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 81","Montréal",4,62,97,8,1,9,181,498
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 82","Montréal",14,57,137,10,3,3,224,509
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 83","Montréal",6,48,104,14,1,2,175,504
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 84","Montréal",13,25,97,4,0,5,144,400
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 85","Montréal",9,34,77,6,0,1,127,310
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 86","Montréal",5,34,98,11,2,4,154,423
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 87","Montréal",17,39,112,11,2,3,184,457
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 88","Montréal",11,37,84,5,2,5,144,375
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 89","Montréal",23,38,122,9,1,3,196,463
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 90","Montréal",3,27,67,2,4,2,105,313
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 91","Montréal",4,33,92,12,1,12,154,419
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 92","Montréal",6,42,98,3,2,9,160,424
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 93","Montréal",9,35,116,5,2,0,167,392
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 94","Montréal",10,38,95,4,1,4,152,411
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 95","Montréal",6,53,91,11,1,2,164,479
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 96","Montréal",10,48,88,12,4,1,163,431
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 97","Montréal",20,32,96,15,2,3,168,485
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 98","Montréal",16,39,100,9,0,1,165,495
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 99","Montréal",6,18,68,18,1,2,113,336
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 100","Montréal",20,22,101,10,0,6,159,436
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 101","Montréal",18,35,131,10,3,6,203,513
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 102","Montréal",10,22,85,19,2,5,143,473
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 103","Montréal",5,51,99,13,1,2,171,471
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 104","Montréal",26,46,174,12,2,7,267,616
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 105","Montréal",3,22,81,6,0,3,115,335
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 106","Montréal",16,49,132,3,1,2,203,497
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 107","Montréal",19,38,117,8,3,4,189,430
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 108","Montréal",8,40,121,3,1,10,183,449
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 109","Montréal",15,57,150,11,1,6,240,518
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 110","Montréal",16,34,120,5,2,6,183,498
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 111","Montréal",7,42,133,11,1,7,201,454
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 112","Montréal",4,16,132,8,0,5,165,411
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 113","Montréal",7,25,111,4,1,8,156,416
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 114","Montréal",11,26,95,23,3,7,165,440
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 115","Montréal",4,28,103,8,0,3,146,390
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 116","Montréal",8,30,84,23,1,6,152,473
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 117","Montréal",5,28,113,22,0,1,169,386
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 118A","Montréal",11,25,143,11,0,7,197,422
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 118B","Montréal",Combined with No./Résultats combinés à ceux du n°401,,,,,,,112
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 119","Montréal",11,50,135,8,1,6,211,534
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 120","Montréal",16,25,109,5,5,9,169,385
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 121","Montréal",12,35,123,27,2,4,203,431
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 122","Montréal",9,17,150,15,3,6,200,441
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 123","Montréal",15,32,102,14,1,4,168,435
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 124","Montréal",19,24,116,11,2,3,175,516
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 125","Montréal",8,35,111,18,2,4,178,492
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 126","Montréal",8,20,90,11,0,3,132,361
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 127","Montréal",18,44,115,17,0,3,197,461
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 128","Montréal",9,25,71,13,0,3,121,322
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 129","Montréal",12,50,125,11,1,5,204,498
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 130","Montréal",5,37,103,6,3,1,155,330
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 131","Montréal",11,32,124,8,5,4,184,391
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 132","Montréal",16,34,79,13,2,2,146,339
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 133","Montréal",14,31,91,7,1,6,150,454
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 134","Montréal",18,30,86,8,1,6,149,411
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 135","Montréal",9,24,104,15,0,3,155,487
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 136","Montréal",10,31,90,12,2,0,145,408
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 137","Montréal",17,46,105,8,3,4,183,485
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 138","Montréal",15,15,88,12,0,4,134,429
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 139","Montréal",9,21,83,13,3,1,130,349
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 140","Montréal",10,33,85,12,1,4,145,360
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 141","Montréal",13,38,98,11,4,6,170,395
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 142","Montréal",4,20,104,9,3,2,142,346
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 143","Montréal",17,30,79,6,1,4,137,295
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 144","Montréal",13,34,104,13,1,5,170,378
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 145","Montréal",12,40,174,7,2,4,239,567
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 146A","Montréal",9,27,132,5,5,4,182,458
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 146B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,63
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 147","Montréal",13,42,85,12,1,1,154,425
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 148","Montréal",5,21,100,4,3,3,136,404
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 149","Montréal",6,20,101,6,0,2,135,352
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 150","Montréal",13,28,115,22,3,6,187,440
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 151","Montréal",7,49,124,4,3,7,194,490
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 152","Montréal",11,24,70,15,1,4,125,340
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 153","Montréal",15,19,85,14,1,3,137,407
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 154","Montréal",14,23,104,17,3,9,170,462
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 155","Montréal",12,36,122,10,3,4,187,380
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 156","Montréal",9,42,143,14,1,4,213,432
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 157","Montréal",8,25,112,12,0,6,163,405
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 158","Montréal",9,28,64,10,2,4,117,355
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 159","Montréal",6,22,105,16,4,2,155,362
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 160","Montréal",16,44,136,15,0,13,224,505
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 161","Montréal",5,21,72,17,1,5,121,351
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 162","Montréal",11,12,77,6,1,0,107,323
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 163","Montréal",29,56,143,25,5,2,260,673
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 164","Montréal",12,31,123,9,1,1,177,415
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 400","Montréal",3,14,127,43,3,9,199,342
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 401","Montréal",3,14,107,22,0,4,150,99
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 402","Montréal",5,11,201,71,1,13,302,430
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 500","Mobile poll/Bureau itinérant",3,11,92,25,6,4,141,176
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,147
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 600","Montréal",29,136,500,46,2,6,719,
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 601","Montréal",33,206,648,89,4,9,989,
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 602","Montréal",33,230,813,79,9,24,1188,
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 603","Montréal",46,223,654,84,2,10,1019,
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 604","Montréal",42,132,616,71,7,16,884,
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 605","Montréal",46,185,564,101,4,9,909,
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 606","Montréal",43,124,533,121,9,4,834,
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 607","Montréal",35,167,537,85,13,9,846,
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 608","Montréal",43,132,530,44,4,20,773,
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 609","Montréal",26,197,627,48,15,7,920,
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 610","Montréal",22,186,584,50,6,13,861,
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 611","Montréal",25,63,353,55,4,7,507,
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 612","Montréal",30,100,440,65,10,11,656,
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 613","Montréal",41,65,367,44,5,5,527,
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel"," 614","Montréal",31,88,456,67,7,12,661,
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel",,Group 1/Groupe 1, 28,53,251,23,1,41,397,150
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel",,Group 2/Groupe 2, 21,108,382,27,2,39,579,
