Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Marie-Louise Beauchamp,Gaëtan Bérard,Edline Henri,Ingrid Fernanda Megni,Djaouida Sellah,Eric St-Pierre,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24027,"Honoré-Mercier/Honoré-Mercier"," 16","Montréal",1,1,5,90,6,106,2,211,513
24027,"Honoré-Mercier/Honoré-Mercier"," 17","Montréal",2,3,18,50,6,149,1,229,578
24027,"Honoré-Mercier/Honoré-Mercier"," 18","Montréal",0,2,16,73,5,122,0,218,444
24027,"Honoré-Mercier/Honoré-Mercier"," 19","Montréal",1,0,15,44,9,79,0,148,346
24027,"Honoré-Mercier/Honoré-Mercier"," 20","Montréal",0,0,9,29,7,94,5,144,341
24027,"Honoré-Mercier/Honoré-Mercier"," 21","Montréal",0,4,32,63,5,109,2,215,533
24027,"Honoré-Mercier/Honoré-Mercier"," 22","Montréal",0,5,25,39,7,113,4,193,485
24027,"Honoré-Mercier/Honoré-Mercier"," 23","Montréal",1,2,18,56,5,76,4,162,376
24027,"Honoré-Mercier/Honoré-Mercier"," 24","Montréal",Combined with No./Résultats combinés à ceux du n°25B,,,,,,,,168
24027,"Honoré-Mercier/Honoré-Mercier"," 25A","Montréal",0,3,16,42,5,107,4,177,404
24027,"Honoré-Mercier/Honoré-Mercier"," 25B","Montréal",1,3,9,22,5,121,5,166,234
24027,"Honoré-Mercier/Honoré-Mercier"," 26","Montréal",2,1,10,38,6,139,10,206,488
24027,"Honoré-Mercier/Honoré-Mercier"," 27","Montréal",3,3,16,57,9,107,8,203,503
24027,"Honoré-Mercier/Honoré-Mercier"," 28","Montréal",1,0,8,44,1,109,2,165,359
24027,"Honoré-Mercier/Honoré-Mercier"," 29","Montréal",2,4,12,57,8,89,3,175,376
24027,"Honoré-Mercier/Honoré-Mercier"," 30","Montréal",2,0,8,72,6,144,3,235,406
24027,"Honoré-Mercier/Honoré-Mercier"," 31","Montréal",1,2,8,48,8,94,0,161,344
24027,"Honoré-Mercier/Honoré-Mercier"," 32","Montréal",2,1,7,54,3,105,4,176,366
24027,"Honoré-Mercier/Honoré-Mercier"," 33","Montréal",1,0,18,39,4,108,2,172,446
24027,"Honoré-Mercier/Honoré-Mercier"," 34","Montréal",2,1,20,30,6,69,1,129,449
24027,"Honoré-Mercier/Honoré-Mercier"," 35","Montréal",2,3,1,41,2,69,2,120,377
24027,"Honoré-Mercier/Honoré-Mercier"," 36","Montréal",2,0,16,47,14,152,8,239,574
24027,"Honoré-Mercier/Honoré-Mercier"," 37","Montréal",2,3,11,55,12,122,4,209,523
24027,"Honoré-Mercier/Honoré-Mercier"," 38","Montréal",1,2,9,54,1,76,1,144,379
24027,"Honoré-Mercier/Honoré-Mercier"," 39","Montréal",1,1,3,56,5,106,1,173,427
24027,"Honoré-Mercier/Honoré-Mercier"," 40","Montréal",3,3,3,62,2,91,3,167,473
24027,"Honoré-Mercier/Honoré-Mercier"," 41","Montréal",0,1,15,57,4,100,4,181,374
24027,"Honoré-Mercier/Honoré-Mercier"," 42","Montréal",0,2,9,42,6,136,1,196,407
24027,"Honoré-Mercier/Honoré-Mercier"," 43","Montréal",2,4,11,49,5,106,0,177,411
24027,"Honoré-Mercier/Honoré-Mercier"," 44","Montréal",3,2,10,45,6,100,3,169,375
24027,"Honoré-Mercier/Honoré-Mercier"," 45","Montréal",3,1,5,40,10,93,0,152,369
24027,"Honoré-Mercier/Honoré-Mercier"," 46","Montréal",2,0,12,31,3,96,1,145,359
24027,"Honoré-Mercier/Honoré-Mercier"," 47","Montréal",0,1,2,72,1,114,1,191,459
24027,"Honoré-Mercier/Honoré-Mercier"," 48","Montréal",1,2,3,64,2,76,1,149,367
24027,"Honoré-Mercier/Honoré-Mercier"," 49","Montréal",3,0,7,52,6,106,2,176,398
24027,"Honoré-Mercier/Honoré-Mercier"," 50","Montréal",2,1,2,40,4,101,1,151,391
24027,"Honoré-Mercier/Honoré-Mercier"," 51","Montréal",1,5,23,68,3,86,2,188,418
24027,"Honoré-Mercier/Honoré-Mercier"," 52","Montréal",2,2,19,65,10,125,8,231,464
24027,"Honoré-Mercier/Honoré-Mercier"," 53","Montréal",1,0,12,38,11,84,5,151,357
24027,"Honoré-Mercier/Honoré-Mercier"," 54","Montréal",4,4,20,65,11,103,1,208,425
24027,"Honoré-Mercier/Honoré-Mercier"," 55","Montréal",0,2,14,60,4,108,6,194,433
24027,"Honoré-Mercier/Honoré-Mercier"," 56","Montréal",0,1,15,41,10,95,4,166,480
24027,"Honoré-Mercier/Honoré-Mercier"," 57","Montréal",1,1,5,53,6,102,1,169,365
24027,"Honoré-Mercier/Honoré-Mercier"," 58","Montréal",0,2,2,57,1,101,0,163,365
24027,"Honoré-Mercier/Honoré-Mercier"," 59","Montréal",0,2,5,58,6,95,2,168,320
24027,"Honoré-Mercier/Honoré-Mercier"," 60","Montréal",3,3,4,46,0,122,2,180,353
24027,"Honoré-Mercier/Honoré-Mercier"," 61","Montréal",2,3,9,76,3,140,1,234,507
24027,"Honoré-Mercier/Honoré-Mercier"," 62","Montréal",1,1,15,55,9,138,2,221,442
24027,"Honoré-Mercier/Honoré-Mercier"," 63","Montréal",0,3,4,98,5,116,0,226,387
24027,"Honoré-Mercier/Honoré-Mercier"," 64","Montréal",2,1,8,79,2,98,1,191,406
24027,"Honoré-Mercier/Honoré-Mercier"," 65","Montréal",1,1,16,47,8,82,3,158,389
24027,"Honoré-Mercier/Honoré-Mercier"," 66","Montréal",0,1,23,34,8,60,1,127,381
24027,"Honoré-Mercier/Honoré-Mercier"," 67","Montréal",0,7,13,43,8,90,3,164,415
24027,"Honoré-Mercier/Honoré-Mercier"," 68","Montréal",0,4,6,53,8,113,3,187,396
24027,"Honoré-Mercier/Honoré-Mercier"," 69","Montréal",0,3,4,17,5,74,2,105,355
24027,"Honoré-Mercier/Honoré-Mercier"," 70","Montréal",2,2,12,31,8,61,8,124,372
24027,"Honoré-Mercier/Honoré-Mercier"," 71","Montréal",1,4,6,41,3,108,4,167,382
24027,"Honoré-Mercier/Honoré-Mercier"," 72","Montréal",1,2,12,52,5,134,5,211,415
24027,"Honoré-Mercier/Honoré-Mercier"," 73","Montréal",0,1,12,41,10,138,6,208,467
24027,"Honoré-Mercier/Honoré-Mercier"," 74","Montréal",2,6,10,25,8,122,7,180,455
24027,"Honoré-Mercier/Honoré-Mercier"," 75","Montréal",1,4,15,77,2,128,3,230,448
24027,"Honoré-Mercier/Honoré-Mercier"," 76","Montréal",4,0,25,52,4,112,1,198,400
24027,"Honoré-Mercier/Honoré-Mercier"," 77","Montréal",4,3,16,20,12,81,5,141,367
24027,"Honoré-Mercier/Honoré-Mercier"," 78","Montréal",2,8,35,42,12,140,6,245,486
24027,"Honoré-Mercier/Honoré-Mercier"," 79","Montréal",2,2,44,11,11,99,4,173,383
24027,"Honoré-Mercier/Honoré-Mercier"," 80","Montréal",1,5,37,44,13,104,4,208,432
24027,"Honoré-Mercier/Honoré-Mercier"," 81","Montréal",0,3,37,33,10,136,3,222,410
24027,"Honoré-Mercier/Honoré-Mercier"," 82","Montréal",1,4,32,42,8,93,5,185,414
24027,"Honoré-Mercier/Honoré-Mercier"," 83","Montréal",1,1,37,19,3,114,3,178,393
24027,"Honoré-Mercier/Honoré-Mercier"," 84","Montréal",3,5,24,27,12,77,9,157,367
24027,"Honoré-Mercier/Honoré-Mercier"," 85","Montréal",1,1,19,24,12,94,2,153,358
24027,"Honoré-Mercier/Honoré-Mercier"," 86","Montréal",2,0,36,30,2,105,6,181,462
24027,"Honoré-Mercier/Honoré-Mercier"," 87","Montréal",0,4,28,26,16,110,8,192,420
24027,"Honoré-Mercier/Honoré-Mercier"," 88","Montréal",0,1,18,35,7,76,6,143,385
24027,"Honoré-Mercier/Honoré-Mercier"," 89","Montréal",3,1,14,54,0,100,0,172,409
24027,"Honoré-Mercier/Honoré-Mercier"," 90","Montréal",1,2,7,35,3,63,0,111,337
24027,"Honoré-Mercier/Honoré-Mercier"," 91","Montréal",1,1,19,74,11,136,6,248,550
24027,"Honoré-Mercier/Honoré-Mercier"," 92","Montréal",1,2,7,57,1,87,3,158,358
24027,"Honoré-Mercier/Honoré-Mercier"," 93","Montréal",0,1,9,16,8,93,0,127,416
24027,"Honoré-Mercier/Honoré-Mercier"," 94","Montréal",1,2,17,40,8,89,2,159,334
24027,"Honoré-Mercier/Honoré-Mercier"," 95","Montréal",0,0,1,24,7,68,4,104,394
24027,"Honoré-Mercier/Honoré-Mercier"," 96","Montréal",0,0,4,30,5,50,2,91,343
24027,"Honoré-Mercier/Honoré-Mercier"," 97","Montréal",0,1,13,48,14,86,0,162,498
24027,"Honoré-Mercier/Honoré-Mercier"," 98","Montréal",3,3,6,38,2,63,2,117,440
24027,"Honoré-Mercier/Honoré-Mercier"," 99","Montréal",0,0,10,18,4,77,1,110,488
24027,"Honoré-Mercier/Honoré-Mercier"," 100","Montréal",0,2,5,53,5,55,2,122,437
24027,"Honoré-Mercier/Honoré-Mercier"," 101","Montréal",2,0,3,35,2,72,6,120,404
24027,"Honoré-Mercier/Honoré-Mercier"," 102","Montréal",0,1,9,41,12,74,1,138,450
24027,"Honoré-Mercier/Honoré-Mercier"," 103","Montréal",2,3,4,19,6,61,0,95,349
24027,"Honoré-Mercier/Honoré-Mercier"," 104","Montréal",1,2,27,42,12,114,2,200,543
24027,"Honoré-Mercier/Honoré-Mercier"," 105","Montréal",0,1,10,51,7,56,2,127,468
24027,"Honoré-Mercier/Honoré-Mercier"," 106A","Montréal",0,2,28,36,12,68,0,146,490
24027,"Honoré-Mercier/Honoré-Mercier"," 106B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,,40
24027,"Honoré-Mercier/Honoré-Mercier"," 107","Montréal",1,1,3,32,1,74,0,112,370
24027,"Honoré-Mercier/Honoré-Mercier"," 108","Montréal",2,2,3,100,5,141,3,256,506
24027,"Honoré-Mercier/Honoré-Mercier"," 109","Montréal",1,0,7,46,2,83,0,139,476
24027,"Honoré-Mercier/Honoré-Mercier"," 110","Montréal",1,4,52,53,8,116,8,242,475
24027,"Honoré-Mercier/Honoré-Mercier"," 111","Montréal",4,3,44,29,9,96,2,187,391
24027,"Honoré-Mercier/Honoré-Mercier"," 112","Montréal",3,3,38,25,8,94,5,176,422
24027,"Honoré-Mercier/Honoré-Mercier"," 113","Montréal",2,7,41,36,11,137,6,240,550
24027,"Honoré-Mercier/Honoré-Mercier"," 114","Montréal",2,1,28,20,3,99,0,153,379
24027,"Honoré-Mercier/Honoré-Mercier"," 115","Montréal",0,6,49,22,12,91,5,185,385
24027,"Honoré-Mercier/Honoré-Mercier"," 116","Montréal",1,3,37,32,13,95,1,182,400
24027,"Honoré-Mercier/Honoré-Mercier"," 117","Montréal",3,2,21,55,6,120,1,208,444
24027,"Honoré-Mercier/Honoré-Mercier"," 118","Montréal",0,1,21,12,10,70,0,114,351
24027,"Honoré-Mercier/Honoré-Mercier"," 119","Montréal",1,0,26,36,8,136,2,209,473
24027,"Honoré-Mercier/Honoré-Mercier"," 120","Montréal",0,3,20,47,6,86,0,162,357
24027,"Honoré-Mercier/Honoré-Mercier"," 121","Montréal",2,1,23,28,4,83,1,142,342
24027,"Honoré-Mercier/Honoré-Mercier"," 122","Montréal",0,1,39,23,8,121,2,194,464
24027,"Honoré-Mercier/Honoré-Mercier"," 123","Montréal",0,1,49,35,14,101,3,203,468
24027,"Honoré-Mercier/Honoré-Mercier"," 124","Montréal",2,2,17,28,7,116,8,180,424
24027,"Honoré-Mercier/Honoré-Mercier"," 125","Montréal",1,7,21,26,15,95,7,172,361
24027,"Honoré-Mercier/Honoré-Mercier"," 126","Montréal",1,2,48,15,6,92,2,166,332
24027,"Honoré-Mercier/Honoré-Mercier"," 127","Montréal",4,7,60,36,10,137,4,258,536
24027,"Honoré-Mercier/Honoré-Mercier"," 128","Montréal",0,5,29,26,7,105,2,174,367
24027,"Honoré-Mercier/Honoré-Mercier"," 129","Montréal",1,0,15,19,9,96,2,142,358
24027,"Honoré-Mercier/Honoré-Mercier"," 130","Montréal",2,1,22,25,8,83,6,147,375
24027,"Honoré-Mercier/Honoré-Mercier"," 131","Montréal",2,2,17,51,5,88,9,174,402
24027,"Honoré-Mercier/Honoré-Mercier"," 132","Montréal",1,3,15,19,9,104,5,156,397
24027,"Honoré-Mercier/Honoré-Mercier"," 133","Montréal",1,6,30,33,11,108,3,192,439
24027,"Honoré-Mercier/Honoré-Mercier"," 134","Montréal",3,1,40,33,17,138,6,238,488
24027,"Honoré-Mercier/Honoré-Mercier"," 135","Montréal",2,4,18,20,11,65,8,128,414
24027,"Honoré-Mercier/Honoré-Mercier"," 136","Montréal",0,5,15,35,7,110,4,176,332
24027,"Honoré-Mercier/Honoré-Mercier"," 137","Montréal",2,3,45,39,18,95,2,204,402
24027,"Honoré-Mercier/Honoré-Mercier"," 138","Montréal",1,3,19,39,6,97,2,167,358
24027,"Honoré-Mercier/Honoré-Mercier"," 139","Montréal",1,1,35,22,17,81,5,162,363
24027,"Honoré-Mercier/Honoré-Mercier"," 140","Montréal",2,7,41,24,12,92,0,178,417
24027,"Honoré-Mercier/Honoré-Mercier"," 141","Montréal",1,5,43,37,10,159,2,257,459
24027,"Honoré-Mercier/Honoré-Mercier"," 142","Montréal",1,5,45,32,6,119,0,208,405
24027,"Honoré-Mercier/Honoré-Mercier"," 143","Montréal",3,5,44,52,16,119,10,249,496
24027,"Honoré-Mercier/Honoré-Mercier"," 144","Montréal",3,1,31,64,9,164,5,277,587
24027,"Honoré-Mercier/Honoré-Mercier"," 145","Montréal",2,0,17,46,7,100,3,175,402
24027,"Honoré-Mercier/Honoré-Mercier"," 146","Montréal",0,2,20,45,7,149,0,223,411
24027,"Honoré-Mercier/Honoré-Mercier"," 147","Montréal",1,6,14,39,11,121,2,194,418
24027,"Honoré-Mercier/Honoré-Mercier"," 148","Montréal",0,5,32,40,18,115,6,216,441
24027,"Honoré-Mercier/Honoré-Mercier"," 149","Montréal",0,0,47,18,2,77,2,146,350
24027,"Honoré-Mercier/Honoré-Mercier"," 150","Montréal",0,4,24,32,13,57,5,135,340
24027,"Honoré-Mercier/Honoré-Mercier"," 151","Montréal",2,1,19,21,13,102,2,160,401
24027,"Honoré-Mercier/Honoré-Mercier"," 152","Montréal",0,4,30,35,8,106,3,186,408
24027,"Honoré-Mercier/Honoré-Mercier"," 153","Montréal",0,2,35,35,9,78,0,159,380
24027,"Honoré-Mercier/Honoré-Mercier"," 154","Montréal",1,2,23,47,9,101,1,184,398
24027,"Honoré-Mercier/Honoré-Mercier"," 155","Montréal",0,4,15,41,3,74,1,138,469
24027,"Honoré-Mercier/Honoré-Mercier"," 156","Montréal",0,0,6,43,3,90,0,142,393
24027,"Honoré-Mercier/Honoré-Mercier"," 157","Montréal",3,0,7,32,1,64,1,108,297
24027,"Honoré-Mercier/Honoré-Mercier"," 158","Montréal",1,5,14,28,9,77,3,137,452
24027,"Honoré-Mercier/Honoré-Mercier"," 159","Montréal",3,4,20,28,16,94,2,167,404
24027,"Honoré-Mercier/Honoré-Mercier"," 160","Montréal",1,1,34,30,5,80,1,152,601
24027,"Honoré-Mercier/Honoré-Mercier"," 161","Montréal",0,0,31,26,8,62,4,131,340
24027,"Honoré-Mercier/Honoré-Mercier"," 162","Montréal",0,9,36,19,17,112,5,198,458
24027,"Honoré-Mercier/Honoré-Mercier"," 163","Montréal",2,3,25,25,6,75,2,138,517
24027,"Honoré-Mercier/Honoré-Mercier"," 164","Montréal",1,1,13,32,11,86,3,147,366
24027,"Honoré-Mercier/Honoré-Mercier"," 165","Montréal",3,5,30,36,19,124,11,228,529
24027,"Honoré-Mercier/Honoré-Mercier"," 166","Montréal",2,4,41,49,9,131,2,238,554
24027,"Honoré-Mercier/Honoré-Mercier"," 167","Montréal",2,8,34,33,10,113,4,204,443
24027,"Honoré-Mercier/Honoré-Mercier"," 168","Montréal",0,2,24,28,0,83,1,138,309
24027,"Honoré-Mercier/Honoré-Mercier"," 169","Montréal",0,0,26,10,6,70,1,113,469
24027,"Honoré-Mercier/Honoré-Mercier"," 170","Montréal",2,0,25,33,5,59,0,124,356
24027,"Honoré-Mercier/Honoré-Mercier"," 171","Montréal",0,0,10,15,0,50,0,75,357
24027,"Honoré-Mercier/Honoré-Mercier"," 172","Montréal",0,1,12,31,7,70,2,123,412
24027,"Honoré-Mercier/Honoré-Mercier"," 173","Montréal",1,1,8,23,0,69,3,105,351
24027,"Honoré-Mercier/Honoré-Mercier"," 174","Montréal",0,1,23,43,14,82,2,165,414
24027,"Honoré-Mercier/Honoré-Mercier"," 175","Montréal",3,0,20,30,7,75,4,139,418
24027,"Honoré-Mercier/Honoré-Mercier"," 176","Montréal",1,0,15,33,4,109,3,165,522
24027,"Honoré-Mercier/Honoré-Mercier"," 400","Montréal",1,4,18,11,10,37,5,86,160
24027,"Honoré-Mercier/Honoré-Mercier"," 401A","Montréal",4,1,28,12,1,58,1,105,174
24027,"Honoré-Mercier/Honoré-Mercier"," 401B","Montréal",2,2,38,9,2,65,2,120,170
24027,"Honoré-Mercier/Honoré-Mercier"," 401C","Montréal",1,1,33,7,1,71,5,119,155
24027,"Honoré-Mercier/Honoré-Mercier"," 401D","Montréal",1,2,40,9,0,67,8,127,165
24027,"Honoré-Mercier/Honoré-Mercier"," 401E","Montréal",1,2,54,6,2,113,1,179,259
24027,"Honoré-Mercier/Honoré-Mercier"," 402A","Montréal",1,0,58,13,0,109,4,185,257
24027,"Honoré-Mercier/Honoré-Mercier"," 402B","Montréal",7,2,50,22,1,135,4,221,264
24027,"Honoré-Mercier/Honoré-Mercier"," 402C","Montréal",1,2,51,8,2,134,4,202,261
24027,"Honoré-Mercier/Honoré-Mercier"," 403","Montréal",2,5,32,8,2,74,7,130,158
24027,"Honoré-Mercier/Honoré-Mercier"," 404","Montréal",2,5,54,5,4,141,8,219,314
24027,"Honoré-Mercier/Honoré-Mercier"," 405","Montréal",1,3,39,9,2,74,3,131,175
24027,"Honoré-Mercier/Honoré-Mercier"," 500","Mobile poll/Bureau itinérant",3,1,25,17,2,76,6,130,82
24027,"Honoré-Mercier/Honoré-Mercier"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,91
24027,"Honoré-Mercier/Honoré-Mercier"," 502","Mobile poll/Bureau itinérant",3,2,14,6,2,42,1,70,82
24027,"Honoré-Mercier/Honoré-Mercier"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,65
24027,"Honoré-Mercier/Honoré-Mercier"," 504","Mobile poll/Bureau itinérant",2,1,13,4,3,24,0,47,38
24027,"Honoré-Mercier/Honoré-Mercier"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,46
24027,"Honoré-Mercier/Honoré-Mercier"," 506","Mobile poll/Bureau itinérant",1,1,4,1,0,22,2,31,165
24027,"Honoré-Mercier/Honoré-Mercier"," 507","Montréal",Combined with No./Résultats combinés à ceux du n°138,,,,,,,,0
24027,"Honoré-Mercier/Honoré-Mercier"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,,54
24027,"Honoré-Mercier/Honoré-Mercier"," 509","Mobile poll/Bureau itinérant",4,1,26,9,2,54,6,102,108
24027,"Honoré-Mercier/Honoré-Mercier"," 600","Montréal",13,13,172,307,40,707,8,1260,
24027,"Honoré-Mercier/Honoré-Mercier"," 601","Montréal",3,4,115,265,31,671,11,1100,
24027,"Honoré-Mercier/Honoré-Mercier"," 602","Montréal",3,8,55,208,24,529,10,837,
24027,"Honoré-Mercier/Honoré-Mercier"," 603","Montréal",4,8,95,278,28,770,9,1192,
24027,"Honoré-Mercier/Honoré-Mercier"," 604","Montréal",2,6,80,190,10,615,7,910,
24027,"Honoré-Mercier/Honoré-Mercier"," 605","Montréal",9,6,98,166,20,608,4,911,
24027,"Honoré-Mercier/Honoré-Mercier"," 606","Montréal",4,5,116,225,29,761,12,1152,
24027,"Honoré-Mercier/Honoré-Mercier"," 607","Montréal",7,14,97,249,31,847,51,1296,
24027,"Honoré-Mercier/Honoré-Mercier"," 608","Montréal",7,6,28,225,22,542,4,834,
24027,"Honoré-Mercier/Honoré-Mercier"," 609","Montréal",1,8,127,96,8,416,4,660,
24027,"Honoré-Mercier/Honoré-Mercier"," 610","Montréal",5,7,153,88,18,439,7,717,
24027,"Honoré-Mercier/Honoré-Mercier"," 611","Montréal",5,7,184,168,26,820,9,1219,
24027,"Honoré-Mercier/Honoré-Mercier"," 612","Montréal",1,3,77,56,15,327,5,484,
24027,"Honoré-Mercier/Honoré-Mercier"," 613","Montréal",2,2,173,101,17,488,8,791,
24027,"Honoré-Mercier/Honoré-Mercier"," 614","Montréal",1,8,206,85,31,488,3,822,
24027,"Honoré-Mercier/Honoré-Mercier"," 615","Montréal",3,6,142,70,8,389,8,626,
24027,"Honoré-Mercier/Honoré-Mercier"," 616","Montréal",8,2,110,120,10,406,9,665,
24027,"Honoré-Mercier/Honoré-Mercier"," 617","Montréal",5,4,172,90,14,405,17,707,
24027,"Honoré-Mercier/Honoré-Mercier",,Group 1/Groupe 1, 5,5,36,56,22,267,42,433,138
24027,"Honoré-Mercier/Honoré-Mercier",,Group 2/Groupe 2, 2,9,132,171,41,658,31,1044,
