Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Tim Hodgson,Mimi Lee,Lionel Loganathan,Aftab Qureshi,Haider Qureshi,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35057,"Markham--Thornhill/Markham--Thornhill"," 67","Markham",64,0,49,2,0,1,116,430
35057,"Markham--Thornhill/Markham--Thornhill"," 68","Markham",74,6,72,6,0,3,161,556
35057,"Markham--Thornhill/Markham--Thornhill"," 69","Markham",73,3,74,3,2,1,156,402
35057,"Markham--Thornhill/Markham--Thornhill"," 70","Markham",61,4,52,3,1,0,121,365
35057,"Markham--Thornhill/Markham--Thornhill"," 71","Markham",49,5,66,1,0,1,122,477
35057,"Markham--Thornhill/Markham--Thornhill"," 72","Markham",65,8,77,9,1,3,163,416
35057,"Markham--Thornhill/Markham--Thornhill"," 73","Markham",50,1,52,6,0,1,110,342
35057,"Markham--Thornhill/Markham--Thornhill"," 74","Markham",62,5,50,2,0,0,119,425
35057,"Markham--Thornhill/Markham--Thornhill"," 75","Markham",58,7,41,3,0,0,109,395
35057,"Markham--Thornhill/Markham--Thornhill"," 76","Markham",92,6,62,2,0,1,163,348
35057,"Markham--Thornhill/Markham--Thornhill"," 77","Markham",107,4,68,6,1,0,186,454
35057,"Markham--Thornhill/Markham--Thornhill"," 78","Markham",114,5,76,7,0,1,203,466
35057,"Markham--Thornhill/Markham--Thornhill"," 79","Markham",133,3,84,10,0,2,232,574
35057,"Markham--Thornhill/Markham--Thornhill"," 80","Markham",38,0,77,3,0,0,118,316
35057,"Markham--Thornhill/Markham--Thornhill"," 81","Markham",123,5,81,6,3,1,219,500
35057,"Markham--Thornhill/Markham--Thornhill"," 82","Markham",66,9,77,4,1,1,158,467
35057,"Markham--Thornhill/Markham--Thornhill"," 83","Markham",100,2,50,6,7,0,165,532
35057,"Markham--Thornhill/Markham--Thornhill"," 84","Markham",103,3,72,3,0,0,181,513
35057,"Markham--Thornhill/Markham--Thornhill"," 85","Markham",93,0,70,8,0,0,171,440
35057,"Markham--Thornhill/Markham--Thornhill"," 86","Markham",109,5,79,4,1,0,198,509
35057,"Markham--Thornhill/Markham--Thornhill"," 87","Markham",55,3,50,2,1,1,112,375
35057,"Markham--Thornhill/Markham--Thornhill"," 88","Markham",58,6,51,2,0,1,118,403
35057,"Markham--Thornhill/Markham--Thornhill"," 89","Markham",45,2,37,3,0,0,87,357
35057,"Markham--Thornhill/Markham--Thornhill"," 90","Markham",59,0,45,2,2,1,109,422
35057,"Markham--Thornhill/Markham--Thornhill"," 91","Markham",45,7,46,2,1,0,101,398
35057,"Markham--Thornhill/Markham--Thornhill"," 92","Markham",60,0,56,3,0,0,119,322
35057,"Markham--Thornhill/Markham--Thornhill"," 93","Markham",73,0,62,2,0,1,138,335
35057,"Markham--Thornhill/Markham--Thornhill"," 94","Markham",68,2,66,0,0,0,136,317
35057,"Markham--Thornhill/Markham--Thornhill"," 95","Markham",101,4,74,3,2,1,185,454
35057,"Markham--Thornhill/Markham--Thornhill"," 96","Markham",72,6,81,6,1,1,167,479
35057,"Markham--Thornhill/Markham--Thornhill"," 97","Markham",40,1,53,2,0,3,99,372
35057,"Markham--Thornhill/Markham--Thornhill"," 98","Markham",65,4,51,3,2,2,127,404
35057,"Markham--Thornhill/Markham--Thornhill"," 99","Markham",69,6,48,2,2,0,127,334
35057,"Markham--Thornhill/Markham--Thornhill"," 100","Markham",81,1,56,0,0,2,140,421
35057,"Markham--Thornhill/Markham--Thornhill"," 101","Markham",97,4,76,1,0,1,179,494
35057,"Markham--Thornhill/Markham--Thornhill"," 102","Markham",148,4,85,5,1,1,244,536
35057,"Markham--Thornhill/Markham--Thornhill"," 103","Markham",71,1,80,4,0,0,156,360
35057,"Markham--Thornhill/Markham--Thornhill"," 104","Markham",88,3,55,6,0,1,153,476
35057,"Markham--Thornhill/Markham--Thornhill"," 105","Markham",99,4,67,2,2,0,174,438
35057,"Markham--Thornhill/Markham--Thornhill"," 106","Markham",75,5,61,7,0,1,149,350
35057,"Markham--Thornhill/Markham--Thornhill"," 107","Markham",73,4,76,6,0,1,160,448
35057,"Markham--Thornhill/Markham--Thornhill"," 108","Markham",75,2,48,5,1,0,131,362
35057,"Markham--Thornhill/Markham--Thornhill"," 109","Markham",91,4,51,1,0,2,149,387
35057,"Markham--Thornhill/Markham--Thornhill"," 110","Markham",45,4,42,4,0,0,95,490
35057,"Markham--Thornhill/Markham--Thornhill"," 111","Markham",101,3,82,7,3,0,196,433
35057,"Markham--Thornhill/Markham--Thornhill"," 112","Markham",48,1,40,3,0,0,92,432
35057,"Markham--Thornhill/Markham--Thornhill"," 113A","Markham",100,6,89,2,2,2,201,502
35057,"Markham--Thornhill/Markham--Thornhill"," 113B","Markham",Combined with No./Résultats combinés à ceux du n°405A,,,,,,,235
35057,"Markham--Thornhill/Markham--Thornhill"," 114","Markham",56,2,43,1,0,0,102,449
35057,"Markham--Thornhill/Markham--Thornhill"," 115","Markham",68,2,66,1,0,0,137,407
35057,"Markham--Thornhill/Markham--Thornhill"," 116","Markham",58,3,51,3,0,0,115,446
35057,"Markham--Thornhill/Markham--Thornhill"," 117","Markham",28,1,49,0,0,1,79,396
35057,"Markham--Thornhill/Markham--Thornhill"," 118","Markham",42,0,51,3,1,0,97,407
35057,"Markham--Thornhill/Markham--Thornhill"," 119","Markham",62,4,47,5,0,0,118,390
35057,"Markham--Thornhill/Markham--Thornhill"," 120","Markham",82,6,85,0,3,0,176,577
35057,"Markham--Thornhill/Markham--Thornhill"," 121","Markham",114,3,97,7,0,7,228,495
35057,"Markham--Thornhill/Markham--Thornhill"," 122","Markham",71,4,60,3,0,1,139,325
35057,"Markham--Thornhill/Markham--Thornhill"," 123","Markham",64,7,75,0,1,0,147,366
35057,"Markham--Thornhill/Markham--Thornhill"," 124","Markham",126,3,91,4,0,0,224,526
35057,"Markham--Thornhill/Markham--Thornhill"," 125","Markham",96,3,54,1,0,2,156,425
35057,"Markham--Thornhill/Markham--Thornhill"," 126","Markham",74,2,80,1,1,1,159,419
35057,"Markham--Thornhill/Markham--Thornhill"," 127","Markham",84,5,89,5,1,3,187,466
35057,"Markham--Thornhill/Markham--Thornhill"," 128","Markham",68,4,55,1,0,1,129,456
35057,"Markham--Thornhill/Markham--Thornhill"," 129","Markham",38,0,91,0,0,1,130,420
35057,"Markham--Thornhill/Markham--Thornhill"," 130","Markham",77,2,47,3,0,0,129,432
35057,"Markham--Thornhill/Markham--Thornhill"," 131","Markham",29,0,40,3,0,2,74,299
35057,"Markham--Thornhill/Markham--Thornhill"," 132","Markham",50,2,57,1,0,0,110,439
35057,"Markham--Thornhill/Markham--Thornhill"," 133","Markham",65,1,58,2,1,0,127,398
35057,"Markham--Thornhill/Markham--Thornhill"," 134","Markham",41,3,56,0,0,0,100,335
35057,"Markham--Thornhill/Markham--Thornhill"," 135","Markham",33,1,48,2,0,0,84,403
35057,"Markham--Thornhill/Markham--Thornhill"," 136","Markham",56,3,59,0,0,1,119,410
35057,"Markham--Thornhill/Markham--Thornhill"," 137","Markham",49,0,79,2,0,0,130,442
35057,"Markham--Thornhill/Markham--Thornhill"," 138","Markham",65,7,80,2,1,1,156,423
35057,"Markham--Thornhill/Markham--Thornhill"," 139","Markham",92,2,79,2,0,1,176,506
35057,"Markham--Thornhill/Markham--Thornhill"," 140","Markham",89,3,96,1,0,0,189,512
35057,"Markham--Thornhill/Markham--Thornhill"," 141","Markham",49,3,59,3,0,0,114,369
35057,"Markham--Thornhill/Markham--Thornhill"," 142","Markham",50,1,68,0,1,0,120,412
35057,"Markham--Thornhill/Markham--Thornhill"," 143","Markham",44,0,56,0,0,1,101,373
35057,"Markham--Thornhill/Markham--Thornhill"," 144","Markham",49,3,56,2,0,1,111,428
35057,"Markham--Thornhill/Markham--Thornhill"," 145","Markham",50,1,52,2,0,0,105,421
35057,"Markham--Thornhill/Markham--Thornhill"," 146","Markham",47,3,68,3,0,0,121,424
35057,"Markham--Thornhill/Markham--Thornhill"," 147","Markham",44,0,64,3,0,0,111,281
35057,"Markham--Thornhill/Markham--Thornhill"," 148","Markham",71,3,61,2,1,0,138,431
35057,"Markham--Thornhill/Markham--Thornhill"," 149","Markham",70,0,62,2,0,0,134,385
35057,"Markham--Thornhill/Markham--Thornhill"," 150","Markham",50,0,58,4,3,3,118,369
35057,"Markham--Thornhill/Markham--Thornhill"," 151","Markham",101,2,119,5,0,0,227,534
35057,"Markham--Thornhill/Markham--Thornhill"," 152","Markham",86,0,96,0,0,0,182,497
35057,"Markham--Thornhill/Markham--Thornhill"," 153","Markham",80,2,94,5,0,1,182,582
35057,"Markham--Thornhill/Markham--Thornhill"," 154","Markham",91,0,75,6,0,0,172,463
35057,"Markham--Thornhill/Markham--Thornhill"," 155","Markham",113,0,103,1,0,1,218,483
35057,"Markham--Thornhill/Markham--Thornhill"," 156","Markham",75,3,80,9,1,1,169,460
35057,"Markham--Thornhill/Markham--Thornhill"," 157","Markham",83,0,77,3,0,0,163,452
35057,"Markham--Thornhill/Markham--Thornhill"," 158","Markham",98,5,111,2,0,2,218,508
35057,"Markham--Thornhill/Markham--Thornhill"," 159","Markham",106,2,97,5,1,0,211,482
35057,"Markham--Thornhill/Markham--Thornhill"," 160","Markham",142,1,105,3,0,1,252,544
35057,"Markham--Thornhill/Markham--Thornhill"," 161","Markham",83,2,83,3,0,1,172,436
35057,"Markham--Thornhill/Markham--Thornhill"," 162","Markham",113,4,92,2,0,0,211,460
35057,"Markham--Thornhill/Markham--Thornhill"," 163","Markham",27,1,49,1,0,0,78,320
35057,"Markham--Thornhill/Markham--Thornhill"," 164","Markham",61,2,60,2,0,0,125,420
35057,"Markham--Thornhill/Markham--Thornhill"," 165","Markham",44,0,57,0,0,1,102,325
35057,"Markham--Thornhill/Markham--Thornhill"," 166","Markham",44,2,76,5,0,0,127,371
35057,"Markham--Thornhill/Markham--Thornhill"," 167","Markham",42,0,55,0,0,0,97,364
35057,"Markham--Thornhill/Markham--Thornhill"," 400","Markham",55,3,40,1,0,3,102,244
35057,"Markham--Thornhill/Markham--Thornhill"," 401","Markham",115,3,72,5,1,2,198,303
35057,"Markham--Thornhill/Markham--Thornhill"," 402","Markham",40,3,39,4,2,0,88,171
35057,"Markham--Thornhill/Markham--Thornhill"," 403","Markham",24,4,25,2,0,0,55,122
35057,"Markham--Thornhill/Markham--Thornhill"," 404","Markham",44,8,18,2,1,1,74,138
35057,"Markham--Thornhill/Markham--Thornhill"," 405A","Markham",207,14,82,3,6,6,318,289
35057,"Markham--Thornhill/Markham--Thornhill"," 405B","Markham",118,7,39,5,3,2,174,274
35057,"Markham--Thornhill/Markham--Thornhill"," 406","Markham",168,4,105,3,0,3,283,509
35057,"Markham--Thornhill/Markham--Thornhill"," 407","Markham",176,6,117,5,0,1,305,601
35057,"Markham--Thornhill/Markham--Thornhill"," 408","Markham",161,8,124,5,0,2,300,647
35057,"Markham--Thornhill/Markham--Thornhill"," 409","Markham",18,5,32,2,0,2,59,93
35057,"Markham--Thornhill/Markham--Thornhill"," 410","Markham",25,0,63,0,1,1,90,149
35057,"Markham--Thornhill/Markham--Thornhill"," 600","Markham",611,6,598,10,2,5,1232,
35057,"Markham--Thornhill/Markham--Thornhill"," 601","Markham",775,14,702,22,2,2,1517,
35057,"Markham--Thornhill/Markham--Thornhill"," 602","Markham",732,19,518,22,3,8,1302,
35057,"Markham--Thornhill/Markham--Thornhill"," 603","Markham",910,7,795,16,0,4,1732,
35057,"Markham--Thornhill/Markham--Thornhill"," 604","Markham",632,25,413,21,4,5,1100,
35057,"Markham--Thornhill/Markham--Thornhill"," 605","Markham",635,27,400,11,5,7,1085,
35057,"Markham--Thornhill/Markham--Thornhill"," 606","Markham",842,18,478,13,2,3,1356,
35057,"Markham--Thornhill/Markham--Thornhill"," 607","Markham",623,15,310,22,1,6,977,
35057,"Markham--Thornhill/Markham--Thornhill"," 608","Markham",825,14,445,42,10,7,1343,
35057,"Markham--Thornhill/Markham--Thornhill"," 609","Markham",721,11,376,30,5,4,1147,
35057,"Markham--Thornhill/Markham--Thornhill"," 610","Markham",826,8,492,29,5,6,1366,
35057,"Markham--Thornhill/Markham--Thornhill"," 611","Markham",709,16,383,18,3,4,1133,
35057,"Markham--Thornhill/Markham--Thornhill"," 612","Markham",480,5,299,8,0,5,797,
35057,"Markham--Thornhill/Markham--Thornhill"," 613","Markham",644,9,357,9,6,1,1026,
35057,"Markham--Thornhill/Markham--Thornhill"," 614","Markham",825,13,595,20,3,4,1460,
35057,"Markham--Thornhill/Markham--Thornhill"," 615","Markham",607,8,448,15,1,3,1082,
35057,"Markham--Thornhill/Markham--Thornhill",,Group 1/Groupe 1, 484,7,286,21,0,40,838,383
35057,"Markham--Thornhill/Markham--Thornhill",,Group 2/Groupe 2, 599,9,347,9,3,18,985,
