Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Corinne Benson,Gurleen Chandi,Harpreet Grewal,Jagsharan Singh Mahal,Martin Schuetza,Amarjeet Sohi,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 21","Edmonton",1,0,12,109,4,75,1,202,412
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 22","Edmonton",0,2,16,79,0,68,0,165,411
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 23","Edmonton",5,3,16,105,3,79,1,212,463
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 24","Edmonton",0,1,21,87,3,78,0,190,452
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 25","Edmonton",0,2,13,129,3,66,1,214,411
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 26","Edmonton",1,1,17,81,2,57,2,161,373
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 27","Edmonton",1,0,24,123,4,102,1,255,537
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 28","Edmonton",3,2,11,107,2,68,0,193,504
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 29","Edmonton",0,2,14,149,2,83,1,251,621
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 30","Edmonton",0,2,13,108,4,110,4,241,563
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 31","Edmonton",2,1,14,115,5,82,4,223,581
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 32","Edmonton",0,1,22,128,1,126,3,281,607
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 33","Edmonton",0,3,21,168,3,97,6,298,618
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 34","Edmonton",0,3,28,148,5,115,1,300,693
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 35","Edmonton",3,1,7,107,2,62,1,183,419
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 36","Edmonton",2,0,7,90,5,59,1,164,482
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 37","Edmonton",0,2,12,72,4,35,1,126,374
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 38","Edmonton",2,2,16,108,6,67,5,206,476
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 39","Edmonton",0,0,10,77,1,38,1,127,389
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 40","Edmonton",1,1,8,101,2,73,1,187,468
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 41","Edmonton",0,0,11,72,1,62,2,148,442
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 42","Edmonton",0,2,5,105,3,94,2,211,522
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 43","Edmonton",1,0,20,117,2,69,1,210,465
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 44","Edmonton",1,0,14,83,2,75,1,176,402
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 45","Edmonton",2,1,4,83,0,60,2,152,470
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 46","Edmonton",1,0,9,104,0,76,2,192,535
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 47","Edmonton",0,2,8,112,0,87,5,214,641
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 48","Edmonton",1,0,18,94,4,96,2,215,445
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 49","Edmonton",0,0,17,110,3,61,1,192,470
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 50","Edmonton",2,2,11,86,2,72,1,176,456
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 51","Edmonton",0,0,10,77,1,68,3,159,364
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 52","Edmonton",0,2,10,81,2,53,2,150,375
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 53A","Edmonton",0,0,15,57,2,42,0,116,482
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 53B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,58
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 54","Edmonton",0,0,7,56,1,50,2,116,434
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 55","Edmonton",0,0,6,97,2,74,0,179,523
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 56","Edmonton",0,0,10,104,2,67,2,185,473
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 57","Edmonton",1,1,16,201,9,112,2,342,931
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 58","Edmonton",0,2,5,91,3,56,4,161,406
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 59","Edmonton",1,0,5,98,0,77,0,181,541
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 60","Edmonton",0,0,14,99,5,61,4,183,466
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 61","Edmonton",2,0,9,88,2,82,2,185,514
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 62","Edmonton",0,1,9,172,2,113,7,304,661
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 63","Edmonton",5,1,9,149,2,144,4,314,749
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 64","Edmonton",0,1,18,114,4,70,1,208,527
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 65","Edmonton",1,0,9,79,2,49,5,145,395
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 66","Edmonton",Combined with No./Résultats combinés à ceux du n°102,,,,,,,,3
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 67","Edmonton",1,5,15,73,5,65,1,165,369
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 68","Edmonton",0,2,6,97,0,59,1,165,360
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 69","Edmonton",0,0,16,128,4,87,4,239,658
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 70","Edmonton",2,0,18,72,3,65,1,161,374
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 71","Edmonton",1,0,11,75,5,83,2,177,402
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 72","Edmonton",1,2,8,101,3,94,0,209,578
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 73","Edmonton",1,2,6,107,2,63,4,185,544
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 74","Edmonton",0,0,9,129,3,50,0,191,499
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 75","Edmonton",1,1,7,94,6,66,3,178,562
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 76","Edmonton",2,0,5,83,1,60,2,153,448
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 77","Edmonton",2,3,14,117,1,47,6,190,454
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 78","Edmonton",1,0,1,80,0,49,2,133,453
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 79","Edmonton",1,0,3,68,3,59,0,134,438
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 80","Edmonton",4,1,10,97,3,56,1,172,415
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 81","Edmonton",1,2,7,66,3,69,1,149,404
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 82","Edmonton",2,1,4,92,2,51,1,153,358
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 83","Edmonton",1,1,10,92,3,54,1,162,404
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 84","Edmonton",2,2,5,80,0,55,0,144,418
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 85","Edmonton",1,1,18,112,9,81,1,223,562
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 86","Edmonton",3,3,25,111,4,118,1,265,637
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 87","Edmonton",3,0,16,116,3,87,0,225,539
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 88","Edmonton",0,4,13,68,1,73,3,162,409
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 89","Edmonton",2,0,8,47,2,54,1,114,361
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 90","Edmonton",0,1,16,89,1,78,4,189,408
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 91","Edmonton",3,1,11,84,3,62,2,166,436
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 92","Edmonton",1,1,12,76,0,59,0,149,384
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 93","Edmonton",4,0,13,78,3,59,2,159,406
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 94","Edmonton",1,1,17,95,1,35,1,151,372
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 95","Edmonton",1,0,15,90,1,50,2,159,349
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 96","Edmonton",2,2,13,114,4,85,1,221,526
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 97","Edmonton",1,1,12,79,1,75,0,169,414
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 98","Edmonton",2,0,6,92,4,80,1,185,470
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 99","Edmonton",3,1,7,111,5,75,2,204,444
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 100","Edmonton",1,0,15,103,1,66,1,187,414
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 101","Edmonton",1,1,17,116,2,77,0,214,489
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 102","Edmonton",2,1,8,104,0,58,0,173,425
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 103","Edmonton",2,0,11,115,4,77,0,209,595
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 104","Edmonton",1,1,9,95,1,56,0,163,465
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 105","Edmonton",2,2,11,100,2,71,0,188,569
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 106","Edmonton",3,1,12,151,2,68,3,240,562
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 107","Edmonton",1,0,4,62,0,59,1,127,480
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 108","Edmonton",1,0,3,121,2,50,1,178,534
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 109","Edmonton",1,0,11,150,0,50,0,212,311
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 110","Edmonton",Combined with No./Résultats combinés à ceux du n°109,,,,,,,,229
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 111","Edmonton",1,2,13,124,1,78,2,221,510
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 112","Edmonton",2,2,25,160,6,116,2,313,703
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 113","Edmonton",0,0,16,123,1,79,0,219,456
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 114","Edmonton",3,2,11,119,7,83,1,226,424
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 115","Edmonton",2,1,12,120,0,86,2,223,451
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 116","Edmonton",0,0,14,124,4,61,1,204,415
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 117","Edmonton",2,1,15,115,2,72,0,207,755
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 118","Edmonton",0,1,22,128,4,83,0,238,692
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 119","Edmonton",0,1,7,111,3,65,0,187,553
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 120","Edmonton",1,2,6,125,2,72,0,208,760
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 121","Edmonton",0,1,6,130,0,74,0,211,711
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 122","Edmonton",2,3,6,116,2,59,1,189,581
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 123","Edmonton",0,1,5,73,0,46,0,125,443
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 124","Edmonton",0,2,2,99,1,51,0,155,558
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 125","Edmonton",3,2,4,155,4,86,2,256,893
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 126","Edmonton",3,0,15,125,3,83,1,230,528
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 127","Edmonton",5,3,14,151,2,114,1,290,664
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 128","Edmonton",0,2,8,121,2,111,4,248,586
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 129","Edmonton",1,0,13,123,77,4,0,218,630
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 130","Edmonton",1,2,6,81,2,71,0,163,483
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 131","Edmonton",3,0,9,64,1,47,0,124,422
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 132","Edmonton",1,2,10,68,0,43,0,124,392
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 133","Edmonton",3,3,7,70,4,46,2,135,490
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 134","Edmonton",1,1,8,96,2,26,0,134,415
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 135","Edmonton",3,1,7,88,1,53,7,160,600
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 136","Edmonton",0,1,2,99,4,58,3,167,658
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 137","Edmonton",1,1,7,87,2,56,3,157,541
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 138","Edmonton",1,2,12,203,3,134,6,361,1158
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 139","Edmonton",1,2,7,83,0,50,1,144,469
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 140","Edmonton",0,3,7,110,6,83,9,218,749
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 141","Edmonton",0,1,6,53,2,29,2,93,316
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 142","Edmonton",1,0,4,79,3,23,4,114,323
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 500","Mobile poll/Bureau itinérant",2,8,24,69,7,35,1,146,91
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,41
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 502","Mobile poll/Bureau itinérant",0,1,7,64,4,58,3,137,163
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,109
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 504","Mobile poll/Bureau itinérant",0,1,15,96,2,71,3,188,153
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,,119
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 600","Edmonton",0,3,37,358,8,317,1,724,
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 601","Edmonton",1,9,50,617,17,500,2,1196,
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 602","Edmonton",4,16,86,778,14,705,7,1610,
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 603","Edmonton",9,9,61,728,17,557,7,1388,
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 604","Edmonton",3,0,20,301,3,134,5,466,
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 605","Edmonton",4,8,59,718,7,591,7,1394,
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 606","Edmonton",2,10,56,655,11,623,9,1366,
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 607","Edmonton",7,3,55,399,4,422,3,893,
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 608","Edmonton",5,4,40,377,6,252,2,686,
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 609","Edmonton",2,0,49,447,16,357,3,874,
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 610","Edmonton",4,4,45,623,5,360,3,1044,
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 611","Edmonton",19,10,92,1210,24,810,11,2176,
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 612","Edmonton",4,7,48,634,8,424,2,1127,
48021,"Edmonton Southeast/Edmonton-Sud-Est"," 613","Edmonton",2,12,47,762,15,424,4,1266,
48021,"Edmonton Southeast/Edmonton-Sud-Est",,Group 1/Groupe 1, 8,3,43,301,10,312,49,726,193
48021,"Edmonton Southeast/Edmonton-Sud-Est",,Group 2/Groupe 2, 25,20,141,1504,273,1458,93,3514,
