Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Laurie Baird,Reggie Goldsbury,Kallee Lins,Steven Maffioli,Rob Morrison,James Wiedrick,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 82","Nelson",0,41,71,3,73,3,0,191,427
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 83","Nelson",0,47,76,1,54,3,1,182,416
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 84","Nelson",1,40,42,4,57,3,0,147,418
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 85","Nelson",0,31,78,2,45,5,0,161,392
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 86","Nelson",0,40,65,2,64,8,0,179,479
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 87","Blewett",3,36,38,7,61,2,0,147,369
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 88A","Nelson",1,18,35,2,37,1,1,95,288
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 88B","Nelson",0,36,35,2,43,4,0,120,277
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 89A","Kimberley",1,40,22,3,52,4,0,122,335
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 89B","Kimberley",0,43,14,1,50,1,1,110,298
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 90A","East Kootenay E",1,36,17,2,54,1,0,111,293
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 90B","East Kootenay E",0,19,18,1,34,0,1,73,271
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 91","Kimberley",1,46,43,1,59,5,0,155,443
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 92","Kimberley",1,47,21,1,96,3,0,169,451
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 93","Kimberley",1,50,43,4,89,0,0,187,507
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 94","Kimberley",1,31,32,4,64,0,2,134,392
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 95A","East Kootenay E",1,41,22,1,85,0,0,150,389
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 95B","East Kootenay E",1,40,22,0,89,3,0,155,399
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 96","Ymir",1,24,53,11,50,3,2,144,333
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 97","Boswell",2,50,8,3,109,3,2,177,329
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 98","Park Siding",0,28,16,0,89,0,1,134,245
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 99","Fruitvale",5,79,43,0,147,2,6,282,467
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 100","Kootenay Boundary A",0,67,40,2,128,2,0,239,409
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 101","Trail",1,36,33,0,60,1,0,131,398
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 102A","Trail",0,28,10,1,29,0,0,68,242
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 102B","Trail",0,16,8,1,38,6,0,69,262
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 103","Trail",3,45,20,2,53,1,0,124,481
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 104","Kootenay 1",0,11,13,2,12,1,0,39,106
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 105","Cranbrook",0,29,12,3,78,2,0,124,227
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 106","Cranbrook",Combined with No./Résultats combinés à ceux du n°107,,,,,,,,3
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 107","Kootenay 1",0,36,13,0,65,0,1,115,328
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 108","Cranbrook",1,39,19,3,54,3,1,120,336
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 109","Cranbrook",0,30,24,0,61,2,0,117,451
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 110","Cranbrook",1,40,21,1,83,1,1,148,462
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 111","Cranbrook",0,31,7,3,73,1,0,115,415
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 112A","Cranbrook",1,16,11,0,50,1,0,79,267
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 112B","Cranbrook",2,21,12,0,38,1,0,74,272
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 113","Cranbrook",5,34,25,4,105,5,0,178,479
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 114A","East Kootenay C",1,14,9,0,50,0,0,74,283
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 114B","East Kootenay C",4,23,6,0,63,1,0,97,298
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 115","Jim Smith Lake",1,24,8,2,78,3,0,116,400
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 116","Cranbrook",2,30,17,5,52,1,0,107,407
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 117","Cranbrook",0,24,13,0,51,3,0,91,448
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 118","Cranbrook",1,29,14,3,104,1,1,153,497
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 119A","Cranbrook",1,25,17,3,67,2,0,115,402
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 119B","Cranbrook",0,22,18,2,71,0,1,114,393
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 120","Jim Smith Lake",2,22,15,1,95,2,2,139,405
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 121A","Cranbrook",0,22,8,0,51,1,0,82,266
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 121B","Cranbrook",0,23,15,0,54,0,0,92,295
