Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Dan Albas,Harpreet Badohal,Louise Lecouffe,Debbie Robinson,Juliette Sicotte,Gary Suddard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 37","West Kelowna",72,0,1,0,36,0,1,110,491
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 38","West Kelowna",83,5,0,1,65,0,0,154,465
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 39","West Kelowna",Combined with No./Résultats combinés à ceux du n°40,,,,,,,,318
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 40","West Kelowna",127,4,2,1,120,0,0,254,339
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 41","West Kelowna",95,12,2,2,60,2,1,174,534
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 42","West Kelowna",82,19,1,3,49,1,0,155,452
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 43","West Kelowna",122,11,2,0,62,0,0,197,504
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 44","West Kelowna",88,6,4,1,43,0,0,142,426
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 45","West Kelowna",87,7,2,0,79,0,0,175,482
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 46","West Kelowna",78,13,8,1,68,2,1,171,730
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 47","Tsinstikeptum  9",71,5,1,2,38,0,0,117,410
