Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Sandra Cobena,Anna Gollen,Jennifer McLachlan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35068,"Newmarket--Aurora/Newmarket--Aurora"," 22C","Mobile poll/Bureau itinérant",44,2,39,3,88,108
35068,"Newmarket--Aurora/Newmarket--Aurora"," 23","Newmarket",105,4,96,3,208,445
35068,"Newmarket--Aurora/Newmarket--Aurora"," 24","Newmarket",92,6,116,2,216,482
35068,"Newmarket--Aurora/Newmarket--Aurora"," 25","Newmarket",103,1,103,2,209,471
35068,"Newmarket--Aurora/Newmarket--Aurora"," 26A","Newmarket",97,7,70,0,174,515
35068,"Newmarket--Aurora/Newmarket--Aurora"," 26B","Mobile poll/Bureau itinérant",20,9,38,0,67,63
35068,"Newmarket--Aurora/Newmarket--Aurora"," 27","Newmarket",87,6,88,0,181,435
35068,"Newmarket--Aurora/Newmarket--Aurora"," 28","Newmarket",110,9,109,1,229,526
35068,"Newmarket--Aurora/Newmarket--Aurora"," 29","Newmarket",57,4,71,1,133,437
35068,"Newmarket--Aurora/Newmarket--Aurora"," 30","Newmarket",111,7,71,3,192,440
35068,"Newmarket--Aurora/Newmarket--Aurora"," 31","Newmarket",99,11,97,0,207,439
35068,"Newmarket--Aurora/Newmarket--Aurora"," 32","Newmarket",72,4,86,4,166,397
35068,"Newmarket--Aurora/Newmarket--Aurora"," 33","Newmarket",90,9,54,3,156,402
35068,"Newmarket--Aurora/Newmarket--Aurora"," 34","Newmarket",65,3,50,2,120,381
35068,"Newmarket--Aurora/Newmarket--Aurora"," 35","Newmarket",98,5,59,0,162,454
35068,"Newmarket--Aurora/Newmarket--Aurora"," 36","Newmarket",70,4,48,0,122,371
35068,"Newmarket--Aurora/Newmarket--Aurora"," 37","Newmarket",57,6,45,0,108,364
35068,"Newmarket--Aurora/Newmarket--Aurora"," 38","East Gwillimbury",169,10,106,2,287,626
35068,"Newmarket--Aurora/Newmarket--Aurora"," 39","Newmarket",136,8,98,3,245,594
35068,"Newmarket--Aurora/Newmarket--Aurora"," 40A","East Gwillimbury",143,4,78,3,228,315
35068,"Newmarket--Aurora/Newmarket--Aurora"," 40B","East Gwillimbury",130,2,96,5,233,348
35068,"Newmarket--Aurora/Newmarket--Aurora"," 41","Newmarket",113,7,65,4,189,433
35068,"Newmarket--Aurora/Newmarket--Aurora"," 42","Newmarket",126,7,77,3,213,549
35068,"Newmarket--Aurora/Newmarket--Aurora"," 43","East Gwillimbury",114,6,81,1,202,477
35068,"Newmarket--Aurora/Newmarket--Aurora"," 44","Newmarket",141,8,100,2,251,599
35068,"Newmarket--Aurora/Newmarket--Aurora"," 45","Newmarket",131,4,82,3,220,495
35068,"Newmarket--Aurora/Newmarket--Aurora"," 46","Newmarket",112,2,69,0,183,478
35068,"Newmarket--Aurora/Newmarket--Aurora"," 47","Newmarket",135,5,70,2,212,556
35068,"Newmarket--Aurora/Newmarket--Aurora"," 48","Newmarket",143,4,66,2,215,502
35068,"Newmarket--Aurora/Newmarket--Aurora"," 49A","Newmarket",Combined with No./Résultats combinés à ceux du n°40A,,,,,212
35068,"Newmarket--Aurora/Newmarket--Aurora"," 49B","Newmarket",Combined with No./Résultats combinés à ceux du n°40B,,,,,179
