Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,David Brazil,Otis Crandell,Samuel Crête,Mary Shortall,Joanne Thompson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10006,"St. John's East/St. John's-Est"," 28","Torbay",50,0,0,14,52,1,117,330
10006,"St. John's East/St. John's-Est"," 29","Torbay",68,0,0,4,91,2,165,365
10006,"St. John's East/St. John's-Est"," 30","Torbay",35,2,0,9,65,0,111,281
10006,"St. John's East/St. John's-Est"," 31","Torbay",32,1,0,6,52,1,92,257
10006,"St. John's East/St. John's-Est"," 32","Torbay",48,1,1,15,60,0,125,331
10006,"St. John's East/St. John's-Est"," 33","Torbay",41,0,0,13,83,0,137,336
10006,"St. John's East/St. John's-Est"," 34","Torbay",33,0,0,8,49,0,90,263
10006,"St. John's East/St. John's-Est"," 35","Torbay",45,0,0,6,54,1,106,287
10006,"St. John's East/St. John's-Est"," 36","Torbay",49,0,0,10,56,0,115,289
10006,"St. John's East/St. John's-Est"," 37","Torbay",49,0,0,6,61,0,116,290
10006,"St. John's East/St. John's-Est"," 38","Torbay",63,0,0,7,70,2,142,332
10006,"St. John's East/St. John's-Est"," 39","Bauline",79,1,0,14,114,1,209,368
10006,"St. John's East/St. John's-Est"," 40","Bauline",74,0,0,18,100,3,195,375
10006,"St. John's East/St. John's-Est"," 41","Portugal Cove-St. Philip's",100,0,0,14,115,2,231,436
10006,"St. John's East/St. John's-Est"," 42","Portugal Cove-St. Philip's",75,0,0,7,94,3,179,403
10006,"St. John's East/St. John's-Est"," 43","Portugal Cove-St. Philip's",70,0,0,14,74,1,159,326
10006,"St. John's East/St. John's-Est"," 44","Portugal Cove-St. Philip's",81,0,1,20,78,3,183,396
10006,"St. John's East/St. John's-Est"," 45","Portugal Cove-St. Philip's",73,2,0,19,79,2,175,347
10006,"St. John's East/St. John's-Est"," 46","Portugal Cove-St. Philip's",67,1,0,24,89,2,183,371
10006,"St. John's East/St. John's-Est"," 47","Portugal Cove-St. Philip's",64,1,1,13,88,2,169,394
10006,"St. John's East/St. John's-Est"," 48","St. John's",55,1,0,5,123,5,189,509
10006,"St. John's East/St. John's-Est"," 49","St. John's",21,0,0,9,69,0,99,360
10006,"St. John's East/St. John's-Est"," 50","St. John's",40,0,0,6,107,2,155,399
10006,"St. John's East/St. John's-Est"," 51","St. John's",45,0,2,13,127,1,188,501
10006,"St. John's East/St. John's-Est"," 52","St. John's",33,0,0,9,56,1,99,328
10006,"St. John's East/St. John's-Est"," 53","St. John's",30,1,0,12,76,1,120,411
10006,"St. John's East/St. John's-Est"," 54","St. John's",32,1,0,9,85,0,127,409
10006,"St. John's East/St. John's-Est"," 55","St. John's",31,1,0,27,67,0,126,456
10006,"St. John's East/St. John's-Est"," 56","St. John's",42,1,1,10,107,1,162,506
10006,"St. John's East/St. John's-Est"," 57","St. John's",30,1,0,19,95,2,147,358
10006,"St. John's East/St. John's-Est"," 58","St. John's",36,0,1,36,65,2,140,388
10006,"St. John's East/St. John's-Est"," 59","St. John's",24,2,0,13,95,0,134,356
10006,"St. John's East/St. John's-Est"," 60","St. John's",26,0,0,12,79,3,120,399
10006,"St. John's East/St. John's-Est"," 61","St. John's",35,1,0,26,114,0,176,505
10006,"St. John's East/St. John's-Est"," 62","St. John's",26,0,0,24,68,2,120,459
10006,"St. John's East/St. John's-Est"," 63","St. John's",42,2,0,3,129,1,177,436
10006,"St. John's East/St. John's-Est"," 64","St. John's",35,0,0,28,92,3,158,466
10006,"St. John's East/St. John's-Est"," 65","St. John's",43,1,1,27,89,2,163,406
10006,"St. John's East/St. John's-Est"," 66","St. John's",43,0,1,44,102,2,192,466
10006,"St. John's East/St. John's-Est"," 67","St. John's",41,0,2,38,119,1,201,444
10006,"St. John's East/St. John's-Est"," 68","St. John's",39,0,0,21,80,1,141,369
10006,"St. John's East/St. John's-Est"," 69","St. John's",39,1,0,23,126,3,192,430
10006,"St. John's East/St. John's-Est"," 70","St. John's",36,1,0,15,106,0,158,426
10006,"St. John's East/St. John's-Est"," 71","St. John's",30,0,0,24,89,1,144,401
10006,"St. John's East/St. John's-Est"," 72","St. John's",38,1,1,13,111,1,165,481
10006,"St. John's East/St. John's-Est"," 73","St. John's",30,0,0,6,74,0,110,354
10006,"St. John's East/St. John's-Est"," 74","St. John's",38,0,0,21,73,0,132,350
10006,"St. John's East/St. John's-Est"," 75","St. John's",32,0,0,29,88,1,150,506
10006,"St. John's East/St. John's-Est"," 76","St. John's",35,0,0,14,68,0,117,445
10006,"St. John's East/St. John's-Est"," 77","St. John's",46,0,1,15,91,1,154,444
10006,"St. John's East/St. John's-Est"," 78","St. John's",23,0,0,36,70,1,130,417
10006,"St. John's East/St. John's-Est"," 79","St. John's",20,1,2,17,59,2,101,387
10006,"St. John's East/St. John's-Est"," 80","St. John's",27,0,1,25,78,0,131,438
10006,"St. John's East/St. John's-Est"," 81","St. John's",20,0,0,17,101,1,139,334
10006,"St. John's East/St. John's-Est"," 82","St. John's",34,0,1,26,156,0,217,481
10006,"St. John's East/St. John's-Est"," 83","St. John's",24,0,0,22,73,1,120,387
10006,"St. John's East/St. John's-Est"," 84","St. John's",34,1,0,16,68,2,121,400
10006,"St. John's East/St. John's-Est"," 85","St. John's",72,0,0,5,110,0,187,465
10006,"St. John's East/St. John's-Est"," 86","St. John's",55,0,1,13,95,0,164,374
10006,"St. John's East/St. John's-Est"," 87","St. John's",49,0,1,20,82,0,152,356
10006,"St. John's East/St. John's-Est"," 88","St. John's",34,0,0,17,70,1,122,328
10006,"St. John's East/St. John's-Est"," 89","St. John's",59,0,0,7,118,1,185,449
10006,"St. John's East/St. John's-Est"," 90","St. John's",56,1,0,19,91,0,167,411
10006,"St. John's East/St. John's-Est"," 91","St. John's",55,0,0,19,100,1,175,404
10006,"St. John's East/St. John's-Est"," 92","St. John's",59,0,0,19,106,4,188,499
10006,"St. John's East/St. John's-Est"," 93","St. John's",46,0,0,15,85,0,146,410
10006,"St. John's East/St. John's-Est"," 94","St. John's",36,0,0,11,94,0,141,425
10006,"St. John's East/St. John's-Est"," 95","St. John's",33,1,0,10,90,3,137,394
10006,"St. John's East/St. John's-Est"," 96","St. John's",42,2,0,22,85,2,153,378
10006,"St. John's East/St. John's-Est"," 97","St. John's",17,0,1,12,56,1,87,323
10006,"St. John's East/St. John's-Est"," 98","St. John's",43,1,2,15,99,0,160,488
10006,"St. John's East/St. John's-Est"," 99","St. John's",24,0,0,9,104,0,137,385
10006,"St. John's East/St. John's-Est"," 100","St. John's",33,1,0,18,100,1,153,420
10006,"St. John's East/St. John's-Est"," 101","St. John's",44,0,1,25,133,2,205,472
10006,"St. John's East/St. John's-Est"," 102","St. John's",31,1,1,24,135,0,192,410
10006,"St. John's East/St. John's-Est"," 103","St. John's",50,0,1,26,73,1,151,478
10006,"St. John's East/St. John's-Est"," 104","St. John's",54,1,0,46,107,1,209,499
10006,"St. John's East/St. John's-Est"," 105","St. John's",11,1,1,32,61,0,106,346
10006,"St. John's East/St. John's-Est"," 106","St. John's",15,0,0,26,57,0,98,373
10006,"St. John's East/St. John's-Est"," 107","St. John's",19,1,0,30,66,0,116,392
10006,"St. John's East/St. John's-Est"," 108","St. John's",14,2,2,19,55,0,92,347
10006,"St. John's East/St. John's-Est"," 109","St. John's",24,2,0,48,97,0,171,386
10006,"St. John's East/St. John's-Est"," 110","St. John's",10,0,4,36,106,0,156,385
10006,"St. John's East/St. John's-Est"," 111","St. John's",12,2,2,48,84,0,148,405
10006,"St. John's East/St. John's-Est"," 112","St. John's",48,2,2,16,158,0,226,474
10006,"St. John's East/St. John's-Est"," 113","St. John's",42,1,0,19,117,0,179,454
10006,"St. John's East/St. John's-Est"," 114","St. John's",36,0,1,6,78,0,121,352
10006,"St. John's East/St. John's-Est"," 115","St. John's",28,4,1,22,145,0,200,503
10006,"St. John's East/St. John's-Est"," 116","St. John's",30,0,2,39,108,0,179,409
10006,"St. John's East/St. John's-Est"," 117","St. John's",19,1,0,27,70,0,117,439
10006,"St. John's East/St. John's-Est"," 118","St. John's",16,1,0,49,73,0,139,377
10006,"St. John's East/St. John's-Est"," 119","St. John's",18,2,0,21,81,3,125,354
10006,"St. John's East/St. John's-Est"," 120","St. John's",26,1,0,42,54,2,125,430
10006,"St. John's East/St. John's-Est"," 121","St. John's",22,3,0,47,112,0,184,458
10006,"St. John's East/St. John's-Est"," 122","St. John's",14,0,0,16,53,0,83,349
10006,"St. John's East/St. John's-Est"," 123","St. John's",25,2,2,27,47,1,104,355
10006,"St. John's East/St. John's-Est"," 124","St. John's",24,4,1,20,108,3,160,429
10006,"St. John's East/St. John's-Est"," 125","St. John's",17,1,3,20,75,0,116,362
10006,"St. John's East/St. John's-Est"," 126","St. John's",9,0,0,23,52,1,85,325
10006,"St. John's East/St. John's-Est"," 127","St. John's",24,1,0,31,47,0,103,338
10006,"St. John's East/St. John's-Est"," 128","St. John's",19,2,1,33,67,0,122,373
10006,"St. John's East/St. John's-Est"," 129","St. John's",19,1,1,25,47,0,93,361
10006,"St. John's East/St. John's-Est"," 130","St. John's",21,2,1,29,86,1,140,347
10006,"St. John's East/St. John's-Est"," 131","St. John's",28,2,0,28,38,0,96,321
10006,"St. John's East/St. John's-Est"," 132","St. John's",10,0,1,16,88,1,116,323
10006,"St. John's East/St. John's-Est"," 133","St. John's",27,1,0,6,76,0,110,348
10006,"St. John's East/St. John's-Est"," 134","St. John's",44,1,1,16,81,2,145,433
10006,"St. John's East/St. John's-Est"," 135","St. John's",20,1,0,12,65,2,100,348
10006,"St. John's East/St. John's-Est"," 136","St. John's",21,0,2,14,67,1,105,319
10006,"St. John's East/St. John's-Est"," 137","St. John's",18,0,0,10,54,0,82,318
10006,"St. John's East/St. John's-Est"," 138","St. John's",38,0,0,15,74,0,127,407
10006,"St. John's East/St. John's-Est"," 139","St. John's",28,0,0,14,71,1,114,394
10006,"St. John's East/St. John's-Est"," 140","St. John's",33,0,0,18,60,1,112,319
10006,"St. John's East/St. John's-Est"," 141","St. John's",21,2,0,28,57,0,108,324
10006,"St. John's East/St. John's-Est"," 142","St. John's",11,0,1,34,76,0,122,333
10006,"St. John's East/St. John's-Est"," 143","St. John's",26,1,0,38,74,0,139,370
10006,"St. John's East/St. John's-Est"," 144","St. John's",38,3,1,23,62,1,128,389
10006,"St. John's East/St. John's-Est"," 145","St. John's",26,0,1,35,72,0,134,326
10006,"St. John's East/St. John's-Est"," 146","St. John's",38,0,0,20,70,1,129,371
10006,"St. John's East/St. John's-Est"," 147","St. John's",25,0,0,21,55,0,101,335
10006,"St. John's East/St. John's-Est"," 148","Wabana",54,1,0,2,20,1,78,292
10006,"St. John's East/St. John's-Est"," 149","Wabana",59,0,0,8,20,0,87,224
10006,"St. John's East/St. John's-Est"," 150","Wabana",55,0,0,6,23,2,86,286
10006,"St. John's East/St. John's-Est"," 151","Wabana",68,0,0,5,23,3,99,289
10006,"St. John's East/St. John's-Est"," 152","Portugal Cove-St. Philip's",59,0,0,15,85,2,161,368
10006,"St. John's East/St. John's-Est"," 153","Portugal Cove-St. Philip's",64,0,1,5,115,0,185,431
10006,"St. John's East/St. John's-Est"," 154","St. John's",48,1,0,14,79,5,147,362
10006,"St. John's East/St. John's-Est"," 155","Portugal Cove-St. Philip's",55,0,0,10,70,0,135,377
10006,"St. John's East/St. John's-Est"," 156","Portugal Cove-St. Philip's",50,0,0,12,68,0,130,416
10006,"St. John's East/St. John's-Est"," 157","Portugal Cove-St. Philip's",49,0,0,8,68,0,125,349
10006,"St. John's East/St. John's-Est"," 158","Portugal Cove-St. Philip's",54,2,0,6,83,1,146,394
10006,"St. John's East/St. John's-Est"," 159","Portugal Cove-St. Philip's",71,1,0,12,63,0,147,340
10006,"St. John's East/St. John's-Est"," 160","Portugal Cove-St. Philip's",82,1,0,12,70,0,165,358
10006,"St. John's East/St. John's-Est"," 161","Portugal Cove-St. Philip's",84,0,0,13,78,1,176,396
10006,"St. John's East/St. John's-Est"," 162","Portugal Cove-St. Philip's",78,0,0,8,85,0,171,357
10006,"St. John's East/St. John's-Est"," 163","St. John's",64,0,1,9,132,0,206,514
10006,"St. John's East/St. John's-Est"," 164","St. John's",52,1,1,19,100,0,173,493
10006,"St. John's East/St. John's-Est"," 165","St. John's",72,1,0,14,95,0,182,499
10006,"St. John's East/St. John's-Est"," 166","St. John's",58,0,0,6,80,1,145,463
10006,"St. John's East/St. John's-Est"," 167","St. John's",60,0,0,11,104,0,175,516
10006,"St. John's East/St. John's-Est"," 168","St. John's",80,0,1,13,88,1,183,465
10006,"St. John's East/St. John's-Est"," 169","Wabana",53,0,0,3,19,0,75,265
10006,"St. John's East/St. John's-Est"," 170","Wabana",77,0,0,8,34,1,120,316
10006,"St. John's East/St. John's-Est"," 171","Freshwater",29,0,0,4,23,0,56,284
10006,"St. John's East/St. John's-Est"," 500","Mobile poll/Bureau itinérant",39,1,0,29,52,7,128,75
10006,"St. John's East/St. John's-Est"," 501","Mobile poll/Bureau itinérant",60,0,1,18,74,9,162,171
10006,"St. John's East/St. John's-Est"," 502","Mobile poll/Bureau itinérant",12,0,0,6,42,2,62,40
10006,"St. John's East/St. John's-Est"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,26
10006,"St. John's East/St. John's-Est"," 504","Mobile poll/Bureau itinérant",14,0,1,11,50,7,83,70
10006,"St. John's East/St. John's-Est"," 505","Mobile poll/Bureau itinérant",27,1,0,10,93,7,138,116
10006,"St. John's East/St. John's-Est"," 506","Mobile poll/Bureau itinérant",21,0,0,27,131,7,186,163
10006,"St. John's East/St. John's-Est"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,98
10006,"St. John's East/St. John's-Est"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,36
10006,"St. John's East/St. John's-Est"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,68
10006,"St. John's East/St. John's-Est"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,66
10006,"St. John's East/St. John's-Est"," 511","St. John's",Combined with No./Résultats combinés à ceux du n°122,,,,,,,7
10006,"St. John's East/St. John's-Est"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,93
10006,"St. John's East/St. John's-Est"," 513","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
10006,"St. John's East/St. John's-Est"," 600","Pouch Cove",213,3,0,54,285,2,557,
10006,"St. John's East/St. John's-Est"," 601","Bauline--Flatrock--Torbay",206,1,0,45,353,2,607,
10006,"St. John's East/St. John's-Est"," 602","Wabana",281,1,0,26,111,13,432,
10006,"St. John's East/St. John's-Est"," 603","Portugal Cove-St. Philip's",174,0,0,40,455,1,670,
10006,"St. John's East/St. John's-Est"," 604","St. John's",275,5,1,63,633,9,986,
10006,"St. John's East/St. John's-Est"," 605","St. John's",259,2,1,93,642,11,1008,
10006,"St. John's East/St. John's-Est"," 606","St. John's",113,4,0,100,432,3,652,
10006,"St. John's East/St. John's-Est"," 607","St. John's",237,1,2,61,694,7,1002,
10006,"St. John's East/St. John's-Est"," 608","Torbay",247,2,1,58,557,8,873,
10006,"St. John's East/St. John's-Est"," 609","Logy Bay-Middle Cove-Outer Cove--Torbay",222,0,1,46,529,4,802,
10006,"St. John's East/St. John's-Est"," 610","St. John's",213,2,0,84,999,9,1307,
10006,"St. John's East/St. John's-Est"," 611","St. John's",164,3,3,88,786,7,1051,
10006,"St. John's East/St. John's-Est"," 612","St. John's",145,2,1,111,864,11,1134,
10006,"St. John's East/St. John's-Est"," 613","St. John's",143,3,1,72,652,3,874,
10006,"St. John's East/St. John's-Est"," 614","St. John's",105,2,4,111,662,10,894,
10006,"St. John's East/St. John's-Est"," 615","St. John's",147,0,0,150,805,12,1114,
10006,"St. John's East/St. John's-Est"," 616","St. John's",91,7,5,242,670,7,1022,
10006,"St. John's East/St. John's-Est",,Group 1/Groupe 1, 163,7,2,75,516,29,792,355
10006,"St. John's East/St. John's-Est",,Group 2/Groupe 2, 910,10,7,539,3830,72,5368,
