Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Daniel Birrell,Ashley Fearnall,Keri Goad,Wade Klassen,Jason Lavigne,Dane Lloyd,Kevin Schulthies,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48031,"Parkland/Parkland"," 37","Lac Ste. Anne County",0,29,7,0,6,148,1,0,191,390
48031,"Parkland/Parkland"," 38","Parkland County",0,18,5,0,2,135,1,1,162,341
48031,"Parkland/Parkland"," 39","Beach Corner",1,21,1,1,8,149,0,0,181,376
48031,"Parkland/Parkland"," 40","Beach Corner",2,37,10,0,2,140,0,0,191,383
48031,"Parkland/Parkland"," 41","Manly Corner",1,22,4,0,2,113,0,0,142,451
48031,"Parkland/Parkland"," 42","Manly Corner",0,17,4,0,3,97,0,1,122,287
48031,"Parkland/Parkland"," 43","Manly Corner",2,52,16,1,4,149,0,3,227,419
48031,"Parkland/Parkland"," 44","Parkland County",2,32,9,1,0,171,0,1,216,492
48031,"Parkland/Parkland"," 45","Carvel",2,34,7,2,10,158,0,1,214,378
48031,"Parkland/Parkland"," 46","Parkland County",2,23,13,0,0,141,1,1,181,356
48031,"Parkland/Parkland"," 47","Parkland County",0,12,5,0,4,118,0,1,140,254
48031,"Parkland/Parkland"," 48A","Wabamun 133A",1,50,15,1,0,11,0,1,79,270
48031,"Parkland/Parkland"," 48B","Wabamun 133A",2,49,13,1,0,22,0,2,89,213
48031,"Parkland/Parkland"," 49","Duffield",2,19,8,0,6,99,0,0,134,512
48031,"Parkland/Parkland"," 50","Parkland County",0,18,2,0,4,150,0,0,174,450
48031,"Parkland/Parkland"," 51","Parkland County",2,29,13,1,5,128,1,1,180,405
48031,"Parkland/Parkland"," 52","Beach Corner",2,50,10,0,3,198,1,0,264,503
48031,"Parkland/Parkland"," 53","Stony Plain",0,29,3,0,1,125,0,1,159,305
48031,"Parkland/Parkland"," 54","Spruce Grove",1,29,2,0,1,121,0,0,154,345
48031,"Parkland/Parkland"," 55","Spruce Grove",1,53,13,0,1,136,1,1,206,413
48031,"Parkland/Parkland"," 56","Moon Lake",1,7,1,1,12,200,0,1,223,390
48031,"Parkland/Parkland"," 57","Tomahawk",6,13,4,1,6,204,0,1,235,389
48031,"Parkland/Parkland"," 58","Parkland County",1,40,3,0,2,143,0,2,191,392
48031,"Parkland/Parkland"," 59","Parkland County",2,33,8,1,1,139,1,2,187,433
48031,"Parkland/Parkland"," 60A","Parkland County",0,31,16,1,2,104,1,1,156,483
48031,"Parkland/Parkland"," 60B","Parkland County",2,21,13,0,4,87,0,3,130,403
48031,"Parkland/Parkland"," 60C","Parkland County",0,22,13,0,8,99,1,2,145,464
48031,"Parkland/Parkland"," 61A","Spruce Grove",1,47,6,0,2,88,0,1,145,375
48031,"Parkland/Parkland"," 61B","Spruce Grove",0,29,6,0,1,65,0,0,101,315
48031,"Parkland/Parkland"," 62","Spruce Grove",1,30,11,0,0,131,0,1,174,437
48031,"Parkland/Parkland"," 63","Spruce Grove",0,34,14,0,3,124,0,1,176,443
48031,"Parkland/Parkland"," 64","Spruce Grove",2,45,9,0,3,134,0,0,193,525
48031,"Parkland/Parkland"," 65","Spruce Grove",2,23,8,1,1,137,1,0,173,480
48031,"Parkland/Parkland"," 66","Spruce Grove",2,33,14,2,1,105,1,1,159,548
48031,"Parkland/Parkland"," 67","Spruce Grove",2,35,10,0,4,141,0,0,192,499
48031,"Parkland/Parkland"," 68","Spruce Grove",3,29,17,4,1,159,0,0,213,523
48031,"Parkland/Parkland"," 69","Spruce Grove",4,36,3,1,4,125,0,2,175,458
48031,"Parkland/Parkland"," 70","Spruce Grove",0,48,9,0,3,127,0,1,188,513
48031,"Parkland/Parkland"," 71","Spruce Grove",2,29,8,0,1,118,0,0,158,438
48031,"Parkland/Parkland"," 72","Spruce Grove",2,28,4,0,5,128,0,1,168,437
48031,"Parkland/Parkland"," 73","Spruce Grove",0,47,11,1,0,132,0,0,191,538
48031,"Parkland/Parkland"," 74","Spruce Grove",0,29,17,0,2,119,3,1,171,427
48031,"Parkland/Parkland"," 75","Spruce Grove",1,47,15,0,2,146,0,0,211,579
48031,"Parkland/Parkland"," 76","Wabamun",1,13,5,1,1,82,1,0,104,292
48031,"Parkland/Parkland"," 77","Smithfield",4,21,9,0,4,99,2,1,140,357
48031,"Parkland/Parkland"," 78","Smithfield",0,14,1,1,2,72,0,0,90,309
48031,"Parkland/Parkland"," 79","Wabamun",1,16,10,1,0,76,0,0,104,363
48031,"Parkland/Parkland"," 80","Keephills",1,19,12,1,4,137,0,0,174,295
48031,"Parkland/Parkland"," 81","Spruce Grove",1,42,13,0,2,125,0,0,183,494
48031,"Parkland/Parkland"," 82","Spruce Grove",0,61,9,1,0,166,1,3,241,594
48031,"Parkland/Parkland"," 83","Spruce Grove",0,54,11,0,1,148,0,0,214,530
48031,"Parkland/Parkland"," 84","Spruce Grove",1,71,18,1,6,147,1,1,246,489
48031,"Parkland/Parkland"," 85","Spruce Grove",1,52,20,1,1,158,0,0,233,556
48031,"Parkland/Parkland"," 86","Spruce Grove",1,39,13,0,6,131,0,1,191,489
48031,"Parkland/Parkland"," 87","Spruce Grove",1,48,12,0,2,151,0,1,215,503
48031,"Parkland/Parkland"," 88","Spruce Grove",0,51,4,0,1,158,0,0,214,498
48031,"Parkland/Parkland"," 89","Spruce Grove",2,41,5,1,3,115,0,1,168,486
48031,"Parkland/Parkland"," 90","Spruce Grove",0,60,10,0,0,107,1,0,178,476
48031,"Parkland/Parkland"," 91","Spruce Grove",1,57,14,1,11,116,0,1,201,507
48031,"Parkland/Parkland"," 92","Spruce Grove",0,48,14,1,0,108,0,0,171,455
48031,"Parkland/Parkland"," 93","Spruce Grove",1,27,11,0,1,107,0,0,147,444
48031,"Parkland/Parkland"," 94","Stony Plain",2,43,9,1,0,126,1,0,182,506
48031,"Parkland/Parkland"," 95","Stony Plain",2,42,17,0,3,89,1,1,155,440
48031,"Parkland/Parkland"," 96","Stony Plain",3,34,16,2,2,115,0,0,172,460
48031,"Parkland/Parkland"," 97","Spruce Grove",2,41,9,0,1,147,0,0,200,495
48031,"Parkland/Parkland"," 98","Spruce Grove",0,52,19,3,9,136,0,1,220,496
48031,"Parkland/Parkland"," 99","Spruce Grove",5,64,12,0,1,179,1,1,263,548
48031,"Parkland/Parkland"," 100","Spruce Grove",1,48,23,0,5,153,2,0,232,512
48031,"Parkland/Parkland"," 101","Spruce Grove",1,40,8,1,0,123,0,1,174,459
48031,"Parkland/Parkland"," 102","Spruce Grove",0,68,8,1,0,105,1,1,184,415
48031,"Parkland/Parkland"," 103","Stony Plain",1,19,4,1,2,98,1,2,128,501
48031,"Parkland/Parkland"," 104","Stony Plain",1,29,11,0,1,108,0,1,151,464
48031,"Parkland/Parkland"," 105","Stony Plain",1,14,8,0,3,84,0,0,110,314
48031,"Parkland/Parkland"," 106","Stony Plain",1,24,9,4,3,81,0,0,122,375
48031,"Parkland/Parkland"," 107","Stony Plain",0,27,5,0,0,91,2,1,126,472
48031,"Parkland/Parkland"," 108","Stony Plain",0,33,6,1,4,123,1,2,170,455
48031,"Parkland/Parkland"," 109","Stony Plain",0,17,5,1,2,76,0,0,101,412
48031,"Parkland/Parkland"," 110","Stony Plain",0,21,7,0,1,96,0,1,126,401
48031,"Parkland/Parkland"," 111","Stony Plain",2,31,16,0,0,133,0,3,185,530
48031,"Parkland/Parkland"," 112","Stony Plain",0,31,9,0,5,93,0,1,139,516
48031,"Parkland/Parkland"," 113","Stony Plain",0,51,12,1,2,112,0,0,178,532
48031,"Parkland/Parkland"," 114","Acheson",1,23,2,0,1,103,0,0,130,333
48031,"Parkland/Parkland"," 115","Sturgeon County",0,22,0,0,0,69,0,0,91,301
48031,"Parkland/Parkland"," 116","Sturgeon County",1,37,1,0,3,164,0,0,206,590
48031,"Parkland/Parkland"," 117","Acheson",0,19,6,1,0,93,0,0,119,474
48031,"Parkland/Parkland"," 118","Stony Plain",3,19,4,1,1,68,2,0,98,416
48031,"Parkland/Parkland"," 119","Stony Plain",1,33,8,2,1,109,0,2,156,571
48031,"Parkland/Parkland"," 120A","Stony Plain",1,36,14,1,1,107,0,1,161,514
48031,"Parkland/Parkland"," 120B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,,,18
48031,"Parkland/Parkland"," 121","Stony Plain",0,22,7,0,4,130,0,2,165,480
48031,"Parkland/Parkland"," 122","Stony Plain",0,31,10,0,0,131,0,1,173,492
48031,"Parkland/Parkland"," 123","Spruce Grove",1,23,8,0,4,66,1,0,103,378
48031,"Parkland/Parkland"," 124","Spruce Grove",5,27,11,2,0,97,0,2,144,437
48031,"Parkland/Parkland"," 125","Stony Plain",2,31,8,0,5,80,2,0,128,462
48031,"Parkland/Parkland"," 126","Stony Plain",1,27,11,0,1,112,0,0,152,477
48031,"Parkland/Parkland"," 127","Stony Plain",2,39,7,0,5,136,2,1,192,469
48031,"Parkland/Parkland"," 128","Spruce Grove",1,39,11,0,1,131,0,1,184,456
48031,"Parkland/Parkland"," 129","Spruce Grove",2,34,9,0,3,152,0,0,200,478
48031,"Parkland/Parkland"," 130","Spruce Grove",3,41,15,0,4,129,0,0,192,484
48031,"Parkland/Parkland"," 131","Spruce Grove",0,32,16,1,4,122,1,0,176,433
48031,"Parkland/Parkland"," 132","Spruce Grove",2,33,21,2,5,112,1,1,177,546
48031,"Parkland/Parkland"," 133","Spruce Grove",0,32,12,1,4,108,0,1,158,474
48031,"Parkland/Parkland"," 134","Spruce Grove",0,34,7,1,1,121,1,0,165,492
48031,"Parkland/Parkland"," 135","Spruce Grove",2,32,11,1,0,91,0,1,138,392
48031,"Parkland/Parkland"," 136","Spruce Grove",2,39,14,0,3,100,0,1,159,393
48031,"Parkland/Parkland"," 137","Spruce Grove",2,30,4,1,1,99,0,0,137,361
48031,"Parkland/Parkland"," 138","Spruce Grove",4,36,7,0,4,94,1,0,146,432
48031,"Parkland/Parkland"," 139","Spruce Grove",1,26,16,0,2,102,0,0,147,474
48031,"Parkland/Parkland"," 140","Spruce Grove",0,42,17,2,2,121,0,1,185,503
48031,"Parkland/Parkland"," 141","Spruce Grove",0,34,19,0,3,123,3,1,183,473
48031,"Parkland/Parkland"," 142","Spruce Grove",2,47,22,0,7,116,0,1,195,446
48031,"Parkland/Parkland"," 143","Spring Lake",3,36,12,1,4,155,0,1,212,450
48031,"Parkland/Parkland"," 144","Parkland County",2,23,12,0,3,154,0,0,194,420
48031,"Parkland/Parkland"," 145","Stony Plain",4,29,9,0,3,104,0,0,149,461
48031,"Parkland/Parkland"," 146","Stony Plain",3,35,9,0,1,138,0,0,186,517
48031,"Parkland/Parkland"," 147","Stony Plain",0,48,7,1,1,114,0,0,171,490
48031,"Parkland/Parkland"," 148","Brazeau County",0,4,3,0,15,137,0,1,160,315
48031,"Parkland/Parkland"," 149","Rocky Rapids",1,6,2,3,4,110,1,1,128,341
48031,"Parkland/Parkland"," 150","Parkland County",2,30,9,0,6,163,1,1,212,428
48031,"Parkland/Parkland"," 151","Parkland County",1,30,6,1,8,171,0,0,217,451
48031,"Parkland/Parkland"," 152","Stony Plain",1,27,8,1,1,97,0,2,137,470
48031,"Parkland/Parkland"," 153","Stony Plain",0,40,9,0,1,132,0,0,182,550
48031,"Parkland/Parkland"," 154","Stony Plain",0,31,7,0,3,122,0,0,163,498
48031,"Parkland/Parkland"," 155","Stony Plain",0,26,8,0,0,129,0,1,164,438
48031,"Parkland/Parkland"," 156","Stony Plain",1,34,11,0,2,179,0,1,228,604
48031,"Parkland/Parkland"," 157","Stony Plain",1,39,4,0,3,125,0,1,173,465
48031,"Parkland/Parkland"," 158","Spruce Grove",1,54,13,0,1,141,0,0,210,555
48031,"Parkland/Parkland"," 159","Spruce Grove",0,20,10,0,0,104,0,1,135,387
48031,"Parkland/Parkland"," 160","Spruce Grove",2,50,13,0,0,117,1,1,184,456
48031,"Parkland/Parkland"," 161","Spruce Grove",1,36,9,0,2,122,2,1,173,503
48031,"Parkland/Parkland"," 162","Spruce Grove",1,28,6,0,1,77,0,0,113,286
48031,"Parkland/Parkland"," 163","Spruce Grove",0,40,5,1,0,114,1,0,161,429
48031,"Parkland/Parkland"," 164","Spruce Grove",4,23,12,2,5,101,0,2,149,503
48031,"Parkland/Parkland"," 165","Spruce Grove",1,54,7,1,0,109,1,0,173,513
48031,"Parkland/Parkland"," 166","Spruce Grove",0,27,4,1,0,88,0,0,120,284
48031,"Parkland/Parkland"," 167","Spruce Grove",1,20,2,0,1,79,1,3,107,342
48031,"Parkland/Parkland"," 168","Parkland County",1,19,7,1,6,130,0,1,165,389
48031,"Parkland/Parkland"," 169","Lodgepole",2,12,5,1,1,102,0,0,123,363
48031,"Parkland/Parkland"," 170","Brightbank",1,16,3,0,2,141,0,0,163,287
48031,"Parkland/Parkland"," 171","Brightbank",1,19,6,1,1,121,3,0,152,301
48031,"Parkland/Parkland"," 172","Stony Plain",1,30,2,0,1,154,0,1,189,470
48031,"Parkland/Parkland"," 173","Parkland County",0,19,4,0,1,95,0,0,119,324
48031,"Parkland/Parkland"," 174","Parkland County",0,31,9,0,8,105,3,0,156,299
48031,"Parkland/Parkland"," 175","Parkland County",3,34,8,0,3,176,1,5,230,508
48031,"Parkland/Parkland"," 176","Easyford",2,4,4,0,6,111,0,0,127,325
48031,"Parkland/Parkland"," 177","Easyford",1,7,6,0,7,82,0,0,103,303
48031,"Parkland/Parkland"," 178","Drayton Valley",0,8,1,1,5,112,0,0,127,393
48031,"Parkland/Parkland"," 179","Drayton Valley",0,9,2,1,3,82,0,0,97,282
48031,"Parkland/Parkland"," 180A","Drayton Valley",1,12,3,0,1,103,1,0,121,390
48031,"Parkland/Parkland"," 180B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°521,,,,,,,,,26
48031,"Parkland/Parkland"," 181","Drayton Valley",1,12,5,2,1,71,0,2,94,385
48031,"Parkland/Parkland"," 182","Drayton Valley",0,14,0,1,4,140,0,0,159,382
48031,"Parkland/Parkland"," 183","Drayton Valley",0,8,2,0,4,97,0,2,113,306
48031,"Parkland/Parkland"," 184","Drayton Valley",2,13,5,4,6,122,0,2,154,391
48031,"Parkland/Parkland"," 185","Drayton Valley",1,11,5,6,6,108,2,2,141,387
48031,"Parkland/Parkland"," 186","Drayton Valley",3,14,4,1,3,153,1,0,179,469
48031,"Parkland/Parkland"," 187","Drayton Valley",0,19,1,0,6,90,1,0,117,381
48031,"Parkland/Parkland"," 188A","Drayton Valley",1,7,0,0,4,87,2,0,101,303
48031,"Parkland/Parkland"," 188B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,,,,43
48031,"Parkland/Parkland"," 189","Drayton Valley",0,13,4,2,5,103,1,0,128,317
48031,"Parkland/Parkland"," 190A","Drayton Valley",0,10,2,0,1,83,0,0,96,361
48031,"Parkland/Parkland"," 190B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,,,,19
48031,"Parkland/Parkland"," 191","Drayton Valley",1,8,5,1,3,102,2,0,122,380
48031,"Parkland/Parkland"," 192","Drayton Valley",0,13,3,1,5,103,0,0,125,391
48031,"Parkland/Parkland"," 193","Drayton Valley",0,12,4,0,1,127,0,1,145,403
48031,"Parkland/Parkland"," 194","Drayton Valley",0,9,1,0,2,91,0,1,104,413
48031,"Parkland/Parkland"," 195","Drayton Valley",3,19,1,0,2,100,0,1,126,351
48031,"Parkland/Parkland"," 196","Drayton Valley",0,23,1,1,8,170,1,2,206,508
48031,"Parkland/Parkland"," 197","Buck Creek",0,1,5,6,6,138,2,1,159,348
48031,"Parkland/Parkland"," 198","Acheson",2,9,5,0,2,105,1,0,124,377
48031,"Parkland/Parkland"," 199","Parkland County",0,52,7,0,7,132,1,0,199,427
48031,"Parkland/Parkland"," 200","Parkland County",1,35,11,2,1,96,0,0,146,351
48031,"Parkland/Parkland"," 201","Parkland County",3,22,6,0,4,113,3,0,151,356
48031,"Parkland/Parkland"," 202","Parkland County",0,28,9,0,4,126,0,0,167,364
48031,"Parkland/Parkland"," 203A","Stony Plain 135",4,82,15,0,0,34,0,0,135,486
48031,"Parkland/Parkland"," 203B","Stony Plain 135",0,92,15,2,4,30,0,1,144,541
48031,"Parkland/Parkland"," 204","Berrymoor",3,10,2,1,5,171,1,2,195,334
48031,"Parkland/Parkland"," 205","Lindale",1,18,5,2,9,212,0,2,249,420
48031,"Parkland/Parkland"," 206","Holborn",0,26,2,0,4,146,0,0,178,267
48031,"Parkland/Parkland"," 207","Holborn",2,23,4,1,1,147,0,3,181,303
48031,"Parkland/Parkland"," 208","Violet Grove",0,3,3,0,10,133,2,0,151,285
48031,"Parkland/Parkland"," 209","Pembina",1,6,2,2,4,135,1,2,153,297
48031,"Parkland/Parkland"," 210","Parkland County",0,15,3,1,2,116,0,0,137,342
48031,"Parkland/Parkland"," 211","Golden Spike",1,21,4,5,1,120,0,1,153,356
48031,"Parkland/Parkland"," 212","Golden Spike",0,16,7,0,2,150,0,0,175,368
48031,"Parkland/Parkland"," 213","Parkland County",3,32,9,1,4,110,2,1,162,360
48031,"Parkland/Parkland"," 214","Spruce Grove",1,28,9,0,5,166,2,1,212,455
48031,"Parkland/Parkland"," 215","Woodbend",0,31,13,0,0,115,1,1,161,341
48031,"Parkland/Parkland"," 216","Spruce Grove",0,32,3,0,1,101,2,0,139,301
48031,"Parkland/Parkland"," 217","Spruce Grove",0,29,4,1,3,107,0,1,145,339
48031,"Parkland/Parkland"," 218","Spruce Grove",0,26,4,1,0,103,0,0,134,318
48031,"Parkland/Parkland"," 219","Carnwood",0,8,1,2,3,86,2,1,103,298
48031,"Parkland/Parkland"," 220","Alsike",3,10,5,0,1,93,0,0,112,287
48031,"Parkland/Parkland"," 221","Breton",0,9,6,4,5,113,7,0,144,317
48031,"Parkland/Parkland"," 222","Breton",1,12,2,2,11,127,2,0,157,325
48031,"Parkland/Parkland"," 223","Breton",4,9,0,0,5,98,0,1,117,319
48031,"Parkland/Parkland"," 224","Nordegg",Void/Supprimé,,,,,,,,,
48031,"Parkland/Parkland"," 400","Spruce Grove",0,45,7,1,2,91,3,3,152,246
48031,"Parkland/Parkland"," 401","Spruce Grove",0,25,5,1,4,71,0,0,106,198
48031,"Parkland/Parkland"," 500","Mobile poll/Bureau itinérant",0,8,3,1,1,49,2,8,72,3
48031,"Parkland/Parkland"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,,2
48031,"Parkland/Parkland"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,,3
48031,"Parkland/Parkland"," 503","Mobile poll/Bureau itinérant",2,7,3,0,1,32,0,0,45,46
48031,"Parkland/Parkland"," 504","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,
48031,"Parkland/Parkland"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,,,,31
48031,"Parkland/Parkland"," 506","Mobile poll/Bureau itinérant",2,14,8,0,1,43,0,1,69,79
48031,"Parkland/Parkland"," 507","Mobile poll/Bureau itinérant",1,11,4,0,0,26,0,1,43,97
48031,"Parkland/Parkland"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,,,37
48031,"Parkland/Parkland"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,,,,24
48031,"Parkland/Parkland"," 510","Mobile poll/Bureau itinérant",1,11,4,0,1,41,0,0,58,50
48031,"Parkland/Parkland"," 511","Mobile poll/Bureau itinérant",2,15,5,0,2,83,0,0,107,121
48031,"Parkland/Parkland"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,,29
48031,"Parkland/Parkland"," 513","Mobile poll/Bureau itinérant",0,24,4,1,2,74,1,6,112,108
48031,"Parkland/Parkland"," 514","Mobile poll/Bureau itinérant",0,5,0,1,0,24,0,3,33,31
48031,"Parkland/Parkland"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,,,16
48031,"Parkland/Parkland"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,,,25
48031,"Parkland/Parkland"," 517","Mobile poll/Bureau itinérant",2,10,2,2,0,56,1,1,74,87
48031,"Parkland/Parkland"," 518","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,
48031,"Parkland/Parkland"," 519","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°520,,,,,,,,,26
48031,"Parkland/Parkland"," 520","Mobile poll/Bureau itinérant",0,9,1,5,1,40,0,0,56,65
48031,"Parkland/Parkland"," 521","Mobile poll/Bureau itinérant",1,2,0,1,0,23,0,1,28,8
48031,"Parkland/Parkland"," 600","Carrot Creek",0,30,4,0,7,326,5,4,376,
48031,"Parkland/Parkland"," 601","Wildwood",2,61,21,2,19,593,3,2,703,
48031,"Parkland/Parkland"," 602","Mayerthorpe",4,66,23,6,12,667,2,4,784,
48031,"Parkland/Parkland"," 603","Wabamun",6,97,22,2,5,524,3,2,661,
48031,"Parkland/Parkland"," 604","Wabamun",9,140,52,3,11,825,4,1,1045,
48031,"Parkland/Parkland"," 605","Wabamun 133A",0,6,0,0,0,2,0,0,8,
48031,"Parkland/Parkland"," 606","Carvel",0,83,15,0,7,323,1,1,430,
48031,"Parkland/Parkland"," 607","Beach Corner",7,139,34,1,6,705,1,0,893,
48031,"Parkland/Parkland"," 608","Beach Corner",3,155,24,1,11,627,1,3,825,
48031,"Parkland/Parkland"," 609","Spruce Grove",9,253,29,6,22,964,2,3,1288,
48031,"Parkland/Parkland"," 610","Stony Plain 135",0,18,0,0,0,5,0,0,23,
48031,"Parkland/Parkland"," 611","Acheson--Enoch Cree Nation 135",5,154,28,2,4,523,0,3,719,
48031,"Parkland/Parkland"," 612","Spruce Grove",7,190,39,4,14,702,0,0,956,
48031,"Parkland/Parkland"," 613","Spruce Grove",7,363,64,3,13,942,3,5,1400,
48031,"Parkland/Parkland"," 614","Spruce Grove",4,374,61,2,14,1002,2,6,1465,
48031,"Parkland/Parkland"," 615","Spruce Grove",4,410,55,7,15,1104,3,3,1601,
48031,"Parkland/Parkland"," 616","Spruce Grove",5,372,57,3,16,939,1,3,1396,
48031,"Parkland/Parkland"," 617","Spruce Grove",6,387,43,1,10,1257,3,6,1713,
48031,"Parkland/Parkland"," 618","Spruce Grove",7,360,77,6,14,877,1,4,1346,
48031,"Parkland/Parkland"," 619","Stony Plain",6,270,62,9,16,1063,3,6,1435,
48031,"Parkland/Parkland"," 620","Parkland County",5,376,91,4,13,1351,2,2,1844,
48031,"Parkland/Parkland"," 621","Stony Plain",5,331,59,7,12,1101,4,1,1520,
48031,"Parkland/Parkland"," 622","Parkland County",0,96,15,2,8,452,0,1,574,
48031,"Parkland/Parkland"," 623","Golden Spike",9,179,41,4,19,694,3,8,957,
48031,"Parkland/Parkland"," 624","Warburg",0,45,16,1,21,423,7,1,514,
48031,"Parkland/Parkland"," 625","Brazeau County",1,86,8,4,13,614,1,1,728,
48031,"Parkland/Parkland"," 626","Drayton Valley",9,119,27,9,11,759,0,5,939,
48031,"Parkland/Parkland"," 627","Drayton Valley",2,51,8,5,18,657,0,1,742,
48031,"Parkland/Parkland",,Group 1/Groupe 1, 9,193,38,3,11,625,4,61,944,171
48031,"Parkland/Parkland",,Group 2/Groupe 2, 32,681,138,17,49,4514,11,79,5521,
