Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Justin Abando,Dean Allison,Ryan Anderson,Dave Bylsma,Jennifer Korstanje,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35072,"Niagara West/Niagara-Ouest"," 101","Lincoln",6,91,5,2,39,1,144,377
35072,"Niagara West/Niagara-Ouest"," 102","Lincoln",12,157,0,1,89,0,259,612
35072,"Niagara West/Niagara-Ouest"," 103","Lincoln",7,84,1,1,78,1,172,461
35072,"Niagara West/Niagara-Ouest"," 104","Lincoln",4,90,1,1,82,0,178,467
35072,"Niagara West/Niagara-Ouest"," 105","Lincoln",4,92,2,0,69,1,168,394
35072,"Niagara West/Niagara-Ouest"," 106","Lincoln",10,113,1,3,58,0,185,373
35072,"Niagara West/Niagara-Ouest"," 107","Lincoln",6,88,1,4,46,1,146,402
35072,"Niagara West/Niagara-Ouest"," 108","Lincoln",11,152,3,7,57,1,231,436
35072,"Niagara West/Niagara-Ouest"," 109","Lincoln",7,109,1,4,88,0,209,462
35072,"Niagara West/Niagara-Ouest"," 110","Lincoln",3,56,1,1,37,0,98,208
35072,"Niagara West/Niagara-Ouest"," 111","Lincoln",10,118,1,10,58,0,197,335
35072,"Niagara West/Niagara-Ouest"," 112","Lincoln",5,91,2,0,76,1,175,532
35072,"Niagara West/Niagara-Ouest"," 113","Lincoln",11,92,2,3,80,1,189,443
35072,"Niagara West/Niagara-Ouest"," 114","Lincoln",19,149,2,0,116,0,286,558
35072,"Niagara West/Niagara-Ouest"," 115","Lincoln",5,157,5,2,114,2,285,621
35072,"Niagara West/Niagara-Ouest"," 116","Lincoln",6,117,0,2,99,0,224,536
35072,"Niagara West/Niagara-Ouest"," 117","Grimsby",5,142,2,5,70,1,225,437
35072,"Niagara West/Niagara-Ouest"," 118","Grimsby",3,97,2,3,74,0,179,422
35072,"Niagara West/Niagara-Ouest"," 119","Grimsby",7,128,3,1,78,0,217,450
35072,"Niagara West/Niagara-Ouest"," 120","St. Catharines",10,108,1,1,66,0,186,367
35072,"Niagara West/Niagara-Ouest"," 121","Lincoln",5,101,6,1,55,2,170,345
35072,"Niagara West/Niagara-Ouest"," 122","Lincoln",5,105,1,4,49,0,164,432
35072,"Niagara West/Niagara-Ouest"," 123","Lincoln",15,192,1,11,94,0,313,528
35072,"Niagara West/Niagara-Ouest"," 124","West Lincoln",3,132,1,2,43,0,181,385
35072,"Niagara West/Niagara-Ouest"," 125","West Lincoln",4,96,1,8,55,0,164,370
35072,"Niagara West/Niagara-Ouest"," 126","West Lincoln",5,102,0,3,53,0,163,425
35072,"Niagara West/Niagara-Ouest"," 127","West Lincoln",8,123,2,1,56,0,190,513
35072,"Niagara West/Niagara-Ouest"," 128","Grimsby",8,142,1,2,75,1,229,399
35072,"Niagara West/Niagara-Ouest"," 129","West Lincoln",5,142,3,8,69,2,229,429
35072,"Niagara West/Niagara-Ouest"," 130","Fulton",6,128,3,4,39,0,180,342
35072,"Niagara West/Niagara-Ouest"," 131","West Lincoln",2,120,4,14,40,3,183,386
35072,"Niagara West/Niagara-Ouest"," 132","Lincoln",5,98,3,10,44,0,160,364
35072,"Niagara West/Niagara-Ouest"," 133","West Lincoln",12,167,3,2,64,1,249,604
35072,"Niagara West/Niagara-Ouest"," 134","West Lincoln",8,86,1,5,34,0,134,447
35072,"Niagara West/Niagara-Ouest"," 135","West Lincoln",5,118,3,5,49,0,180,459
35072,"Niagara West/Niagara-Ouest"," 136","Pelham",3,88,3,4,56,0,154,373
35072,"Niagara West/Niagara-Ouest"," 137","Pelham",4,114,1,2,65,1,187,397
35072,"Niagara West/Niagara-Ouest"," 138","Pelham",4,90,1,3,61,0,159,351
35072,"Niagara West/Niagara-Ouest"," 139","Pelham",11,104,6,9,60,0,190,371
35072,"Niagara West/Niagara-Ouest"," 140","West Lincoln",4,71,1,4,53,0,133,422
35072,"Niagara West/Niagara-Ouest"," 141","West Lincoln",6,85,0,2,80,1,174,473
35072,"Niagara West/Niagara-Ouest"," 142","West Lincoln",8,107,4,2,65,3,189,483
35072,"Niagara West/Niagara-Ouest"," 143","West Lincoln",4,121,0,6,64,0,195,435
35072,"Niagara West/Niagara-Ouest"," 144","West Lincoln",8,161,3,19,52,0,243,452
35072,"Niagara West/Niagara-Ouest"," 145","St. Anns",1,131,5,14,33,1,185,415
35072,"Niagara West/Niagara-Ouest"," 146","Pelham",0,54,0,0,72,1,127,430
35072,"Niagara West/Niagara-Ouest"," 147","Pelham",8,104,4,2,102,0,220,519
35072,"Niagara West/Niagara-Ouest"," 148","Pelham",5,75,1,0,35,1,117,419
35072,"Niagara West/Niagara-Ouest"," 149","Pelham",3,103,3,1,76,1,187,489
35072,"Niagara West/Niagara-Ouest"," 150","Pelham",11,79,1,3,78,4,176,405
35072,"Niagara West/Niagara-Ouest"," 151","Pelham",6,96,2,0,102,2,208,528
35072,"Niagara West/Niagara-Ouest"," 152","Pelham",6,63,1,0,79,0,149,327
35072,"Niagara West/Niagara-Ouest"," 153","Pelham",6,67,0,0,99,0,172,396
35072,"Niagara West/Niagara-Ouest"," 154","Pelham",7,120,0,0,97,1,225,480
35072,"Niagara West/Niagara-Ouest"," 155","Pelham",1,94,2,0,75,0,172,586
35072,"Niagara West/Niagara-Ouest"," 156","Pelham",15,137,1,1,125,2,281,735
35072,"Niagara West/Niagara-Ouest"," 157","Pelham",5,72,0,0,72,0,149,379
35072,"Niagara West/Niagara-Ouest"," 158","Pelham",3,79,0,0,69,2,153,446
35072,"Niagara West/Niagara-Ouest"," 159","West Lincoln",15,115,1,5,67,0,203,513
35072,"Niagara West/Niagara-Ouest"," 160","West Lincoln",3,118,3,4,40,0,168,283
35072,"Niagara West/Niagara-Ouest"," 161","West Lincoln",3,148,0,3,36,0,190,386
35072,"Niagara West/Niagara-Ouest"," 162","Pelham",6,103,0,0,75,0,184,464
35072,"Niagara West/Niagara-Ouest"," 163","Pelham",3,65,3,0,96,0,167,412
35072,"Niagara West/Niagara-Ouest"," 164","Pelham",5,87,2,1,85,0,180,425
35072,"Niagara West/Niagara-Ouest"," 165","Pelham",8,66,2,0,95,0,171,433
35072,"Niagara West/Niagara-Ouest"," 166","Pelham",2,59,0,0,89,0,150,382
35072,"Niagara West/Niagara-Ouest"," 167","Pelham",4,118,0,0,54,0,176,441
35072,"Niagara West/Niagara-Ouest"," 168","Pelham",4,113,0,3,43,0,163,387
35072,"Niagara West/Niagara-Ouest"," 169","Pelham",9,108,6,2,53,0,178,426
35072,"Niagara West/Niagara-Ouest"," 170","Pelham",6,71,0,1,63,0,141,429
35072,"Niagara West/Niagara-Ouest"," 171","Pelham",5,59,0,0,58,0,122,491
35072,"Niagara West/Niagara-Ouest"," 172","Pelham",6,75,0,0,83,1,165,373
35072,"Niagara West/Niagara-Ouest"," 173","Pelham",5,96,1,0,65,0,167,424
35072,"Niagara West/Niagara-Ouest"," 174","Pelham",8,77,1,1,105,1,193,427
35072,"Niagara West/Niagara-Ouest"," 175","Pelham",4,90,0,6,96,0,196,416
35072,"Niagara West/Niagara-Ouest"," 176","Pelham",5,100,0,1,124,0,230,441
35072,"Niagara West/Niagara-Ouest"," 177","West Lincoln",3,112,5,2,34,0,156,371
35072,"Niagara West/Niagara-Ouest"," 178","West Lincoln",3,117,1,4,23,1,149,380
35072,"Niagara West/Niagara-Ouest"," 179","West Lincoln",7,118,2,2,54,1,184,409
35072,"Niagara West/Niagara-Ouest"," 180","West Lincoln",12,117,0,5,56,0,190,393
35072,"Niagara West/Niagara-Ouest"," 181","Caistorville",6,150,0,4,63,3,226,457
35072,"Niagara West/Niagara-Ouest"," 182","West Lincoln",6,101,4,7,33,0,151,332
35072,"Niagara West/Niagara-Ouest"," 183","West Lincoln",2,87,3,12,21,0,125,222
35072,"Niagara West/Niagara-Ouest"," 184","Boyle",14,171,5,3,50,1,244,353
35072,"Niagara West/Niagara-Ouest"," 185","Pelham",9,112,4,0,67,0,192,437
35072,"Niagara West/Niagara-Ouest"," 186","Pelham",7,129,3,1,89,0,229,480
35072,"Niagara West/Niagara-Ouest"," 187","Pelham",7,146,2,0,53,0,208,445
35072,"Niagara West/Niagara-Ouest"," 188","Pelham",8,165,4,3,64,0,244,563
35072,"Niagara West/Niagara-Ouest"," 189","Wellandport",6,174,0,12,44,1,237,389
35072,"Niagara West/Niagara-Ouest"," 190","West Lincoln",5,167,3,9,32,2,218,406
35072,"Niagara West/Niagara-Ouest"," 191","Wellandport",5,154,0,4,33,0,196,325
35072,"Niagara West/Niagara-Ouest"," 192","Wainfleet",4,188,1,7,40,0,240,416
35072,"Niagara West/Niagara-Ouest"," 193","Wainfleet",2,230,3,9,48,0,292,458
35072,"Niagara West/Niagara-Ouest"," 194","Wainfleet",8,131,1,1,49,2,192,435
35072,"Niagara West/Niagara-Ouest"," 195","Wainfleet",7,106,0,0,32,0,145,390
35072,"Niagara West/Niagara-Ouest"," 196","Wainfleet",10,132,2,1,33,1,179,364
35072,"Niagara West/Niagara-Ouest"," 197","Wainfleet",5,168,3,4,65,0,245,389
35072,"Niagara West/Niagara-Ouest"," 198","Wainfleet",9,150,5,5,41,0,210,335
35072,"Niagara West/Niagara-Ouest"," 199","Wainfleet",5,118,2,6,33,0,164,337
35072,"Niagara West/Niagara-Ouest"," 200","Wainfleet",9,128,1,3,31,1,173,366
35072,"Niagara West/Niagara-Ouest"," 201","Wainfleet",5,70,1,0,68,1,145,327
35072,"Niagara West/Niagara-Ouest"," 202","Wainfleet",10,108,4,0,58,0,180,356
35072,"Niagara West/Niagara-Ouest"," 203","Wainfleet",11,161,3,0,47,0,222,426
35072,"Niagara West/Niagara-Ouest"," 204","Wainfleet",3,145,2,4,76,0,230,458
35072,"Niagara West/Niagara-Ouest"," 205","Wainfleet",6,84,2,0,73,1,166,439
35072,"Niagara West/Niagara-Ouest"," 400","Grimsby",3,45,1,1,36,0,86,135
35072,"Niagara West/Niagara-Ouest"," 401","Grimsby",Combined with No./Résultats combinés à ceux du n°400,,,,,,,114
35072,"Niagara West/Niagara-Ouest"," 402","Grimsby",Combined with No./Résultats combinés à ceux du n°24,,,,,,,170
35072,"Niagara West/Niagara-Ouest"," 403","Grimsby",Combined with No./Résultats combinés à ceux du n°404,,,,,,,140
35072,"Niagara West/Niagara-Ouest"," 404","Grimsby",5,105,0,1,65,0,176,391
35072,"Niagara West/Niagara-Ouest"," 405","Grimsby",Void/Supprimé,,,,,,,
35072,"Niagara West/Niagara-Ouest"," 406","Lincoln",Combined with No./Résultats combinés à ceux du n°78,,,,,,,253
35072,"Niagara West/Niagara-Ouest"," 500","St. Catharines",Combined with No./Résultats combinés à ceux du n°51,,,,,,,80
35072,"Niagara West/Niagara-Ouest"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,61
35072,"Niagara West/Niagara-Ouest"," 502","Mobile poll/Bureau itinérant",7,105,1,22,43,3,181,174
35072,"Niagara West/Niagara-Ouest"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,29
35072,"Niagara West/Niagara-Ouest"," 504","Mobile poll/Bureau itinérant",5,19,3,3,22,4,56,72
35072,"Niagara West/Niagara-Ouest"," 505","Mobile poll/Bureau itinérant",4,23,2,1,46,5,81,70
35072,"Niagara West/Niagara-Ouest"," 506","Mobile poll/Bureau itinérant",6,20,3,0,16,2,47,49
35072,"Niagara West/Niagara-Ouest"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,91
35072,"Niagara West/Niagara-Ouest"," 508","Mobile poll/Bureau itinérant",11,62,2,6,48,3,132,97
35072,"Niagara West/Niagara-Ouest"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,,118
35072,"Niagara West/Niagara-Ouest"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,57
35072,"Niagara West/Niagara-Ouest"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,17
35072,"Niagara West/Niagara-Ouest"," 512","Mobile poll/Bureau itinérant",11,31,3,3,55,1,104,86
35072,"Niagara West/Niagara-Ouest"," 513","Mobile poll/Bureau itinérant",12,49,1,1,66,2,131,221
35072,"Niagara West/Niagara-Ouest"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,37
35072,"Niagara West/Niagara-Ouest"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,39
35072,"Niagara West/Niagara-Ouest"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°517,,,,,,,47
35072,"Niagara West/Niagara-Ouest"," 517","Mobile poll/Bureau itinérant",4,49,0,0,75,1,129,180
35072,"Niagara West/Niagara-Ouest"," 600","Grimsby",31,831,9,4,904,10,1789,
35072,"Niagara West/Niagara-Ouest"," 601","Grimsby",38,495,10,3,749,2,1297,
35072,"Niagara West/Niagara-Ouest"," 602","Grimsby",32,821,12,10,1249,0,2124,
