Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Taylor Bachrach,Inderpal Dhillon,Ellis Ross,Rod Taylor,Adeana Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 7","Stewart",15,17,98,0,0,0,130,426
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 7-1","Bear Lake",Combined with No./Résultats combinés à ceux du n°7,,,,,,,0
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 8","Nisga’a",109,9,20,1,5,0,144,324
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 9","Port Clements",86,18,59,1,6,3,173,323
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 9-1","Juskatla",Combined with No./Résultats combinés à ceux du n°9,,,,,,,0
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 9-2","Sewall",Combined with No./Résultats combinés à ceux du n°9,,,,,,,0
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 9-3","Yaku",Combined with No./Résultats combinés à ceux du n°9,,,,,,,0
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 10","Nisga’a",88,9,19,1,1,1,119,325
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 11","Masset",Combined with No./Résultats combinés à ceux du n°11-1,,,,,,,166
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 11-1","Masset 1",108,16,12,2,18,1,157,363
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 12","Nisga’a",68,6,3,0,0,1,78,148
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 13","Nisga’a",Combined with No./Résultats combinés à ceux du n°14,,,,,,,243
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 14","Nisga’a",143,10,27,2,5,0,187,363
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 15","Masset",109,22,3,0,3,12,149,422
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 16","Masset",82,19,22,0,10,5,138,404
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 16-1","Tlaa Gaa Aawtlaas 28",Combined with No./Résultats combinés à ceux du n°16,,,,,,,23
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 17","Lax Kw'alaams 1",134,13,21,1,5,5,179,472
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 18","Hazelton",64,8,26,1,3,2,104,192
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 19","Gitanyow 1",81,6,13,0,2,0,102,281
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 20","Metlakatla",26,1,4,2,1,0,34,55
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 21","Babine 6",16,4,7,2,1,0,30,45
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 22","Kispiox 1",184,7,12,2,5,1,211,475
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 23","Sik-e-dakh 2",68,6,11,2,1,0,88,167
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 24","Port Edward",72,11,73,5,3,0,164,389
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 25","Hazelton",Combined with No./Résultats combinés à ceux du n°28,,,,,,,122
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 26","Gitanmaax 1",140,14,24,4,0,1,183,333
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 26-1","Gitanmaax 1",Combined with No./Résultats combinés à ceux du n°26,,,,,,,156
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 27","Hazelton",Combined with No./Résultats combinés à ceux du n°28,,,,,,,201
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 28","Two Mile",130,21,34,4,6,0,195,227
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 29","Gitwangak 1",166,6,6,7,0,2,187,400
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 30","Prince Rupert",57,11,45,2,1,1,117,484
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 31","Prince Rupert",72,15,48,0,2,0,137,493
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 32","Prince Rupert",71,12,45,2,0,0,130,449
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 33A","Prince Rupert",20,2,4,0,0,0,26,37
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 33B","Prince Rupert",Combined with No./Résultats combinés à ceux du n°35,,,,,,,597
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 34","Prince Rupert",79,9,25,1,2,0,116,409
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 35","Prince Rupert",141,34,121,7,3,2,308,394
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 36","Prince Rupert",56,12,32,1,1,1,103,483
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 37","Prince Rupert",68,10,38,4,4,1,125,467
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 38","Prince Rupert",94,7,50,0,2,0,153,493
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 39","Prince Rupert",70,12,60,1,5,1,149,436
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 40","Prince Rupert",65,18,45,0,0,0,128,460
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 41","Prince Rupert",55,9,20,0,3,4,91,411
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 42","Prince Rupert",63,8,45,2,1,0,119,416
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 43","Prince Rupert",73,16,100,0,1,0,190,324
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 44","Prince Rupert",Combined with No./Résultats combinés à ceux du n°43,,,,,,,286
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 45","Prince Rupert",62,21,74,0,1,0,158,466
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 46","Prince Rupert",35,17,57,3,2,0,114,393
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 47","Prince Rupert",72,16,42,3,0,0,133,442
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 48","Prince Rupert",54,13,48,2,1,2,120,363
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 49","Prince Rupert",62,15,48,0,1,2,128,374
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 50","Prince Rupert",47,11,54,2,3,0,117,438
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 51","Oona River",Combined with No./Résultats combinés à ceux du n°50,,,,,,,31
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 52","Rosswood",41,29,104,2,4,0,180,693
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 53","Gitwangak 1",46,17,74,1,1,1,140,287
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 54","Gitsegukla 1",150,6,7,5,2,4,174,364
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 55","Skidegate 1",Combined with No./Résultats combinés à ceux du n°57,,,,,,,616
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 56","Daajing Giids",Combined with No./Résultats combinés à ceux du n°57,,,,,,,262
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 57","Daajing Giids",301,26,51,3,5,2,388,578
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 58","South Hazelton",51,11,33,2,2,0,99,342
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 59","New Hazelton",57,13,28,3,3,1,105,313
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 60","New Hazelton",91,10,18,3,5,0,127,253
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 60-1","Hagwilget 1",Combined with No./Résultats combinés à ceux du n°60,,,,,,,155
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 61","Babine 18",Combined with No./Résultats combinés à ceux du n°61-1,,,,,,,77
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 61-1","Moricetown 1",232,15,56,10,1,0,314,452
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 62","North Tacla Lake",24,4,28,0,3,1,60,135
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 62-1","Bulkley House",Combined with No./Résultats combinés à ceux du n°62,,,,,,,0
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 62-2","Leo Creek",Combined with No./Résultats combinés à ceux du n°62,,,,,,,0
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 63","Amsbury",Combined with No./Résultats combinés à ceux du n°63-1,,,,,,,112
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 63-1","Kitsumkaylum 1",132,18,60,2,10,3,225,285
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 64","Terrace",102,31,142,5,3,0,283,489
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 65","Terrace",99,35,144,2,0,0,280,713
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 66","Terrace",56,33,97,0,0,1,187,530
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 67","Terrace",68,26,95,0,1,1,191,532
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 68","Terrace",53,15,68,2,2,0,140,398
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 69","Sandspit",108,16,50,0,3,0,177,287
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 70","Terrace",88,19,125,4,1,1,238,523
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 71","Terrace",75,30,99,3,4,1,212,494
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 72","Terrace",56,18,85,1,3,0,163,449
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 73","Terrace",62,16,68,0,1,1,148,422
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 74","Terrace",58,22,75,2,4,0,161,486
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 75","Terrace",49,18,59,2,0,1,129,482
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 76","Terrace",48,22,42,1,0,0,113,425
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 77","Terrace",35,25,49,0,0,0,109,429
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 78","Dolphin Island 1",88,4,2,1,2,1,98,213
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 79","Terrace",63,16,55,4,1,0,139,433
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 80","Terrace",53,14,64,1,1,0,133,474
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 81","Terrace",36,2,27,2,1,0,68,303
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 82","Terrace",43,17,40,0,1,0,101,473
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 83","Terrace",45,15,55,0,2,4,121,360
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 84","Terrace",30,17,71,3,2,0,123,424
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 85","Driftwood Creek",58,10,68,11,1,1,149,352
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 86","Thornhill",33,13,78,1,0,0,125,328
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 87","Kitimat-Stikine E",42,17,98,0,3,1,161,470
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 88","Kitimat-Stikine E",60,26,105,1,4,1,197,436
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 89","Thornhill",37,18,108,1,1,0,165,472
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 90","Kitimat-Stikine E",37,9,86,2,1,0,135,354
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 91","Terrace",45,15,53,1,1,1,116,296
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 91-1","Kulspai 6",Combined with No./Résultats combinés à ceux du n°91,,,,,,,48
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 92","Kitimat-Stikine E",35,12,80,2,0,2,131,327
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 93","Thornhill",49,14,101,0,3,1,168,379
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 94","Terrace",58,24,109,0,1,0,192,488
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 95","Thornhill",42,14,97,0,1,4,158,425
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 96","Evelyn",54,21,129,5,2,0,211,625
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 97","Smithers",54,11,82,2,1,0,150,542
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 98","Lake Kathlyn",48,6,111,3,2,1,171,469
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 99","Smithers",51,17,111,3,0,1,183,581
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 100","Smithers",48,9,93,1,0,1,152,513
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 101","Smithers",63,20,65,1,1,0,150,550
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 102","Smithers",57,10,58,1,4,1,131,516
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 103","Smithers",59,15,62,2,1,1,140,493
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 104","Smithers",71,15,71,3,1,0,161,629
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 105","Smithers",47,12,91,9,1,0,160,491
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 106","Smithers",49,18,73,0,4,0,144,474
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 107","Smithers",58,15,81,1,2,1,158,591
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 108","Usk",93,20,65,2,4,2,186,258
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 108-1","Kitselas 1",Combined with No./Résultats combinés à ceux du n°108,,,,,,,240
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 109","Germansen Landing",Combined with No./Résultats combinés à ceux du n°157,,,,,,,36
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 110","Lakelse Lake",24,9,92,0,2,0,127,262
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 111","Kitimat",30,15,101,1,2,0,149,542
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 112","Kitimat",38,13,86,1,0,1,139,372
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 113","Kitimat",28,15,103,1,1,1,149,434
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 114","Kitimat",42,18,105,0,2,1,168,441
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 115","Kitimat",45,15,109,1,0,2,172,448
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 116","Kitimat",71,26,102,4,1,2,206,534
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 117","Kitimat",46,15,78,0,2,0,141,477
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 118","Kitimat",34,6,103,3,1,1,148,444
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 119","Smithers",31,7,96,3,0,0,137,472
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 119-1","Jean Baptiste 28",Combined with No./Résultats combinés à ceux du n°119,,,,,,,1
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 120","Telkwa",49,15,125,9,2,1,201,576
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 121","Telkwa",67,19,155,5,3,0,249,573
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 122","Telkwa",65,24,142,11,0,0,242,506
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 123","Telkwa",41,12,113,2,1,0,169,383
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 124","Round Lake",47,12,144,11,0,1,215,497
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 125","Kitimat",32,6,115,1,4,2,160,516
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 126","Kitimat",29,9,71,0,1,1,111,423
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 127","Kitimat",35,18,65,2,3,0,123,458
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 128","Kitimat",57,12,111,2,0,0,182,546
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 129","Kitimat",55,19,147,8,0,1,230,664
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 130","Kitamaat 2",157,11,30,2,2,2,204,452
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 131","Rose Harbour",Combined with No./Résultats combinés à ceux du n°131-3,,,,,,,0
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 131-1","Lawnhill",Combined with No./Résultats combinés à ceux du n°131-3,,,,,,,66
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 131-2","Sewell Inlet",Combined with No./Résultats combinés à ceux du n°131-3,,,,,,,0
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 131-3","Tlell",77,15,31,5,2,1,131,160
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 132","Granisle",52,51,126,6,5,3,243,379
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 132-1","Babine 25",Combined with No./Résultats combinés à ceux du n°132,,,,,,,50
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 133","Houston",13,14,101,2,2,3,135,358
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 134","Houston",6,6,101,0,1,2,116,366
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 135","Houston",4,5,55,1,0,1,66,325
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 136","Houston",Combined with No./Résultats combinés à ceux du n°137,,,,,,,153
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 137","Houston",14,21,104,1,1,2,143,266
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 138","Houston",16,12,88,3,2,0,121,371
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 139","Houston",19,6,104,4,0,1,134,305
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 140","Houston",Combined with No./Résultats combinés à ceux du n°139,,,,,,,81
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 141","Houston",27,9,97,0,1,1,135,483
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 142","Burns Lake",29,14,55,0,0,1,99,288
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 142-1","Babine Lake 21B",Combined with No./Résultats combinés à ceux du n°142,,,,,,,0
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 142-2","Burns Lake 18",Combined with No./Résultats combinés à ceux du n°142,,,,,,,53
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 143","Burns Lake",35,11,79,1,1,1,128,453
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 144","Burns Lake",152,13,37,5,0,2,209,363
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 144-1","Woyenne 27",Combined with No./Résultats combinés à ceux du n°144,,,,,,,203
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 145","Burns Lake",39,10,49,3,2,0,103,318
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 146","Burns Lake",45,9,38,0,1,1,94,303
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 147","Burns Lake",39,11,51,2,1,0,104,324
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 148","Burns Lake",26,12,69,10,1,0,118,377
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 149","Topley",41,12,136,9,0,1,199,367
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 149-1","Duncan Lake 2",Combined with No./Résultats combinés à ceux du n°149,,,,,,,2
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 150","Kulkayu (Hartley Bay) 4",50,2,5,0,1,0,58,85
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 150-1","Butedale",Combined with No./Résultats combinés à ceux du n°150,,,,,,,0
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 150-2","Kemano",Combined with No./Résultats combinés à ceux du n°150,,,,,,,0
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 150-3","Kildala Arm",Combined with No./Résultats combinés à ceux du n°150,,,,,,,0
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 150-4","Osland",Combined with No./Résultats combinés à ceux du n°150,,,,,,,0
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 150-5","Weewanie",Combined with No./Résultats combinés à ceux du n°150,,,,,,,0
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 151","Decker Lake",53,8,110,3,1,0,175,379
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 151-1","Palling 1",Combined with No./Résultats combinés à ceux du n°151,,,,,,,60
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 152","Tachie 1",50,10,15,2,2,3,82,204
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 152-1","Dzitline Lee 9",Combined with No./Résultats combinés à ceux du n°152,,,,,,,0
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 153","Ye Koo Che 3",8,2,2,1,0,0,13,11
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 154","Noralee",15,15,45,1,2,0,78,134
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 154-1","Tatla West 11",Combined with No./Résultats combinés à ceux du n°154,,,,,,,0
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 154-2","Tatla't East 2",Combined with No./Résultats combinés à ceux du n°154,,,,,,,0
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 155","Wistaria",2,2,23,5,3,0,35,39
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 156","François Lake",42,29,137,1,1,1,211,460
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 157","Fort St. James",32,12,63,2,5,0,114,331
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 157-1","Binche 2",Combined with No./Résultats combinés à ceux du n°157,,,,,,,84
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 158","Fort St. James",29,30,83,1,3,1,147,410
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 159","Fort St. James",25,22,52,1,1,1,102,327
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 160","Fort St. James",49,26,104,1,3,1,184,310
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 161","Fort St. James",Combined with No./Résultats combinés à ceux du n°160,,,,,,,260
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 162","Fort St. James",23,9,32,0,2,0,66,349
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 163","Fort St. James",24,16,58,1,0,0,99,324
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 163-1","Nak'azdli",55,14,36,2,1,0,108,384
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 164","Fort St. James",Combined with No./Résultats combinés à ceux du n°163-1,,,,,,,103
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 165","Endako",11,4,53,1,0,0,69,214
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 166","Southbank",Combined with No./Résultats combinés à ceux du n°172,,,,,,,247
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 166-1","Cheslatta 1",Combined with No./Résultats combinés à ceux du n°172,,,,,,,17
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 166-2","Skins Lake 16B",Combined with No./Résultats combinés à ceux du n°172,,,,,,,0
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 167","Fraser Lake",11,5,53,1,2,0,72,257
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 168","Fraser Lake",24,21,38,0,2,0,85,322
59031,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 169","Fraser Lake",21,7,50,2,2,0,82,245
