Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Thomas Barré,Jean Boily,Kalden Dhatsenpa,Dave Hamelin-Schuilenburg,Christopher Massé,Peter Schiefke,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24076,"Vaudreuil/Vaudreuil"," 134","Notre-Dame-de-l'Île-Perrot",Combined with No./Résultats combinés à ceux du n°135,,,,,,,,125
24076,"Vaudreuil/Vaudreuil"," 135","Notre-Dame-de-l'Île-Perrot",45,2,1,1,40,100,1,190,293
24076,"Vaudreuil/Vaudreuil"," 136","Pincourt",42,2,2,5,38,77,1,167,493
24076,"Vaudreuil/Vaudreuil"," 137","Pincourt",36,1,1,5,25,60,0,128,368
24076,"Vaudreuil/Vaudreuil"," 138","Pincourt",45,0,9,1,18,84,0,157,409
24076,"Vaudreuil/Vaudreuil"," 139","Pincourt",37,2,2,2,16,56,0,115,377
24076,"Vaudreuil/Vaudreuil"," 140","Pincourt",37,2,4,3,10,70,0,126,380
24076,"Vaudreuil/Vaudreuil"," 141","Pincourt",35,1,8,1,16,70,0,131,458
24076,"Vaudreuil/Vaudreuil"," 142","Saint-Lazare",57,6,6,0,11,85,0,165,399
24076,"Vaudreuil/Vaudreuil"," 143","Saint-Lazare",46,0,5,1,7,96,1,156,389
24076,"Vaudreuil/Vaudreuil"," 144","Saint-Lazare",62,5,5,2,10,108,0,192,453
24076,"Vaudreuil/Vaudreuil"," 145","Saint-Lazare",47,1,0,2,6,87,1,144,416
24076,"Vaudreuil/Vaudreuil"," 146","Saint-Lazare",23,2,4,2,6,89,0,126,412
24076,"Vaudreuil/Vaudreuil"," 147","Saint-Lazare",45,2,2,0,13,107,2,171,424
24076,"Vaudreuil/Vaudreuil"," 148","Saint-Lazare",43,3,0,0,3,100,0,149,393
24076,"Vaudreuil/Vaudreuil"," 149","Saint-Lazare",24,0,2,2,23,48,0,99,243
24076,"Vaudreuil/Vaudreuil"," 150","Saint-Lazare",49,2,6,1,31,83,1,173,441
24076,"Vaudreuil/Vaudreuil"," 151","Saint-Lazare",62,0,0,1,8,114,3,188,506
24076,"Vaudreuil/Vaudreuil"," 152","Saint-Lazare",54,0,1,2,16,109,2,184,443
24076,"Vaudreuil/Vaudreuil"," 153","Saint-Lazare",24,0,0,2,22,66,0,114,313
24076,"Vaudreuil/Vaudreuil"," 154","Saint-Lazare",36,1,2,2,14,91,4,150,434
24076,"Vaudreuil/Vaudreuil"," 155","Saint-Lazare",40,3,1,1,18,92,0,155,450
24076,"Vaudreuil/Vaudreuil"," 156","Saint-Lazare",36,1,6,3,22,92,1,161,414
24076,"Vaudreuil/Vaudreuil"," 157","Saint-Lazare",33,0,4,4,29,78,0,148,366
24076,"Vaudreuil/Vaudreuil"," 158","Saint-Lazare",76,2,3,8,15,83,1,188,504
24076,"Vaudreuil/Vaudreuil"," 159","Saint-Lazare",74,2,7,3,14,92,2,194,527
24076,"Vaudreuil/Vaudreuil"," 160","Vaudreuil-Dorion",58,3,12,4,43,98,0,218,549
24076,"Vaudreuil/Vaudreuil"," 161","Vaudreuil-Dorion",54,1,5,10,18,110,4,202,525
24076,"Vaudreuil/Vaudreuil"," 162","Vaudreuil-Dorion",51,0,8,7,18,121,0,205,550
24076,"Vaudreuil/Vaudreuil"," 163","Vaudreuil-Dorion",75,0,6,2,16,86,2,187,491
24076,"Vaudreuil/Vaudreuil"," 164","Vaudreuil-Dorion",68,1,10,2,15,104,0,200,533
24076,"Vaudreuil/Vaudreuil"," 165","Vaudreuil-Dorion",55,0,8,2,19,105,1,190,531
24076,"Vaudreuil/Vaudreuil"," 166","Vaudreuil-Dorion",66,0,6,0,26,106,1,205,561
24076,"Vaudreuil/Vaudreuil"," 167A","Vaudreuil-Dorion",39,0,5,0,13,85,2,144,368
24076,"Vaudreuil/Vaudreuil"," 167B","Vaudreuil-Dorion",46,1,1,3,11,57,5,124,322
24076,"Vaudreuil/Vaudreuil"," 168","Vaudreuil-Dorion",45,4,6,2,53,74,2,186,442
24076,"Vaudreuil/Vaudreuil"," 169","Vaudreuil-Dorion",43,0,10,6,41,69,2,171,441
24076,"Vaudreuil/Vaudreuil"," 170","Vaudreuil-Dorion",68,1,2,3,61,96,1,232,544
24076,"Vaudreuil/Vaudreuil"," 171","Vaudreuil-Dorion",79,0,10,14,35,84,3,225,584
24076,"Vaudreuil/Vaudreuil"," 172","Vaudreuil-Dorion",29,2,2,1,35,68,1,138,388
24076,"Vaudreuil/Vaudreuil"," 173","Vaudreuil-Dorion",42,0,5,1,61,82,1,192,460
24076,"Vaudreuil/Vaudreuil"," 174","Saint-Lazare",47,4,4,3,34,80,0,172,447
24076,"Vaudreuil/Vaudreuil"," 175","Saint-Lazare",29,1,6,2,28,88,2,156,396
24076,"Vaudreuil/Vaudreuil"," 176","Saint-Lazare",42,1,4,5,27,96,3,178,444
24076,"Vaudreuil/Vaudreuil"," 177","Saint-Lazare",38,0,6,2,42,81,0,169,393
24076,"Vaudreuil/Vaudreuil"," 178","Saint-Lazare",41,0,2,6,17,69,1,136,406
24076,"Vaudreuil/Vaudreuil"," 179","Saint-Lazare",44,0,5,6,26,83,1,165,511
24076,"Vaudreuil/Vaudreuil"," 180","Saint-Lazare",39,0,1,3,40,81,3,167,409
24076,"Vaudreuil/Vaudreuil"," 181","Pincourt",58,1,3,2,23,88,0,175,470
24076,"Vaudreuil/Vaudreuil"," 182","Pincourt",34,0,13,1,13,99,0,160,481
24076,"Vaudreuil/Vaudreuil"," 183","Pincourt",41,1,5,0,20,95,0,162,413
24076,"Vaudreuil/Vaudreuil"," 184","Pincourt",53,3,3,2,13,76,1,151,381
24076,"Vaudreuil/Vaudreuil"," 185","Pincourt",40,4,5,1,29,75,4,158,417
24076,"Vaudreuil/Vaudreuil"," 186","Pincourt",54,0,3,3,16,135,2,213,593
24076,"Vaudreuil/Vaudreuil"," 187","Pincourt",62,2,5,2,35,78,2,186,466
24076,"Vaudreuil/Vaudreuil"," 188","Pincourt",26,2,3,2,12,84,1,130,364
24076,"Vaudreuil/Vaudreuil"," 189","Pincourt",43,0,4,2,32,66,2,149,396
24076,"Vaudreuil/Vaudreuil"," 190","Pincourt",72,4,7,2,40,157,0,282,491
24076,"Vaudreuil/Vaudreuil"," 191","Pincourt",36,6,4,4,29,70,4,153,473
24076,"Vaudreuil/Vaudreuil"," 192A","Pincourt",41,4,3,2,43,72,1,166,451
24076,"Vaudreuil/Vaudreuil"," 192B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°402,,,,,,,,26
24076,"Vaudreuil/Vaudreuil"," 193","Saint-Lazare",47,2,3,2,34,103,2,193,488
24076,"Vaudreuil/Vaudreuil"," 194","Saint-Lazare",48,2,2,2,21,93,2,170,353
24076,"Vaudreuil/Vaudreuil"," 195","Saint-Lazare",53,1,5,1,49,99,4,212,480
24076,"Vaudreuil/Vaudreuil"," 196","Saint-Lazare",45,1,5,6,42,73,0,172,489
24076,"Vaudreuil/Vaudreuil"," 197","Saint-Lazare",54,1,3,4,36,92,2,192,475
24076,"Vaudreuil/Vaudreuil"," 198","Saint-Lazare",50,1,2,2,33,107,2,197,491
24076,"Vaudreuil/Vaudreuil"," 199","Saint-Lazare",30,0,3,4,30,78,1,146,379
24076,"Vaudreuil/Vaudreuil"," 200","Saint-Lazare",32,3,4,3,28,105,1,176,447
24076,"Vaudreuil/Vaudreuil"," 201","Saint-Lazare",36,0,2,0,29,124,0,191,435
24076,"Vaudreuil/Vaudreuil"," 202","Saint-Lazare",66,0,5,3,31,71,4,180,454
24076,"Vaudreuil/Vaudreuil"," 203","Saint-Lazare",50,1,3,6,46,90,0,196,470
24076,"Vaudreuil/Vaudreuil"," 204","Saint-Lazare",55,2,2,3,38,98,2,200,502
24076,"Vaudreuil/Vaudreuil"," 205","Vaudreuil-Dorion",64,0,4,2,17,88,4,179,499
24076,"Vaudreuil/Vaudreuil"," 206","Vaudreuil-Dorion",48,0,4,1,25,96,1,175,459
24076,"Vaudreuil/Vaudreuil"," 207","Vaudreuil-Dorion",60,0,1,7,44,85,1,198,498
24076,"Vaudreuil/Vaudreuil"," 208","Vaudreuil-Dorion",90,1,3,0,2,78,1,175,442
24076,"Vaudreuil/Vaudreuil"," 209","Vaudreuil-Dorion",66,3,6,1,13,137,2,228,636
24076,"Vaudreuil/Vaudreuil"," 210","Vaudreuil-Dorion",37,1,4,1,28,65,2,138,369
24076,"Vaudreuil/Vaudreuil"," 211","Vaudreuil-Dorion",63,2,9,1,30,73,1,179,477
24076,"Vaudreuil/Vaudreuil"," 212","Vaudreuil-Dorion",22,1,2,1,16,40,1,83,318
24076,"Vaudreuil/Vaudreuil"," 213","Vaudreuil-Dorion",24,0,7,4,20,38,0,93,346
24076,"Vaudreuil/Vaudreuil"," 214","Vaudreuil-Dorion",26,0,3,4,54,81,0,168,413
24076,"Vaudreuil/Vaudreuil"," 400","Vaudreuil-Dorion",15,0,1,0,35,186,11,248,346
24076,"Vaudreuil/Vaudreuil"," 401","L'Île-Perrot",17,1,3,2,52,184,9,268,341
24076,"Vaudreuil/Vaudreuil"," 402","Mobile poll/Bureau itinérant",22,5,2,0,44,84,11,168,169
24076,"Vaudreuil/Vaudreuil"," 403","Vaudreuil-Dorion",12,0,5,0,32,72,9,130,81
24076,"Vaudreuil/Vaudreuil"," 404","Vaudreuil-Dorion",Void/Supprimé,,,,,,,,
24076,"Vaudreuil/Vaudreuil"," 405","Vaudreuil-Dorion",19,3,8,2,45,199,11,287,366
24076,"Vaudreuil/Vaudreuil"," 406","Vaudreuil-Dorion",13,2,1,1,37,139,7,200,243
24076,"Vaudreuil/Vaudreuil"," 407","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°402,,,,,,,,149
24076,"Vaudreuil/Vaudreuil"," 408","Pincourt",Combined with No./Résultats combinés à ceux du n°190,,,,,,,,84
24076,"Vaudreuil/Vaudreuil"," 500","Mobile poll/Bureau itinérant",13,0,1,1,2,59,2,78,89
