Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Cheryle Baker,Steven Beausoleil,Matthew Chambers,David Hilderley,Arpan Khanna,Melanie Van Brugge,Akshay Varun Raj Vardhan,Jacob Watson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35083,"Oxford/Oxford"," 165","Otterville",3,0,2,42,140,0,0,13,0,200,466
35083,"Oxford/Oxford"," 166","Otterville",0,2,2,32,119,1,1,14,0,171,453
35083,"Oxford/Oxford"," 167","Norwich",2,2,7,53,154,0,1,17,1,237,385
35083,"Oxford/Oxford"," 168","Norwich",4,0,4,42,183,1,0,7,2,243,499
35083,"Oxford/Oxford"," 169","Tillsonburg",3,5,10,79,156,1,0,5,1,260,568
35083,"Oxford/Oxford"," 170","Tillsonburg",2,4,10,57,87,0,0,3,1,164,474
35083,"Oxford/Oxford"," 171","Tillsonburg",5,3,10,99,154,0,0,1,0,272,625
35083,"Oxford/Oxford"," 172","Tillsonburg",5,7,18,78,116,1,0,1,2,228,586
35083,"Oxford/Oxford"," 173","Tillsonburg",2,3,11,27,58,0,0,0,1,102,416
35083,"Oxford/Oxford"," 174","Tillsonburg",1,1,7,75,119,1,1,0,0,205,539
35083,"Oxford/Oxford"," 175","Tillsonburg",9,6,23,92,128,1,0,0,3,262,562
35083,"Oxford/Oxford"," 176","Tillsonburg",2,2,6,50,94,0,2,1,0,157,438
35083,"Oxford/Oxford"," 177","Tillsonburg",2,3,10,66,129,1,0,5,2,218,611
35083,"Oxford/Oxford"," 178","Tillsonburg",5,3,5,93,96,0,0,2,0,204,473
35083,"Oxford/Oxford"," 179","Tillsonburg",2,1,11,60,105,0,1,2,1,183,454
35083,"Oxford/Oxford"," 180","Tillsonburg",4,3,4,67,108,2,0,6,0,194,477
35083,"Oxford/Oxford"," 181","Tillsonburg",2,3,7,65,111,0,0,3,3,194,384
35083,"Oxford/Oxford"," 182","Tillsonburg",3,1,4,78,143,0,0,3,2,234,574
35083,"Oxford/Oxford"," 183","Tillsonburg",5,2,14,97,150,2,0,5,0,275,607
35083,"Oxford/Oxford"," 184","Tillsonburg",3,5,11,101,137,0,1,3,0,261,605
35083,"Oxford/Oxford"," 185","Tillsonburg",5,0,5,94,143,0,0,1,1,249,572
35083,"Oxford/Oxford"," 186","Brownsville",1,1,10,31,169,0,1,12,1,226,388
35083,"Oxford/Oxford"," 187","Brownsville",2,6,21,55,151,1,0,4,1,241,381
35083,"Oxford/Oxford"," 188","Tillsonburg",2,0,9,124,90,0,0,4,0,229,539
35083,"Oxford/Oxford"," 189","Tillsonburg",2,0,9,184,123,0,2,4,1,325,628
35083,"Oxford/Oxford"," 190","Tillsonburg",1,1,7,106,160,1,0,1,2,279,635
35083,"Oxford/Oxford"," 191","Tillsonburg",1,0,9,137,65,0,0,1,1,214,527
35083,"Oxford/Oxford"," 192","Tillsonburg",3,0,9,73,93,0,0,2,6,186,465
35083,"Oxford/Oxford"," 193","Tillsonburg",2,1,3,58,75,1,0,0,1,141,434
35083,"Oxford/Oxford"," 194","Tillsonburg",0,2,4,48,114,3,0,2,1,174,552
35083,"Oxford/Oxford"," 195","Tillsonburg",2,1,1,34,47,0,1,1,0,87,307
35083,"Oxford/Oxford"," 196","Tillsonburg",0,2,10,53,43,2,0,0,2,112,434
35083,"Oxford/Oxford"," 197","Tillsonburg",2,1,6,24,77,0,1,0,0,111,349
35083,"Oxford/Oxford"," 198","Tillsonburg",1,0,7,49,84,0,0,2,2,145,508
35083,"Oxford/Oxford"," 199","Tillsonburg",4,1,7,38,82,0,1,0,1,134,498
35083,"Oxford/Oxford"," 200","Tillsonburg",6,2,11,41,115,0,0,1,0,176,537
35083,"Oxford/Oxford"," 201","Tillsonburg",3,4,4,73,122,0,1,4,1,212,582
35083,"Oxford/Oxford"," 500","Mobile poll/Bureau itinérant",6,3,10,32,30,1,0,0,3,85,97
35083,"Oxford/Oxford"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,,,66
35083,"Oxford/Oxford"," 502","Mobile poll/Bureau itinérant",3,3,4,109,47,2,2,1,5,176,182
35083,"Oxford/Oxford"," 503","Trent Hills",Combined with No./Résultats combinés à ceux du n°49,,,,,,,,,,5
35083,"Oxford/Oxford"," 504","Mobile poll/Bureau itinérant",1,2,3,24,32,0,0,12,3,77,42
35083,"Oxford/Oxford"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,,,169
35083,"Oxford/Oxford"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,,,,35
35083,"Oxford/Oxford"," 507","Mobile poll/Bureau itinérant",3,2,15,74,50,0,2,3,2,151,130
