Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,David De Repentigny,Martine Desrochers,Nicolas Guérin,Patrick O'Hara,Nathalie Provost,Hannah Wolker,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 24","Châteauguay",28,3,1,24,73,7,3,139,404
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 25","Châteauguay",35,2,1,23,47,7,1,116,380
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 26","Châteauguay",41,2,0,25,73,7,6,154,378
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 27","Châteauguay",38,1,2,35,71,3,2,152,425
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 28","Châteauguay",29,2,0,20,53,1,4,109,315
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 29","Châteauguay",44,3,1,28,81,6,3,166,440
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 30","Châteauguay",54,3,0,38,71,7,2,175,378
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 31","Châteauguay",49,5,2,27,126,7,2,218,411
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 32","Châteauguay",26,4,3,32,68,2,3,138,343
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 33","Châteauguay",38,3,0,27,88,4,5,165,360
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 34","Châteauguay",41,1,1,59,90,8,2,202,457
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 35","Châteauguay",34,7,6,87,60,6,2,202,403
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 36","Châteauguay",47,5,2,80,70,9,3,216,419
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 37A","Châteauguay",40,3,2,66,77,7,4,199,416
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 37B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,16
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 38","Châteauguay",39,3,2,68,86,2,1,201,382
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 39","Châteauguay",41,1,2,64,99,5,1,213,460
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 40","Châteauguay",24,3,0,49,59,1,1,137,370
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 41","Châteauguay",37,2,1,63,54,6,1,164,423
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 42","Châteauguay",33,2,0,43,87,7,2,174,382
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 43","Châteauguay",36,1,6,50,108,4,0,205,466
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 44","Châteauguay",51,4,0,70,71,11,6,213,458
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 45A","Châteauguay",33,3,0,61,89,2,6,194,581
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 45B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,40
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 46","Châteauguay",25,2,4,23,33,1,1,89,308
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 47","Châteauguay",54,3,1,34,93,3,5,193,427
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 48","Châteauguay",23,3,1,37,85,10,0,159,372
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 49","Châteauguay",35,2,2,35,126,2,2,204,573
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 50","Châteauguay",31,1,5,30,84,8,2,161,396
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 51","Châteauguay",35,6,0,44,94,6,3,188,461
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 52","Châteauguay",62,0,2,33,99,6,2,204,544
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 53","Châteauguay",47,1,2,42,60,2,1,155,362
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 54","Châteauguay",48,4,1,23,79,10,3,168,393
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 55","Châteauguay",47,3,0,22,95,5,0,172,421
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 56","Châteauguay",48,3,2,27,86,2,1,169,423
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 57","Châteauguay",56,5,1,43,99,5,6,215,523
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 58","Châteauguay",47,3,1,32,108,7,7,205,429
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 59","Châteauguay",53,4,2,41,105,5,2,212,489
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 60","Châteauguay",47,3,2,17,96,5,4,174,389
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 61","Châteauguay",48,3,3,51,126,7,4,242,465
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 62","Châteauguay",59,6,2,65,110,4,5,251,523
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 63","Châteauguay",53,3,1,43,123,7,3,233,526
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 64","Châteauguay",56,4,1,55,81,5,5,207,455
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 65","Châteauguay",49,1,2,35,100,8,3,198,418
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 66","Châteauguay",54,1,2,30,123,2,2,214,454
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 67","Châteauguay",45,1,1,32,94,6,1,180,402
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 68","Châteauguay",41,3,2,19,73,6,3,147,318
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 69","Châteauguay",50,1,0,32,80,3,1,167,425
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 70","Châteauguay",23,1,0,39,57,8,2,130,320
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 71","Châteauguay",43,2,3,40,86,6,2,182,393
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 72","Châteauguay",36,3,1,49,114,7,2,212,440
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 73","Châteauguay",46,3,1,38,111,10,4,213,443
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 74","Châteauguay",75,0,2,46,102,9,2,236,431
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 75","Châteauguay",45,0,0,28,62,4,2,141,334
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 76","Châteauguay",74,4,1,47,149,7,2,284,536
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 77","Châteauguay",82,2,1,47,173,5,5,315,572
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 78","Léry",33,1,1,50,70,0,2,157,371
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 79","Léry",20,1,3,61,61,4,1,151,346
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 80","Léry",19,2,0,74,62,0,1,158,410
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 81","Léry",47,1,0,118,96,9,5,276,593
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 82","Léry",36,2,2,77,61,3,1,182,419
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 83","Mercier",57,2,0,48,101,9,6,223,488
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 84","Mercier",55,3,0,81,90,6,6,241,509
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 85","Mercier",22,1,1,66,74,6,1,171,337
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 86","Mercier",36,0,3,55,52,1,4,151,404
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 87","Mercier",37,2,1,71,88,8,1,208,449
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 88","Mercier",43,2,2,63,78,4,0,192,426
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 89","Mercier",63,3,1,54,68,2,8,199,427
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 90A","Mercier",36,0,0,71,71,7,2,187,434
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 90B","Mobile poll/Bureau itinérant",17,3,2,71,68,2,5,168,272
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 91","Mercier",31,3,0,72,78,2,2,188,449
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 92","Mercier",31,2,1,15,35,1,3,88,196
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 93","Mercier",37,0,0,82,79,6,3,207,416
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 94","Mercier",57,4,1,117,127,6,12,324,771
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 95","Mercier",31,1,0,67,69,3,3,174,381
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 96","Mercier",37,3,1,51,65,5,1,163,393
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 97","Mercier",40,2,0,71,46,3,2,164,424
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 98","Mercier",44,4,0,84,56,6,7,201,431
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 99","Châteauguay",42,0,1,60,68,8,2,181,360
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 100","Châteauguay",49,1,1,95,101,2,8,257,460
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 101","Châteauguay",56,3,2,72,103,4,5,245,710
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 102","Châteauguay",38,3,0,49,104,4,3,201,478
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 103","Châteauguay",38,0,3,56,89,5,4,195,430
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 104","Châteauguay",40,3,0,52,98,9,3,205,518
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 105","Châteauguay",29,2,0,61,88,5,2,187,436
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 106","Châteauguay",59,4,1,69,83,5,4,225,500
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 107","Châteauguay",64,3,0,53,135,4,5,264,563
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 108","Châteauguay",59,1,1,60,164,6,4,295,686
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 109","Châteauguay",70,2,1,77,122,2,2,276,611
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 110","Châteauguay",38,3,1,37,68,3,0,150,318
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 111","Saint-Jacques-le-Mineur",39,2,1,56,28,3,3,132,399
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 112","Saint-Jacques-le-Mineur",46,1,1,63,73,3,0,187,458
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 113","Saint-Jacques-le-Mineur",43,3,1,46,76,4,0,173,430
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 114","Saint-Édouard",44,3,1,58,35,0,3,144,339
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 115","Saint-Jacques-le-Mineur",25,4,2,44,40,0,0,115,295
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 116","Saint-Édouard",44,2,4,60,52,3,8,173,373
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 117","Saint-Édouard",47,4,4,65,62,3,1,186,374
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 118","Saint-Isidore",34,3,0,69,50,4,3,163,292
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 119","Saint-Isidore",44,1,1,53,45,8,8,160,326
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 120","Saint-Isidore",35,6,2,95,70,1,0,209,405
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 121","Saint-Isidore",62,2,3,114,74,4,0,259,422
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 122","Saint-Isidore",53,5,0,80,59,3,1,201,342
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 123","Saint-Isidore",51,3,2,84,59,8,6,213,396
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 124","Mercier",43,1,2,62,77,3,5,193,412
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 125","Mercier",38,2,0,81,81,8,5,215,487
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 126","Mercier",34,0,2,88,68,7,4,203,488
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 127","Mercier",27,2,1,66,50,5,3,154,468
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 128","Mercier",39,1,3,77,76,5,4,205,420
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 129","Mercier",43,3,1,74,58,4,3,186,474
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 130","Mercier",48,4,1,47,96,6,3,205,514
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 131","Mercier",48,1,3,74,87,4,0,217,498
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 132","Mercier",41,6,0,69,46,4,3,169,386
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 133","Saint-Rémi",35,1,4,49,49,5,2,145,306
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 134","Saint-Rémi",36,3,1,57,66,2,0,165,308
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 135","Saint-Rémi",50,7,0,84,67,4,2,214,508
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 136","Saint-Rémi",58,0,0,60,68,2,1,189,430
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 137","Saint-Rémi",33,2,1,72,42,8,3,161,400
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 138","Saint-Rémi",63,0,2,92,76,10,2,245,582
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 139","Saint-Rémi",41,2,1,60,56,1,2,163,365
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 140","Saint-Rémi",42,4,1,91,61,1,4,204,519
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 141","Saint-Rémi",42,1,0,70,54,2,4,173,406
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 142","Saint-Rémi",36,3,1,58,52,4,6,160,453
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 143","Saint-Rémi",42,1,1,73,51,1,7,176,386
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 144","Saint-Rémi",19,2,1,53,34,7,8,124,361
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 145","Saint-Rémi",62,2,2,60,79,7,5,217,495
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 146","Saint-Rémi",44,6,4,46,32,9,3,144,365
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 147","Saint-Rémi",51,1,1,64,52,3,3,175,490
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 148","Saint-Rémi",38,4,0,54,49,5,0,150,413
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 149","Saint-Michel",40,3,0,65,35,3,2,148,290
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 150","Saint-Michel",62,1,0,66,59,4,1,193,421
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 151","Saint-Michel",78,2,1,79,68,4,4,236,476
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 152","Saint-Michel",55,4,2,65,58,1,0,185,401
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 153","Saint-Michel",55,3,1,80,59,3,3,204,424
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 154","Saint-Michel",35,2,1,49,37,4,1,129,344
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 155","Saint-Michel",43,2,1,43,31,3,1,124,285
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 156","Saint-Cyprien-de-Napierville",63,5,3,92,73,4,6,246,464
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 157","Saint-Cyprien-de-Napierville",44,5,4,64,52,3,3,175,439
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 158","Napierville",33,0,0,49,35,6,4,127,366
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 159","Napierville",33,4,2,50,57,1,2,149,455
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 160","Napierville",67,1,1,61,52,5,5,192,476
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 161","Napierville",65,2,0,67,60,7,0,201,509
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 162","Napierville",33,5,0,65,30,5,6,144,367
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 163","Napierville",57,7,2,76,59,5,4,210,496
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 164","Saint-Cyprien-de-Napierville",40,0,1,78,85,2,4,210,461
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 165","Saint-Cyprien-de-Napierville",47,1,6,51,52,3,0,160,416
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 166","Saint-Cyprien-de-Napierville",44,4,1,37,44,1,1,132,333
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 167","Sainte-Martine",30,4,0,90,70,4,4,202,412
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 168","Sainte-Martine",49,2,0,74,55,4,3,187,392
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 169","Sainte-Martine",38,0,6,81,62,4,5,196,409
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 170","Sainte-Martine",34,3,2,65,41,5,2,152,383
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 171","Sainte-Martine",24,4,2,56,30,3,1,120,294
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 172","Sainte-Martine",45,2,0,54,53,4,2,160,350
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 173A","Sainte-Martine",28,1,3,50,55,5,4,146,383
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 173B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°90B,,,,,,,,4
24017,"Châteauguay--Les Jardins-de-Napierville/Châteauguay--Les Jardins-de-Napierville"," 174","Sainte-Martine",33,3,1,63,54,1,1,156,331
