Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,John Janssen,Garry Keller,Valerie Kennedy,Louise Poitras,Pauline Rochefort,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 167","Callander",0,91,9,0,82,2,184,468
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 168","Derland",1,102,7,6,82,2,200,557
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 169","Callander",2,64,5,1,56,0,128,339
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 170","Astorville",2,138,4,4,100,0,248,528
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 171","Astorville",1,107,4,2,117,1,232,515
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 172","Astorville",1,111,8,7,111,0,238,485
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 173","Callander",2,94,1,0,115,0,212,607
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 174","Callander",0,78,7,6,69,1,161,389
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 175","Callander",0,82,3,6,67,0,158,423
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 176","Callander",1,62,5,0,63,0,131,413
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 177","Nipissing",1,76,3,0,46,0,126,361
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 178","North Himsworth",1,95,11,1,53,0,161,454
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 179","Chiswick",14,135,8,2,69,1,229,432
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 180","Alderdale",12,143,7,2,91,1,256,664
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 181","Powassan",2,81,6,1,50,0,140,400
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 182","Powassan",2,16,3,0,13,0,34,144
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 183","Powassan",2,40,7,0,14,1,64,232
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 184","Powassan",2,86,8,3,45,2,146,462
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 185","Powassan",5,81,4,1,29,0,120,369
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 186","Powassan",0,120,13,3,69,1,206,656
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 187","Nipissing",6,112,9,2,51,0,180,402
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 188","Nipissing",0,113,2,3,64,1,183,499
