Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Lita Cabal,Kimball Cariou,Jenny Kwan,Meghan Emily Murphy,Nikida Steel,Mark Wiens,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59036,"Vancouver East/Vancouver-Est"," 78","Vancouver",31,0,59,0,4,97,0,191,562
59036,"Vancouver East/Vancouver-Est"," 79","Vancouver",21,1,53,0,4,53,0,132,472
59036,"Vancouver East/Vancouver-Est"," 80","Vancouver",28,0,46,2,2,60,0,138,533
59036,"Vancouver East/Vancouver-Est"," 81","Vancouver",20,0,28,0,1,53,0,102,482
59036,"Vancouver East/Vancouver-Est"," 82","Vancouver",29,1,113,3,3,61,1,211,503
59036,"Vancouver East/Vancouver-Est"," 83","Vancouver",18,0,124,0,3,54,0,199,485
59036,"Vancouver East/Vancouver-Est"," 84","Vancouver",12,0,76,0,2,47,0,137,401
59036,"Vancouver East/Vancouver-Est"," 85","Vancouver",13,0,109,4,1,58,0,185,400
59036,"Vancouver East/Vancouver-Est"," 86","Vancouver",15,0,85,2,2,48,0,152,388
59036,"Vancouver East/Vancouver-Est"," 87","Vancouver",11,0,79,0,3,51,1,145,357
59036,"Vancouver East/Vancouver-Est"," 88","Vancouver",14,0,70,2,4,85,1,176,481
59036,"Vancouver East/Vancouver-Est"," 89","Vancouver",21,2,86,0,2,40,1,152,378
59036,"Vancouver East/Vancouver-Est"," 90","Vancouver",16,1,52,2,2,36,0,109,338
59036,"Vancouver East/Vancouver-Est"," 91","Vancouver",26,0,86,3,6,56,1,178,424
59036,"Vancouver East/Vancouver-Est"," 92","Vancouver",26,3,71,1,2,56,1,160,334
59036,"Vancouver East/Vancouver-Est"," 93","Vancouver",43,1,37,2,2,44,0,129,401
59036,"Vancouver East/Vancouver-Est"," 94","Vancouver",24,0,38,2,4,60,0,128,378
59036,"Vancouver East/Vancouver-Est"," 95","Vancouver",38,1,40,1,5,56,2,143,369
59036,"Vancouver East/Vancouver-Est"," 96","Vancouver",36,1,50,2,1,54,1,145,430
59036,"Vancouver East/Vancouver-Est"," 97","Vancouver",11,0,62,0,2,50,0,125,339
59036,"Vancouver East/Vancouver-Est"," 98","Vancouver",32,0,25,0,0,44,0,101,321
59036,"Vancouver East/Vancouver-Est"," 99","Vancouver",24,0,82,0,3,52,3,164,456
59036,"Vancouver East/Vancouver-Est"," 100","Vancouver",37,3,65,0,1,74,0,180,477
59036,"Vancouver East/Vancouver-Est"," 101","Vancouver",27,2,51,0,7,67,0,154,469
59036,"Vancouver East/Vancouver-Est"," 102","Vancouver",23,1,75,0,2,56,0,157,428
59036,"Vancouver East/Vancouver-Est"," 103","Vancouver",24,0,35,0,3,36,0,98,385
59036,"Vancouver East/Vancouver-Est"," 104","Vancouver",23,0,67,0,4,64,1,159,433
59036,"Vancouver East/Vancouver-Est"," 105","Vancouver",25,1,64,0,2,44,0,136,415
59036,"Vancouver East/Vancouver-Est"," 106","Vancouver",13,0,55,1,4,59,3,135,418
59036,"Vancouver East/Vancouver-Est"," 107","Vancouver",25,1,50,0,2,58,0,136,447
59036,"Vancouver East/Vancouver-Est"," 108","Vancouver",28,0,85,1,5,51,0,170,505
59036,"Vancouver East/Vancouver-Est"," 109","Vancouver",28,0,79,1,6,80,0,194,509
59036,"Vancouver East/Vancouver-Est"," 110","Vancouver",16,1,68,3,2,38,2,130,393
59036,"Vancouver East/Vancouver-Est"," 111","Vancouver",26,0,64,2,6,45,1,144,470
59036,"Vancouver East/Vancouver-Est"," 112","Vancouver",15,1,97,0,3,48,0,164,486
59036,"Vancouver East/Vancouver-Est"," 113","Vancouver",21,0,78,2,7,51,0,159,529
59036,"Vancouver East/Vancouver-Est"," 114","Vancouver",25,3,81,3,3,62,0,177,539
59036,"Vancouver East/Vancouver-Est"," 115","Vancouver",35,3,30,0,1,41,0,110,424
59036,"Vancouver East/Vancouver-Est"," 116","Vancouver",16,2,42,0,1,34,0,95,371
59036,"Vancouver East/Vancouver-Est"," 117","Vancouver",20,0,79,1,2,55,1,158,381
59036,"Vancouver East/Vancouver-Est"," 118","Vancouver",27,2,68,1,4,62,0,164,363
59036,"Vancouver East/Vancouver-Est"," 119","Vancouver",40,2,64,1,5,78,0,190,414
59036,"Vancouver East/Vancouver-Est"," 120","Vancouver",29,0,94,1,3,50,0,177,405
59036,"Vancouver East/Vancouver-Est"," 121","Vancouver",23,3,74,0,2,50,0,152,358
59036,"Vancouver East/Vancouver-Est"," 122","Vancouver",49,4,53,1,2,61,0,170,434
59036,"Vancouver East/Vancouver-Est"," 123","Vancouver",23,3,70,0,6,50,2,154,353
59036,"Vancouver East/Vancouver-Est"," 124","Vancouver",19,1,58,2,1,50,2,133,352
59036,"Vancouver East/Vancouver-Est"," 125","Vancouver",22,0,115,1,4,62,2,206,470
59036,"Vancouver East/Vancouver-Est"," 126","Vancouver",20,1,72,1,2,46,0,142,390
59036,"Vancouver East/Vancouver-Est"," 127","Vancouver",14,0,72,0,3,28,0,117,309
59036,"Vancouver East/Vancouver-Est"," 128","Vancouver",29,1,126,2,6,34,2,200,457
59036,"Vancouver East/Vancouver-Est"," 129","Vancouver",29,2,123,1,2,58,0,215,524
59036,"Vancouver East/Vancouver-Est"," 130","Vancouver",27,0,38,0,2,33,1,101,419
59036,"Vancouver East/Vancouver-Est"," 131","Vancouver",46,0,57,0,2,58,4,167,477
59036,"Vancouver East/Vancouver-Est"," 132","Vancouver",29,0,43,0,3,52,1,128,367
59036,"Vancouver East/Vancouver-Est"," 133","Vancouver",43,0,43,2,2,44,1,135,379
59036,"Vancouver East/Vancouver-Est"," 134","Vancouver",41,0,33,0,2,37,2,115,383
59036,"Vancouver East/Vancouver-Est"," 135","Vancouver",43,4,54,0,0,61,2,164,439
59036,"Vancouver East/Vancouver-Est"," 136","Vancouver",35,0,39,0,0,66,0,140,377
59036,"Vancouver East/Vancouver-Est"," 137","Vancouver",42,1,34,2,1,37,0,117,424
59036,"Vancouver East/Vancouver-Est"," 138","Vancouver",72,3,50,1,7,87,0,220,518
59036,"Vancouver East/Vancouver-Est"," 139","Vancouver",67,1,56,1,6,90,0,221,459
59036,"Vancouver East/Vancouver-Est"," 140","Vancouver",77,0,92,1,3,77,1,251,527
59036,"Vancouver East/Vancouver-Est"," 141","Vancouver",48,1,60,1,3,75,1,189,486
59036,"Vancouver East/Vancouver-Est"," 142","Vancouver",61,5,64,0,4,78,1,213,525
59036,"Vancouver East/Vancouver-Est"," 143","Vancouver",36,1,46,0,1,53,0,137,413
59036,"Vancouver East/Vancouver-Est"," 144","Vancouver",31,0,49,3,0,35,1,119,325
59036,"Vancouver East/Vancouver-Est"," 145A","Vancouver",33,3,52,0,0,32,0,120,314
59036,"Vancouver East/Vancouver-Est"," 145B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,,,41
59036,"Vancouver East/Vancouver-Est"," 146","Vancouver",45,0,38,0,2,30,0,115,362
59036,"Vancouver East/Vancouver-Est"," 147","Vancouver",31,0,59,1,2,77,1,171,556
59036,"Vancouver East/Vancouver-Est"," 148","Vancouver",25,0,62,0,3,47,1,138,470
59036,"Vancouver East/Vancouver-Est"," 149","Vancouver",30,0,91,0,0,59,2,182,558
59036,"Vancouver East/Vancouver-Est"," 150","Vancouver",27,0,61,0,3,37,1,129,499
59036,"Vancouver East/Vancouver-Est"," 151","Vancouver",22,0,56,0,5,47,0,130,488
59036,"Vancouver East/Vancouver-Est"," 152","Vancouver",28,0,56,1,0,72,0,157,528
59036,"Vancouver East/Vancouver-Est"," 153","Vancouver",19,0,59,1,1,72,0,152,508
59036,"Vancouver East/Vancouver-Est"," 154","Vancouver",21,0,49,1,3,62,0,136,450
59036,"Vancouver East/Vancouver-Est"," 155","Vancouver",22,0,41,0,6,62,0,131,380
59036,"Vancouver East/Vancouver-Est"," 156","Vancouver",23,0,84,2,10,71,2,192,429
59036,"Vancouver East/Vancouver-Est"," 157","Vancouver",18,2,74,2,4,55,0,155,372
59036,"Vancouver East/Vancouver-Est"," 158","Vancouver",38,0,75,0,3,58,0,174,456
59036,"Vancouver East/Vancouver-Est"," 159","Vancouver",25,0,70,0,4,63,1,163,488
59036,"Vancouver East/Vancouver-Est"," 160","Vancouver",21,1,49,0,3,63,0,137,490
59036,"Vancouver East/Vancouver-Est"," 161","Vancouver",51,0,65,1,1,57,0,175,419
59036,"Vancouver East/Vancouver-Est"," 162","Vancouver",36,0,56,2,5,67,1,167,437
59036,"Vancouver East/Vancouver-Est"," 163","Vancouver",29,0,55,1,1,30,0,116,378
59036,"Vancouver East/Vancouver-Est"," 164","Vancouver",43,0,62,4,4,98,0,211,458
59036,"Vancouver East/Vancouver-Est"," 165","Vancouver",41,3,52,0,0,69,0,165,348
59036,"Vancouver East/Vancouver-Est"," 166","Vancouver",45,1,61,2,3,66,3,181,476
59036,"Vancouver East/Vancouver-Est"," 167","Vancouver",18,1,89,1,5,61,4,179,456
59036,"Vancouver East/Vancouver-Est"," 168","Vancouver",23,0,68,1,0,44,0,136,423
59036,"Vancouver East/Vancouver-Est"," 169","Vancouver",20,1,58,0,3,30,1,113,420
59036,"Vancouver East/Vancouver-Est"," 170","Vancouver",26,0,65,1,2,37,0,131,334
59036,"Vancouver East/Vancouver-Est"," 171","Vancouver",28,2,63,1,1,48,0,143,367
59036,"Vancouver East/Vancouver-Est"," 172","Vancouver",26,0,73,1,3,62,1,166,441
59036,"Vancouver East/Vancouver-Est"," 173","Vancouver",28,0,57,3,3,62,0,153,442
59036,"Vancouver East/Vancouver-Est"," 174","Vancouver",16,1,63,0,5,50,0,135,341
59036,"Vancouver East/Vancouver-Est"," 175","Vancouver",25,2,61,3,5,41,1,138,409
59036,"Vancouver East/Vancouver-Est"," 176","Vancouver",20,0,78,1,2,49,0,150,425
59036,"Vancouver East/Vancouver-Est"," 177","Vancouver",28,1,54,1,2,49,0,135,401
59036,"Vancouver East/Vancouver-Est"," 178","Vancouver",58,3,85,2,2,66,0,216,507
59036,"Vancouver East/Vancouver-Est"," 179","Vancouver",35,1,39,1,1,50,2,129,366
59036,"Vancouver East/Vancouver-Est"," 180","Vancouver",66,1,72,0,1,93,0,233,549
59036,"Vancouver East/Vancouver-Est"," 181","Vancouver",96,1,58,2,4,73,1,235,512
59036,"Vancouver East/Vancouver-Est"," 182","Vancouver",53,4,47,0,3,80,1,188,464
59036,"Vancouver East/Vancouver-Est"," 183","Vancouver",51,1,35,0,2,55,1,145,439
59036,"Vancouver East/Vancouver-Est"," 184","Vancouver",59,1,44,0,1,37,1,143,417
59036,"Vancouver East/Vancouver-Est"," 185","Vancouver",21,1,53,0,2,52,1,130,416
59036,"Vancouver East/Vancouver-Est"," 186","Vancouver",26,0,55,2,2,62,0,147,450
59036,"Vancouver East/Vancouver-Est"," 187","Vancouver",27,1,59,1,6,44,0,138,458
59036,"Vancouver East/Vancouver-Est"," 188","Vancouver",40,1,90,0,1,79,0,211,492
59036,"Vancouver East/Vancouver-Est"," 189","Vancouver",30,0,48,1,0,40,1,120,422
59036,"Vancouver East/Vancouver-Est"," 190","Vancouver",28,1,72,2,2,50,0,155,427
59036,"Vancouver East/Vancouver-Est"," 191","Vancouver",24,0,59,0,2,65,1,151,405
59036,"Vancouver East/Vancouver-Est"," 192","Vancouver",40,1,39,1,2,46,1,130,432
59036,"Vancouver East/Vancouver-Est"," 193","Vancouver",27,1,42,0,0,58,0,128,402
59036,"Vancouver East/Vancouver-Est"," 194","Vancouver",27,2,42,0,2,44,2,119,399
59036,"Vancouver East/Vancouver-Est"," 195","Vancouver",41,0,46,0,2,49,0,138,452
59036,"Vancouver East/Vancouver-Est"," 196","Vancouver",44,1,83,1,3,67,2,201,584
59036,"Vancouver East/Vancouver-Est"," 197","Vancouver",34,0,59,0,1,52,3,149,390
59036,"Vancouver East/Vancouver-Est"," 198","Vancouver",45,0,34,0,3,39,0,121,352
59036,"Vancouver East/Vancouver-Est"," 199","Vancouver",23,1,43,1,1,40,0,109,411
59036,"Vancouver East/Vancouver-Est"," 200","Vancouver",41,0,49,1,2,53,0,146,466
59036,"Vancouver East/Vancouver-Est"," 201A","Vancouver",46,2,51,3,3,58,0,163,399
59036,"Vancouver East/Vancouver-Est"," 201B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,,,12
59036,"Vancouver East/Vancouver-Est"," 202","Vancouver",42,1,43,2,6,44,1,139,428
59036,"Vancouver East/Vancouver-Est"," 203","Vancouver",62,0,68,0,2,37,0,169,441
59036,"Vancouver East/Vancouver-Est"," 204","Vancouver",50,1,85,0,2,53,2,193,432
59036,"Vancouver East/Vancouver-Est"," 205","Vancouver",44,1,30,1,1,47,1,125,401
59036,"Vancouver East/Vancouver-Est"," 206","Vancouver",54,3,60,1,1,65,0,184,474
59036,"Vancouver East/Vancouver-Est"," 500","Mobile poll/Bureau itinérant",2,1,29,0,0,6,1,39,49
59036,"Vancouver East/Vancouver-Est"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°510,,,,,,,,8
59036,"Vancouver East/Vancouver-Est"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,,33
59036,"Vancouver East/Vancouver-Est"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,,19
59036,"Vancouver East/Vancouver-Est"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,21
59036,"Vancouver East/Vancouver-Est"," 505","Mobile poll/Bureau itinérant",3,0,27,1,2,16,1,50,51
59036,"Vancouver East/Vancouver-Est"," 506","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,38
59036,"Vancouver East/Vancouver-Est"," 507","Mobile poll/Bureau itinérant",13,0,10,0,1,10,0,34,46
59036,"Vancouver East/Vancouver-Est"," 508A","Mobile poll/Bureau itinérant",24,1,23,2,0,29,5,84,115
59036,"Vancouver East/Vancouver-Est"," 508B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508A,,,,,,,,1
59036,"Vancouver East/Vancouver-Est"," 509","Mobile poll/Bureau itinérant",17,1,29,3,1,25,4,80,49
59036,"Vancouver East/Vancouver-Est"," 510","Mobile poll/Bureau itinérant",4,0,11,1,0,23,1,40,57
59036,"Vancouver East/Vancouver-Est"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,,32
59036,"Vancouver East/Vancouver-Est"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°520,,,,,,,,8
59036,"Vancouver East/Vancouver-Est"," 513","Mobile poll/Bureau itinérant",13,0,27,3,6,14,1,64,66
59036,"Vancouver East/Vancouver-Est"," 514","Mobile poll/Bureau itinérant",8,1,12,1,0,8,5,35,25
59036,"Vancouver East/Vancouver-Est"," 515","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,,,20
59036,"Vancouver East/Vancouver-Est"," 516","Mobile poll/Bureau itinérant",21,0,17,0,0,10,2,50,72
59036,"Vancouver East/Vancouver-Est"," 517","Vancouver",Combined with No./Résultats combinés à ceux du n°201A,,,,,,,,24
59036,"Vancouver East/Vancouver-Est"," 518","Mobile poll/Bureau itinérant",20,0,24,3,2,26,1,76,98
59036,"Vancouver East/Vancouver-Est"," 519","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°518,,,,,,,,57
59036,"Vancouver East/Vancouver-Est"," 520","Mobile poll/Bureau itinérant",10,1,12,0,2,10,1,36,69
59036,"Vancouver East/Vancouver-Est"," 600","Vancouver",260,4,369,9,19,563,4,1228,
59036,"Vancouver East/Vancouver-Est"," 601","Vancouver",146,7,309,10,11,254,3,740,
59036,"Vancouver East/Vancouver-Est"," 602","Vancouver",90,4,445,10,21,232,3,805,
59036,"Vancouver East/Vancouver-Est"," 603","Vancouver",160,10,817,9,29,452,7,1484,
59036,"Vancouver East/Vancouver-Est"," 604","Vancouver",288,8,648,1,30,614,2,1591,
59036,"Vancouver East/Vancouver-Est"," 605","Vancouver",268,9,437,11,12,439,3,1179,
59036,"Vancouver East/Vancouver-Est"," 606","Vancouver",244,7,669,7,26,454,3,1410,
59036,"Vancouver East/Vancouver-Est"," 607","Vancouver",85,8,619,4,14,294,2,1026,
59036,"Vancouver East/Vancouver-Est"," 608","Vancouver",159,4,545,5,20,460,3,1196,
59036,"Vancouver East/Vancouver-Est"," 609","Vancouver",235,4,288,4,7,319,1,858,
59036,"Vancouver East/Vancouver-Est"," 610","Vancouver",223,5,336,7,15,320,4,910,
59036,"Vancouver East/Vancouver-Est"," 611","Vancouver",216,8,690,1,32,594,2,1543,
59036,"Vancouver East/Vancouver-Est"," 612","Vancouver",174,5,524,7,26,439,3,1178,
59036,"Vancouver East/Vancouver-Est"," 613","Vancouver",87,1,602,2,25,305,0,1022,
59036,"Vancouver East/Vancouver-Est"," 614","Vancouver",113,2,543,9,17,348,7,1039,
59036,"Vancouver East/Vancouver-Est"," 615","Vancouver",172,5,684,7,31,600,4,1503,
59036,"Vancouver East/Vancouver-Est"," 616","Vancouver",199,7,718,3,28,574,0,1529,
59036,"Vancouver East/Vancouver-Est"," 617","Vancouver",187,8,756,8,29,588,1,1577,
59036,"Vancouver East/Vancouver-Est",,Group 1/Groupe 1, 256,14,807,5,47,661,58,1848,861
59036,"Vancouver East/Vancouver-Est",,Group 2/Groupe 2, 370,10,1746,9,72,1216,82,3505,
