Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Barry Dewar,Helena Konanz,Philip Mansfield,Gloria Morgan,Linda Sankey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 26","Penticton 1",2,19,8,20,22,0,71,421
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 27","Penticton",4,72,2,35,30,0,143,425
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 28","Penticton",2,56,6,61,39,0,164,565
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 29","Penticton 1",1,38,0,40,12,2,93,399
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 29-1","Penticton 1",3,27,0,27,9,0,66,188
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 30","Penticton 1",1,46,0,50,15,0,112,462
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 31","Penticton",4,46,3,43,37,2,135,519
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 32","Penticton",1,67,6,64,30,0,168,525
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 33","Penticton",2,37,1,42,27,0,109,455
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 34","Penticton",6,61,1,43,27,2,140,429
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 35","Penticton",1,94,4,55,35,0,189,532
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 36","Penticton",0,63,1,45,27,1,137,465
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 37","Penticton",0,40,1,40,31,0,112,372
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 38","Penticton",3,76,10,56,34,0,179,423
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 39","Penticton",4,86,3,62,37,1,193,447
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 40","Penticton",1,69,4,66,43,0,183,431
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 41","Penticton",0,63,2,54,39,1,159,482
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 42","Penticton",0,41,3,30,31,0,105,375
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 43","Penticton",1,50,5,38,32,1,127,447
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 44","Penticton",0,54,1,34,24,0,113,371
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 45","Penticton",1,74,4,45,22,0,146,513
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 46","Penticton",0,67,3,39,25,0,134,424
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 47","Penticton",0,57,2,62,33,0,154,392
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 48","Penticton",0,66,0,65,37,2,170,495
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 49","Penticton",0,68,3,39,36,0,146,447
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 50","Penticton",0,61,1,71,38,1,172,528
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 51A","Penticton",2,46,3,60,25,0,136,363
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 51B","Penticton",1,30,1,14,18,0,64,135
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 52","Penticton",0,45,1,66,31,2,145,401
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 53","Penticton",1,84,4,67,42,3,201,461
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 54","Penticton",0,95,0,66,38,0,199,511
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 55","Penticton",1,57,1,42,38,2,141,429
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 56","Penticton",0,38,4,42,24,1,109,435
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 57","Penticton",0,62,2,77,43,1,185,659
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 58","Penticton",1,47,0,35,36,2,121,360
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 59","Penticton",1,58,0,38,18,0,115,523
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 60","Penticton 1",1,29,0,31,28,0,89,306
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 61","Penticton",2,73,0,54,28,0,157,524
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 62","Penticton",1,53,2,50,23,2,131,548
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 63","Penticton",1,53,4,28,22,0,108,490
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 64","Penticton",5,91,0,76,36,0,208,756
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 65","Penticton",0,71,0,57,24,0,152,541
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 66","Penticton",0,32,1,36,11,0,80,552
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 67","Penticton",3,50,1,35,21,0,110,450
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 68","Penticton",0,37,2,45,20,0,104,494
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 69","Penticton",2,43,3,48,22,0,118,439
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 70","Penticton",0,58,0,53,28,0,139,473
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 71","Penticton",1,48,2,41,18,0,110,420
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 72","Penticton",0,76,0,46,23,0,145,522
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 73","Penticton",2,68,0,44,18,0,132,417
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 74","Penticton",1,88,3,48,25,0,165,568
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 75","Penticton",1,63,1,54,35,1,155,568
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 76","Penticton",0,42,1,38,15,0,96,311
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 77","Penticton",0,64,3,40,15,0,122,386
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 78","Penticton",0,29,0,34,11,0,74,293
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 79","Penticton",0,68,3,51,25,0,147,382
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 80","Penticton",0,58,3,66,17,1,145,344
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 81","Penticton",3,59,4,43,25,0,134,422
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 82","Penticton",1,54,3,48,35,0,141,457
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 83","Penticton",2,88,2,62,33,2,189,384
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 84","Penticton",1,73,3,55,41,0,173,550
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 85","Penticton",0,43,4,58,31,0,136,411
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 86","Penticton",3,58,1,67,29,2,160,368
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 87","Penticton",2,52,2,64,38,0,158,431
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 88","Penticton",1,109,3,66,27,1,207,532
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 89","Hedley",1,98,7,81,15,1,203,402
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 89-1","Chuchuwayha 2",1,3,1,12,2,0,19,40
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 90","Keremeos Forks 12 & 12A",4,77,3,50,15,0,149,473
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 91","Kaleden",1,77,1,84,36,0,199,428
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 92","Kaleden",2,49,5,70,25,0,151,319
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 93","Kaleden",1,70,2,50,15,0,138,280
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 94","Kaleden",1,79,6,42,14,1,143,384
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 95","Bradshaw--Keremeos",2,42,4,24,10,0,82,410
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 95-1","Ashnola 10",2,4,2,7,5,0,20,72
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 96","Olalla",3,53,1,25,15,1,98,373
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 97","Keremeos",1,60,0,32,29,0,122,450
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 98","Keremeos",2,65,1,41,23,0,132,562
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 99A","Keremeos",2,47,4,52,12,1,118,447
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 99B","Mobile poll/Bureau itinérant",1,16,6,28,10,0,61,34
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 100","Keremeos",3,59,3,36,20,1,122,493
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 101","Okanagan Falls",3,52,3,78,19,0,155,420
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 102","Okanagan Falls",1,68,0,67,11,0,147,416
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 103","Okanagan Falls",1,47,1,26,10,0,85,291
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 104","Okanagan-Similkameen D",1,60,10,42,22,0,135,411
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 105","Okanagan Falls",0,58,0,34,12,0,104,314
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 106","Okanagan-Similkameen D",1,42,3,52,17,3,118,500
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 107","Okanagan-Similkameen D",1,44,1,40,17,0,103,337
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 108","Okanagan Falls",1,81,0,42,18,0,142,446
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 109","Okanagan Falls",4,66,2,42,18,0,132,427
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 110","Olalla",3,67,2,44,16,0,132,385
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 111","Keremeos",2,90,2,39,21,2,156,462
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 112","Cawston",1,94,7,50,38,0,190,434
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 112-1","Chopaka 7 & 8",0,4,0,6,7,0,17,35
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 113","Cawston",4,87,6,48,43,0,188,428
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 114","Willowbrook",4,35,3,26,8,0,76,291
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 115","Willowbrook",3,35,1,28,6,0,73,361
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 116","Eagle Bluff",2,27,0,32,4,2,67,312
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 117","Oliver",0,62,5,21,8,0,96,351
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 118A","Fairview",Combined with No./Résultats combinés à ceux du n°112,,,,,,,9
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 118B","Fairview",2,88,2,52,17,5,166,432
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 119","Oliver",5,24,1,40,14,0,84,342
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 120","Oliver",1,38,0,45,12,1,97,405
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 121","Oliver",3,60,5,35,12,2,117,373
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 122","Oliver",0,55,4,61,22,0,142,565
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 123","Oliver",1,29,4,44,18,0,96,340
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 124","Oliver",0,93,1,44,19,2,159,473
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 125","Oliver",1,47,2,33,15,1,99,375
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 126","Oliver",0,49,0,32,12,3,96,349
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 127","Oliver",0,45,4,44,13,1,107,406
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 128","Oliver",2,52,3,26,18,0,101,432
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 129","Oliver",1,20,1,28,8,1,59,240
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 130","Oliver",3,57,3,33,10,0,106,344
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 131","Oliver",3,48,3,25,19,0,98,341
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 132","Oliver",1,29,2,26,11,0,69,221
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 133","Osoyoos 1",2,44,2,43,20,0,111,490
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 134","Oliver",1,64,4,42,10,1,122,432
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 135","Osoyoos 1",2,79,0,55,12,0,148,567
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 136","Oliver",1,39,0,28,5,0,73,283
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 137","Grand Forks",1,84,1,39,19,0,144,432
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 138","Grand Forks",0,88,2,38,21,0,149,464
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 139","Grand Forks",0,69,3,44,26,0,142,483
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 140","Grand Forks",3,69,3,22,8,0,105,440
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 141","Deer Park",5,113,3,54,33,1,209,473
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 142","Central Kootenay J",3,102,3,48,43,0,199,372
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 143","Robson",4,115,6,46,40,1,212,420
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 144","Raspberry",1,39,3,19,24,1,87,250
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 145","Raspberry",0,15,1,7,7,0,30,122
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 146","Raspberry",Combined with No./Résultats combinés à ceux du n°145,,,,,,,5
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 147","Osoyoos",3,39,1,15,3,1,62,207
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 148","Okanagan-Similkameen A",0,88,0,51,11,0,150,485
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 149","Osoyoos",3,68,2,34,13,1,121,371
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 150","Osoyoos",2,89,2,54,20,0,167,549
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 151","Westbridge",4,65,2,34,10,2,117,379
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 152","Bridesville",1,72,2,19,10,0,104,339
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 153","Rock Creek",1,86,0,36,19,0,142,468
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 154","Osoyoos",2,58,2,23,7,0,92,347
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 155","Osoyoos",2,53,0,18,6,0,79,297
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 156A","Osoyoos",3,40,2,18,19,1,83,386
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 156B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°518,,,,,,,79
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 157","Osoyoos",12,57,1,51,13,0,134,479
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 158","Osoyoos",0,67,1,41,14,0,123,436
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 159","Osoyoos",0,57,0,32,13,0,102,387
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 160","Osoyoos",0,68,1,44,12,0,125,405
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 161","Osoyoos",0,43,1,33,11,0,88,357
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 162","Okanagan-Similkameen A",2,88,1,39,5,0,135,383
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 163","Osoyoos",1,46,3,38,1,1,90,340
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 164","Osoyoos",1,67,1,42,9,1,121,342
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 165","Osoyoos",2,71,0,43,13,3,132,337
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 166","Osoyoos",0,55,0,39,6,0,100,345
59030,"Similkameen--South Okanagan--West Kootenay/Similkameen--Okanagan-Sud--Kootenay-Ouest"," 167","Greenwood",3,140,8,46,35,0,232,470
