Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Terry Beech,Michael Charrois,Mauro Francis,Jesse Fulton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 26","North Vancouver",112,4,51,1,1,169,497
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 27","North Vancouver",137,23,65,0,1,226,574
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 28","North Vancouver",72,13,51,1,1,138,452
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 29","North Vancouver",139,12,85,0,1,237,454
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 30","North Vancouver",99,4,45,0,1,149,434
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 31","North Vancouver",72,3,43,2,0,120,466
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 32","North Vancouver",123,6,61,1,0,191,474
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 33","North Vancouver",63,7,44,2,1,117,422
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 34","North Vancouver",84,5,34,1,2,126,404
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 35","North Vancouver",98,3,51,0,0,152,441
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 36A","North Vancouver",81,20,36,0,1,138,367
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 36B","North Vancouver",92,19,43,1,1,156,434
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 37","North Vancouver",72,16,59,1,0,148,390
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 38","Seymour Creek 2",Combined with No./Résultats combinés à ceux du n°62,,,,,,91
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 39","North Vancouver",92,15,33,0,1,141,460
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 40","North Vancouver",51,8,38,0,0,97,465
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 41","North Vancouver",84,11,63,3,0,161,527
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 42","North Vancouver",57,6,40,2,0,105,472
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 43","North Vancouver",67,5,59,1,1,133,418
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 44","North Vancouver",91,7,60,3,0,161,463
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 45","North Vancouver",75,9,55,1,0,140,449
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 46","North Vancouver",69,2,38,0,0,109,456
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 47","North Vancouver",99,7,59,2,1,168,384
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 48","North Vancouver",64,3,43,0,1,111,483
