Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Molly Cornish,Ghislain Daigle,Jacques Gourde,Pierre Julien,Pier-Olivier Roy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 45","Lévis",4,38,79,36,6,1,164,385
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 46","Lévis",6,43,66,40,3,0,158,369
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 47","Lévis",14,35,71,26,2,6,154,419
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 48","Lévis",5,46,53,39,2,2,147,371
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 49","Lévis",8,40,46,45,1,2,142,319
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 50","Lévis",3,41,70,32,1,0,147,327
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 51","Lévis",10,45,70,38,1,1,165,379
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 52","Lévis",6,31,71,38,1,4,151,405
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 53","Lévis",4,55,56,55,1,0,171,413
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 54","Lévis",5,46,90,42,3,3,189,417
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 55","Lévis",3,41,100,47,0,3,194,324
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 56","Lévis",4,44,66,45,2,0,161,378
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 57","Lévis",5,41,95,32,2,3,178,432
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 58","Lévis",2,76,162,46,3,4,293,571
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 59","Lévis",0,47,92,39,2,4,184,353
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 60","Lévis",4,52,124,43,2,0,225,415
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 61","Lévis",3,64,145,40,1,7,260,570
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 62","Lévis",5,42,92,41,1,0,181,371
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 63","Lévis",3,23,33,10,0,0,69,145
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 64","Lévis",1,54,81,37,1,2,176,344
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 65","Lévis",2,46,122,29,4,4,207,429
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 66","Lévis",7,60,135,49,5,5,261,534
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 67","Lévis",4,57,74,54,0,6,195,441
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 68","Lévis",5,59,125,32,3,4,228,421
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 69","Lévis",6,71,143,40,0,2,262,482
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 70","Lévis",11,52,55,30,0,3,151,346
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 71","Lévis",6,67,126,49,2,7,257,491
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 72","Lévis",8,61,107,41,0,5,222,408
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 73","Lévis",5,45,74,45,0,2,171,396
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 74","Lévis",1,46,82,14,1,3,147,365
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 75","Lévis",4,53,106,55,4,3,225,439
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 76","Lévis",7,46,75,32,1,2,163,377
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 77","Lévis",2,49,113,37,3,1,205,391
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 78","Lévis",10,111,120,40,1,0,282,569
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 79","Lévis",2,72,81,35,0,0,190,377
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 80A","Lévis",3,52,59,36,1,3,154,366
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 80B","Lévis",3,53,59,26,0,0,141,370
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 81","Lévis",6,71,92,41,0,2,212,457
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 82","Lévis",14,102,124,46,1,1,288,570
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 83","Lévis",6,60,93,52,0,3,214,502
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 84","Lévis",2,70,82,40,2,0,196,466
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 85","Lévis",4,30,51,44,2,3,134,357
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 86","Lévis",1,35,61,38,0,4,139,352
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 87","Lévis",7,72,109,67,2,4,261,612
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 88","Lévis",4,68,125,35,5,3,240,543
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 89","Lévis",5,88,110,50,1,6,260,540
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 90","Lévis",6,111,112,60,1,2,292,659
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 91","Lévis",3,68,56,34,0,1,162,439
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 92","Lévis",6,67,104,44,1,4,226,542
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 93","Lévis",2,35,47,15,0,0,99,177
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 94","Lévis",6,58,72,35,2,3,176,386
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 95","Lévis",9,52,63,51,0,1,176,314
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 96","Lévis",6,74,75,39,2,1,197,438
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 97","Lévis",8,53,73,39,0,2,175,341
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 98","Lévis",5,56,53,27,1,2,144,334
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 99","Lévis",6,64,85,46,2,2,205,341
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 100","Lévis",1,50,77,57,1,3,189,426
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 101","Lévis",5,63,74,37,4,3,186,431
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 102","Lévis",5,59,85,44,3,3,199,406
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 103","Lévis",12,68,89,52,3,4,228,486
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 104","Lévis",8,50,80,41,2,4,185,373
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 105","Lévis",3,41,75,41,3,1,164,406
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 106","Lévis",2,58,84,32,1,4,181,376
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 107","Lévis",7,37,91,39,7,2,183,425
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 108","Lévis",14,42,81,42,1,0,180,367
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 109","Lévis",2,72,60,29,1,3,167,380
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 110","Lévis",5,87,131,41,2,3,269,569
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 111","Lévis",0,60,58,29,1,1,149,327
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 112","Lévis",9,46,96,65,1,2,219,373
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 113","Lévis",3,46,99,50,2,2,202,465
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 114","Lévis",1,79,109,46,4,0,239,553
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 115","Lévis",4,74,113,49,1,3,244,605
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 116","Lévis",5,47,118,43,2,4,219,468
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 117","Lévis",4,77,152,59,5,3,300,564
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 118","Lévis",5,45,132,37,1,3,223,500
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 119","Lévis",9,58,133,28,4,2,234,467
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 120","Lévis",11,64,133,53,3,4,268,542
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 121","Lévis",3,41,112,36,7,0,199,325
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 122","Lévis",6,81,132,59,6,4,288,480
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 123","Lévis",1,29,59,18,1,0,108,253
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 124","Lévis",6,46,76,33,4,0,165,350
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 125","Lévis",10,38,84,41,2,1,176,371
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 126","Lévis",6,42,116,29,1,1,195,467
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 127","Lévis",6,54,89,15,5,2,171,315
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 128","Lévis",12,69,171,53,4,4,313,550
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 129","Lévis",2,29,60,26,2,3,122,309
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 130","Lévis",7,93,175,53,1,1,330,657
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 131","Lévis",3,48,97,45,2,0,195,447
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 132","Lévis",6,52,74,27,1,5,165,414
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 133","Lévis",6,47,89,39,1,4,186,409
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 134","Lévis",11,34,110,41,1,0,197,417
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 135","Lévis",3,24,63,27,2,3,122,317
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 136","Lévis",3,26,64,25,5,1,124,337
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 137","Lévis",4,36,95,37,2,0,174,382
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 138","Lévis",2,100,106,29,2,3,242,549
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 139","Lévis",11,48,95,40,8,3,205,491
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 140","Lévis",4,61,117,57,1,1,241,482
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 141","Lévis",3,58,120,32,4,2,219,426
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 142","Lévis",5,46,72,38,0,5,166,382
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 143","Lévis",9,62,113,42,2,6,234,527
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 144","Lévis",7,36,127,30,6,3,209,556
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 145","Lévis",7,44,130,46,1,2,230,467
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 146","Saint-Lambert-de-Lauzon",2,24,83,30,1,2,142,310
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 147","Saint-Lambert-de-Lauzon",2,31,92,32,2,2,161,363
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 148","Saint-Lambert-de-Lauzon",11,58,136,35,0,4,244,559
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 149","Saint-Lambert-de-Lauzon",4,33,98,18,1,6,160,338
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 150","Saint-Lambert-de-Lauzon",6,51,73,30,0,3,163,352
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 151","Saint-Lambert-de-Lauzon",4,46,109,24,3,2,188,381
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 152","Saint-Lambert-de-Lauzon",1,32,100,22,2,1,158,378
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 153","Saint-Lambert-de-Lauzon",4,17,80,17,2,1,121,310
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 154","Saint-Lambert-de-Lauzon",1,23,87,30,2,0,143,303
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 155","Lévis",4,34,45,37,0,3,123,251
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 156","Lévis",10,49,141,48,6,3,257,537
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 157","Lévis",5,43,83,25,2,0,158,358
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 158","Lévis",4,50,83,21,0,2,160,387
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 159","Lévis",6,62,104,30,2,1,205,422
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 160","Lévis",8,55,110,38,0,2,213,399
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 161","Lévis",5,43,127,35,3,3,216,461
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 162","Lévis",7,38,95,33,5,2,180,415
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 163","Lévis",6,45,147,35,1,2,236,471
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 164","Lévis",4,44,108,29,0,4,189,412
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 165","Lévis",2,29,83,27,2,2,145,443
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 166","Lévis",1,35,97,23,2,2,160,362
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 167","Lévis",5,31,84,36,1,2,159,369
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 168","Saint-Antoine-de-Tilly",10,41,73,38,1,4,167,336
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 169","Saint-Antoine-de-Tilly",11,25,90,54,2,2,184,378
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 170","Saint-Antoine-de-Tilly",1,43,55,41,3,0,143,319
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 171","Saint-Antoine-de-Tilly",4,25,83,58,3,2,175,389
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 172","Saint-Lambert-de-Lauzon",1,32,127,35,1,4,200,306
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 173","Saint-Lambert-de-Lauzon",5,37,107,37,5,1,192,301
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 174","Saint-Lambert-de-Lauzon",5,24,84,19,2,1,135,299
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 175","Saint-Lambert-de-Lauzon",6,42,173,33,1,4,259,391
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 176","Saint-Lambert-de-Lauzon",5,76,196,50,5,4,336,490
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 177","Saint-Lambert-de-Lauzon",0,45,138,32,4,4,223,331
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 178","Saint-Apollinaire",2,34,67,16,6,0,125,257
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 179","Saint-Apollinaire",6,24,72,19,1,2,124,263
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 180","Saint-Apollinaire",5,37,98,29,1,3,173,389
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 181","Saint-Apollinaire",1,33,66,21,1,1,123,288
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 182","Saint-Apollinaire",9,50,160,37,4,3,263,536
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 183","Saint-Apollinaire",2,32,77,32,3,4,150,352
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 184","Saint-Apollinaire",1,24,69,32,5,1,132,326
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 185","Saint-Apollinaire",6,24,149,25,5,0,209,539
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 186","Saint-Apollinaire",2,30,85,14,0,6,137,313
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 187","Saint-Apollinaire",3,37,114,27,0,3,184,375
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 188","Saint-Apollinaire",6,34,142,35,0,1,218,463
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 189","Saint-Apollinaire",6,22,82,31,0,6,147,345
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 190A","Saint-Apollinaire",4,46,105,22,1,2,180,392
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 190B","Saint-Apollinaire",4,35,129,24,0,7,199,410
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 191","Saint-Apollinaire",2,10,96,23,1,1,133,295
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 192","Saint-Apollinaire",1,23,57,20,1,2,104,225
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 193","Saint-Apollinaire",1,20,76,11,0,0,108,243
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 194","Saint-Apollinaire",1,11,71,14,0,0,97,279
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 195","Saint-Apollinaire",2,9,93,8,2,6,120,296
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 196","Saint-Agapit",2,24,79,14,0,2,121,290
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 197","Saint-Agapit",2,30,111,24,6,6,179,392
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 198","Saint-Agapit",7,23,111,26,1,4,172,343
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 199","Saint-Agapit",2,55,124,44,1,3,229,482
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 200","Saint-Agapit",0,22,69,20,2,1,114,285
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 201","Saint-Agapit",3,14,82,12,1,0,112,253
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 202","Saint-Agapit",4,25,76,35,3,0,143,337
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 203","Saint-Agapit",4,31,135,22,0,3,195,417
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 204","Saint-Agapit",5,25,105,24,2,0,161,346
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 205","Saint-Agapit",3,33,94,26,1,6,163,312
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 206","Saint-Narcisse",1,22,247,19,5,3,297,416
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 207","Saint-Narcisse",3,21,146,13,2,1,186,262
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 208","Saint-Narcisse",2,14,140,12,5,1,174,237
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 209","Saint-Gilles",5,9,120,16,4,0,154,308
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 210","Saint-Gilles",7,20,157,34,2,0,220,359
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 211","Saint-Gilles",7,40,162,26,1,3,239,381
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 212","Saint-Gilles",6,19,97,26,2,3,153,259
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 213A","Saint-Gilles",2,22,164,27,0,0,215,369
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 213B","Saint-Gilles",3,29,143,26,4,2,207,365
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 214","Saint-Gilles",1,36,136,18,0,4,195,336
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 215","Saint-Patrice-de-Beaurivage",2,25,143,24,4,6,204,406
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 216","Saint-Patrice-de-Beaurivage",4,36,207,23,5,5,280,435
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 217","Saint-Sylvestre",9,44,155,37,3,4,252,385
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 218","Saint-Sylvestre",3,46,169,45,7,4,274,422
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 400","Lévis",1,59,45,19,1,1,126,102
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 401","Lévis",2,60,53,54,0,1,170,258
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 402","Lévis",Combined with No./Résultats combinés à ceux du n°400,,,,,,,83
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 403","Lévis",Combined with No./Résultats combinés à ceux du n°400,,,,,,,74
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 404","Lévis",5,172,52,47,2,0,278,383
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 405","Lévis",7,98,42,33,1,15,196,256
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 406","Lévis",7,97,37,45,3,15,204,272
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 500","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,38
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,65
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,77
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,49
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,66
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 506","Mobile poll/Bureau itinérant",3,24,26,9,1,1,64,11
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 507","Mobile poll/Bureau itinérant",4,17,9,5,0,3,38,39
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 508","Mobile poll/Bureau itinérant",2,26,22,9,0,4,63,20
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 509","Lévis",Combined with No./Résultats combinés à ceux du n°143,,,,,,,53
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°523,,,,,,,12
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 511","Mobile poll/Bureau itinérant",9,36,31,21,2,6,105,49
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,,41
24040,"Lévis--Lotbinière/Lévis--Lotbinière"," 513","Mobile poll/Bureau itinérant",1,9,18,5,2,3,38,26
