Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Patricia Conlin,Justin Graham,Robert Grossi,Jacob Mantle,Matt Pearce,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35121,"York--Durham/York--Durham"," 81B","Scugog",Combined with No./Résultats combinés à ceux du n°77B,,,,,,,130
35121,"York--Durham/York--Durham"," 81C","Scugog",Combined with No./Résultats combinés à ceux du n°77C,,,,,,,102
35121,"York--Durham/York--Durham"," 82A","Scugog",4,16,99,187,4,1,311,112
35121,"York--Durham/York--Durham"," 82B","Scugog",3,5,81,139,5,0,233,116
35121,"York--Durham/York--Durham"," 82C","Scugog",2,5,100,161,5,1,274,97
35121,"York--Durham/York--Durham"," 83A","Scugog",Combined with No./Résultats combinés à ceux du n°82A,,,,,,,121
35121,"York--Durham/York--Durham"," 83B","Scugog",Combined with No./Résultats combinés à ceux du n°82B,,,,,,,87
35121,"York--Durham/York--Durham"," 83C","Scugog",Combined with No./Résultats combinés à ceux du n°82C,,,,,,,112
35121,"York--Durham/York--Durham"," 84A","Scugog",Combined with No./Résultats combinés à ceux du n°82A,,,,,,,120
35121,"York--Durham/York--Durham"," 84B","Scugog",Combined with No./Résultats combinés à ceux du n°82B,,,,,,,143
35121,"York--Durham/York--Durham"," 84C","Scugog",Combined with No./Résultats combinés à ceux du n°82C,,,,,,,120
35121,"York--Durham/York--Durham"," 85A","Scugog",Combined with No./Résultats combinés à ceux du n°82A,,,,,,,141
35121,"York--Durham/York--Durham"," 85B","Scugog",Combined with No./Résultats combinés à ceux du n°82B,,,,,,,103
35121,"York--Durham/York--Durham"," 85C","Scugog",Combined with No./Résultats combinés à ceux du n°82C,,,,,,,117
35121,"York--Durham/York--Durham"," 86A","Scugog",Combined with No./Résultats combinés à ceux du n°82A,,,,,,,115
35121,"York--Durham/York--Durham"," 86B","Scugog",Combined with No./Résultats combinés à ceux du n°82B,,,,,,,99
35121,"York--Durham/York--Durham"," 86C","Scugog",Combined with No./Résultats combinés à ceux du n°82C,,,,,,,134
35121,"York--Durham/York--Durham"," 87","Georgina",3,13,48,85,3,2,154,561
35121,"York--Durham/York--Durham"," 88","Georgina",1,9,40,80,5,1,136,561
35121,"York--Durham/York--Durham"," 89","Georgina",0,7,55,101,1,1,165,576
35121,"York--Durham/York--Durham"," 90","Georgina",3,11,73,122,3,1,213,666
35121,"York--Durham/York--Durham"," 91","Georgina",3,7,69,128,3,1,211,682
35121,"York--Durham/York--Durham"," 92","Georgina",1,3,75,105,3,0,187,597
35121,"York--Durham/York--Durham"," 93","Georgina",4,1,72,130,1,2,210,584
35121,"York--Durham/York--Durham"," 94","Georgina",6,5,60,107,2,2,182,572
