Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,William Caton,Maria Rose Lewans,Alex McPhee,Jeremy Patzer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 519","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°518A,,,,,,48
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 520","Mobile poll/Bureau itinérant",19,1,11,38,6,75,72
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 521","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°525,,,,,,53
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 522","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°520,,,,,,57
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 523","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°518C,,,,,,63
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 524","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°518B,,,,,,39
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 525","Mobile poll/Bureau itinérant",29,3,23,113,9,177,193
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 526","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°527,,,,,,35
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 527","Mobile poll/Bureau itinérant",13,8,7,35,1,64,49
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 528","Mobile poll/Bureau itinérant",7,3,5,15,0,30,43
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 529","Mobile poll/Bureau itinérant",8,3,5,14,0,30,44
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 530","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°529,,,,,,31
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 531","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°528,,,,,,26
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 532","Mobile poll/Bureau itinérant",3,1,4,4,3,15,14
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 533","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°532,,,,,,14
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 600","Macklin",49,2,12,686,3,752,
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 601","Cando",15,1,19,171,0,206,
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 602","Biggar",129,15,69,599,5,817,
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 603","Rosetown",153,12,65,860,11,1101,
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 604","Plenty",38,6,11,416,3,474,
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 605","Kindersley",147,8,42,1270,8,1475,
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 606","Eston",46,3,18,298,0,365,
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 607","Dinsmore",28,2,18,353,0,401,
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 608","Lucky Lake",30,2,14,200,1,247,
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 609","Leader",42,5,18,375,5,445,
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 610","Gull Lake",52,2,17,404,2,477,
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 611","Swift Current No. 137",147,7,51,940,6,1151,
