Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Mario Beaulieu,Ghada Chaabi,Olivier Huard,Viviane Minko,Violetta Potapova,Geneviève Royer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 103B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,,32
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 104","Montréal-Est",83,14,3,63,32,0,8,203,406
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 105","Montréal-Est",39,6,6,38,15,0,1,105,329
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 106","Montréal",39,5,7,32,24,0,0,107,325
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 107","Montréal",61,16,3,59,18,0,0,157,432
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 108","Montréal",63,6,2,40,28,0,0,139,342
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 109","Montréal",58,4,3,55,29,0,1,150,358
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 110","Montréal",49,8,4,22,19,0,2,104,381
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 111","Montréal",80,7,4,50,36,0,4,181,351
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 112","Montréal",66,15,8,92,30,2,3,216,433
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 113","Montréal",67,3,1,44,25,0,5,145,309
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 114","Montréal",55,10,3,85,28,0,3,184,362
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 115","Montréal",56,4,1,54,36,0,3,154,336
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 116","Montréal",46,10,0,61,27,0,2,146,323
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 117","Montréal",76,7,7,118,39,0,0,247,502
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 118","Montréal",55,16,3,118,50,1,1,244,532
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 119","Montréal",32,24,2,82,29,0,7,176,382
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 120","Montréal",58,8,2,94,23,1,4,190,383
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 121","Montréal",50,25,5,119,32,1,7,239,560
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 122","Montréal",57,4,5,75,23,1,0,165,365
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 123","Montréal",69,10,2,84,30,0,9,204,456
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 124","Montréal",38,6,1,29,12,1,0,87,339
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 125","Montréal",61,14,1,72,35,1,3,187,352
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 126","Montréal",70,7,6,62,14,0,5,164,425
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 127","Montréal",71,15,2,64,30,0,7,189,337
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 128","Montréal",55,4,3,33,15,0,1,111,350
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 129","Montréal",70,6,6,65,25,0,3,175,473
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 130","Montréal",49,11,6,66,16,2,5,155,406
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 131","Montréal",44,10,3,74,37,1,1,170,359
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 132","Montréal",52,11,2,63,20,0,0,148,372
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 133","Montréal",36,7,2,52,9,1,1,108,356
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 134","Montréal",55,6,0,70,21,0,3,155,445
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 135","Montréal",35,3,1,53,14,0,1,107,362
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 136","Montréal",34,7,2,53,11,1,3,111,385
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 137","Montréal",69,10,9,37,26,2,3,156,458
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 138","Montréal",44,14,3,68,27,0,3,159,377
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 139","Montréal",74,7,6,83,18,1,0,189,442
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 140","Montréal",70,5,6,70,21,1,3,176,387
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 141","Montréal",45,11,6,53,20,2,1,138,369
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 142","Montréal",46,8,6,66,24,0,3,153,341
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 143","Montréal",56,4,3,31,20,0,3,117,365
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 144","Montréal",75,7,1,75,30,3,2,193,415
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 145","Montréal",68,10,4,52,29,1,5,169,489
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 146A","Montréal",34,7,1,48,21,0,0,111,309
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 146B","Montréal",44,4,2,42,17,1,0,110,315
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 147","Montréal",77,10,7,53,19,0,3,169,368
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 148","Montréal",86,5,4,45,20,1,4,165,381
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 149","Montréal",64,11,4,54,21,0,4,158,395
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 150","Montréal",57,10,5,34,19,2,2,129,354
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 151","Montréal",57,9,1,27,21,1,1,117,313
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 152","Montréal",62,9,9,41,24,2,2,149,347
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 153","Montréal",76,5,4,57,29,1,1,173,403
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 154","Montréal",65,5,4,50,9,1,5,139,316
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 155","Montréal",79,15,3,60,14,0,0,171,388
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 156","Montréal",99,11,4,74,25,0,0,213,403
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 157","Montréal",82,12,5,44,32,1,0,176,357
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 158","Montréal",95,8,7,35,15,0,1,161,404
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 159","Montréal",85,15,8,81,18,2,4,213,363
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 160","Montréal",62,8,5,64,19,0,2,160,369
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 161","Montréal",46,9,6,69,27,0,1,158,378
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 162","Montréal",44,8,9,98,25,0,0,184,377
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 163","Montréal",57,9,3,51,20,0,4,144,364
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 164","Montréal",65,7,2,59,23,0,3,159,348
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 165","Montréal",57,13,4,43,25,0,1,143,334
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 166","Montréal",61,8,7,116,44,1,5,242,473
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 167","Montréal",61,6,1,63,8,0,0,139,424
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 168","Montréal",68,11,2,65,25,0,3,174,331
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 169","Montréal",76,10,2,92,19,0,1,200,399
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 170","Montréal",80,2,5,28,19,0,0,134,357
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 171","Montréal",53,2,4,43,20,1,2,125,372
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 172A","Montréal",35,6,5,63,21,0,2,132,312
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 172B","Montréal",67,3,4,29,20,0,2,125,313
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 173","Montréal",78,4,1,72,16,0,5,176,311
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 174","Montréal",64,5,5,68,24,0,5,171,330
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 175","Montréal",90,8,5,99,28,3,1,234,464
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 176","Montréal",75,16,1,61,24,0,4,181,416
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 177","Montréal",87,13,3,60,35,1,2,201,370
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 178","Montréal",54,4,5,44,18,1,5,131,373
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 179","Montréal",65,8,1,69,19,0,1,163,351
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 180","Montréal",107,11,6,95,20,0,5,244,447
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 181","Montréal",36,9,9,27,15,0,1,97,295
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 182","Montréal",58,10,2,65,23,0,4,162,473
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 183","Montréal",66,7,1,49,20,1,0,144,332
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 184","Montréal",69,10,1,73,21,0,3,177,336
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 185","Montréal",82,9,4,85,25,0,1,206,364
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 186","Montréal",71,18,1,45,32,0,3,170,389
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 187","Montréal",127,12,11,95,16,2,1,264,443
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 188","Montréal",102,13,5,95,40,3,7,265,491
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 189","Montréal",111,9,5,64,31,2,6,228,384
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 190","Montréal",52,11,2,48,24,2,6,145,347
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 191","Montréal",103,11,9,137,12,1,9,282,466
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 192","Montréal",65,8,0,92,20,1,2,188,500
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 193","Montréal",58,13,3,83,32,0,3,192,423
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 194","Montréal",57,6,5,115,30,0,2,215,498
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 195","Montréal",68,11,0,90,25,0,0,194,428
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 196","Montréal",44,5,10,52,15,2,2,130,391
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 197","Montréal",59,7,4,68,12,0,5,155,343
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 198","Montréal",54,9,6,71,22,1,1,164,426
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 199","Montréal",68,11,10,95,35,1,4,224,428
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 200","Montréal",65,10,1,49,13,1,1,140,352
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 201A","Montréal",41,5,2,77,33,1,7,166,306
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 201B","Montréal",25,11,6,66,25,0,0,133,311
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 202","Montréal",54,10,5,76,20,0,4,169,410
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 203","Montréal",46,10,6,55,16,0,4,137,358
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 204","Montréal",26,7,1,63,20,0,3,120,409
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 400A","Montréal",89,0,2,44,6,0,5,146,185
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 400B","Montréal",56,2,2,46,4,3,4,117,169
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 401","Montréal",58,0,2,44,5,1,8,118,168
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 402A","Montréal",69,0,1,93,6,2,7,178,223
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 402B","Montréal",76,1,0,84,3,1,8,173,219
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,12
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 501","Mobile poll/Bureau itinérant",22,3,3,33,6,4,12,83,67
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,18
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,14
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 504","Montréal",Combined with No./Résultats combinés à ceux du n°7,,,,,,,,18
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°76B,,,,,,,,36
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 506","Montréal",Combined with No./Résultats combinés à ceux du n°26,,,,,,,,87
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°76B,,,,,,,,19
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°76B,,,,,,,,23
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 509","Mobile poll/Bureau itinérant",15,2,6,39,8,3,3,76,75
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 510","Montréal",Combined with No./Résultats combinés à ceux du n°31,,,,,,,,6
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,,24
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 512","Montréal",Combined with No./Résultats combinés à ceux du n°49,,,,,,,,6
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 513","Mobile poll/Bureau itinérant",15,2,0,13,1,0,2,33,170
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,,9
24031,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 515","Mobile poll/Bureau itinérant",24,4,1,25,7,0,2,63,87
