Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Tafiqul Abu Mohammad,Arlo Arrowsmith,Mazhar Choudhry,Oulai B. Goué,Jaycob Jacques,Marie-France Lalonde,Steve Mansour,Arabella Vida,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35077,"Orléans/Orléans"," 43","Ottawa",0,1,0,5,1,110,49,0,1,167,384
35077,"Orléans/Orléans"," 44","Ottawa",0,1,0,4,1,99,64,0,0,169,409
35077,"Orléans/Orléans"," 45","Ottawa",0,1,1,4,0,185,103,0,0,294,545
35077,"Orléans/Orléans"," 46","Ottawa",0,1,0,9,1,154,70,0,2,237,548
35077,"Orléans/Orléans"," 47","Ottawa",1,1,0,2,1,90,23,0,0,118,381
35077,"Orléans/Orléans"," 48","Ottawa",1,1,2,5,3,92,73,0,1,178,517
35077,"Orléans/Orléans"," 49","Ottawa",3,1,0,2,4,91,65,0,0,166,404
35077,"Orléans/Orléans"," 50","Ottawa",0,0,0,5,0,89,43,0,0,137,358
35077,"Orléans/Orléans"," 51","Ottawa",0,0,0,4,2,74,32,0,0,112,356
35077,"Orléans/Orléans"," 52","Ottawa",0,0,0,8,3,78,44,0,0,133,421
35077,"Orléans/Orléans"," 53","Ottawa",1,2,0,5,6,104,44,0,2,164,559
35077,"Orléans/Orléans"," 54","Ottawa",0,0,0,6,1,97,47,0,2,153,477
35077,"Orléans/Orléans"," 55","Ottawa",1,1,0,11,3,87,37,0,2,142,426
35077,"Orléans/Orléans"," 56","Ottawa",2,1,0,7,1,98,42,0,0,151,445
35077,"Orléans/Orléans"," 57","Ottawa",1,1,0,3,3,92,54,0,1,155,417
35077,"Orléans/Orléans"," 58","Ottawa",0,0,1,4,1,80,55,0,1,142,428
35077,"Orléans/Orléans"," 59","Ottawa",1,0,0,11,2,88,46,1,0,149,401
35077,"Orléans/Orléans"," 60","Ottawa",3,1,0,3,8,99,54,1,0,169,538
35077,"Orléans/Orléans"," 61","Ottawa",2,1,0,7,3,78,55,0,1,147,385
35077,"Orléans/Orléans"," 62","Ottawa",2,2,1,0,1,146,23,0,2,177,295
35077,"Orléans/Orléans"," 63","Ottawa",1,1,0,5,1,124,54,0,1,187,490
35077,"Orléans/Orléans"," 64","Ottawa",3,0,1,1,0,109,49,0,3,166,489
35077,"Orléans/Orléans"," 65","Ottawa",0,0,0,4,0,85,48,0,1,138,349
35077,"Orléans/Orléans"," 66","Ottawa",3,0,0,1,0,120,45,1,1,171,453
35077,"Orléans/Orléans"," 67","Ottawa",5,2,2,4,0,108,49,0,0,170,469
35077,"Orléans/Orléans"," 68","Ottawa",1,2,1,12,2,203,101,0,2,324,702
35077,"Orléans/Orléans"," 69","Ottawa",4,2,2,8,4,157,80,0,2,259,513
35077,"Orléans/Orléans"," 70","Ottawa",3,0,0,4,3,126,58,0,0,194,408
35077,"Orléans/Orléans"," 71","Ottawa",0,0,0,7,3,142,62,0,1,215,477
35077,"Orléans/Orléans"," 72","Ottawa",0,1,4,7,5,100,53,0,1,171,463
35077,"Orléans/Orléans"," 73","Ottawa",3,1,0,3,3,126,61,1,1,199,501
35077,"Orléans/Orléans"," 74","Ottawa",1,0,1,8,1,115,65,0,1,192,578
35077,"Orléans/Orléans"," 75","Ottawa",0,1,1,7,4,127,69,1,0,210,585
35077,"Orléans/Orléans"," 76","Ottawa",2,1,0,3,2,119,84,0,3,214,560
35077,"Orléans/Orléans"," 77","Ottawa",1,0,0,4,2,154,78,0,1,240,563
35077,"Orléans/Orléans"," 78","Ottawa",3,0,3,8,3,89,62,0,0,168,422
35077,"Orléans/Orléans"," 79","Ottawa",1,2,0,4,5,98,59,1,1,171,377
35077,"Orléans/Orléans"," 80","Ottawa",0,1,1,11,3,182,85,0,3,286,575
35077,"Orléans/Orléans"," 81","Ottawa",0,1,2,7,3,99,39,0,0,151,394
35077,"Orléans/Orléans"," 82","Ottawa",3,0,2,8,1,115,54,1,0,184,375
35077,"Orléans/Orléans"," 83","Ottawa",0,2,1,2,3,79,54,0,0,141,345
35077,"Orléans/Orléans"," 84","Ottawa",1,4,1,9,0,92,46,0,0,153,396
35077,"Orléans/Orléans"," 85","Ottawa",4,0,0,3,0,103,37,0,0,147,382
35077,"Orléans/Orléans"," 86","Ottawa",0,1,0,2,0,78,49,0,0,130,314
35077,"Orléans/Orléans"," 87","Ottawa",1,0,0,8,0,121,64,0,0,194,390
35077,"Orléans/Orléans"," 88","Ottawa",1,1,0,4,4,128,45,1,0,184,400
35077,"Orléans/Orléans"," 89","Ottawa",1,0,1,8,3,139,65,0,1,218,495
35077,"Orléans/Orléans"," 90","Ottawa",3,1,0,3,4,142,58,0,1,212,401
35077,"Orléans/Orléans"," 91","Ottawa",1,3,1,4,1,94,49,0,0,153,419
35077,"Orléans/Orléans"," 92","Ottawa",1,0,1,4,3,59,54,0,1,123,365
35077,"Orléans/Orléans"," 93","Ottawa",0,0,0,6,0,90,52,0,0,148,340
35077,"Orléans/Orléans"," 94","Ottawa",2,0,0,10,2,128,66,1,0,209,514
35077,"Orléans/Orléans"," 95","Ottawa",0,0,0,6,4,86,49,1,0,146,410
35077,"Orléans/Orléans"," 96","Ottawa",1,1,1,4,4,63,30,0,1,105,361
35077,"Orléans/Orléans"," 97","Ottawa",0,1,0,5,1,146,45,0,0,198,496
35077,"Orléans/Orléans"," 98","Ottawa",0,0,0,5,1,64,42,1,0,113,392
35077,"Orléans/Orléans"," 99","Ottawa",1,0,0,3,6,91,63,0,0,164,512
35077,"Orléans/Orléans"," 100","Ottawa",0,0,0,11,2,136,49,0,0,198,572
35077,"Orléans/Orléans"," 101","Ottawa",0,0,0,7,2,84,41,0,2,136,372
35077,"Orléans/Orléans"," 102","Ottawa",0,2,0,5,3,130,75,1,0,216,554
35077,"Orléans/Orléans"," 103","Ottawa",0,1,0,10,3,89,64,0,2,169,453
35077,"Orléans/Orléans"," 104","Ottawa",1,0,0,2,1,66,46,0,0,116,338
35077,"Orléans/Orléans"," 105","Ottawa",0,0,1,7,1,69,41,0,0,119,369
35077,"Orléans/Orléans"," 106","Ottawa",0,0,0,0,1,63,33,0,0,97,365
35077,"Orléans/Orléans"," 107","Ottawa",0,0,0,3,0,78,26,0,0,107,343
35077,"Orléans/Orléans"," 108","Ottawa",0,1,0,6,0,106,51,0,0,164,430
35077,"Orléans/Orléans"," 109","Ottawa",0,2,1,4,3,91,37,0,0,138,413
35077,"Orléans/Orléans"," 110","Ottawa",1,0,0,6,1,165,81,1,3,258,803
35077,"Orléans/Orléans"," 111","Ottawa",2,0,3,4,2,103,54,3,1,172,448
35077,"Orléans/Orléans"," 112","Ottawa",0,1,0,14,2,153,72,0,2,244,517
35077,"Orléans/Orléans"," 113","Ottawa",1,0,0,12,1,153,73,1,0,241,489
35077,"Orléans/Orléans"," 114","Ottawa",1,1,0,9,1,138,54,0,4,208,442
35077,"Orléans/Orléans"," 115","Ottawa",1,0,3,2,0,130,49,2,0,187,352
35077,"Orléans/Orléans"," 116","Ottawa",0,1,1,3,1,100,64,1,0,171,359
35077,"Orléans/Orléans"," 117","Ottawa",1,2,0,9,6,100,46,0,0,164,403
35077,"Orléans/Orléans"," 118","Ottawa",0,0,0,4,0,91,53,0,1,149,354
35077,"Orléans/Orléans"," 119","Ottawa",0,3,0,4,2,129,47,0,2,187,437
35077,"Orléans/Orléans"," 120","Ottawa",1,0,3,3,0,128,75,0,2,212,486
35077,"Orléans/Orléans"," 121","Ottawa",2,1,1,5,0,115,31,0,1,156,487
35077,"Orléans/Orléans"," 122","Ottawa",1,1,0,13,1,112,58,0,1,187,609
35077,"Orléans/Orléans"," 123","Ottawa",0,0,0,3,2,119,41,0,1,166,475
35077,"Orléans/Orléans"," 124","Ottawa",0,1,0,9,7,149,78,0,0,244,645
35077,"Orléans/Orléans"," 125","Ottawa",0,1,0,6,1,122,59,0,1,190,572
35077,"Orléans/Orléans"," 126","Ottawa",2,3,2,8,2,109,56,1,0,183,464
35077,"Orléans/Orléans"," 127","Ottawa",1,1,0,10,2,93,41,2,1,151,400
35077,"Orléans/Orléans"," 128","Ottawa",0,2,1,5,0,140,56,0,0,204,522
35077,"Orléans/Orléans"," 129","Ottawa",2,0,0,4,0,110,57,0,0,173,529
35077,"Orléans/Orléans"," 130","Ottawa",1,0,0,2,2,113,42,1,1,162,544
35077,"Orléans/Orléans"," 131","Ottawa",0,0,0,4,2,91,62,0,0,159,556
35077,"Orléans/Orléans"," 132","Ottawa",1,2,0,4,3,132,69,0,0,211,597
35077,"Orléans/Orléans"," 133","Ottawa",0,1,0,1,4,115,47,0,0,168,483
35077,"Orléans/Orléans"," 134","Ottawa",2,2,1,14,3,122,53,1,1,199,558
35077,"Orléans/Orléans"," 135","Ottawa",0,4,0,5,0,116,44,0,5,174,471
35077,"Orléans/Orléans"," 136","Ottawa",2,3,0,6,2,123,44,0,2,182,513
35077,"Orléans/Orléans"," 137","Ottawa",1,1,0,7,0,109,40,0,4,162,440
35077,"Orléans/Orléans"," 138","Ottawa",0,0,0,7,0,94,48,0,2,151,447
35077,"Orléans/Orléans"," 139","Ottawa",4,1,2,3,0,119,39,0,1,169,470
35077,"Orléans/Orléans"," 140","Ottawa",1,0,0,2,1,73,29,0,0,106,342
35077,"Orléans/Orléans"," 141","Ottawa",1,0,0,2,0,95,69,0,4,171,480
35077,"Orléans/Orléans"," 142","Ottawa",0,0,0,4,0,114,61,0,1,180,481
35077,"Orléans/Orléans"," 143","Ottawa",0,1,0,5,4,132,69,0,0,211,475
35077,"Orléans/Orléans"," 144","Ottawa",1,0,0,8,1,116,59,1,0,186,451
35077,"Orléans/Orléans"," 145","Ottawa",0,0,0,5,1,102,51,0,0,159,357
35077,"Orléans/Orléans"," 146","Ottawa",0,1,0,6,0,94,49,0,0,150,358
35077,"Orléans/Orléans"," 147","Ottawa",0,3,0,11,1,102,74,0,1,192,452
35077,"Orléans/Orléans"," 148","Ottawa",2,0,0,9,3,92,64,0,0,170,431
35077,"Orléans/Orléans"," 149","Ottawa",3,0,0,1,0,71,57,0,0,132,395
35077,"Orléans/Orléans"," 150","Ottawa",0,1,0,4,2,118,56,0,1,182,402
35077,"Orléans/Orléans"," 151","Ottawa",0,2,1,2,0,98,32,1,0,136,366
35077,"Orléans/Orléans"," 152","Ottawa",0,1,0,6,0,89,55,0,0,151,388
35077,"Orléans/Orléans"," 153","Ottawa",0,0,0,6,3,98,53,0,0,160,333
35077,"Orléans/Orléans"," 154","Ottawa",1,0,0,7,0,101,27,0,0,136,385
35077,"Orléans/Orléans"," 155","Ottawa",0,1,0,3,1,96,57,1,0,159,457
35077,"Orléans/Orléans"," 156","Ottawa",1,0,2,4,4,91,42,0,0,144,381
35077,"Orléans/Orléans"," 157","Ottawa",1,1,1,4,0,106,30,0,0,143,378
35077,"Orléans/Orléans"," 158","Ottawa",0,0,0,4,2,97,32,0,1,136,399
35077,"Orléans/Orléans"," 159","Ottawa",1,0,0,3,0,96,49,0,2,151,457
35077,"Orléans/Orléans"," 160","Ottawa",4,0,0,3,3,88,35,0,0,133,378
35077,"Orléans/Orléans"," 161","Ottawa",3,0,0,7,1,113,85,0,0,209,519
35077,"Orléans/Orléans"," 162","Ottawa",1,1,0,1,2,122,67,0,1,195,461
35077,"Orléans/Orléans"," 163","Ottawa",0,0,0,2,2,79,46,0,1,130,397
35077,"Orléans/Orléans"," 164","Ottawa",0,0,0,1,1,124,40,0,1,167,407
35077,"Orléans/Orléans"," 165","Ottawa",0,0,0,0,3,79,43,1,0,126,419
35077,"Orléans/Orléans"," 166","Ottawa",0,1,0,12,2,66,51,0,0,132,403
35077,"Orléans/Orléans"," 167","Ottawa",2,0,1,6,3,87,49,0,0,148,401
35077,"Orléans/Orléans"," 168","Ottawa",1,1,0,10,2,104,52,1,1,172,503
35077,"Orléans/Orléans"," 169","Ottawa",3,0,0,6,0,108,44,1,2,164,474
35077,"Orléans/Orléans"," 170","Ottawa",0,1,0,6,0,83,35,0,1,126,377
35077,"Orléans/Orléans"," 171","Ottawa",0,2,1,6,1,91,41,1,0,143,365
35077,"Orléans/Orléans"," 172","Ottawa",1,0,1,0,0,148,45,0,1,196,474
35077,"Orléans/Orléans"," 173","Ottawa",1,1,0,7,2,98,49,0,0,158,347
35077,"Orléans/Orléans"," 174","Ottawa",0,0,0,2,0,92,47,0,1,142,315
35077,"Orléans/Orléans"," 175","Ottawa",0,0,0,3,4,100,39,0,0,146,342
35077,"Orléans/Orléans"," 176","Ottawa",0,2,0,5,0,111,29,0,0,147,376
35077,"Orléans/Orléans"," 177","Ottawa",Combined with No./Résultats combinés à ceux du n°160,,,,,,,,,,34
35077,"Orléans/Orléans"," 178","Ottawa",0,0,0,10,4,153,44,0,3,214,596
35077,"Orléans/Orléans"," 179","Ottawa",4,3,2,1,3,129,70,0,0,212,490
35077,"Orléans/Orléans"," 180","Ottawa",0,0,0,5,0,137,54,0,3,199,558
35077,"Orléans/Orléans"," 181","Ottawa",1,0,0,0,0,90,51,0,2,144,462
35077,"Orléans/Orléans"," 182","Ottawa",0,0,0,3,3,108,58,0,0,172,425
35077,"Orléans/Orléans"," 183","Ottawa",2,2,1,13,3,156,73,0,2,252,628
35077,"Orléans/Orléans"," 184","Ottawa",1,2,1,9,2,153,70,1,1,240,583
35077,"Orléans/Orléans"," 185","Ottawa",1,0,0,3,0,111,72,0,2,189,462
35077,"Orléans/Orléans"," 186","Ottawa",2,0,0,1,1,69,41,0,0,114,372
35077,"Orléans/Orléans"," 187","Ottawa",1,2,0,1,3,66,19,0,0,92,343
35077,"Orléans/Orléans"," 188","Ottawa",1,0,0,10,2,96,41,0,0,150,429
35077,"Orléans/Orléans"," 189","Ottawa",0,0,0,5,3,101,37,0,0,146,461
35077,"Orléans/Orléans"," 190","Ottawa",1,1,0,4,3,73,47,0,0,129,349
35077,"Orléans/Orléans"," 191","Ottawa",0,0,0,3,4,78,25,0,1,111,348
35077,"Orléans/Orléans"," 192","Ottawa",0,0,1,7,1,91,50,0,0,150,506
35077,"Orléans/Orléans"," 193","Ottawa",0,0,0,3,2,77,36,0,2,120,387
35077,"Orléans/Orléans"," 194","Ottawa",0,0,0,3,0,105,67,1,0,176,486
35077,"Orléans/Orléans"," 195","Ottawa",3,3,0,4,1,121,61,0,2,195,500
35077,"Orléans/Orléans"," 196","Ottawa",0,1,0,6,2,146,50,0,2,207,562
35077,"Orléans/Orléans"," 197","Ottawa",1,0,0,0,0,83,54,0,0,138,307
35077,"Orléans/Orléans"," 198","Ottawa",3,5,0,6,2,137,61,0,2,216,511
35077,"Orléans/Orléans"," 199","Ottawa",1,0,1,10,3,120,50,0,2,187,478
35077,"Orléans/Orléans"," 200","Ottawa",1,1,1,2,3,95,69,0,2,174,449
35077,"Orléans/Orléans"," 201","Ottawa",0,3,0,5,5,81,66,0,1,161,425
35077,"Orléans/Orléans"," 202","Ottawa",0,1,0,2,0,112,70,0,3,188,505
35077,"Orléans/Orléans"," 203","Ottawa",1,2,0,2,3,120,76,0,0,204,561
35077,"Orléans/Orléans"," 204","Ottawa",2,0,0,17,5,187,90,0,4,305,723
35077,"Orléans/Orléans"," 205","Ottawa",1,3,0,12,3,177,69,0,3,268,781
35077,"Orléans/Orléans"," 206","Ottawa",1,0,1,5,3,161,72,0,4,247,565
35077,"Orléans/Orléans"," 207","Ottawa",4,0,0,8,2,152,83,0,1,250,587
35077,"Orléans/Orléans"," 208","Ottawa",0,2,0,4,0,113,50,0,1,170,449
35077,"Orléans/Orléans"," 209","Ottawa",0,3,0,10,3,92,66,0,0,174,519
35077,"Orléans/Orléans"," 210","Ottawa",0,1,1,4,1,76,38,0,1,122,395
35077,"Orléans/Orléans"," 211","Ottawa",0,1,1,4,1,130,87,1,4,229,585
35077,"Orléans/Orléans"," 212","Ottawa",0,2,0,8,1,104,34,1,3,153,455
35077,"Orléans/Orléans"," 213","Ottawa",0,1,2,7,0,134,97,0,3,244,600
35077,"Orléans/Orléans"," 214","Ottawa",1,3,0,6,0,111,66,1,0,188,489
35077,"Orléans/Orléans"," 215","Ottawa",0,1,0,3,0,106,78,0,0,188,551
35077,"Orléans/Orléans"," 216","Ottawa",4,3,1,10,1,105,51,0,1,176,562
35077,"Orléans/Orléans"," 217","Ottawa",0,2,1,10,0,98,68,0,0,179,520
35077,"Orléans/Orléans"," 218","Ottawa",0,2,3,8,2,134,55,2,0,206,466
35077,"Orléans/Orléans"," 219","Ottawa",1,0,0,3,4,101,58,0,0,167,407
35077,"Orléans/Orléans"," 220","Ottawa",2,0,0,2,3,118,67,0,1,193,468
35077,"Orléans/Orléans"," 221","Ottawa",1,0,0,6,5,169,64,0,0,245,513
35077,"Orléans/Orléans"," 222","Ottawa",1,1,0,6,3,167,78,1,0,257,565
35077,"Orléans/Orléans"," 223","Ottawa",4,0,0,3,3,168,84,0,1,263,502
35077,"Orléans/Orléans"," 224","Ottawa",0,2,0,2,1,118,58,0,0,181,496
35077,"Orléans/Orléans"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,,,59
35077,"Orléans/Orléans"," 501","Mobile poll/Bureau itinérant",0,0,0,1,0,68,17,0,5,91,89
35077,"Orléans/Orléans"," 502","Mobile poll/Bureau itinérant",0,2,1,0,0,85,29,1,2,120,76
35077,"Orléans/Orléans"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,,,141
35077,"Orléans/Orléans"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,,,,64
35077,"Orléans/Orléans"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,,,,195
35077,"Orléans/Orléans"," 506","Mobile poll/Bureau itinérant",1,1,1,1,1,140,11,0,0,156,95
35077,"Orléans/Orléans"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,,,110
35077,"Orléans/Orléans"," 508","Mobile poll/Bureau itinérant",2,0,0,5,3,71,22,1,3,107,129
35077,"Orléans/Orléans"," 509","Mobile poll/Bureau itinérant",1,3,0,0,1,43,18,1,0,67,42
35077,"Orléans/Orléans"," 510","Mobile poll/Bureau itinérant",0,0,0,2,0,45,9,1,0,57,110
35077,"Orléans/Orléans"," 600","Ottawa",5,5,2,16,5,842,248,0,5,1128,
35077,"Orléans/Orléans"," 601","Ottawa",3,3,2,32,2,644,284,0,5,975,
35077,"Orléans/Orléans"," 602","Ottawa",6,3,0,25,11,883,339,0,6,1273,
35077,"Orléans/Orléans"," 603","Ottawa",3,3,2,32,12,787,337,0,7,1183,
35077,"Orléans/Orléans"," 604","Ottawa",2,1,1,28,3,750,246,2,2,1035,
35077,"Orléans/Orléans"," 605","Ottawa",3,3,2,16,2,866,304,1,2,1199,
35077,"Orléans/Orléans"," 606","Ottawa",4,2,3,21,7,887,359,1,11,1295,
35077,"Orléans/Orléans"," 607","Ottawa",4,6,12,45,10,1269,464,0,8,1818,
35077,"Orléans/Orléans"," 608","Ottawa",5,7,4,44,7,1120,373,1,25,1586,
35077,"Orléans/Orléans"," 609","Ottawa",4,2,5,17,8,1131,387,2,8,1564,
35077,"Orléans/Orléans"," 610","Ottawa",3,9,3,26,5,919,244,2,8,1219,
35077,"Orléans/Orléans"," 611","Ottawa",7,2,2,26,3,970,461,0,12,1483,
35077,"Orléans/Orléans"," 612","Ottawa",4,4,2,43,6,1011,348,1,12,1431,
35077,"Orléans/Orléans"," 613","Ottawa",4,7,1,27,7,995,341,2,6,1390,
35077,"Orléans/Orléans"," 614","Ottawa",8,3,3,39,8,1061,372,1,7,1502,
35077,"Orléans/Orléans"," 615","Ottawa",8,5,3,35,11,1318,337,1,2,1720,
35077,"Orléans/Orléans"," 616","Ottawa",0,2,2,27,12,915,264,2,20,1244,
35077,"Orléans/Orléans"," 617","Ottawa",3,3,0,38,12,1111,446,1,9,1623,
35077,"Orléans/Orléans"," 618","Ottawa",7,1,4,27,13,716,269,1,14,1052,
35077,"Orléans/Orléans"," 619","Ottawa",10,5,2,37,15,933,327,0,5,1334,
35077,"Orléans/Orléans"," 620","Ottawa",4,2,1,27,7,877,372,0,3,1293,
35077,"Orléans/Orléans"," 621","Ottawa",0,0,0,0,0,5,2,0,0,7,
35077,"Orléans/Orléans",,Group 1/Groupe 1, 6,5,2,37,14,758,276,0,73,1171,542
35077,"Orléans/Orléans",,Group 2/Groupe 2, 28,21,10,178,57,7466,2455,4,90,10309,
