Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Logan Araujo,Bushra Asghar,Chris Hill,Sue McFadden,Rechie Valdez,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 18","Mississauga",1,1,0,89,114,0,205,459
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 19","Mississauga",2,3,3,95,93,0,196,400
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 20","Mississauga",1,4,1,64,73,0,143,426
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 21","Mississauga",0,6,2,72,62,0,142,404
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 22","Mississauga",0,3,1,48,46,0,98,312
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 23","Mississauga",3,7,0,92,62,1,165,402
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 24","Mississauga",1,3,2,69,70,1,146,357
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 25","Mississauga",0,8,1,55,50,0,114,346
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 26","Mississauga",0,3,3,81,82,1,170,411
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 27","Mississauga",1,5,1,114,128,2,251,575
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 28","Mississauga",2,8,3,119,92,0,224,487
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 29","Mississauga",1,1,2,72,77,0,153,372
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 30","Mississauga",0,3,1,82,94,5,185,385
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 31","Mississauga",1,5,2,112,85,1,206,400
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 32","Mississauga",5,16,1,96,122,6,246,494
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 33","Mississauga",0,3,2,54,87,0,146,411
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 34","Mississauga",0,8,0,82,93,0,183,430
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 35","Mississauga",3,6,1,91,116,0,217,537
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 36","Mississauga",0,2,0,51,89,0,142,370
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 37","Mississauga",1,11,3,77,107,0,199,404
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 38","Mississauga",1,2,0,81,86,1,171,349
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 39","Mississauga",1,3,0,123,67,2,196,478
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 40","Mississauga",2,5,3,56,78,2,146,355
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 41","Mississauga",0,5,3,97,132,0,237,558
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 42","Mississauga",0,3,2,70,68,0,143,326
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 43","Mississauga",3,21,4,121,122,1,272,590
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 44","Mississauga",0,1,1,87,85,0,174,463
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 45","Mississauga",1,4,2,99,106,4,216,469
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 46A","Mississauga",1,6,1,64,96,2,170,473
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 46B","Mobile poll/Bureau itinérant",2,6,4,29,74,4,119,94
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 47","Mississauga",0,4,1,86,128,4,223,541
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 48","Mississauga",3,12,5,152,113,0,285,629
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 49","Mississauga",1,3,0,72,68,2,146,427
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 50","Mississauga",0,5,1,83,119,1,209,491
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 51","Mississauga",2,1,0,74,71,0,148,387
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 52","Mississauga",6,10,1,86,116,0,219,459
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 53","Mississauga",1,3,0,94,92,0,190,439
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 54","Mississauga",0,5,3,67,72,0,147,319
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 55","Mississauga",0,4,1,65,71,0,141,321
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 56","Mississauga",2,2,2,69,60,0,135,303
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 57A","Mississauga",0,6,0,70,62,0,138,298
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 57B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°46B,,,,,,,42
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 58","Mississauga",1,3,4,94,93,0,195,452
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 59","Mississauga",1,2,1,75,94,0,173,413
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 60","Mississauga",0,5,2,80,97,0,184,478
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 61","Mississauga",1,9,0,74,101,2,187,431
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 62","Mississauga",1,8,1,95,125,1,231,509
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 63","Mississauga",5,20,2,94,90,1,212,573
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 64","Mississauga",1,2,0,105,90,0,198,536
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 65","Mississauga",3,7,0,99,113,1,223,578
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 66","Mississauga",3,12,4,98,98,2,217,596
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 67","Mississauga",0,1,0,60,91,0,152,398
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 68","Mississauga",0,0,1,94,70,0,165,486
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 69","Mississauga",2,5,2,109,94,0,212,565
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 70","Mississauga",3,4,3,62,81,1,154,430
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 71","Mississauga",3,6,4,67,64,1,145,414
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 72","Mississauga",1,3,3,117,88,2,214,477
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 73","Mississauga",1,4,1,39,56,0,101,307
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 74","Mississauga",0,4,1,73,72,0,150,357
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 75","Mississauga",3,7,2,134,102,1,249,587
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 76","Mississauga",0,0,0,0,0,0,0,31
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 77","Mississauga",3,11,3,120,118,1,256,582
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 78","Mississauga",0,5,1,101,68,0,175,474
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 79","Mississauga",1,4,2,68,78,1,154,426
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 80","Mississauga",0,2,1,96,77,0,176,388
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 81","Mississauga",1,6,1,85,111,0,204,511
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 82","Mississauga",0,2,3,49,53,0,107,334
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 83","Mississauga",0,6,2,42,63,1,114,354
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 84","Mississauga",2,8,3,112,125,4,254,520
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 85","Mississauga",2,3,2,140,93,0,240,537
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 86","Mississauga",0,5,1,38,84,0,128,406
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 87","Mississauga",1,6,1,66,57,0,131,363
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 88","Mississauga",0,4,2,105,96,5,212,543
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 89","Mississauga",1,5,2,61,70,0,139,358
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 90","Mississauga",1,1,4,57,71,2,136,428
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 91","Mississauga",0,5,1,62,53,0,121,334
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 92","Mississauga",3,8,1,78,77,3,170,415
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 93","Mississauga",1,5,1,67,66,1,141,336
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 94","Mississauga",1,0,0,59,71,1,132,375
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 95","Mississauga",0,7,2,97,100,4,210,408
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 96","Mississauga",2,5,2,77,81,1,168,479
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 97","Mississauga",2,9,2,68,74,0,155,470
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 98","Mississauga",1,7,1,45,57,0,111,283
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 99","Mississauga",1,3,0,58,105,0,167,416
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 100","Mississauga",0,3,1,89,106,1,200,507
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 101","Mississauga",0,3,3,74,84,3,167,412
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 102","Mississauga",1,4,0,103,89,0,197,474
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 103","Mississauga",0,5,1,65,112,1,184,438
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 104","Mississauga",0,7,3,95,93,0,198,532
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 105","Mississauga",0,4,2,70,84,0,160,332
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 106","Mississauga",1,3,4,94,132,2,236,488
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 107","Mississauga",1,5,3,106,95,0,210,421
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 108","Mississauga",2,1,0,80,97,0,180,434
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 109","Mississauga",3,6,1,112,93,1,216,536
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 110","Mississauga",1,8,2,75,101,0,187,435
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 111","Mississauga",0,4,0,99,91,0,194,496
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 112","Mississauga",1,8,1,114,94,0,218,450
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 113","Mississauga",0,5,5,127,98,0,235,519
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 114","Mississauga",1,3,3,103,88,1,199,441
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 115","Mississauga",1,6,4,83,102,0,196,524
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 116","Mississauga",2,2,1,98,97,0,200,549
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 117","Mississauga",0,3,2,83,112,3,203,567
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 118","Mississauga",0,2,0,67,62,0,131,339
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 119","Mississauga",2,3,0,80,94,0,179,334
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 120","Mississauga",1,4,0,92,115,2,214,544
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 121","Mississauga",1,4,0,97,88,2,192,396
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 122","Mississauga",2,2,2,100,105,4,215,535
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 123","Mississauga",0,18,0,84,91,0,193,552
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 124","Mississauga",0,4,2,84,111,3,204,523
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 125","Mississauga",2,2,1,119,124,1,249,538
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 126","Mississauga",4,9,4,106,104,0,227,560
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 127","Mississauga",2,6,2,76,71,0,157,360
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 128","Mississauga",1,10,2,114,102,1,230,549
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 129","Mississauga",2,3,2,87,64,0,158,378
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 130","Mississauga",2,3,2,66,100,2,175,464
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 131","Mississauga",1,0,3,105,112,0,221,497
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 132","Mississauga",0,3,2,76,61,0,142,335
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 133","Mississauga",2,1,2,56,56,0,117,419
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 134","Mississauga",2,1,0,55,53,0,111,336
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 135","Mississauga",2,1,2,65,74,0,144,432
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 136","Mississauga",0,2,1,84,72,0,159,475
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 137","Mississauga",0,0,0,98,68,0,166,444
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 138","Mississauga",0,1,0,74,68,0,143,424
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 139","Mississauga",3,3,5,57,107,1,176,493
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 140","Mississauga",1,3,0,53,52,0,109,310
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 141","Mississauga",1,4,2,44,70,0,121,315
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 142","Mississauga",1,1,1,80,88,0,171,506
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 143","Mississauga",1,1,0,56,67,0,125,388
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 144","Mississauga",0,0,0,63,46,0,109,289
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 145","Mississauga",0,2,2,66,62,2,134,300
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 146","Mississauga",0,1,0,78,79,0,158,354
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 147","Mississauga",0,7,0,68,56,1,132,382
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 148","Mississauga",1,2,0,125,103,0,231,491
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 149","Mississauga",3,1,4,126,93,2,229,462
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 150","Mississauga",2,3,3,106,105,0,219,432
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 151","Mississauga",1,3,2,117,144,3,270,467
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 152","Mississauga",1,10,4,131,119,1,266,502
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 153","Mississauga",1,7,2,100,87,0,197,495
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 154","Mississauga",1,2,1,84,92,1,181,482
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 155","Mississauga",0,3,1,60,47,0,111,389
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 156","Mississauga",4,6,0,102,94,0,206,525
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 157","Mississauga",0,1,0,72,77,0,150,446
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 158","Mississauga",3,1,0,86,38,2,130,372
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 159","Mississauga",0,1,1,94,60,0,156,477
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 160","Mississauga",1,5,2,74,79,0,161,383
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 161","Mississauga",4,9,2,71,99,0,185,477
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 162","Mississauga",4,6,1,157,153,3,324,600
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 163","Mississauga",3,8,2,108,134,1,256,497
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 164","Mississauga",0,9,3,114,115,2,243,504
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 165","Mississauga",1,3,0,90,88,1,183,359
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 166","Mississauga",1,1,2,105,116,1,226,495
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 167","Mississauga",0,3,0,92,103,5,203,510
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 168","Mississauga",1,7,0,95,76,0,179,463
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 169","Mississauga",2,1,1,91,77,0,172,477
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 170","Mississauga",1,6,2,61,76,0,146,421
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 171","Mississauga",1,5,5,99,116,0,226,459
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 172","Mississauga",0,8,2,114,139,2,265,563
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 173","Mississauga",4,2,3,110,97,1,217,448
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 174","Mississauga",1,2,2,101,120,0,226,478
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 175","Mississauga",1,9,2,71,80,0,163,395
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 176","Mississauga",2,6,1,86,110,0,205,508
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 177","Mississauga",1,7,4,105,86,2,205,583
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 178","Mississauga",2,6,0,53,43,0,104,268
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 179","Mississauga",0,2,1,63,56,0,122,412
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 180","Mississauga",2,4,1,66,72,1,146,407
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 181","Mississauga",0,16,1,75,75,0,167,466
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 182","Mississauga",1,6,3,86,109,0,205,384
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 183","Mississauga",1,6,2,96,105,2,212,491
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 184","Mississauga",0,4,2,88,63,0,157,511
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 185","Mississauga",1,5,1,45,64,1,117,338
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 186","Mississauga",0,9,0,89,83,1,182,570
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 187","Mississauga",1,5,2,69,107,0,184,476
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 188","Mississauga",1,3,1,71,82,0,158,437
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 189","Mississauga",0,2,4,91,101,0,198,606
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 400","Mississauga",0,4,1,48,41,0,94,260
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 401","Mississauga",2,3,1,65,108,2,181,444
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 402","Mississauga",1,2,2,37,64,0,106,234
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 403","Mississauga",0,3,0,33,56,0,92,207
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 404","Mississauga",5,4,5,84,73,1,172,471
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 405","Mississauga",0,1,0,25,32,1,59,194
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 406","Mississauga",2,6,2,41,36,0,87,265
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 407","Mississauga",1,4,2,59,64,5,135,408
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 408","Mississauga",1,2,2,75,29,0,109,299
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°46B,,,,,,,54
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 501","Mississauga",Combined with No./Résultats combinés à ceux du n°151,,,,,,,0
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 600","Mississauga",6,28,8,552,581,1,1176,
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 601","Mississauga",13,29,12,652,919,2,1627,
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 602","Mississauga",8,19,7,473,553,3,1063,
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 603","Mississauga",5,19,3,625,625,1,1278,
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 604","Mississauga",2,8,2,474,642,0,1128,
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 605","Mississauga",6,14,6,602,705,0,1333,
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 606","Mississauga",6,23,3,439,666,2,1139,
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 607","Mississauga",8,30,8,753,865,4,1668,
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 608","Mississauga",8,33,18,607,942,2,1610,
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 609","Mississauga",9,39,11,654,937,1,1651,
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 610","Mississauga",8,37,10,766,1086,3,1910,
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 611","Mississauga",14,33,4,643,830,2,1526,
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 612","Mississauga",9,22,11,683,993,2,1720,
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 613","Mississauga",8,34,5,889,1082,4,2022,
35066,"Mississauga--Streetsville/Mississauga--Streetsville"," 614","Mississauga",12,29,9,663,866,4,1583,
35066,"Mississauga--Streetsville/Mississauga--Streetsville",,Group 1/Groupe 1, 3,35,2,263,525,38,866,487
35066,"Mississauga--Streetsville/Mississauga--Streetsville",,Group 2/Groupe 2, 6,46,8,919,1281,61,2321,
